domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
47faeb4f1b75a48499ba14e9b1cd895a.org,0,0,50,70,36,6,org,1
47faeb4f1b75a48499ba14e9b1cd895a.co.cc,0,0,47,64,38,11,cc,1
9b86bb2ef4bad69cca0110076215e1f4.org,0,0,53,45,36,6,org,1
9b86bb2ef4bad69cca0110076215e1f4.co.cc,0,0,50,42,38,12,cc,1
b1bc086df017d40a4123488866a265b2.co.cc,0,0,61,30,38,15,cc,1
42f2f603dbf06493ca5a16e1b968d30c.org,0,0,56,36,36,7,org,1
42f2f603dbf06493ca5a16e1b968d30c.co.cc,0,0,53,33,38,12,cc,1
381ed097870ca065ba2ee82a9a6aba48.org,0,0,53,167,36,6,org,1
4080a9a50926345d53257b78cc8b48f9.org,0,0,67,38,36,9,org,1
4080a9a50926345d53257b78cc8b48f9.co.cc,0,0,63,33,38,17,cc,1
22878534f9c16c443c57a7d8d649af4c.org,0,0,61,30,36,8,org,1
22878534f9c16c443c57a7d8d649af4c.co.cc,0,0,58,27,38,14,cc,1
98d075d1b931e89654e33d1fedc2296c.co.cc,0,0,55,36,38,13,cc,1
4cc6013531853cd7eca50a3177b5ee7d.org,0,0,56,67,36,7,org,1
4cc6013531853cd7eca50a3177b5ee7d.co.cc,0,0,53,60,38,12,cc,1
ff364d63d2a99159999fd62d59ef11f2.org,0,0,58,27,36,7,org,1
79926be0f7e44c1fa1b63adba92f0cec.org,0,0,44,58,36,5,org,1
79926be0f7e44c1fa1b63adba92f0cec.co.cc,0,0,42,54,38,10,cc,1
0d33e6ccb41f44f79d0b20a21f7cf894.org,0,0,53,23,36,6,org,1
0d33e6ccb41f44f79d0b20a21f7cf894.co.cc,0,0,50,21,38,12,cc,1
8afcc1f2ec133836b257c4e59d399c01.co.cc,0,0,53,33,38,12,cc,1
253375007a2795ed0e0329bffbd56f68.org,0,0,61,44,36,8,org,1
253375007a2795ed0e0329bffbd56f68.co.cc,0,0,58,40,38,14,cc,1
ed0e17b1e04a39ad5b7c7852e8e58dba.org,0,0,47,100,36,6,org,1
c3c098f01ff65171e00cb449e0ba81f9.org,0,0,56,36,36,7,org,1
c3c098f01ff65171e00cb449e0ba81f9.co.cc,0,0,53,33,38,12,cc,1
a3ff4bc2ab5b7dcac6ee9f72f4bed54b.org,0,0,33,44,36,4,org,1
a3ff4bc2ab5b7dcac6ee9f72f4bed54b.co.cc,0,0,32,41,38,8,cc,1
