domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
dtaprsensinaix.com,2,0,0,55,18,6,com,2,1
ljdnrsensinaix.com,2,0,0,42,18,6,com,2,1
rvmgrsensinaix.com,1,0,0,42,18,6,com,2,1
qsuersensinaix.com,2,0,0,70,18,6,com,2,1
njzyrsensinaix.com,1,0,0,42,18,6,com,2,1
eivnrsensinaix.com,2,0,0,70,18,6,com,2,1
kmxirsensinaix.com,2,0,0,55,18,6,com,2,1
lvaprsensinaix.com,1,0,0,55,18,6,com,2,1
tvlhrsensinaix.com,2,0,0,42,18,6,com,2,1
tvwkrsensinaix.com,2,0,0,42,18,6,com,2,1
wykersensinaix.com,1,0,0,55,18,6,com,2,1
tbvmrsensinaix.com,2,0,0,42,18,6,com,2,1
ymlvrsensinaix.com,2,0,0,42,18,6,com,2,1
mwpsrsensinaix.com,2,0,0,42,18,6,com,2,1
xbejrsensinaix.com,2,0,0,55,18,6,com,2,1
znvdrsensinaix.com,2,0,0,42,18,6,com,2,1
vhiersensinaix.com,2,0,0,70,18,6,com,2,1
sssarsensinaix.com,1,0,0,55,18,6,com,2,1
lhvorsensinaix.com,1,0,0,55,18,6,com,2,1
ssfxrsensinaix.com,2,0,0,42,18,6,com,2,1
iefsrsensinaix.com,2,0,0,70,18,6,com,2,1
tnqhrsensinaix.com,1,0,0,42,18,6,com,2,1
tfbzrsensinaix.com,2,0,0,42,18,6,com,2,1
lhewrsensinaix.com,1,0,0,55,18,6,com,2,1
aawersensinaix.com,1,0,0,89,18,6,com,2,1
xjlkrsensinaix.com,1,0,0,42,18,6,com,2,1
aeddrsensinaix.com,1,0,0,70,18,6,com,2,1
wqrwrsensinaix.com,2,0,0,42,18,6,com,2,1
ldufrsensinaix.com,1,0,0,55,18,6,com,2,1
jbvnrsensinaix.com,1,0,0,42,18,6,com,2,1
pdcersensinaix.com,2,0,0,55,18,6,com,2,1
megarsensinaix.com,1,0,0,70,18,6,com,2,1
fzdorsensinaix.com,2,0,0,55,18,6,com,2,1
mwhdrsensinaix.com,1,0,0,42,18,6,com,2,1
imhirsensinaix.com,2,0,0,70,18,6,com,2,1
jtivrsensinaix.com,1,0,0,55,18,6,com,2,1
xvxzrsensinaix.com,2,0,0,42,18,6,com,2,1
pregrsensinaix.com,2,0,0,55,18,6,com,2,1
oikkrsensinaix.com,2,0,0,70,18,6,com,2,1
rttirsensinaix.com,2,0,0,55,18,6,com,2,1
sqdnrsensinaix.com,2,0,0,42,18,6,com,2,1
yqtirsensinaix.com,1,0,0,55,18,6,com,2,1
zrkvrsensinaix.com,2,0,0,42,18,6,com,2,1
nhpdrsensinaix.com,2,0,0,42,18,6,com,2,1
jjqorsensinaix.com,1,0,0,55,18,6,com,2,1
quysrsensinaix.com,2,0,0,55,18,6,com,2,1
bbrwrsensinaix.com,2,0,0,42,18,6,com,2,1
qezlrsensinaix.com,1,0,0,55,18,6,com,2,1
uolwrsensinaix.com,2,0,0,70,18,6,com,2,1
jxmrrsensinaix.com,2,0,0,42,18,6,com,2,1
tzxzrsensinaix.com,2,0,0,42,18,6,com,2,1
lvagrsensinaix.com,2,0,0,55,18,6,com,2,1
kmcgrsensinaix.com,1,0,0,42,18,6,com,2,1
jtdorsensinaix.com,2,0,0,55,18,6,com,2,1
qolzrsensinaix.com,2,0,0,55,18,6,com,2,1
iwlsrsensinaix.com,2,0,0,55,18,6,com,2,1
txwxrsensinaix.com,2,0,0,42,18,6,com,2,1
jpxvrsensinaix.com,1,0,0,42,18,6,com,2,1
xnmgrsensinaix.com,2,0,0,42,18,6,com,2,1
wiaarsensinaix.com,2,0,0,89,18,6,com,2,1
prhkrsensinaix.com,1,0,0,42,18,6,com,2,1
smrzrsensinaix.com,2,0,0,42,18,6,com,2,1
kutyrsensinaix.com,2,0,0,55,18,6,com,2,1
bbmxrsensinaix.com,2,0,0,42,18,6,com,2,1
rfvjrsensinaix.com,2,0,0,42,18,6,com,2,1
tpgqrsensinaix.com,2,0,0,42,18,6,com,2,1
csaursensinaix.com,2,0,0,70,18,6,com,2,1
plhyrsensinaix.com,1,0,0,42,18,6,com,2,1
gofdrsensinaix.com,1,0,0,55,18,6,com,2,1
cqzersensinaix.com,1,0,0,55,18,6,com,2,1
zrqxrsensinaix.com,2,0,0,42,18,6,com,2,1
pjxprsensinaix.com,1,0,0,42,18,6,com,2,1
xbmorsensinaix.com,1,0,0,55,18,6,com,2,1
esiarsensinaix.com,2,0,0,89,18,6,com,2,1
xtxcrsensinaix.com,2,0,0,42,18,6,com,2,1
sqhlrsensinaix.com,2,0,0,42,18,6,com,2,1
wovgrsensinaix.com,2,0,0,55,18,6,com,2,1
vjijrsensinaix.com,2,0,0,55,18,6,com,2,1
xbxtrsensinaix.com,2,0,0,42,18,6,com,2,1
jxyarsensinaix.com,2,0,0,55,18,6,com,2,1
cismrsensinaix.com,2,0,0,55,18,6,com,2,1
hjryrsensinaix.com,1,0,0,42,18,6,com,2,1
ychtrsensinaix.com,1,0,0,42,18,6,com,2,1
kajorsensinaix.com,2,0,0,70,18,6,com,2,1
rdsvrsensinaix.com,1,0,0,42,18,6,com,2,1
fxptrsensinaix.com,2,0,0,42,18,6,com,2,1
rxyarsensinaix.com,2,0,0,55,18,6,com,2,1
kqacrsensinaix.com,2,0,0,55,18,6,com,2,1
fxxirsensinaix.com,1,0,0,55,18,6,com,2,1
gmvbrsensinaix.com,2,0,0,42,18,6,com,2,1
aknkrsensinaix.com,2,0,0,55,18,6,com,2,1
djinrsensinaix.com,1,0,0,55,18,6,com,2,1
jnjvrsensinaix.com,2,0,0,42,18,6,com,2,1
xjyorsensinaix.com,2,0,0,55,18,6,com,2,1
eiucrsensinaix.com,2,0,0,89,18,6,com,2,1
zblarsensinaix.com,1,0,0,55,18,6,com,2,1
sgvnrsensinaix.com,2,0,0,42,18,6,com,2,1
ywlgrsensinaix.com,2,0,0,42,18,6,com,2,1
xbatrsensinaix.com,2,0,0,55,18,6,com,2,1
jxbdrsensinaix.com,2,0,0,42,18,6,com,2,1
flyyrsensinaix.com,1,0,0,42,18,6,com,2,1
wemarsensinaix.com,2,0,0,70,18,6,com,2,1
pjtorsensinaix.com,2,0,0,55,18,6,com,2,1
wahhrsensinaix.com,2,0,0,55,18,6,com,2,1
wivwrsensinaix.com,2,0,0,55,18,6,com,2,1
lnytrsensinaix.com,1,0,0,42,18,6,com,2,1
xjnbrsensinaix.com,1,0,0,42,18,6,com,2,1
rvwersensinaix.com,2,0,0,55,18,6,com,2,1
oqcirsensinaix.com,2,0,0,70,18,6,com,2,1
phjkrsensinaix.com,2,0,0,42,18,6,com,2,1
ssthrsensinaix.com,1,0,0,42,18,6,com,2,1
sodkrsensinaix.com,2,0,0,55,18,6,com,2,1
vjqvrsensinaix.com,2,0,0,42,18,6,com,2,1
jnrlrsensinaix.com,1,0,0,42,18,6,com,2,1
nzwsrsensinaix.com,1,0,0,42,18,6,com,2,1
yimyrsensinaix.com,2,0,0,55,18,6,com,2,1
prtursensinaix.com,2,0,0,55,18,6,com,2,1
cwnprsensinaix.com,1,0,0,42,18,6,com,2,1
kopersensinaix.com,2,0,0,70,18,6,com,2,1
hvozrsensinaix.com,2,0,0,55,18,6,com,2,1
zbfrrsensinaix.com,2,0,0,42,18,6,com,2,1
jxggrsensinaix.com,2,0,0,42,18,6,com,2,1
iogmrsensinaix.com,2,0,0,70,18,6,com,2,1
nblkrsensinaix.com,1,0,0,42,18,6,com,2,1
qettrsensinaix.com,2,0,0,55,18,6,com,2,1
cwnorsensinaix.com,2,0,0,55,18,6,com,2,1
jnobrsensinaix.com,2,0,0,55,18,6,com,2,1
dpjlrsensinaix.com,1,0,0,42,18,6,com,2,1
hxicrsensinaix.com,1,0,0,55,18,6,com,2,1
cicyrsensinaix.com,2,0,0,55,18,6,com,2,1
tvnsrsensinaix.com,1,0,0,42,18,6,com,2,1
egjtrsensinaix.com,2,0,0,55,18,6,com,2,1
qorkrsensinaix.com,2,0,0,55,18,6,com,2,1
thcfrsensinaix.com,2,0,0,42,18,6,com,2,1
rrltrsensinaix.com,2,0,0,42,18,6,com,2,1
dxgirsensinaix.com,1,0,0,55,18,6,com,2,1
ekcgrsensinaix.com,2,0,0,55,18,6,com,2,1
djxyrsensinaix.com,2,0,0,42,18,6,com,2,1
uyjrrsensinaix.com,2,0,0,55,18,6,com,2,1
emfursensinaix.com,1,0,0,70,18,6,com,2,1
rbovrsensinaix.com,1,0,0,55,18,6,com,2,1
ftllrsensinaix.com,2,0,0,42,18,6,com,2,1
jhmqrsensinaix.com,1,0,0,42,18,6,com,2,1
sswqrsensinaix.com,2,0,0,42,18,6,com,2,1
bxporsensinaix.com,2,0,0,55,18,6,com,2,1
iopdrsensinaix.com,1,0,0,70,18,6,com,2,1
eslsrsensinaix.com,2,0,0,55,18,6,com,2,1
plshrsensinaix.com,1,0,0,42,18,6,com,2,1
pxzprsensinaix.com,2,0,0,42,18,6,com,2,1
xdosrsensinaix.com,2,0,0,55,18,6,com,2,1
iaosrsensinaix.com,2,0,0,89,18,6,com,2,1
tfzirsensinaix.com,2,0,0,55,18,6,com,2,1
uqlvrsensinaix.com,2,0,0,55,18,6,com,2,1
ialsrsensinaix.com,2,0,0,70,18,6,com,2,1
tfwfrsensinaix.com,1,0,0,42,18,6,com,2,1
rnfjrsensinaix.com,1,0,0,42,18,6,com,2,1
tfqqrsensinaix.com,1,0,0,42,18,6,com,2,1
cykkrsensinaix.com,2,0,0,42,18,6,com,2,1
fnhqrsensinaix.com,1,0,0,42,18,6,com,2,1
oanprsensinaix.com,2,0,0,70,18,6,com,2,1
wibkrsensinaix.com,2,0,0,55,18,6,com,2,1
zbsprsensinaix.com,1,0,0,42,18,6,com,2,1
hvrnrsensinaix.com,1,0,0,42,18,6,com,2,1
npwkrsensinaix.com,2,0,0,42,18,6,com,2,1
qgegrsensinaix.com,1,0,0,55,18,6,com,2,1
pnlqrsensinaix.com,2,0,0,42,18,6,com,2,1
ykbnrsensinaix.com,2,0,0,42,18,6,com,2,1
ekxgrsensinaix.com,2,0,0,55,18,6,com,2,1
djstrsensinaix.com,2,0,0,42,18,6,com,2,1
ptzxrsensinaix.com,2,0,0,42,18,6,com,2,1
fdwirsensinaix.com,2,0,0,55,18,6,com,2,1
gyumrsensinaix.com,2,0,0,55,18,6,com,2,1
ltxorsensinaix.com,2,0,0,55,18,6,com,2,1
sqhxrsensinaix.com,1,0,0,42,18,6,com,2,1
iahqrsensinaix.com,2,0,0,70,18,6,com,2,1
rdqvrsensinaix.com,1,0,0,42,18,6,com,2,1
fxnrrsensinaix.com,2,0,0,42,18,6,com,2,1
pvusrsensinaix.com,1,0,0,55,18,6,com,2,1
acmsrsensinaix.com,2,0,0,55,18,6,com,2,1
lbpursensinaix.com,1,0,0,55,18,6,com,2,1
ymfxrsensinaix.com,2,0,0,42,18,6,com,2,1
oylsrsensinaix.com,1,0,0,55,18,6,com,2,1
zhcnrsensinaix.com,2,0,0,42,18,6,com,2,1
ffzdrsensinaix.com,2,0,0,42,18,6,com,2,1
bxsersensinaix.com,2,0,0,55,18,6,com,2,1
yeicrsensinaix.com,2,0,0,70,18,6,com,2,1
tntursensinaix.com,2,0,0,55,18,6,com,2,1
gsrprsensinaix.com,2,0,0,42,18,6,com,2,1
okxirsensinaix.com,2,0,0,70,18,6,com,2,1
pvetrsensinaix.com,2,0,0,55,18,6,com,2,1
bdxfrsensinaix.com,2,0,0,42,18,6,com,2,1
zrowrsensinaix.com,1,0,0,55,18,6,com,2,1
oiukrsensinaix.com,1,0,0,89,18,6,com,2,1
rtdsrsensinaix.com,2,0,0,42,18,6,com,2,1
caxbrsensinaix.com,1,0,0,55,18,6,com,2,1
wilgrsensinaix.com,2,0,0,55,18,6,com,2,1
vxynrsensinaix.com,2,0,0,42,18,6,com,2,1
bhrxrsensinaix.com,1,0,0,42,18,6,com,2,1
rraarsensinaix.com,1,0,0,70,18,6,com,2,1
kecsrsensinaix.com,1,0,0,55,18,6,com,2,1
vppirsensinaix.com,1,0,0,55,18,6,com,2,1
wmdjrsensinaix.com,2,0,0,42,18,6,com,2,1
yitwrsensinaix.com,2,0,0,55,18,6,com,2,1
npyvrsensinaix.com,2,0,0,42,18,6,com,2,1
brrprsensinaix.com,2,0,0,42,18,6,com,2,1
jdswrsensinaix.com,2,0,0,42,18,6,com,2,1
yqigrsensinaix.com,2,0,0,55,18,6,com,2,1
xpxersensinaix.com,1,0,0,55,18,6,com,2,1
ukjjrsensinaix.com,1,0,0,55,18,6,com,2,1
wcxursensinaix.com,2,0,0,55,18,6,com,2,1
jzydrsensinaix.com,2,0,0,42,18,6,com,2,1
fpvzrsensinaix.com,2,0,0,42,18,6,com,2,1
xnkirsensinaix.com,1,0,0,55,18,6,com,2,1
ykaersensinaix.com,2,0,0,70,18,6,com,2,1
vbnersensinaix.com,2,0,0,55,18,6,com,2,1
sgxtrsensinaix.com,1,0,0,42,18,6,com,2,1
ectarsensinaix.com,2,0,0,70,18,6,com,2,1
xnihrsensinaix.com,1,0,0,55,18,6,com,2,1
xjxzrsensinaix.com,2,0,0,42,18,6,com,2,1
pteirsensinaix.com,2,0,0,70,18,6,com,2,1
qomursensinaix.com,1,0,0,70,18,6,com,2,1
drhersensinaix.com,1,0,0,55,18,6,com,2,1
auzjrsensinaix.com,2,0,0,70,18,6,com,2,1
cctqrsensinaix.com,2,0,0,42,18,6,com,2,1
lbwzrsensinaix.com,1,0,0,42,18,6,com,2,1
drrtrsensinaix.com,2,0,0,42,18,6,com,2,1
pjymrsensinaix.com,1,0,0,42,18,6,com,2,1
uykgrsensinaix.com,1,0,0,55,18,6,com,2,1
tbvorsensinaix.com,2,0,0,55,18,6,com,2,1
aonbrsensinaix.com,2,0,0,70,18,6,com,2,1
uizursensinaix.com,1,0,0,89,18,6,com,2,1
hjynrsensinaix.com,2,0,0,42,18,6,com,2,1
nrdtrsensinaix.com,1,0,0,42,18,6,com,2,1
ztusrsensinaix.com,2,0,0,55,18,6,com,2,1
kiwirsensinaix.com,2,0,0,70,18,6,com,2,1
lnzgrsensinaix.com,2,0,0,42,18,6,com,2,1
kwbprsensinaix.com,2,0,0,42,18,6,com,2,1
swlirsensinaix.com,2,0,0,55,18,6,com,2,1
txwnrsensinaix.com,2,0,0,42,18,6,com,2,1
zfnrrsensinaix.com,2,0,0,42,18,6,com,2,1
jfowrsensinaix.com,1,0,0,55,18,6,com,2,1
yuegrsensinaix.com,2,0,0,70,18,6,com,2,1
xxtirsensinaix.com,2,0,0,55,18,6,com,2,1
yejhrsensinaix.com,1,0,0,55,18,6,com,2,1
yszkrsensinaix.com,1,0,0,42,18,6,com,2,1
bxslrsensinaix.com,2,0,0,42,18,6,com,2,1
flpxrsensinaix.com,2,0,0,42,18,6,com,2,1
vdcorsensinaix.com,1,0,0,55,18,6,com,2,1
cuwqrsensinaix.com,2,0,0,55,18,6,com,2,1
llzmrsensinaix.com,1,0,0,42,18,6,com,2,1
qyhdrsensinaix.com,2,0,0,42,18,6,com,2,1
mulursensinaix.com,2,0,0,70,18,6,com,2,1
zzchrsensinaix.com,2,0,0,42,18,6,com,2,1
zjtvrsensinaix.com,1,0,0,42,18,6,com,2,1
nrywrsensinaix.com,1,0,0,42,18,6,com,2,1
cwswrsensinaix.com,2,0,0,42,18,6,com,2,1
rvbersensinaix.com,2,0,0,55,18,6,com,2,1
oqhnrsensinaix.com,2,0,0,55,18,6,com,2,1
umtersensinaix.com,2,0,0,70,18,6,com,2,1
rbctrsensinaix.com,1,0,0,42,18,6,com,2,1
drxtrsensinaix.com,2,0,0,42,18,6,com,2,1
pjesrsensinaix.com,2,0,0,55,18,6,com,2,1
aewersensinaix.com,2,0,0,89,18,6,com,2,1
xrlsrsensinaix.com,1,0,0,42,18,6,com,2,1
iclrrsensinaix.com,2,0,0,55,18,6,com,2,1
sivgrsensinaix.com,2,0,0,55,18,6,com,2,1
rteprsensinaix.com,2,0,0,55,18,6,com,2,1
zxvtrsensinaix.com,1,0,0,42,18,6,com,2,1
lryursensinaix.com,2,0,0,55,18,6,com,2,1
ysomrsensinaix.com,2,0,0,55,18,6,com,2,1
dzjgrsensinaix.com,1,0,0,42,18,6,com,2,1
cmdhrsensinaix.com,2,0,0,42,18,6,com,2,1
cmxcrsensinaix.com,2,0,0,42,18,6,com,2,1
xhmhrsensinaix.com,2,0,0,42,18,6,com,2,1
xxbrrsensinaix.com,2,0,0,42,18,6,com,2,1
hnaqrsensinaix.com,1,0,0,55,18,6,com,2,1
qcimrsensinaix.com,2,0,0,55,18,6,com,2,1
vlversensinaix.com,2,0,0,55,18,6,com,2,1
safvrsensinaix.com,1,0,0,55,18,6,com,2,1
gsdcrsensinaix.com,2,0,0,42,18,6,com,2,1
bxwhrsensinaix.com,2,0,0,42,18,6,com,2,1
bhpprsensinaix.com,2,0,0,42,18,6,com,2,1
jjqarsensinaix.com,1,0,0,55,18,6,com,2,1
cgkcrsensinaix.com,2,0,0,42,18,6,com,2,1
xvzirsensinaix.com,2,0,0,55,18,6,com,2,1
yapjrsensinaix.com,2,0,0,55,18,6,com,2,1
amhorsensinaix.com,2,0,0,70,18,6,com,2,1
hrgxrsensinaix.com,2,0,0,42,18,6,com,2,1
xrvvrsensinaix.com,1,0,0,42,18,6,com,2,1
lfykrsensinaix.com,1,0,0,42,18,6,com,2,1
okekrsensinaix.com,2,0,0,70,18,6,com,2,1
