domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
lfbovcaitdrjmkbe.ru,2,0,0,38,19,6,ru,5,1
ulnrpbudycxzdlkt.ru,2,0,0,20,19,6,ru,5,1
xqcwfwfphwoieuny.ru,2,0,0,38,19,6,ru,5,1
hyoflopkupjioiqq.ru,2,0,0,64,19,6,ru,5,1
keglxucgvwhqttmi.ru,2,0,0,29,19,6,ru,5,1
tlrnhskrgijhwtlj.ru,2,0,0,12,19,6,ru,5,1
vqhtwlshzzqsltcp.ru,2,0,0,6,19,6,ru,5,1
gytcnulxsxpsqkfn.ru,2,0,0,12,19,6,ru,5,1
iekiyvsbtyozmmwy.ru,2,0,0,38,19,6,ru,5,1
skwkybckmywhrhbb.ru,2,0,0,6,19,6,ru,5,1
upmqpwyndzwzmmwy.ru,2,0,0,12,19,6,ru,5,1
dernflilrdxmfnye.ru,2,0,0,29,19,6,ru,5,1
fjgtmicxtlxynlpf.ru,2,0,0,12,19,6,ru,5,1
ppsvcvrcgkllplyn.ru,2,0,0,6,19,6,ru,5,1
ruhctasjmpqbyvhm.ru,2,0,0,20,19,6,ru,5,1
bdvkpbuldslsapeb.ru,2,0,0,29,19,6,ru,5,1
eilqnjkoytyjuchn.ru,2,0,0,38,19,6,ru,5,1
npxsiiwpxqqiihmo.ru,2,0,0,50,19,6,ru,5,1
qtmyeslmsoxkjbku.ru,2,0,0,29,19,6,ru,5,1
adbjjkquyyhyqknf.ru,2,0,0,20,19,6,ru,5,1
ciqmhuwgvfsxdtrw.ru,2,0,0,20,19,6,ru,5,1
mocrafrewsdjztbj.ru,2,0,0,29,19,6,ru,5,1
otruvbidvikzhlop.ru,2,0,0,50,19,6,ru,5,1
yafzvancybuwmnno.ru,2,0,0,38,19,6,ru,5,1
bhujzorkulhkpwob.ru,2,0,0,38,19,6,ru,5,1
lohnrnnpvvtxedfl.ru,2,0,0,20,19,6,ru,5,1
ntvrnrdpyoadopbo.ru,2,0,0,38,19,6,ru,5,1
wakvnkyzkyietkdr.ru,2,0,0,29,19,6,ru,5,1
zfyafrjmmajqfvbh.ru,2,0,0,20,19,6,ru,5,1
jnlkttkruqsdjqlx.ru,2,0,0,12,19,6,ru,5,1
lsbppxhgckolsnap.ru,2,0,0,20,19,6,ru,5,1
vznrahwzgntmfcqk.ru,2,0,0,12,19,6,ru,5,1
xeeypppxswpquvrf.ru,2,0,0,29,19,6,ru,5,1
inqgvoeohpcsfxmn.ru,2,0,0,38,19,6,ru,5,1
ksgmckchdppqeicu.ru,2,0,0,29,19,6,ru,5,1
uyrorwlibbjeasoq.ru,2,0,0,64,19,6,ru,5,1
wejungvnykczyjam.ru,2,0,0,29,19,6,ru,5,1
gmvdnpqbblixlgxj.ru,2,0,0,12,19,6,ru,5,1
jrkjelzwleadyxsd.ru,2,0,0,29,19,6,ru,5,1
sywleisrsstsqoic.ru,2,0,0,38,19,6,ru,5,1
venrfhmthwpqlqge.ru,2,0,0,20,19,6,ru,5,1
fmacqvmqafqwmebl.ru,2,0,0,29,19,6,ru,5,1
hrpgglxvqwjesffr.ru,2,0,0,12,19,6,ru,5,1
rxbkqfydlnzopqrn.ru,2,0,0,12,19,6,ru,5,1
tdsorylshsxjeawf.ru,2,0,0,29,19,6,ru,5,1
elfxqghdubihhsgd.ru,2,0,0,29,19,6,ru,5,1
gqtcxunxhyujqjkf.ru,2,0,0,20,19,6,ru,5,1
qxggipnnfmnihkic.ru,2,0,0,29,19,6,ru,5,1
sdxkjaophbtufumx.ru,2,0,0,38,19,6,ru,5,1
clkujrjqvexvbmoi.ru,2,0,0,38,19,6,ru,5,1
fqyyxagzkrpvxtki.ru,2,0,0,20,19,6,ru,5,1
owldagkyzrkhqnjo.ru,2,0,0,29,19,6,ru,5,1
rccjvgsgffokiwze.ru,2,0,0,29,19,6,ru,5,1
blorcdyiipxcwyxv.ru,2,0,0,29,19,6,ru,5,1
dpewaddpoewiycnj.ru,2,0,0,50,19,6,ru,5,1
nwpykqeizraqthry.ru,2,0,0,29,19,6,ru,5,1
pchgijctfprxhnje.ru,2,0,0,20,19,6,ru,5,1
zisiiogqigzzqqeq.ru,2,0,0,64,19,6,ru,5,1
cpittmwbqtjrjpql.ru,2,0,0,12,19,6,ru,5,1
mvuvchtcxxibeubd.ru,2,0,0,38,19,6,ru,5,1
oblcasnhxbbocpfj.ru,2,0,0,29,19,6,ru,5,1
xixftoplsduqqorx.ru,2,0,0,38,19,6,ru,5,1
bpnqmxkpxxgbdnby.ru,2,0,0,6,19,6,ru,5,1
kvzstpqmeoxtcwko.ru,2,0,0,29,19,6,ru,5,1
nbqypqrjiqxlfvdj.ru,2,0,0,12,19,6,ru,5,1
whddmvrxufbkkoew.ru,2,0,0,29,19,6,ru,5,1
ymrhcvphevonympo.ru,2,0,0,29,19,6,ru,5,1
jveqgnmjxkocqifr.ru,2,0,0,29,19,6,ru,5,1
lavvckpordclbduy.ru,2,0,0,29,19,6,ru,5,1
vhhzcvbegxbjsxke.ru,2,0,0,20,19,6,ru,5,1
xmwettbvtbhvrjuo.ru,2,0,0,29,19,6,ru,5,1
iujniiokeyjbmerc.ru,2,0,0,80,19,6,ru,5,1
kzxrowftdocgyghs.ru,2,0,0,20,19,6,ru,5,1
gacdiuwnhonuulpe.ru,2,0,0,80,19,6,ru,5,1
ifrhgnqeeotnzrmz.ru,2,0,0,38,19,6,ru,5,1
rmdlgyreitjsjkfq.ru,2,0,0,20,19,6,ru,5,1
uqspvdwyltgcyhft.ru,2,0,0,12,19,6,ru,5,1
ezfydrexncoidbus.ru,2,0,0,50,19,6,ru,5,1
hfveiooumeyrpchg.ru,2,0,0,64,19,6,ru,5,1
qlihxnncwioxkdls.ru,2,0,0,29,19,6,ru,5,1
sqwlonyduvpowdgy.ru,2,0,0,29,19,6,ru,5,1
dyjvewshptsboygd.ru,2,0,0,20,19,6,ru,5,1
febcbuyswmishvpl.ru,2,0,0,29,19,6,ru,5,1
plmekaayiholtevt.ru,2,0,0,64,19,6,ru,5,1
rpckbgrziwbdrmhr.ru,2,0,0,12,19,6,ru,5,1
cyosongjihugkjbg.ru,2,0,0,38,19,6,ru,5,1
eefysywrvkgxuqdf.ru,2,0,0,29,19,6,ru,5,1
nkrbvqxzfwicmhwb.ru,2,0,0,12,19,6,ru,5,1
qphhsudsmeftdaht.ru,2,0,0,29,19,6,ru,5,1
axtopsbtntqnfdyk.ru,2,0,0,20,19,6,ru,5,1
ddkudnuklgiwtdyw.ru,2,0,0,29,19,6,ru,5,1
mkwwclogcvgeekws.ru,2,0,0,29,19,6,ru,5,1
opldkflyvlkywuec.ru,2,0,0,29,19,6,ru,5,1
yvxfekhokspfuwqr.ru,2,0,0,29,19,6,ru,5,1
bdprvpxdejpohqpt.ru,2,0,0,20,19,6,ru,5,1
ljbvfrsvcevyfhor.ru,2,0,0,20,19,6,ru,5,1
noqzuukouyfuyrmd.ru,2,0,0,64,19,6,ru,5,1
xvcewyydwsmdgaju.ru,2,0,0,29,19,6,ru,5,1
zatiscwwtipqlycd.ru,2,0,0,29,19,6,ru,5,1
jjgshrjdcynohyuk.ru,2,0,0,20,19,6,ru,5,1
mouwwvcwwlilnxub.ru,2,0,0,38,19,6,ru,5,1
vuhaojpwxgsxuitu.ru,2,0,0,64,19,6,ru,5,1
yayfefhrwawquwcw.ru,2,0,0,38,19,6,ru,5,1
iiloishkjwvqldlq.ru,2,0,0,38,19,6,ru,5,1
knauycqgsdhgbwjo.ru,2,0,0,29,19,6,ru,5,1
uumwyzhctrwdsrdp.ru,2,0,0,20,19,6,ru,5,1
wzbdwenwshfzglwt.ru,2,0,0,12,19,6,ru,5,1
hiplksflttfkpsxn.ru,2,0,0,12,19,6,ru,5,1
jnfrqmekhoevppvw.ru,2,0,0,29,19,6,ru,5,1
ttqtkmthptxvwiku.ru,2,0,0,20,19,6,ru,5,1
vygzhvfiuommkqfj.ru,2,0,0,29,19,6,ru,5,1
fhuidtlqttqxgjvn.ru,2,0,0,20,19,6,ru,5,1
imjosxuhbcdonrco.ru,2,0,0,50,19,6,ru,5,1
rtvqcdpbqxgwnrcn.ru,2,0,0,6,19,6,ru,5,1
tykvyflnjhbnqpnr.ru,2,0,0,6,19,6,ru,5,1
ehyewyqydfpidbdp.ru,2,0,0,29,19,6,ru,5,1
gmokuosvnbkshdtd.ru,2,0,0,29,19,6,ru,5,1
qsbourrdxgxgwepy.ru,2,0,0,29,19,6,ru,5,1
sxpskxdgoczvcjgp.ru,2,0,0,12,19,6,ru,5,1
dhedppigtpbwrmpc.ru,2,0,0,20,19,6,ru,5,1
flthmyjeuhdygshf.ru,2,0,0,20,19,6,ru,5,1
osflhkaowydftniw.ru,2,0,0,38,19,6,ru,5,1
rxupwhkznihnxzqx.ru,2,0,0,20,19,6,ru,5,1
bgjzhlasdrwwnenj.ru,2,0,0,20,19,6,ru,5,1
elxegvkalqvkyoxc.ru,2,0,0,38,19,6,ru,5,1
nrkhysgoltauclop.ru,2,0,0,38,19,6,ru,5,1
pwyloytoagndnrex.ru,2,0,0,38,19,6,ru,5,1
zenquqdskekaudbe.ru,2,0,0,64,19,6,ru,5,1
cldcrgtnuwvgnbfd.ru,2,0,0,12,19,6,ru,5,1
mroeqjdaukskbgua.ru,2,0,0,64,19,6,ru,5,1
owekhoeuhmdiehrw.ru,2,0,0,80,19,6,ru,5,1
ydrngsmrdiiyvoiy.ru,2,0,0,38,19,6,ru,5,1
bkhyiqitpoxewhmt.ru,2,0,0,38,19,6,ru,5,1
krtbityuhlewigfe.ru,2,0,0,50,19,6,ru,5,1
nvjgyermzsmynaeq.ru,2,0,0,29,19,6,ru,5,1
jwkpdxqbemsmclal.ru,2,0,0,20,19,6,ru,5,1
lccwpflcdjrdfjib.ru,2,0,0,12,19,6,ru,5,1
uinyjmxfqinkxbda.ru,2,0,0,38,19,6,ru,5,1
xndfbivuonkxfxrq.ru,2,0,0,29,19,6,ru,5,1
hvpmffxpfnlquqxo.ru,2,0,0,20,19,6,ru,5,1
kbgsbqjugdqrgtdw.ru,2,0,0,12,19,6,ru,5,1
tisubmfvqrgnloxr.ru,2,0,0,29,19,6,ru,5,1
vmibswhnpqhqwyih.ru,2,0,0,20,19,6,ru,5,1
gvujhzvjxwptrtdg.ru,2,0,0,12,19,6,ru,5,1
iblpdiqdmmsbnuxb.ru,2,0,0,29,19,6,ru,5,1
shxrsvasoncjnxpn.ru,2,0,0,20,19,6,ru,5,1
ummxjwieppswcnrg.ru,2,0,0,29,19,6,ru,5,1
fuyfrockpfclxccd.ru,2,0,0,20,19,6,ru,5,1
haqmuqqukywrcxfa.ru,2,0,0,38,19,6,ru,5,1
qhcplcuugevvyham.ru,2,0,0,38,19,6,ru,5,1
tmrtbcienxrbnsjc.ru,2,0,0,20,19,6,ru,5,1
dueebwwdllfburag.ru,2,0,0,50,19,6,ru,5,1
fzsirujgdbvabrjm.ru,2,0,0,29,19,6,ru,5,1
pghnrmkoeoetfwsm.ru,2,0,0,38,19,6,ru,5,1
rlvqmipovrqbmvqd.ru,2,0,0,20,19,6,ru,5,1
ctjbmgjudwisgshv.ru,2,0,0,20,19,6,ru,5,1
eyxejlabqaytqmjx.ru,2,0,0,38,19,6,ru,5,1
ogmjjmqdhlbyabzg.ru,2,0,0,20,19,6,ru,5,1
qlbpfyrupyadvjsl.ru,2,0,0,20,19,6,ru,5,1
atnwerhvttvbivra.ru,2,0,0,38,19,6,ru,5,1
dydderasilekaegh.ru,2,0,0,64,19,6,ru,5,1
mfqfrnqllqcrayiw.ru,2,0,0,20,19,6,ru,5,1
pkglwwwmjxokzzfq.ru,2,0,0,12,19,6,ru,5,1
yrrnrgliojezjctg.ru,2,0,0,29,19,6,ru,5,1
bxhzugppnulxghvm.ru,2,0,0,20,19,6,ru,5,1
lfvcngdbzjrzgyby.ru,2,0,0,6,19,6,ru,5,1
nkkijjyioljbfysn.ru,2,0,0,29,19,6,ru,5,1
xqwkdyjydkggsppd.ru,2,0,0,6,19,6,ru,5,1
axmvnmubgwlmqfrp.ru,2,0,0,20,19,6,ru,5,1
keabgwmpzqhpmlng.ru,2,0,0,20,19,6,ru,5,1
mjpflkwqskuqbjnk.ru,2,0,0,12,19,6,ru,5,1
vqcicnuhtwhxmtjd.ru,2,0,0,20,19,6,ru,5,1
yvqnltydqtpresfu.ru,2,0,0,20,19,6,ru,5,1
iefwvulgninlkoxe.ru,2,0,0,64,19,6,ru,5,1
ljubdldgqwbarplc.ru,2,0,0,20,19,6,ru,5,1
upgghggmbusopaxv.ru,2,0,0,38,19,6,ru,5,1
wuvjdexaqtmqkvgk.ru,2,0,0,29,19,6,ru,5,1
hektxucstnbuncix.ru,2,0,0,38,19,6,ru,5,1
jiyxdlvawkranmin.ru,2,0,0,38,19,6,ru,5,1
tplczomvebjmhsgk.ru,2,0,0,20,19,6,ru,5,1
vuaivypissryzhij.ru,2,0,0,50,19,6,ru,5,1
gdoqznfilmtulxxv.ru,2,0,0,29,19,6,ru,5,1
iiewprjomieydnix.ru,2,0,0,80,19,6,ru,5,1
ropypfmcqjjfdiel.ru,2,0,0,29,19,6,ru,5,1
