domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
quowesuqbbb.mooo.com,2,0,0,80,20,11,com,1
hmhxnupkc.mooo.com,2,1,0,45,18,12,com,1
adrcgmzrm.dyndns.org,2,0,0,12,20,11,org,1
rffcteo.dyndns.org,2,0,0,23,18,12,org,1
bpdyttrlp.yi.org,2,1,0,17,16,14,org,1
bdubefoeug.yi.org,2,1,0,88,17,13,org,1
dljemwae.dynserv.com,2,1,0,38,20,11,com,1
hovdworcxd.dynserv.com,2,1,0,25,22,10,com,1
dcdkfq.mooo.com,2,0,0,44,15,15,com,1
melzskebund.mooo.com,0,0,0,64,20,11,com,1
lfiavsbyntu.dyndns.org,2,0,0,25,22,10,org,1
gyuzohut.dyndns.org,2,0,0,31,19,12,org,1
zvfctvkdng.yi.org,2,0,0,15,17,13,org,1
waxmtzkqblh.yi.org,2,0,0,23,18,12,org,1
uaqjtycx.dynserv.com,2,1,0,29,20,11,com,1
hshfmrobfjr.dynserv.com,2,1,0,17,23,10,com,1
csukibyyt.mooo.com,2,0,0,60,18,12,com,1
prifhjstv.mooo.com,2,0,0,45,18,12,com,1
iskqszufrft.dyndns.org,2,0,0,18,22,10,org,1
ghcxncadnj.dyndns.org,2,0,0,12,21,11,org,1
hzmwxlmu.yi.org,2,1,0,30,15,15,org,1
vygmudq.yi.org,2,0,0,33,14,17,org,1
dgopcferx.dynserv.com,0,1,0,27,21,11,com,1
cditpjxmgdy.dynserv.com,2,1,0,17,23,10,com,1
cmviueadnal.mooo.com,2,0,0,100,20,11,com,1
ruxujk.mooo.com,2,0,0,86,15,15,com,1
mszbnhwzhvv.dyndns.org,2,0,0,5,22,10,org,1
bdzxcl.dyndns.org,2,0,0,7,17,13,org,1
zxkcat.yi.org,2,0,0,38,13,18,org,1
jjtvmoptq.yi.org,2,1,0,27,16,14,org,1
ddrqyggw.dynserv.com,2,1,0,12,20,11,com,1
tjgpkyvtob.dynserv.com,2,1,0,18,22,10,com,1
sfsocnwdnw.mooo.com,2,0,0,42,19,12,com,1
agdwgsptbxo.mooo.com,2,0,0,50,20,11,com,1
vsdzee.dyndns.org,2,0,0,25,17,13,org,1
hjviglrwd.dyndns.org,2,0,0,12,20,11,org,1
klofmvcx.yi.org,2,1,0,30,15,15,org,1
laebdbptt.yi.org,2,0,0,40,16,14,org,1
eihasibowm.dynserv.com,2,1,0,54,22,10,com,1
ezfllrfh.dynserv.com,2,1,0,20,20,11,com,1
ykrzcragnnu.mooo.com,2,0,0,50,20,11,com,1
cfbcpqzz.mooo.com,2,0,0,36,17,13,com,1
nmuzqnexl.dyndns.org,2,0,0,20,20,11,org,1
ndgmklb.dyndns.org,2,0,0,7,18,12,org,1
udtwirqzhdm.yi.org,2,1,0,33,18,12,org,1
tljzib.yi.org,2,0,0,38,13,18,org,1
vtdddxys.dynserv.com,2,1,0,12,20,11,com,1
nlbwpnqbqf.dynserv.com,0,1,0,11,22,10,com,1
tjetqly.mooo.com,2,0,0,56,16,14,com,1
lykdsevm.mooo.com,0,0,0,50,17,13,com,1
novbsmekge.dyndns.org,2,0,0,27,21,11,org,1
jgmpwk.dyndns.org,2,0,0,7,17,13,org,1
itifvo.yi.org,2,1,0,83,13,18,org,1
ktggxfhmkfk.yi.org,2,0,0,14,18,12,org,1
rcruohsseib.dynserv.com,2,1,0,40,23,10,com,1
lzvuyqoiom.dynserv.com,2,1,0,43,22,10,com,1
smgojbhuyw.mooo.com,2,0,0,55,19,12,com,1
nvxptqurlqu.mooo.com,2,0,0,50,20,11,com,1
ebbnzqx.dyndns.org,2,0,0,14,18,12,org,1
pwrbxafiyhf.dyndns.org,2,0,0,18,22,10,org,1
pcajqcaof.yi.org,2,1,0,56,16,14,org,1
rmeuuyino.yi.org,2,0,0,100,16,14,org,1
cbcmbxvbsrh.dynserv.com,2,1,0,11,23,10,com,1
qqoxxop.dynserv.com,2,1,0,31,19,12,com,1
qtvgownc.mooo.com,0,0,0,50,17,13,com,1
pnpcbmfvhui.mooo.com,2,0,0,50,20,11,com,1
szbagncpev.dyndns.org,2,0,0,19,21,11,org,1
mvkhwpcnog.dyndns.org,2,0,0,12,21,11,org,1
dvbutsrzrgw.yi.org,2,0,0,23,18,12,org,1
wmvrlpvpqxu.yi.org,2,1,0,23,18,12,org,1
cqdzsbdy.dynserv.com,2,1,0,12,20,11,com,1
dgbxzfg.dynserv.com,2,1,0,13,19,12,com,1
znkhrtojwx.mooo.com,2,0,0,42,19,12,com,1
ebdqxgnm.mooo.com,2,0,0,50,17,13,com,1
srusvher.dyndns.org,2,0,0,21,19,12,org,1
crryccuaojo.dyndns.org,0,0,0,33,22,10,org,1
iqwifsunu.yi.org,2,1,0,75,16,14,org,1
dijmji.yi.org,2,1,0,57,13,18,org,1
vcpcnqi.dynserv.com,2,1,0,21,19,12,com,1
pxihdssdnvb.dynserv.com,2,1,0,17,23,10,com,1
kbblmkbe.mooo.com,2,0,0,50,17,13,com,1
