domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
abde911dcc16.com,2,1,31,43,16,10,com,7,1
ab6d54340c1a.com,2,1,44,60,16,12,com,7,1
aba9a949bc1d.com,2,1,31,67,16,10,com,7,1
ab2da3d400c20.com,2,1,41,50,17,11,com,7,1
ab3520430c23.com,2,1,56,50,16,17,com,7,1
ab1c403220c27.com,2,1,53,40,17,14,com,7,1
ab1abad1d0c2a.com,2,1,24,71,17,8,com,7,1
ab8cee60c2d.com,2,1,27,67,15,10,com,7,1
ab1145b758c30.com,2,1,53,40,17,14,com,7,1
ab890e964c34.com,2,1,50,75,16,14,com,7,1
ab3d685a0c37.com,2,1,44,60,16,12,com,7,1
ab70a139cc3a.com,2,1,38,80,16,11,com,7,1
