domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
jodz80j1o9aedny5.com,0,0,25,56,20,7,com,8,1
h9b0h27b8q5inw4l.com,0,0,35,20,20,8,com,8,1
5scbpm07acqluafi.info,0,0,14,55,21,6,info,8,1
r2zvhe2wxw4lo5gw.org,0,0,20,25,20,7,org,8,1
9nagnqmwthcncrc6.org,0,0,10,13,20,6,org,8,1
3nr35gwyfuhk5b7r.ru,0,0,26,18,19,8,ru,8,1
7oirgej2x9lk5dgy.info,0,0,19,45,21,6,info,8,1
71zldm6z5q7n8qkv.net,0,0,30,8,20,8,net,8,1
jqiyo2zwef025y03.biz,0,0,30,44,20,8,biz,8,1
nwcj24hkgzkgpyqv.info,0,0,10,12,21,6,info,8,1
ysfpkzs7u8qw95v7.com,0,0,25,17,20,7,com,8,1
x8brrtpusyepl02f.org,0,0,15,23,20,6,org,8,1
t6ypbekhqwenc6ip.net,0,0,10,31,20,6,net,8,1
mu3vxgizdyjbfokb.ru,0,0,5,31,19,6,ru,8,1
5qij5gy8xbp7a1dj.ru,0,0,26,30,19,8,ru,8,1
8tcb0ga8zyrxh1t7.ru,0,0,26,18,19,8,ru,8,1
xenthxi271biyais.biz,0,0,15,60,20,6,biz,8,1
rfwhvhzlzfnkbcqu.ru,0,0,0,12,19,6,ru,8,1
ohk5mtnbp2b44xky.info,0,0,19,23,21,6,info,8,1
hdbnsbchejmc982c.org,0,0,15,14,20,6,org,8,1
urk5a4o1r9m9fi8z.cn,0,0,32,50,19,8,cn,8,1
cdjkfxp0dnohdhvc.cn,0,0,5,6,19,6,cn,8,1
o8zvavlcq9dkh3ub.org,0,0,15,33,20,6,org,8,1
i6aavusa9swofnoc.cn,0,0,11,78,19,6,cn,8,1
blymwded7zbr1u2v.biz,0,0,15,23,20,6,biz,8,1
cutotly5u57g7bsx.org,0,0,20,36,20,7,org,8,1
vljrybmhr48vmrta.cn,0,0,11,7,19,6,cn,8,1
3cxw76x871bd9hr4.com,0,0,40,10,20,9,com,8,1
ih62477d5w3dl11m.info,0,0,43,38,21,9,info,8,1
kamw0a8z4kxaogsb.info,0,0,14,55,21,6,info,8,1
us4cchonol86kiwc.ru,0,0,16,50,19,7,ru,8,1
mdi47m87yiamgq01.biz,0,0,30,44,20,8,biz,8,1
7mkvtgrfc0fqjd45.com,0,0,20,7,20,7,com,8,1
ylihgexmmpwuhbo6.net,0,0,5,38,20,6,net,8,1
rgiyn2xqzci12icw.cn,0,0,16,25,19,7,cn,8,1
eonoujcpzw1tb5k5.info,0,0,14,55,21,6,info,8,1
6hsrq4faada3zwk4.ru,0,0,21,40,19,7,ru,8,1
xj02475uavnvl20v.ru,0,0,37,38,19,9,ru,8,1
9cterujwsew9fjh4.biz,0,0,15,33,20,6,biz,8,1
b9zmkrd5wjim9r1z.net,0,0,20,15,20,7,net,8,1
7wtowled5dfdn98t.net,0,0,20,25,20,7,net,8,1
gcsnh6h1rsq6ez71.com,0,0,25,17,20,7,com,8,1
fhjiqf1vwrkr62jc.biz,0,0,15,14,20,6,biz,8,1
nizup77ublpfwcaa.com,0,0,10,55,20,6,com,8,1
uwagoa1jbu2rhbvd.info,0,0,10,64,21,6,info,8,1
fjttpfc5tv4mtcr6.biz,0,0,15,7,20,6,biz,8,1
p1gs46i686hjwkoj.biz,0,0,30,30,20,8,biz,8,1
nsjd23vs5c90veal.info,0,0,24,36,21,7,info,8,1
1x22tx568p39ms56.cn,0,0,53,0,19,12,cn,8,1
e925grovnqt8h3xk.cn,0,0,26,18,19,8,cn,8,1
zdzbwdrozijwpv10.info,0,0,10,29,21,6,info,8,1
l0hnmuai80dt8sio.cn,0,0,21,56,19,7,cn,8,1
oev44d8zevv0lwj1.biz,0,0,25,40,20,7,biz,8,1
vfi095mzfjh2fw5o.ru,0,0,26,30,19,8,ru,8,1
ff5ibv11bt6riz1i.cn,0,0,26,30,19,8,cn,8,1
hvx8e4vx6uiq8qtf.ru,0,0,21,40,19,7,ru,8,1
ochlofm73cgxuinv.cn,0,0,11,33,19,6,cn,8,1
a3qivsv9mkwq6cjc.biz,0,0,15,23,20,6,biz,8,1
6j0avd2zhsvlj73t.biz,0,0,25,17,20,7,biz,8,1
udevxty4v2mrlxbd.cn,0,0,11,14,19,6,cn,8,1
ewz6dqb60krqdehl.net,0,0,15,23,20,6,net,8,1
qj4s0a4v8e8hut2h.biz,0,0,30,44,20,8,biz,8,1
q8v3ggkvgc8w8huh.net,0,0,20,15,20,7,net,8,1
ibntto8vgho7ez8j.cn,0,0,16,36,19,7,cn,8,1
t5eb5xdzegjurtka.com,0,0,10,42,20,6,com,8,1
kt0i0s58kucx4o0x.net,0,0,30,44,20,8,net,8,1
e98b1fraw4ondk76.ru,0,0,32,50,19,8,ru,8,1
6prbfdu4b3okuv30.biz,0,0,25,40,20,7,biz,8,1
eamcl9as3d1fq8ij.net,0,0,20,50,20,7,net,8,1
ns23ubw0hlk9kfkz.ru,0,0,21,17,19,7,ru,8,1
uro998avy6118wqt.org,0,0,35,50,20,8,org,8,1
itbynhsug9dyij69.net,0,0,15,33,20,6,net,8,1
wtenb2mfp2bxbkre.org,0,0,10,21,20,6,org,8,1
h777apsgch2uws3i.org,0,0,25,40,20,7,org,8,1
zy3od26et8r23aqo.biz,0,0,30,62,20,8,biz,8,1
8nvc9fp7oif12i6r.info,0,0,29,56,21,7,info,8,1
atj22jq7xu18xv7y.info,0,0,29,40,21,7,info,8,1
7ogcfrv1b919vodo.com,0,0,25,40,20,7,com,8,1
2t9kizpp3cix1weo.biz,0,0,20,50,20,7,biz,8,1
di8sphhqtcn2c44r.org,0,0,20,15,20,7,org,8,1
3adrk291hex419bp.cn,0,0,37,22,19,9,cn,8,1
de3j3xec3nz1vntl.ru,0,0,21,27,19,7,ru,8,1
z9ob92my4j6vf0dn.info,0,0,29,27,21,7,info,8,1
d7wnarqrs6le3c38.biz,0,0,25,27,20,7,biz,8,1
6dbo6xhqhqs4mdgt.org,0,0,15,14,20,6,org,8,1
o3u3y5en66zvplf4.info,0,0,29,56,21,7,info,8,1
fic8gcple79w650y.org,0,0,30,30,20,8,org,8,1
pz7s1c5waeuxxcf6.cn,0,0,21,27,19,7,cn,8,1
m8uir7k63rw3d046.net,0,0,40,38,20,9,net,8,1
3ucmjh3y0shjupdi.org,0,0,15,33,20,6,org,8,1
0gnsk2dapuz3501k.biz,0,0,30,30,20,8,biz,8,1
j8ctt81g9hcl55m6.ru,0,0,37,10,19,9,ru,8,1
zkfg02wcgkdyktre.com,0,0,10,13,20,6,com,8,1
4qtu6ra6qtm7sbjf.cn,0,0,21,17,19,7,cn,8,1
2ano3errfnqzrxrx.com,0,0,10,31,20,6,com,8,1
3kem1m6kptgg99sn.ru,0,0,26,18,19,8,ru,8,1
b1c5hjapg5u02kec.org,0,0,25,40,20,7,org,8,1
e9h0agmx73sxi95h.com,0,0,30,44,20,8,com,8,1
9he6n3dbz09a2hee.biz,0,0,30,62,20,8,biz,8,1
u03kb517uessnlai.info,0,0,24,88,21,7,info,8,1
w511c6608kfit3ig.ru,0,0,42,43,19,10,ru,8,1
ak80oakufbo1bwho.cn,0,0,16,67,19,7,cn,8,1
eql46e7tq735uxdv.ru,0,0,32,50,19,8,ru,8,1
xcxv6d7izzakye6s.cn,0,0,16,25,19,7,cn,8,1
xl47g989gsru8qtx.biz,0,0,30,18,20,8,biz,8,1
kepii3a8svcc1gqe.org,0,0,15,60,20,6,org,8,1
d07hjw1ardc4kx60.net,0,0,30,18,20,8,net,8,1
t8uws4xn442o19c2.biz,0,0,40,38,20,9,biz,8,1
3imqa2nhqqimfjmd.biz,0,0,10,31,20,6,biz,8,1
zckdpwf2r5bbinui.org,0,0,10,31,20,6,org,8,1
iq5idwo8fjtmm5p8.com,0,0,20,36,20,7,com,8,1
minv7aafw72jczd8.net,0,0,20,36,20,7,net,8,1
otla87redgsmbojp.com,0,0,10,42,20,6,com,8,1
yvhz5fas3t1pl767.info,0,0,29,27,21,7,info,8,1
ehujol4gc3o58vkl.org,0,0,20,50,20,7,org,8,1
rlyh2314bfkx384c.info,0,0,33,18,21,8,info,8,1
