domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
4af374e8dfe6b611.net,2,0,45,67,20,10,net,1
2bff2694930d2e21.cn,1,0,58,17,19,14,cn,1
ade34ea82c4f7f2f.net,2,0,35,71,20,8,net,1
ba33f9b4c64ca376.cn,1,0,47,29,19,11,cn,1
85b1806cb218cbfb.net,2,0,45,11,20,10,net,1
f661e398d876c6f7.cn,1,0,58,17,19,14,cn,1
79ecbf1c3a6c76b8.net,2,0,40,38,20,9,net,1
84e4fca29d18a44d.cn,1,0,47,50,19,11,cn,1
026ac50bb7a03a66.net,2,0,50,80,20,11,net,1
311a05d34cf1468f.cn,1,0,58,17,19,14,cn,1
f93da982ea703678.net,1,0,55,100,20,12,net,1
153ab420f93bf8c2.cn,1,0,53,14,19,12,cn,1
d310db5d2e949b28.net,1,0,50,29,20,11,net,1
96b0b989c67fd14c.cn,1,0,53,0,19,12,cn,1
d2956aec2e90d14e.net,1,0,45,100,20,10,net,1
41dc212617651a05.cn,1,0,68,25,19,20,cn,1
88ba41ba94a1a859.net,1,0,50,125,20,11,net,1
3826c1d994597be0.cn,1,0,63,20,19,17,cn,1
a5e2196d243ebece.net,1,0,40,120,20,9,net,1
757237e797d57eb0.cn,1,0,63,50,19,17,cn,1
1f166bc3f93eecf2.net,1,0,40,38,20,9,net,1
d747cc5c4b455ee8.cn,1,0,47,29,19,11,cn,1
0159374d0de50d47.net,1,0,60,40,20,14,net,1
1f0b93e16131a50d.cn,1,0,58,40,19,14,cn,1
07534836a7ab89f5.net,1,0,60,75,20,14,net,1
1da614ab95152ba7.cn,1,0,53,60,19,12,cn,1
5fe4d8e44b5a8cf0.net,1,0,40,57,20,9,net,1
f6b9d6e90dab0c30.cn,1,0,42,25,19,10,cn,1
01305b0d9870382f.net,1,0,65,20,20,17,net,1
07ab5b10aa261f7f.cn,1,0,47,50,19,11,cn,1
5883b710a49052ea.net,1,0,60,133,20,14,net,1
045f8b0d421f5313.cn,1,0,63,0,19,17,cn,1
56e3c914893f3b74.net,1,0,60,40,20,14,net,1
060518eb1a2038b0.cn,1,0,63,50,19,17,cn,1
4a69103988755e28.net,1,0,70,150,20,20,net,1
3e53d3f0409f42f9.cn,1,0,58,17,19,14,cn,1
1f9325e22a6f5741.net,1,0,60,75,20,14,net,1
1dae6d9aaa2e2c90.cn,1,0,37,120,19,9,cn,1
71941a12d5f8f2bb.net,1,0,50,29,20,11,net,1
4f2e40c0eda62190.cn,1,0,53,60,19,12,cn,1
cc11a6fec9b8d9e6.net,1,0,35,50,20,8,net,1
f0d5fe497e4cab8f.cn,1,0,37,38,19,9,cn,1
0937202cfefc2887.net,1,0,55,33,20,12,net,1
7a3d162dcddb6204.cn,1,0,47,12,19,11,cn,1
96728c5a7963739f.net,1,0,65,50,20,17,net,1
d393c0d2d3ae90d3.cn,1,0,47,29,19,11,cn,1
9a6912e0471cf26d.net,1,0,55,60,20,12,net,1
addbc8a0b2dc128d.cn,1,0,32,20,19,8,cn,1
2e8945705c24f1e5.net,1,0,60,75,20,14,net,1
7f7dd42d1c29ef8d.cn,1,0,42,11,19,10,cn,1
b32f92b15de9f0bb.net,1,0,40,22,20,9,net,1
0edc8a27c2433383.cn,1,0,58,40,19,14,cn,1
646523d38b0983cf.net,1,0,60,17,20,14,net,1
2c2c5e5be6fba0d5.cn,1,0,37,38,19,9,cn,1
077fb3b8dd4da531.net,1,0,45,25,20,10,net,1
0c26d2c2049a8e73.cn,1,0,58,40,19,14,cn,1
5b929d1036fa444a.net,1,0,55,60,20,12,net,1
0640187a1038dce5.cn,1,0,63,50,19,17,cn,1
991610050eba82b7.net,1,0,60,75,20,14,net,1
3eabb365ef009bef.cn,1,0,37,57,19,9,cn,1
dd0ddbb4209127e4.net,1,0,45,25,20,10,net,1
e89a2246c3ccf265.cn,1,0,53,33,19,12,cn,1
63b598873773e049.net,1,0,70,67,20,20,net,1
40bca8e8ec42c01d.cn,1,0,42,43,19,10,cn,1
f386ecf3e63ee914.net,1,0,45,100,20,10,net,1
b4198d3d9e92be53.cn,1,0,53,33,19,12,cn,1
454895af30fd8f2a.net,1,0,50,50,20,11,net,1
66ce6480dab4e3dd.cn,1,0,42,43,19,10,cn,1
92f099df7257104e.net,1,0,60,40,20,14,net,1
32cd60f06b38fba6.cn,1,0,47,12,19,11,cn,1
2e99f2024b6cbbb9.net,1,0,45,25,20,10,net,1
28ce9d866867bbd1.cn,1,0,53,14,19,12,cn,1
2265741706dc02bf.net,1,0,60,17,20,14,net,1
1eb8951a9949b70f.cn,1,0,58,40,19,14,cn,1
51f37b25fc5423eb.net,1,0,50,29,20,11,net,1
c299f767b55ea94d.cn,1,0,53,33,19,12,cn,1
