domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
kbvviqzate.biz,0,0,0,44,14,8,biz,10,1
vdsqf.biz,0,0,0,14,9,12,biz,10,1
uledquygnm.org,0,0,0,44,14,8,org,10,1
luwai.biz,0,0,0,100,9,12,biz,10,1
usjihaxwdma.com,0,0,0,56,15,7,com,10,1
wqwfhhug.org,0,0,0,22,12,9,org,10,1
zpzgoov.biz,0,0,0,43,11,10,biz,10,1
ieotuhrh.com,0,0,0,83,12,9,com,10,1
lhivvuprfbc.com,0,0,0,27,15,7,com,10,1
ntxlaxotdy.biz,0,0,0,30,14,8,biz,10,1
izqcqvh.info,0,0,0,38,12,9,info,10,1
napbpi.info,0,0,0,67,11,10,info,10,1
vsvwvqzlhxk.org,0,0,0,8,15,7,org,10,1
ppplxnffli.biz,0,0,0,18,14,8,biz,10,1
pbvhvigg.biz,0,0,0,22,12,9,biz,10,1
ggfzqkz.info,0,0,0,22,12,9,info,10,1
cxdlro.biz,0,0,0,29,10,11,biz,10,1
bolmgwyi.com,0,0,0,38,12,9,com,10,1
zhtrh.net,0,0,0,14,9,12,net,10,1
faobbyocuw.info,0,0,0,75,15,7,info,10,1
nfmdreok.info,0,0,0,50,13,8,info,10,1
qzazmaeh.net,0,0,0,57,12,9,net,10,1
uifke.net,0,0,0,100,9,12,net,10,1
liqmrbzq.info,0,0,0,33,13,8,info,10,1
uzprwdnlats.com,0,0,0,27,15,7,com,10,1
jmwvyzwl.com,0,0,0,10,12,9,com,10,1
vlnqfhpbdnc.net,0,0,0,8,15,7,net,10,1
pmohmft.org,0,0,0,25,11,10,org,10,1
mkywnkro.com,0,0,0,22,12,9,com,10,1
dqgeskyaeoz.info,0,0,0,67,16,7,info,10,1
uinsyhaju.biz,0,0,0,71,13,8,biz,10,1
thmtwcmmk.org,0,0,0,9,13,8,org,10,1
mgwitgbvaq.info,0,0,0,40,15,7,info,10,1
vumolqug.info,0,0,0,71,13,8,info,10,1
ppswzacv.info,0,0,0,33,13,8,info,10,1
iflvtxd.net,0,0,0,25,11,10,net,10,1
xzhlbrxwgxj.org,0,0,0,8,15,7,org,10,1
asxcmbgjee.info,0,0,0,56,15,7,info,10,1
hyoargdx.info,0,0,0,50,13,8,info,10,1
jyinvw.biz,0,0,0,29,10,11,biz,10,1
kdedlqxu.com,0,0,0,38,12,9,com,10,1
bnndiuda.info,0,0,0,71,13,8,info,10,1
wwafc.org,2,1,0,33,9,12,org,10,1
tbxnfyi.net,0,0,0,25,11,10,net,10,1
nldeumqa.biz,0,0,0,57,12,9,biz,10,1
tpvoqknjvp.biz,0,0,0,18,14,8,biz,10,1
sfsey.com,0,0,0,33,9,12,com,10,1
gotplwkctp.org,0,0,0,18,14,8,org,10,1
agpsrzl.org,0,0,0,25,11,10,org,10,1
pglxkpqys.info,0,0,0,18,14,8,info,10,1
oomrwwcl.info,0,0,0,50,13,8,info,10,1
ojvopdecap.biz,0,0,0,62,14,8,biz,10,1
zrckqike.biz,0,0,0,38,12,9,biz,10,1
mafpjtvy.info,0,0,0,33,13,8,info,10,1
jdcrsadgr.info,0,0,0,30,14,8,info,10,1
iuhgmmjnpu.info,0,0,0,56,15,7,info,10,1
xwewdcv.biz,0,0,0,25,11,10,biz,10,1
ylnmktsdu.info,0,0,0,30,14,8,info,10,1
mhynl.org,0,0,0,14,9,12,org,10,1
slztukuggi.com,0,0,0,44,14,8,com,10,1
ovcufsqxkn.org,0,0,0,30,14,8,org,10,1
dqewmouble.org,0,0,0,62,14,8,org,10,1
pmujcpfy.com,0,0,0,22,12,9,com,10,1
aotry.com,0,0,0,60,9,12,com,10,1
qortoiz.com,0,0,0,67,11,10,com,10,1
msivvcmwp.net,0,0,0,20,13,8,net,10,1
fgcsrtjihsh.biz,0,0,0,17,15,7,biz,10,1
zskjkzascib.info,0,0,0,36,16,7,info,10,1
enpwumll.com,0,0,0,38,12,9,com,10,1
mrxfueq.info,0,0,0,57,12,9,info,10,1
nsuslkzrt.biz,0,0,0,20,13,8,biz,10,1
cldwbxpnm.org,0,0,0,9,13,8,org,10,1
lehht.net,0,0,0,33,9,12,net,10,1
ohejnfc.net,0,0,0,43,11,10,net,10,1
