domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
003zzy.com,2,1,30,20,10,17,com,13,1
103yzy.com,2,1,30,20,10,17,com,13,1
203xzy.com,2,1,30,20,10,17,com,13,1
303wzy.com,2,1,30,20,10,17,com,13,1
403vzy.com,2,0,30,20,10,17,com,13,1
503uzy.com,2,1,30,50,10,17,com,13,1
603tzy.com,2,1,30,20,10,17,com,13,1
703szy.com,2,1,30,20,10,17,com,13,1
803rzy.com,0,0,30,20,10,17,com,13,1
903qzy.com,0,0,30,20,10,17,com,13,1
a03izy.com,1,0,20,75,10,14,com,13,1
b03hzy.com,0,0,20,17,10,14,com,13,1
c03gzy.com,1,0,20,17,10,14,com,13,1
d03fzy.com,0,0,20,17,10,14,com,13,1
e03ezy.com,0,0,20,75,10,14,com,13,1
f03dzy.com,0,0,20,17,10,14,com,13,1
g03czy.com,0,0,20,17,10,14,com,13,1
h03bzy.com,0,0,20,17,10,14,com,13,1
i03azy.com,0,0,20,75,10,14,com,13,1
p03zzy.com,1,0,20,17,10,14,com,13,1
q03yzy.com,0,0,20,17,10,14,com,13,1
r03xzy.com,0,0,20,17,10,14,com,13,1
s03wzy.com,0,0,20,17,10,14,com,13,1
t03vzy.com,0,0,20,17,10,14,com,13,1
u03uzy.com,0,0,20,75,10,14,com,13,1
v03tzy.com,0,0,20,17,10,14,com,13,1
w03szy.com,0,0,20,17,10,14,com,13,1
x03rzy.com,0,0,20,17,10,14,com,13,1
y03qzy.com,0,0,20,17,10,14,com,13,1
z03pzy.com,0,0,20,17,10,14,com,13,1
a03izy.com,1,0,20,75,10,14,com,13,1
b03hzy.com,0,0,20,17,10,14,com,13,1
c03gzy.com,1,0,20,17,10,14,com,13,1
d03fzy.com,0,0,20,17,10,14,com,13,1
e03ezy.com,0,0,20,75,10,14,com,13,1
f03dzy.com,0,0,20,17,10,14,com,13,1
g03czy.com,0,0,20,17,10,14,com,13,1
h03bzy.com,0,0,20,17,10,14,com,13,1
i03azy.com,0,0,20,75,10,14,com,13,1
q039zy.com,1,0,30,20,10,17,com,13,1
r038zy.com,0,0,30,20,10,17,com,13,1
s037zy.com,0,0,30,20,10,17,com,13,1
t036zy.com,0,0,30,20,10,17,com,13,1
u035zy.com,0,0,30,50,10,17,com,13,1
v034zy.com,0,0,30,20,10,17,com,13,1
w033zy.com,0,0,30,20,10,17,com,13,1
x032zy.com,0,0,30,20,10,17,com,13,1
y031zy.com,0,0,30,20,10,17,com,13,1
