domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
yt1afvn.info,2,0,8,43,12,10,info,14,1
cyub3rr.com,0,0,9,29,11,11,com,14,1
r1dcn3u.net,0,0,18,33,11,12,net,14,1
c9cid18.org,0,0,27,40,11,14,org,14,1
ylc3tv9.info,0,0,17,29,12,11,info,14,1
92bcuwn.com,0,0,18,33,11,12,com,14,1
9i06acd.net,0,0,27,75,11,14,net,14,1
9cycy2w.net,0,0,18,14,11,12,net,14,1
nadkfd8.org,0,0,9,29,11,11,org,14,1
yt1afvn.info,2,0,8,43,12,10,info,14,1
cyub3rr.com,0,0,9,29,11,11,com,14,1
r1dcn3u.net,0,0,18,33,11,12,net,14,1
c9cid18.org,0,0,27,40,11,14,org,14,1
ylc3tv9.info,0,0,17,29,12,11,info,14,1
92bcuwn.com,0,0,18,33,11,12,com,14,1
9i06acd.net,0,0,27,75,11,14,net,14,1
d637tvc.org,0,0,27,17,11,14,org,14,1
nadkfd8.org,0,0,9,29,11,11,org,14,1
yt1afvn.info,2,0,8,43,12,10,info,14,1
cyub3rr.com,0,0,9,29,11,11,com,14,1
r1dcn3u.net,0,0,18,33,11,12,net,14,1
c9cid18.org,0,0,27,40,11,14,org,14,1
ylc3tv9.info,0,0,17,29,12,11,info,14,1
92bcuwn.com,0,0,18,33,11,12,com,14,1
9i06acd.net,0,0,27,75,11,14,net,14,1
d637tvc.org,0,0,27,17,11,14,org,14,1
1s63w4n.info,0,0,33,40,12,14,info,14,1
yt1afvn.info,2,0,8,43,12,10,info,14,1
cyub3rr.com,0,0,9,29,11,11,com,14,1
r1dcn3u.net,0,0,18,33,11,12,net,14,1
c9cid18.org,0,0,27,40,11,14,org,14,1
ylc3tv9.info,0,0,17,29,12,11,info,14,1
92bcuwn.com,0,0,18,33,11,12,com,14,1
9i06acd.net,0,0,27,75,11,14,net,14,1
d637tvc.org,0,0,27,17,11,14,org,14,1
1s63w4n.info,0,0,33,40,12,14,info,14,1
r3uca1d.com,0,0,18,60,11,12,com,14,1
cyub3rr.com,0,0,9,29,11,11,com,14,1
r1dcn3u.net,0,0,18,33,11,12,net,14,1
c9cid18.org,0,0,27,40,11,14,org,14,1
ylc3tv9.info,0,0,17,29,12,11,info,14,1
92bcuwn.com,0,0,18,33,11,12,com,14,1
9i06acd.net,0,0,27,75,11,14,net,14,1
d637tvc.org,0,0,27,17,11,14,org,14,1
1s63w4n.info,0,0,33,40,12,14,info,14,1
r3uca1d.com,0,0,18,60,11,12,com,14,1
il92tdb.net,0,0,18,33,11,12,net,14,1
r1dcn3u.net,0,0,18,33,11,12,net,14,1
c9cid18.org,0,0,27,40,11,14,org,14,1
ylc3tv9.info,0,0,17,29,12,11,info,14,1
92bcuwn.com,0,0,18,33,11,12,com,14,1
9i06acd.net,0,0,27,75,11,14,net,14,1
d637tvc.org,0,0,27,17,11,14,org,14,1
1s63w4n.info,0,0,33,40,12,14,info,14,1
r3uca1d.com,0,0,18,60,11,12,com,14,1
il92tdb.net,0,0,18,33,11,12,net,14,1
6ys3608.org,0,0,45,25,11,20,org,14,1
c9cid18.org,0,0,27,40,11,14,org,14,1
ylc3tv9.info,0,0,17,29,12,11,info,14,1
92bcuwn.com,0,0,18,33,11,12,com,14,1
9i06acd.net,0,0,27,75,11,14,net,14,1
d637tvc.org,0,0,27,17,11,14,org,14,1
1s63w4n.info,0,0,33,40,12,14,info,14,1
r3uca1d.com,0,0,18,60,11,12,com,14,1
il92tdb.net,0,0,18,33,11,12,net,14,1
6ys3608.org,0,0,45,25,11,20,org,14,1
i3a5ywa.info,0,0,17,125,12,11,info,14,1
ylc3tv9.info,0,0,17,29,12,11,info,14,1
92bcuwn.com,0,0,18,33,11,12,com,14,1
9i06acd.net,0,0,27,75,11,14,net,14,1
d637tvc.org,0,0,27,17,11,14,org,14,1
1s63w4n.info,0,0,33,40,12,14,info,14,1
r3uca1d.com,0,0,18,60,11,12,com,14,1
il92tdb.net,0,0,18,33,11,12,net,14,1
6ys3608.org,0,0,45,25,11,20,org,14,1
i3a5ywa.info,0,0,17,125,12,11,info,14,1
92wcyba.com,0,0,18,33,11,12,com,14,1
92bcuwn.com,0,0,18,33,11,12,com,14,1
9i06acd.net,0,0,27,75,11,14,net,14,1
d637tvc.org,0,0,27,17,11,14,org,14,1
1s63w4n.info,0,0,33,40,12,14,info,14,1
r3uca1d.com,0,0,18,60,11,12,com,14,1
il92tdb.net,0,0,18,33,11,12,net,14,1
6ys3608.org,0,0,45,25,11,20,org,14,1
i3a5ywa.info,0,0,17,125,12,11,info,14,1
92wcyba.com,0,0,18,33,11,12,com,14,1
as3b1at.net,0,0,18,60,11,12,net,14,1
9i06acd.net,0,0,27,75,11,14,net,14,1
d637tvc.org,0,0,27,17,11,14,org,14,1
1s63w4n.info,0,0,33,40,12,14,info,14,1
r3uca1d.com,0,0,18,60,11,12,com,14,1
il92tdb.net,0,0,18,33,11,12,net,14,1
6ys3608.org,0,0,45,25,11,20,org,14,1
i3a5ywa.info,0,0,17,125,12,11,info,14,1
92wcyba.com,0,0,18,33,11,12,com,14,1
as3b1at.net,0,0,18,60,11,12,net,14,1
y2905cn.org,0,0,36,20,11,17,org,14,1
d637tvc.org,0,0,27,17,11,14,org,14,1
1s63w4n.info,0,0,33,40,12,14,info,14,1
r3uca1d.com,0,0,18,60,11,12,com,14,1
il92tdb.net,0,0,18,33,11,12,net,14,1
6ys3608.org,0,0,45,25,11,20,org,14,1
i3a5ywa.info,0,0,17,125,12,11,info,14,1
92wcyba.com,0,0,18,33,11,12,com,14,1
as3b1at.net,0,0,18,60,11,12,net,14,1
y2905cn.org,0,0,36,20,11,17,org,14,1
r1yrw2i.info,0,0,17,50,12,11,info,14,1
1s63w4n.info,0,0,33,40,12,14,info,14,1
r3uca1d.com,0,0,18,60,11,12,com,14,1
il92tdb.net,0,0,18,33,11,12,net,14,1
6ys3608.org,0,0,45,25,11,20,org,14,1
i3a5ywa.info,0,0,17,125,12,11,info,14,1
92wcyba.com,0,0,18,33,11,12,com,14,1
as3b1at.net,0,0,18,60,11,12,net,14,1
y2905cn.org,0,0,36,20,11,17,org,14,1
r1yrw2i.info,0,0,17,50,12,11,info,14,1
3buy35f.com,0,0,27,40,11,14,com,14,1
r3uca1d.com,0,0,18,60,11,12,com,14,1
il92tdb.net,0,0,18,33,11,12,net,14,1
6ys3608.org,0,0,45,25,11,20,org,14,1
i3a5ywa.info,0,0,17,125,12,11,info,14,1
92wcyba.com,0,0,18,33,11,12,com,14,1
as3b1at.net,0,0,18,60,11,12,net,14,1
y2905cn.org,0,0,36,20,11,17,org,14,1
r1yrw2i.info,0,0,17,50,12,11,info,14,1
3buy35f.com,0,0,27,40,11,14,com,14,1
0srty1n.net,0,0,18,14,11,12,net,14,1
il92tdb.net,0,0,18,33,11,12,net,14,1
6ys3608.org,0,0,45,25,11,20,org,14,1
i3a5ywa.info,0,0,17,125,12,11,info,14,1
92wcyba.com,0,0,18,33,11,12,com,14,1
as3b1at.net,0,0,18,60,11,12,net,14,1
y2905cn.org,0,0,36,20,11,17,org,14,1
r1yrw2i.info,0,0,17,50,12,11,info,14,1
3buy35f.com,0,0,27,40,11,14,com,14,1
0srty1n.net,0,0,18,14,11,12,net,14,1
i2wr829.org,0,0,36,50,11,17,org,14,1
