domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
giaddkbzcyaoim.com,2,0,0,55,18,6,com,1
ahfgluqmcovghpmum.com,2,0,0,33,21,5,com,1
hbrtrminyxb.com,2,0,0,17,15,7,com,1
brcpaqtlpwq.com,2,0,0,17,15,7,com,1
fwlxulxb.com,2,0,0,22,12,9,com,1
zlndqawvrrbjhavidol.com,2,0,0,29,23,5,com,1
arnvmiypge.com,2,0,0,44,14,8,com,1
kiovxfffze.com,2,0,0,44,14,8,com,1
idsuyvhdboaybaprf.com,2,0,0,43,21,5,com,1
xbmqunsmgty.com,2,0,0,17,15,7,com,1
tccboqhpciznru.com,2,0,0,31,18,6,com,1
legcljdgpczw.com,2,0,0,15,16,7,com,1
kydtaywfsfrsppvb.com,2,0,0,12,20,5,com,1
bhlnvwlfbtre.com,2,0,0,15,16,7,com,1
oynrnyhmikxd.com,2,0,0,25,16,7,com,1
psxfoalsn.com,2,0,0,33,13,8,com,1
gqfpcgbklmmskixc.com,2,0,0,12,20,5,com,1
thnebevjzumnwfkyqwsa.com,2,0,0,28,24,4,com,1
vdlkjuqdauwcpdxaybqm.com,2,0,0,28,24,4,com,1
eefifitiwwrvd.com,2,0,0,60,17,6,com,1
qcoupmtycgogwblu.com,2,0,0,36,20,5,com,1
ioxjbplzwgrinyike.com,2,0,0,43,21,5,com,1
fidqorildzpt.com,2,0,0,36,16,7,com,1
jfzgufuwikakyza.com,2,0,0,50,19,6,com,1
ztvqcrxbvqd.com,2,0,0,8,15,7,com,1
bitvaisemrvzcjbrxpxq.com,2,0,0,28,24,4,com,1
fdedkrmamntcyaine.com,2,0,0,43,21,5,com,1
ezqjymdipjt.com,2,0,0,27,15,7,com,1
zoyvmgsykc.com,2,0,0,18,14,8,com,1
ejpcazebx.com,2,0,0,50,13,8,com,1
dwcigpctkhgfok.com,2,0,0,21,18,6,com,1
mhtvkkeruqrdzpyqz.com,2,0,0,18,21,5,com,1
epduikhbirfnvf.com,2,0,0,42,18,6,com,1
pbdhmrbjzs.com,1,0,0,8,14,8,com,1
ocgtlwtrlh.com,1,0,0,18,14,8,com,1
ofqipffbigqkg.com,1,0,0,33,17,6,com,1
ctgvaqxmhefqynbkyyhy.com,1,0,0,15,24,4,com,1
dhaptrfjwh.com,1,0,0,18,14,8,com,1
ohqegpazuidisuku.com,1,0,0,90,20,5,com,1
mdamdpsyajynoldrblfo.com,1,0,0,28,24,4,com,1
tmnmtjqlghkwxbhl.com,1,0,0,6,20,5,com,1
tmiwqeyes.com,1,0,0,50,13,8,com,1
fljuohiih.com,1,0,0,71,13,8,com,1
rdzoihzzfnroavxibkkc.com,1,0,0,35,24,4,com,1
afdcvumki.com,1,0,0,50,13,8,com,1
zhjtzzalpqiowfawb.com,1,0,0,33,21,5,com,1
tpercuqoaytwggxtadn.com,1,0,0,38,23,5,com,1
krnstrgjndxniez.com,1,0,0,20,19,6,com,1
qqgrlzaqzpnynodb.com,1,0,0,19,20,5,com,1
vbgybbbsanqrtphl.com,1,0,0,12,20,5,com,1
mqgwdsynnfbpdptscca.com,1,0,0,10,23,5,com,1
ridcryjkvyneedpot.com,1,0,0,33,21,5,com,1
licoksgxsdvmvozosf.com,1,0,0,31,22,5,com,1
krgatukuydusd.com,2,0,0,45,17,6,com,1
uxulowoujuxaxi.com,1,0,0,112,18,6,com,1
badammiriwyamdmom.com,1,0,0,54,21,5,com,1
xnpotcyk.com,1,0,0,22,12,9,com,1
hdxnwsqgylbqegmrdg.com,1,0,0,11,22,5,com,1
dyeeiqsyhqhet.com,1,0,0,45,17,6,com,1
keuqxknrwadf.com,1,0,0,36,16,7,com,1
zrvgtyanxner.com,2,1,0,25,16,7,com,1
mlrzzhnaxstvslmuncyo.com,1,0,0,21,24,4,com,1
linmztojw.com,1,0,0,33,13,8,com,1
yaktmqnjamvuyamja.com,1,0,0,43,21,5,com,1
repvldbhpnwtaz.com,1,0,0,21,18,6,com,1
phlobbbz.com,1,0,0,22,12,9,com,1
uuvpjrucwnnd.com,1,0,0,36,16,7,com,1
vgpitxrefhzarl.com,1,0,0,31,18,6,com,1
hvxfdrcwoswyylrexb.com,1,0,0,17,22,5,com,1
gqamvolh.com,1,0,0,38,12,9,com,1
ggvboncskmylciurof.com,1,0,0,31,22,5,com,1
pobpundi.com,1,0,0,57,12,9,com,1
ellnxziubfbdujuib.com,1,0,0,54,21,5,com,1
swhctchjlktkkxjv.com,1,0,0,6,20,5,com,1
cgerxejlbfvblrmsmwr.com,1,0,0,16,23,5,com,1
uzvnljrd.com,1,0,0,22,12,9,com,1
kfuuvladhduabb.com,1,0,0,55,18,6,com,1
avzftwxqthrckivkmgro.com,2,0,0,21,24,4,com,1
cnjafgkpyjicmigym.com,1,0,0,25,21,5,com,1
wlhisyrrngzdyl.com,1,0,0,13,18,6,com,1
tvtcngsm.com,1,0,0,10,12,9,com,1
reofgrap.com,1,0,0,57,12,9,com,1
vkzwkexpzkzvcebl.com,1,0,0,19,20,5,com,1
yrkvsumqz.com,1,0,0,20,13,8,com,1
mppecoqudfxcnr.com,1,0,0,31,18,6,com,1
kxczewmnmke.com,1,0,0,27,15,7,com,1
vjwcvxpvnagijvnnxuv.com,1,0,0,22,23,5,com,1
etmapzhlgacdtfhgcr.com,1,0,0,24,22,5,com,1
hxpclbwtnreuuktgsjdj.com,1,0,0,21,24,4,com,1
hgafstofw.com,1,0,0,33,13,8,com,1
dncifzkhujmrif.com,2,0,0,31,18,6,com,1
yitnajhekqayjeqinzqy.com,2,0,0,44,24,4,com,1
vmlqdrtxdxeko.com,2,0,0,23,17,6,com,1
ilbkhlogrjeytosagbu.com,2,0,0,47,23,5,com,1
ztbybnvtqhkjumxpwa.com,2,0,0,17,22,5,com,1
ghnyziljketpcni.com,2,0,0,29,19,6,com,1
polrzhjxkoinm.com,2,0,0,33,17,6,com,1
vakjmhpmajofnhju.com,2,0,0,36,20,5,com,1
jtvjhiksilkzewkf.com,2,0,0,27,20,5,com,1
mepuskixqglcdj.com,2,0,0,31,18,6,com,1
bhlxzjkmpsgupgxara.com,2,0,0,24,22,5,com,1
mihjllmarz.com,2,0,0,30,14,8,com,1
godelzclmkyve.com,2,0,0,33,17,6,com,1
isavlrvfligixxd.com,2,0,0,38,19,6,com,1
iwcacfazxhjflwbp.com,2,0,0,27,20,5,com,1
dxjqosknsbdsxv.com,2,0,0,13,18,6,com,1
sklxomytdxaks.com,2,0,0,23,17,6,com,1
pdldczgeo.com,2,0,0,33,13,8,com,1
yjstlxgtp.com,2,0,0,9,13,8,com,1
