domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
xzoisxldjo.com,0,0,0,44,14,8,com,84,1
fqkyiyzjzk.com,0,0,0,18,14,8,com,84,1
ihvajaxkwx.com,0,0,0,44,14,8,com,84,1
bphegofbno.com,0,0,0,44,14,8,com,84,1
kvgkwhyucq.com,0,0,0,18,14,8,com,84,1
ayubnpdkfi.com,0,0,0,44,14,8,com,84,1
isfebyruby.com,0,0,0,44,14,8,com,84,1
qzalpwjbgk.com,0,0,0,18,14,8,com,84,1
vsmzxxmsop.com,0,0,0,18,14,8,com,84,1
vtbhujzzfv.com,0,0,0,18,14,8,com,84,1
dfatzpukck.com,0,0,0,30,14,8,com,84,1
ldhrlrkfvu.com,0,0,0,18,14,8,com,84,1
yrnnvknkrw.com,0,0,0,8,14,8,com,84,1
wdyuggscxi.com,0,0,0,30,14,8,com,84,1
gkofkkbwia.com,0,0,0,44,14,8,com,84,1
fdgethmsge.com,0,0,0,30,14,8,com,84,1
onbwesuqwi.com,0,0,0,62,14,8,com,84,1
gjsxjgrucr.com,0,0,0,18,14,8,com,84,1
ygdoxhhugb.com,0,0,0,30,14,8,com,84,1
rbjkimdblf.com,0,0,0,18,14,8,com,84,1
ikmxghdady.com,0,0,0,30,14,8,com,84,1
spdcwtnaqw.com,0,0,0,18,14,8,com,84,1
obxapuvlme.com,0,0,0,62,14,8,com,84,1
rrqbgqodhc.com,0,0,0,18,14,8,com,84,1
uawhyofzoc.com,0,0,0,62,14,8,com,84,1
ljrqsznahs.com,0,0,0,18,14,8,com,84,1
vaxhhtflrk.com,0,0,0,18,14,8,com,84,1
wtkkvizuxq.com,0,0,0,30,14,8,com,84,1
tudvxyuvqv.com,0,0,0,30,14,8,com,84,1
eqrewpgerh.com,0,0,0,44,14,8,com,84,1
npxbmzeidu.com,0,0,0,44,14,8,com,84,1
ykzuauywlx.com,0,0,0,44,14,8,com,84,1
elpmkellil.com,0,0,0,44,14,8,com,84,1
ufiqgzjfzw.com,0,0,0,30,14,8,com,84,1
phmbmrijum.com,0,0,0,30,14,8,com,84,1
qoduzqwqao.com,0,0,0,62,14,8,com,84,1
cnuzsvqhmt.com,0,0,0,18,14,8,com,84,1
ndtxqtputy.com,0,0,0,18,14,8,com,84,1
ohvlxipwap.com,0,0,0,44,14,8,com,84,1
agzgkskgpj.com,0,0,0,18,14,8,com,84,1
tvjftqnyei.com,0,0,0,30,14,8,com,84,1
fxwfdwjzgh.com,0,0,0,8,14,8,com,84,1
vvgzwptmdk.com,0,0,0,8,14,8,com,84,1
pszxgrwgji.com,0,0,0,18,14,8,com,84,1
lxudaumlso.com,0,0,0,62,14,8,com,84,1
wupyfifybk.com,0,0,0,30,14,8,com,84,1
iiqkvwbkiv.com,0,0,0,44,14,8,com,84,1
dnljcdxvgx.com,0,0,0,8,14,8,com,84,1
rvmsxskysj.com,0,0,0,8,14,8,com,84,1
wvhaqwnjvt.com,0,0,0,18,14,8,com,84,1
yavqaiwgxf.com,0,0,0,44,14,8,com,84,1
lkkxopuvbj.com,0,0,0,30,14,8,com,84,1
lfqmqzbmrs.com,0,0,0,8,14,8,com,84,1
kgrmoarhtc.com,0,0,0,30,14,8,com,84,1
hmcxoxpoyy.com,0,0,0,30,14,8,com,84,1
bzsbmaoobz.com,0,0,0,44,14,8,com,84,1
pumdhqmfdx.com,0,0,0,18,14,8,com,84,1
txdwwnfvbe.com,0,0,0,18,14,8,com,84,1
mjehxjxzcw.com,0,0,0,18,14,8,com,84,1
sdpuezrlbv.com,0,0,0,30,14,8,com,84,1
egyuzafoyb.com,0,0,0,62,14,8,com,84,1
sfgirreqwl.com,0,0,0,30,14,8,com,84,1
bpiydjrfmr.com,0,0,0,18,14,8,com,84,1
nujcokmjlx.com,0,0,0,30,14,8,com,84,1
dbkadatqea.com,0,0,0,62,14,8,com,84,1
geentsxwuv.com,0,0,0,44,14,8,com,84,1
vhjnkrxbyh.com,0,0,0,8,14,8,com,84,1
jhnjrxvwxm.com,0,0,0,8,14,8,com,84,1
hxwoxttbtq.com,0,0,0,18,14,8,com,84,1
osfxtcuvhf.com,0,0,0,30,14,8,com,84,1
jlkyfspeyp.com,0,0,0,18,14,8,com,84,1
ysdbcshmsv.com,0,0,0,8,14,8,com,84,1
rzalxtzfiy.com,0,0,0,30,14,8,com,84,1
iiajobzkur.com,0,0,0,86,14,8,com,84,1
zjsurewtck.com,0,0,0,30,14,8,com,84,1
mkqrajgmvr.com,0,0,0,18,14,8,com,84,1
ccfgntawtj.com,0,0,0,18,14,8,com,84,1
zrevdhdwsl.com,0,0,0,18,14,8,com,84,1
clndxcocdk.com,0,0,0,18,14,8,com,84,1
cinrhfyyfi.com,0,0,0,30,14,8,com,84,1
oqvcmjqmzl.com,0,0,0,18,14,8,com,84,1
fezlftshnx.com,0,0,0,18,14,8,com,84,1
hkjyrdhfdy.com,0,0,0,8,14,8,com,84,1
dwaynlummd.com,0,0,0,30,14,8,com,84,1
nybofhsvin.com,0,0,0,30,14,8,com,84,1
rpbvgbhuwf.com,0,0,0,18,14,8,com,84,1
ipbzyulsol.com,0,0,0,44,14,8,com,84,1
qcwixrtxos.com,0,0,0,30,14,8,com,84,1
fhftwubdne.com,0,0,0,30,14,8,com,84,1
ypwtvitals.com,0,0,0,30,14,8,com,84,1
uwhotbzcsz.com,0,0,0,30,14,8,com,84,1
lzvejvddih.com,0,0,0,30,14,8,com,84,1
yubkdoxgzf.com,0,0,0,30,14,8,com,84,1
yksfnvpnwx.com,0,0,0,8,14,8,com,84,1
jojqtkvfop.com,0,0,0,30,14,8,com,84,1
wunyftqcwb.com,0,0,0,18,14,8,com,84,1
pcyjbowvkv.com,0,0,0,18,14,8,com,84,1
gmgvscbpjs.com,0,0,0,8,14,8,com,84,1
avwaedwffq.com,0,0,0,44,14,8,com,84,1
ufenjlxdru.com,0,0,0,44,14,8,com,84,1
zbtrztiktv.com,0,0,0,18,14,8,com,84,1
smspuoogdj.com,0,0,0,44,14,8,com,84,1
oetxyyfgum.com,0,0,0,44,14,8,com,84,1
byjunmkogr.com,0,0,0,30,14,8,com,84,1
fvzkhnziuz.com,0,0,0,30,14,8,com,84,1
caqkmlzspp.com,0,0,0,18,14,8,com,84,1
vwmcepgrfw.com,0,0,0,18,14,8,com,84,1
wwyhemjqfz.com,0,0,0,18,14,8,com,84,1
vjopenrgpk.com,0,0,0,30,14,8,com,84,1
qumpxpafxe.com,0,0,0,44,14,8,com,84,1
egwvgkraur.com,0,0,0,44,14,8,com,84,1
yzohxqzbyk.com,0,0,0,18,14,8,com,84,1
eodksanhpm.com,0,0,0,44,14,8,com,84,1
wmbcnwxqyl.com,0,0,0,8,14,8,com,84,1
blhnnqcksb.com,0,0,0,8,14,8,com,84,1
hfcotciaql.com,0,0,0,44,14,8,com,84,1
