domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
ddknt.github.io,1,1,0,44,15,15,io,17,1
ddktn.github.io,1,1,0,44,15,15,io,17,1
ddnkt.github.io,1,1,0,44,15,15,io,17,1
ddntk.github.io,1,1,0,44,15,15,io,17,1
ddtkn.github.io,1,1,0,44,15,15,io,17,1
ddtnk.github.io,1,1,0,44,15,15,io,17,1
dkdnt.github.io,1,1,0,44,15,15,io,17,1
dkdtn.github.io,1,1,0,44,15,15,io,17,1
dkndt.github.io,1,1,0,44,15,15,io,17,1
dkntd.github.io,1,1,0,44,15,15,io,17,1
dktdn.github.io,1,1,0,44,15,15,io,17,1
dktnd.github.io,1,1,0,44,15,15,io,17,1
dndkt.github.io,1,1,0,44,15,15,io,17,1
dndtk.github.io,1,1,0,44,15,15,io,17,1
dnkdt.github.io,1,1,0,44,15,15,io,17,1
dnktd.github.io,2,1,0,44,15,15,io,17,1
dntdk.github.io,1,1,0,44,15,15,io,17,1
dntkd.github.io,1,1,0,44,15,15,io,17,1
dtdkn.github.io,1,1,0,44,15,15,io,17,1
dtdnk.github.io,1,1,0,44,15,15,io,17,1
dtkdn.github.io,1,1,0,44,15,15,io,17,1
dtknd.github.io,1,1,0,44,15,15,io,17,1
dtndk.github.io,1,1,0,44,15,15,io,17,1
dtnkd.github.io,1,1,0,44,15,15,io,17,1
ddknt.github.io,1,1,0,44,15,15,io,17,1
ddktn.github.io,1,1,0,44,15,15,io,17,1
ddnkt.github.io,1,1,0,44,15,15,io,17,1
ddntk.github.io,1,1,0,44,15,15,io,17,1
ddtkn.github.io,1,1,0,44,15,15,io,17,1
ddtnk.github.io,1,1,0,44,15,15,io,17,1
dkdnt.github.io,1,1,0,44,15,15,io,17,1
dkdtn.github.io,1,1,0,44,15,15,io,17,1
dkndt.github.io,1,1,0,44,15,15,io,17,1
dkntd.github.io,1,1,0,44,15,15,io,17,1
dktdn.github.io,1,1,0,44,15,15,io,17,1
dktnd.github.io,1,1,0,44,15,15,io,17,1
dndkt.github.io,1,1,0,44,15,15,io,17,1
dndtk.github.io,1,1,0,44,15,15,io,17,1
dnkdt.github.io,1,1,0,44,15,15,io,17,1
dnktd.github.io,2,1,0,44,15,15,io,17,1
dntdk.github.io,1,1,0,44,15,15,io,17,1
dntkd.github.io,1,1,0,44,15,15,io,17,1
dtdkn.github.io,1,1,0,44,15,15,io,17,1
dtdnk.github.io,1,1,0,44,15,15,io,17,1
dtkdn.github.io,1,1,0,44,15,15,io,17,1
dtknd.github.io,1,1,0,44,15,15,io,17,1
dtndk.github.io,1,1,0,44,15,15,io,17,1
dtnkd.github.io,1,1,0,44,15,15,io,17,1
kddnt.github.io,2,1,0,44,15,15,io,17,1
kddtn.github.io,1,1,0,44,15,15,io,17,1
kdndt.github.io,1,1,0,44,15,15,io,17,1
kdntd.github.io,1,1,0,44,15,15,io,17,1
kdtdn.github.io,1,1,0,44,15,15,io,17,1
kdtnd.github.io,1,1,0,44,15,15,io,17,1
kddnt.github.io,2,1,0,44,15,15,io,17,1
kddtn.github.io,1,1,0,44,15,15,io,17,1
kdndt.github.io,1,1,0,44,15,15,io,17,1
kdntd.github.io,1,1,0,44,15,15,io,17,1
kdtdn.github.io,1,1,0,44,15,15,io,17,1
kdtnd.github.io,1,1,0,44,15,15,io,17,1
knddt.github.io,1,1,0,44,15,15,io,17,1
kndtd.github.io,1,1,0,44,15,15,io,17,1
knddt.github.io,1,1,0,44,15,15,io,17,1
kndtd.github.io,1,1,0,44,15,15,io,17,1
kntdd.github.io,1,1,0,44,15,15,io,17,1
kntdd.github.io,1,1,0,44,15,15,io,17,1
ktddn.github.io,2,1,0,44,15,15,io,17,1
ktdnd.github.io,1,1,0,44,15,15,io,17,1
ktddn.github.io,2,1,0,44,15,15,io,17,1
ktdnd.github.io,1,1,0,44,15,15,io,17,1
ktndd.github.io,1,1,0,44,15,15,io,17,1
ktndd.github.io,1,1,0,44,15,15,io,17,1
nddkt.github.io,2,1,0,44,15,15,io,17,1
nddtk.github.io,1,1,0,44,15,15,io,17,1
ndkdt.github.io,1,1,0,44,15,15,io,17,1
ndktd.github.io,1,1,0,44,15,15,io,17,1
ndtdk.github.io,1,1,0,44,15,15,io,17,1
ndtkd.github.io,1,1,0,44,15,15,io,17,1
nddkt.github.io,2,1,0,44,15,15,io,17,1
nddtk.github.io,1,1,0,44,15,15,io,17,1
ndkdt.github.io,1,1,0,44,15,15,io,17,1
ndktd.github.io,1,1,0,44,15,15,io,17,1
ndtdk.github.io,1,1,0,44,15,15,io,17,1
ndtkd.github.io,1,1,0,44,15,15,io,17,1
nkddt.github.io,1,1,0,44,15,15,io,17,1
nkdtd.github.io,1,1,0,44,15,15,io,17,1
nkddt.github.io,1,1,0,44,15,15,io,17,1
nkdtd.github.io,1,1,0,44,15,15,io,17,1
nktdd.github.io,1,1,0,44,15,15,io,17,1
nktdd.github.io,1,1,0,44,15,15,io,17,1
ntddk.github.io,1,1,0,44,15,15,io,17,1
ntdkd.github.io,1,1,0,44,15,15,io,17,1
ntddk.github.io,1,1,0,44,15,15,io,17,1
ntdkd.github.io,1,1,0,44,15,15,io,17,1
ntkdd.github.io,1,1,0,44,15,15,io,17,1
ntkdd.github.io,1,1,0,44,15,15,io,17,1
tddkn.github.io,1,1,0,44,15,15,io,17,1
tddnk.github.io,1,1,0,44,15,15,io,17,1
tdkdn.github.io,1,1,0,44,15,15,io,17,1
tdknd.github.io,1,1,0,44,15,15,io,17,1
