domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
nd84524186d78bdeca8dd3ba997d79516f.cn,0,0,54,23,37,6,cn,18,1
of30b6226a815ffd6b648635b6e6526671.tk,0,0,65,33,37,8,tk,18,1
p8e720fec3fcfcdd052e6c7472a60b8fc5.so,0,0,46,36,37,5,so,18,1
q76ed915d568a6c97d604f1c3ebdfab982.cc,0,0,51,31,37,6,cc,18,1
r5887a1a5e6250d5015645c5c7326595a2.ws,0,1,70,67,37,10,ws,18,1
sf6a6a3235ae1033f733779847781b9369.to,0,0,70,100,37,10,to,18,1
tbda9e9811db08c8695269fa9c1e564430.in,0,0,59,56,37,7,in,18,1
uea7c501ec33ec4e9bd65b00244f127abc.hk,0,0,49,64,37,6,hk,18,1
v60414af233ff8a9d5a7c51b3bdb88c437.cn,0,0,54,23,37,6,cn,18,1
wbdb63fbe571c53e1da3c18416d379bce6.tk,0,0,49,29,37,6,tk,18,1
x60bb7366b5cbd8c02511160a333bd1eca.so,0,0,54,33,37,6,so,18,1
y8d4e9bb2bcdc3deb396a4418ddc83ac6e.cc,0,0,41,31,37,5,cc,18,1
z523d30ea72eb9c45ef1cdbbc0fe2d34a6.ws,0,1,43,43,37,5,ws,18,1
a2a16adc712dfb3b85e0b672ac1b45ed20.to,0,0,49,64,37,6,to,18,1
b0b22c61a139a2b870a1e26c09ec3fe09e.in,0,0,54,100,37,6,in,18,1
c9c5bd71bf198d429e5107eeac63bef93b.hk,0,0,49,38,37,6,hk,18,1
d2c10fcb94fc17d936cc353fc1595172b6.cn,0,0,57,0,37,7,cn,18,1
eff7cc41ca780e1b01abe2c1d1c1cd3495.tk,0,0,46,36,37,5,tk,18,1
f297f07178a68619b1d0eff52754fd6547.so,0,0,65,33,37,8,so,18,1
gb8b1e37d1e44abc5b2c7af4b6a800a71c.cc,0,0,46,46,37,5,cc,18,1
ha90c8a9b8eccd7d385d5e4c78f5894d79.ws,0,1,51,31,37,6,ws,18,1
i2ceafce83a583b9a5b78367f1d640e256.to,0,0,54,100,37,6,to,18,1
jc62ccd0103bda7478511de26bd3c9efc3.in,0,0,49,29,37,6,in,18,1
k43e450760cd0b2a0ed19397f5e7db44e9.hk,0,0,57,50,37,7,hk,18,1
le8e7caa143e7f2460c0bb92fa1b57d80c.cn,0,0,49,50,37,6,cn,18,1
m44285ffb63242c8a4863592c4e28714c2.tk,0,0,68,22,37,9,tk,18,1
naf9d50cea37221b8621c63dfc6fca2107.so,0,0,51,42,37,6,so,18,1
od0a8c02764dcdb74f0f7e09ac124887d9.cc,0,0,54,33,37,6,cc,18,1
