domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
f1scbce6jen3p.info,0,0,17,40,18,7,info,19,1
k2xcrcw6uec3u.net,0,0,18,44,17,8,net,19,1
f5hckcs6qew3w.biz,0,0,18,18,17,8,biz,19,1
nabcicy6hed3v.info,0,0,11,50,18,7,info,19,1
d1wdtci6fee3g.net,0,0,18,44,17,8,net,19,1
caydscl6gev3y.biz,0,0,12,27,17,7,biz,19,1
d5eeucp6ves3s.info,0,0,17,75,18,7,info,19,1
f2ofjcx6dei3d.net,0,0,18,44,17,8,net,19,1
y1s0bdx6dei3m.biz,0,0,24,33,17,8,biz,19,1
q2e1rdp6ves3v.info,0,0,22,44,18,8,info,19,1
y5n2kdg6lep3p.net,0,0,24,20,17,8,net,19,1
iar3idr6zea3b.biz,0,0,18,86,17,8,biz,19,1
a1n5tdh6yex3n.info,0,0,22,44,18,8,info,19,1
sak6sdt6neb3r.net,0,0,18,30,17,8,net,19,1
a5i8udm6beg3g.biz,0,0,24,71,17,8,biz,19,1
y2hajdo6aeh3a.info,0,0,17,100,18,7,info,19,1
r1ncjdo6aeh3e.net,0,0,18,62,17,8,net,19,1
l2xeudm6beg3b.biz,0,0,18,44,17,8,biz,19,1
r5z0ken6tem3m.info,0,0,22,44,18,8,info,19,1
hav2ieu6wek3j.net,0,0,18,86,17,8,net,19,1
k1i5tez6reo3i.biz,0,0,24,100,17,8,biz,19,1
gak7sef6iej3u.info,0,0,17,100,18,7,info,19,1
k5nauee6jen3n.net,0,0,18,86,17,8,net,19,1
r2ndjec6kez3k.biz,0,0,18,30,17,8,biz,19,1
u1n0bfc6kez3x.info,0,0,22,44,18,8,info,19,1
t2e3rfe6jen3j.net,0,0,24,50,17,8,net,19,1
u5s6kfi6fee3e.biz,0,0,24,100,17,8,biz,19,1
zal9ifv6peq3d.info,0,0,17,56,18,7,info,19,1
q1edtfw6uec3h.net,0,0,18,44,17,8,net,19,1
nav0n0f7hed3v.biz,0,0,24,33,17,8,biz,19,1
q5e4b0e7dei3i.info,0,0,28,140,18,8,info,19,1
u2m8a0c7qew3q.net,0,0,29,57,17,9,net,19,1
v1hca0c7qew3o.biz,2,0,24,50,17,8,biz,19,1
f2s0v1e7dei3d.info,0,0,28,71,18,8,info,19,1
v5i4l1i7yex3x.net,0,0,29,57,17,9,net,19,1
waf8z1v7mel3a.biz,0,0,24,50,17,8,biz,19,1
l1xdy1w7ves3z.info,0,0,22,30,18,8,info,19,1
iav1g2y7zea3b.net,0,0,24,71,17,8,net,19,1
l5m6v2x7aeh3h.biz,0,0,29,38,17,9,biz,19,1
v2wbd2s7lep3l.info,0,0,22,30,18,8,info,19,1
b1h0j3s7lep3c.net,0,0,29,22,17,9,net,19,1
y2e5u3x7aeh3a.biz,0,0,29,120,17,9,biz,19,1
b5oaq3h7reo3o.info,0,0,22,117,18,8,info,19,1
padfh3b7eet3k.net,0,0,18,44,17,8,net,19,1
t1w5t4p7beg3w.biz,0,0,29,22,17,9,biz,19,1
hakas4r7wek3j.info,0,0,17,56,18,7,info,19,1
t5n0r5o7kez3z.net,0,0,29,38,17,9,net,19,1
b2c6b5g7tem3t.biz,0,0,29,22,17,9,biz,19,1
j1wcb5g7tem3s.info,0,0,22,30,18,8,info,19,1
r2s2y6o7kez3k.net,0,0,29,38,17,9,net,19,1
j5g8a6z7uec3c.biz,0,0,29,57,17,9,biz,19,1
maken6j7xef3q.info,0,0,17,56,18,7,info,19,1
f1p5q7m7jen3p.net,0,0,29,22,17,9,net,19,1
zakbo7u7peq3d.biz,0,0,18,62,17,8,biz,19,1
f5g2f8c7qew3w.info,0,0,28,33,18,8,info,19,1
j2x9u8n7fee3f.net,0,0,29,57,17,9,net,19,1
d1w0r9n7fee3g.biz,0,0,29,38,17,9,biz,19,1
u2e7t9c7qew3q.info,0,0,28,71,18,8,info,19,1
d5eej9w7ves3s.net,0,0,24,50,17,8,net,19,1
eaj5cad7oey3l.biz,0,0,18,86,17,8,biz,19,1
y1sdaae7dei3m.info,0,0,17,100,18,7,info,19,1
wav4mbv7mel3a.net,0,0,18,44,17,8,net,19,1
y5zclbs7lep3p.biz,0,0,18,18,17,8,biz,19,1
d2i4fci7yex3y.info,0,0,22,62,18,8,info,19,1
a1mcfci7yex3n.net,0,0,18,44,17,8,net,19,1
v2s4kds7lep3l.biz,0,0,24,20,17,8,biz,19,1
a5ccudp7beg3g.info,0,0,17,56,18,7,info,19,1
xaa4eea7cer3t.net,0,0,18,117,17,8,net,19,1
r1gdbex7aeh3e.biz,0,0,18,62,17,8,biz,19,1
pav5zfb7eet3k.info,0,0,17,56,18,7,info,19,1
r5heafg7tem3m.net,0,0,18,44,17,8,net,19,1
a2g7f0i8reo3r.biz,0,0,29,83,17,9,biz,19,1
k1m0t1i8reo3i.info,0,0,28,100,18,8,info,19,1
b2e9k1s8tem3t.net,0,0,29,38,17,9,net,19,1
k5x2r2p8jen3n.biz,0,0,29,22,17,9,biz,19,1
oarbe2a8seu3f.info,0,0,17,133,18,7,info,19,1
u1x5v3x8kez3x.net,0,0,29,38,17,9,net,19,1
makez3b8xef3q.biz,0,0,18,44,17,8,biz,19,1
u5o8d4g8fee3e.info,0,0,28,140,18,8,info,19,1
k2p2k5h8uec3u.net,0,0,29,57,17,9,net,19,1
q1xck5h8uec3h.biz,0,0,24,33,17,8,biz,19,1
j2s6b6g8fee3f.info,0,0,28,50,18,8,info,19,1
q5s0l7m8dei3i.net,0,0,29,57,17,9,net,19,1
cavaz7k8gev3y.biz,0,0,18,44,17,8,biz,19,1
v1o5f8o8qew3o.info,0,0,28,100,18,8,info,19,1
eakfg8j8oey3l.net,0,0,18,62,17,8,net,19,1
v5xau9n8yex3x.biz,0,0,24,50,17,8,biz,19,1
q2z5baz8ves3v.info,0,0,22,44,18,8,info,19,1
l1x0vbz8ves3z.net,0,0,24,20,17,8,net,19,1
d2ebybn8yex3y.biz,0,0,18,30,17,8,biz,19,1
l5m6dce8aeh3h.info,0,0,22,62,18,8,info,19,1
say1sdq8neb3r.net,0,0,18,30,17,8,net,19,1
b1hdkdc8lep3c.biz,0,0,18,18,17,8,biz,19,1
xav8eed8cer3t.info,0,0,17,75,18,7,info,19,1
b5h4lfi8reo3o.net,0,0,24,71,17,8,net,19,1
l2o0u0z9beg3b.biz,0,0,29,57,17,9,biz,19,1
t1ccu0z9beg3w.info,0,0,22,44,18,8,info,19,1
a2s8t1n9reo3r.net,0,0,29,57,17,9,net,19,1
t5o4b2e9kez3z.biz,0,0,29,57,17,9,biz,19,1
gau0o3q9iej3u.info,0,0,22,160,18,8,info,19,1
j1zdd3c9tem3s.net,0,0,24,20,17,8,net,19,1
oav9p4d9seu3f.biz,0,0,24,71,17,8,biz,19,1
j5i6k5i9uec3c.info,0,0,28,100,18,8,info,19,1
t2e3l6w9jen3j.net,0,0,29,38,17,9,net,19,1
f1c0q7w9jen3p.biz,0,0,29,22,17,9,biz,19,1
k2edd7i9uec3u.info,0,0,22,117,18,8,info,19,1
f5waf8x9qew3w.net,0,0,24,33,17,8,net,19,1
naq7w9l9hed3v.biz,0,0,24,33,17,8,biz,19,1
d1g5yas9fee3g.info,0,0,22,62,18,8,info,19,1
cat2gba9gev3y.net,0,0,18,44,17,8,net,19,1
d5x0uch9ves3s.biz,0,0,24,33,17,8,biz,19,1
f2cejcp9dei3d.info,0,0,17,56,18,7,info,19,1
y1gcbdp9dei3m.net,0,0,18,30,17,8,net,19,1
q2sayeh9ves3v.biz,0,0,18,44,17,8,biz,19,1
y5e8dfo9lep3p.info,0,0,22,62,18,8,info,19,1
iat6i0lazea3b.net,0,0,18,117,17,8,net,19,1
a1n5l1sayex3n.biz,0,0,24,50,17,8,biz,19,1
sat3o2aaneb3r.info,0,0,17,100,18,7,info,19,1
a5e2f3habeg3g.net,0,0,24,71,17,8,net,19,1
y2s1r4paaeh3a.biz,0,0,24,71,17,8,biz,19,1
r1g0y5paaeh3e.info,0,0,22,86,18,8,info,19,1
l2efl5habeg3b.net,0,0,18,44,17,8,net,19,1
r5hev6oatem3m.biz,0,0,18,62,17,8,biz,19,1
hajdx7tawek3j.info,0,0,11,50,18,7,info,19,1
k1mdb8gareo3i.net,0,0,18,62,17,8,net,19,1
gavcz9kaiej3u.biz,0,0,12,75,17,7,biz,19,1
k5scdazajen3n.info,0,0,11,50,18,7,info,19,1
r2ickbmakez3k.net,0,0,12,40,17,7,net,19,1
u1icacmakez3x.biz,0,0,12,75,17,7,biz,19,1
t2scvdzajen3j.info,0,0,11,36,18,7,info,19,1
u5pcqecafee3e.net,0,0,12,100,17,7,net,19,1
zaaciffapeq3d.biz,0,0,6,67,17,7,biz,19,1
q1edy0gbuec3h.info,0,0,17,56,18,7,info,19,1
navdg1kbhed3v.net,0,0,12,27,17,7,net,19,1
q5ceu2zbdei3i.biz,0,0,18,86,17,8,biz,19,1
u2gfb3mbqew3q.info,0,0,17,40,18,7,info,19,1
v1i0u5mbqew3o.net,0,0,24,71,17,8,net,19,1
