domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
a382f764.eu,0,0,55,300,11,25,eu,1
f05bd474.eu,1,0,45,67,11,20,eu,1
b137588a.eu,0,0,55,300,11,25,eu,1
e2ee7b9a.eu,0,0,27,600,11,14,eu,1
98b3fef.eu,0,0,30,100,10,17,eu,1
5a521cff.eu,0,0,36,100,11,17,eu,1
945c0756.eu,0,0,64,200,11,33,eu,1
c7852446.eu,1,0,64,200,11,33,eu,1
2ce06033.eu,0,0,55,300,11,25,eu,1
7f394323.eu,0,0,64,200,11,33,eu,1
3e55cfdd.eu,0,0,27,75,11,14,eu,1
6d8ceccd.eu,1,0,18,60,11,12,eu,1
86e9a8b8.eu,0,0,45,400,11,20,eu,1
d5308ba8.eu,0,0,45,150,11,20,eu,1
de8ab8ee.eu,1,0,18,300,11,12,eu,1
8d539bfe.eu,0,0,36,100,11,17,eu,1
6636df8b.eu,0,0,45,67,11,20,eu,1
35effc9b.eu,0,0,27,75,11,14,eu,1
25aa4c92.eu,0,0,45,400,11,20,eu,1
76736f82.eu,0,0,64,200,11,33,eu,1
9d162bf7.eu,0,0,45,67,11,20,eu,1
cecf08e7.eu,0,0,27,133,11,14,eu,1
8fa38419.eu,0,0,55,300,11,25,eu,1
dc7aa709.eu,0,0,36,200,11,17,eu,1
371fe37c.eu,0,0,45,150,11,20,eu,1
64c6c06c.eu,0,0,45,67,11,20,eu,1
aac8dbc5.eu,0,0,18,100,11,12,eu,1
f911f8d5.eu,1,0,45,67,11,20,eu,1
1274bca0.eu,0,0,45,150,11,20,eu,1
41ad9fb0.eu,0,0,36,100,11,17,eu,1
c1134e.eu,0,0,44,300,9,25,eu,1
b87d742b.eu,1,0,45,67,11,20,eu,1
eba4573b.eu,0,0,36,200,11,17,eu,1
e01e647d.eu,0,0,45,400,11,20,eu,1
b3c7476d.eu,0,0,45,67,11,20,eu,1
b7b2008.eu,0,0,50,100,10,25,eu,1
31d31552.eu,0,0,64,200,11,33,eu,1
dab65127.eu,0,0,45,150,11,20,eu,1
896f7237.eu,0,0,64,200,11,33,eu,1
c803fec9.eu,0,0,36,100,11,17,eu,1
9bdaddd9.eu,0,0,18,60,11,12,eu,1
70bf99ac.eu,0,0,36,100,11,17,eu,1
2366babc.eu,1,0,36,100,11,17,eu,1
ed68a115.eu,0,0,45,400,11,20,eu,1
beb18205.eu,0,0,45,150,11,20,eu,1
55d4c670.eu,1,0,55,100,11,25,eu,1
60de560.eu,0,0,50,300,10,25,eu,1
14b84a8e.eu,0,0,45,400,11,20,eu,1
ffdd0efb.eu,0,0,9,50,11,11,eu,1
ac042deb.eu,0,0,27,133,11,14,eu,1
a7be1ead.eu,0,0,18,300,11,12,eu,1
f4673dbd.eu,1,0,36,50,11,17,eu,1
1f0279c8.eu,0,0,55,100,11,25,eu,1
4cdb5ad8.eu,0,0,27,75,11,14,eu,1
5f6a1ff2.eu,1,0,36,100,11,17,eu,1
cb33ce2.eu,0,0,30,100,10,17,eu,1
e7d67897.eu,0,0,55,300,11,25,eu,1
b40f5b87.eu,0,0,45,67,11,20,eu,1
251685ca.eu,0,0,55,300,11,25,eu,1
76cfa6da.eu,0,0,27,133,11,14,eu,1
8f1f4d41.eu,0,0,45,67,11,20,eu,1
dcc66e51.eu,0,0,36,100,11,17,eu,1
12c875f8.eu,1,0,55,100,11,25,eu,1
aa74129d.eu,0,0,45,400,11,20,eu,1
f9ad318d.eu,0,0,36,100,11,17,eu,1
b8c1bd73.eu,1,0,36,50,11,17,eu,1
eb189e63.eu,0,0,45,400,11,20,eu,1
7dda16.eu,0,0,33,150,9,20,eu,1
53a4f906.eu,0,0,55,300,11,25,eu,1
581eca40.eu,0,0,45,400,11,20,eu,1
bc7e950.eu,0,0,40,150,10,20,eu,1
e0a2ad25.eu,0,0,36,500,11,17,eu,1
b37b8e35.eu,1,0,45,150,11,20,eu,1
1442560f.eu,0,0,64,200,11,33,eu,1
479b751f.eu,0,0,55,100,11,25,eu,1
acfe316a.eu,1,0,27,250,11,14,eu,1
ff27127a.eu,0,0,45,150,11,20,eu,1
be4b9e84.eu,0,0,36,200,11,17,eu,1
ed92bd94.eu,0,0,36,100,11,17,eu,1
6f7f9e1.eu,0,0,40,150,10,20,eu,1
552edaf1.eu,0,0,36,200,11,17,eu,1
9b20c158.eu,0,0,55,100,11,25,eu,1
c8f9e248.eu,1,0,45,150,11,20,eu,1
239ca63d.eu,0,0,45,150,11,20,eu,1
7045852d.eu,0,0,64,200,11,33,eu,1
312909d3.eu,0,0,64,200,11,33,eu,1
62f02ac3.eu,1,0,45,150,11,20,eu,1
89956eb6.eu,0,0,55,300,11,25,eu,1
da4c4da6.eu,0,0,27,133,11,14,eu,1
d1f67ee0.eu,0,0,36,200,11,17,eu,1
822f5df0.eu,0,0,45,67,11,20,eu,1
53e22cdf.eu,0,0,36,100,11,17,eu,1
3b0fcf.eu,0,0,22,50,9,17,eu,1
eb5e4bba.eu,0,0,18,167,11,12,eu,1
b88768aa.eu,1,0,45,400,11,20,eu,1
f9ebe454.eu,0,0,36,200,11,17,eu,1
aa32c744.eu,0,0,45,400,11,20,eu,1
dc80bb88.eu,0,0,36,50,11,17,eu,1
8f599898.eu,0,0,64,200,11,33,eu,1
643cdced.eu,0,0,27,75,11,14,eu,1
37e5fffd.eu,1,0,27,75,11,14,eu,1
ce351466.eu,0,0,55,300,11,25,eu,1
9dec3776.eu,0,0,45,150,11,20,eu,1
c58f2720.eu,0,0,55,100,11,25,eu,1
ee4a566f.eu,0,0,36,500,11,17,eu,1
bd93757f.eu,0,0,45,67,11,20,eu,1
fcfff981.eu,0,0,27,40,11,14,eu,1
af26da91.eu,0,0,36,200,11,17,eu,1
179abdf4.eu,0,0,36,100,11,17,eu,1
d994a65d.eu,0,0,45,150,11,20,eu,1
8a4d854d.eu,0,0,45,150,11,20,eu,1
6128c138.eu,1,0,64,200,11,33,eu,1
32f1e228.eu,0,0,55,300,11,25,eu,1
739d6ed6.eu,0,0,45,150,11,20,eu,1
20444dc6.eu,0,0,55,100,11,25,eu,1
cb2109b3.eu,1,0,45,67,11,20,eu,1
98f82aa3.eu,0,0,45,400,11,20,eu,1
c09b3af5.eu,0,0,36,100,11,17,eu,1
2bfe7e80.eu,0,0,36,200,11,17,eu,1
78275d90.eu,0,0,64,200,11,33,eu,1
b2355dbb.eu,1,0,36,50,11,17,eu,1
e1ec7eab.eu,0,0,18,300,11,12,eu,1
a893ade.eu,0,0,30,500,10,17,eu,1
595019ce.eu,0,0,55,300,11,25,eu,1
183c9530.eu,0,0,64,200,11,33,eu,1
4be5b620.eu,0,0,45,150,11,20,eu,1
a080f255.eu,0,0,55,300,11,25,eu,1
f359d145.eu,1,0,55,100,11,25,eu,1
3d57caec.eu,0,0,27,133,11,14,eu,1
6e8ee9fc.eu,0,0,27,250,11,14,eu,1
85ebad89.eu,0,0,36,200,11,17,eu,1
d6328e99.eu,0,0,55,300,11,25,eu,1
c4872177.eu,1,0,64,200,11,33,eu,1
2fe26502.eu,0,0,55,300,11,25,eu,1
7c3b4612.eu,0,0,55,100,11,25,eu,1
cf3d1231.eu,1,0,45,67,11,20,eu,1
9ce43121.eu,0,0,55,300,11,25,eu,1
f595276b.eu,0,0,55,100,11,25,eu,1
a64c047b.eu,0,0,45,150,11,20,eu,1
4d29400e.eu,0,0,55,300,11,25,eu,1
1ef0631e.eu,1,0,45,400,11,20,eu,1
5f9cefe0.eu,0,0,27,133,11,14,eu,1
c45ccf0.eu,0,0,30,50,10,17,eu,1
b4f9ab95.eu,0,0,36,100,11,17,eu,1
7af7b03c.eu,0,0,36,100,11,17,eu,1
292e932c.eu,0,0,55,300,11,25,eu,1
c24bd759.eu,0,0,45,67,11,20,eu,1
9192f449.eu,0,0,64,200,11,33,eu,1
d0fe78b7.eu,0,0,36,100,11,17,eu,1
83275ba7.eu,1,0,55,300,11,25,eu,1
68421fd2.eu,0,0,55,100,11,25,eu,1
3b9b3cc2.eu,0,0,36,50,11,17,eu,1
30210f84.eu,0,0,64,200,11,33,eu,1
63f82c94.eu,1,0,55,100,11,25,eu,1
889d68e1.eu,0,0,55,300,11,25,eu,1
db444bf1.eu,0,0,36,50,11,17,eu,1
c8f50edb.eu,0,0,27,75,11,14,eu,1
9b2c2dcb.eu,0,0,27,40,11,14,eu,1
704969be.eu,1,0,55,300,11,25,eu,1
f34f66d7.eu,0,0,45,67,11,20,eu,1
a09645c7.eu,0,0,55,300,11,25,eu,1
e1fac939.eu,0,0,36,200,11,17,eu,1
b223ea29.eu,0,0,45,400,11,20,eu,1
5946ae5c.eu,0,0,45,400,11,20,eu,1
a9f8d4c.eu,1,0,30,100,10,17,eu,1
c49196e5.eu,0,0,55,300,11,25,eu,1
9748b5f5.eu,0,0,55,100,11,25,eu,1
7c2df180.eu,1,0,45,67,11,20,eu,1
2ff4d290.eu,0,0,45,67,11,20,eu,1
3d417d7e.eu,0,0,45,150,11,20,eu,1
d624390b.eu,0,0,55,100,11,25,eu,1
85fd1a1b.eu,0,0,36,100,11,17,eu,1
8e47295d.eu,0,0,55,300,11,25,eu,1
dd9e0a4d.eu,0,0,27,133,11,14,eu,1
36fb4e38.eu,0,0,45,150,11,20,eu,1
65226d28.eu,0,0,64,200,11,33,eu,1
244b4025.eu,1,0,64,200,11,33,eu,1
cf2e0450.eu,0,0,45,150,11,20,eu,1
9cf72740.eu,0,0,55,100,11,25,eu,1
dd9babbe.eu,0,0,9,80,11,11,eu,1
6527ccdb.eu,1,0,36,50,11,17,eu,1
36feefcb.eu,0,0,18,100,11,12,eu,1
f8f0f462.eu,0,0,45,67,11,20,eu,1
ab29d772.eu,0,0,45,150,11,20,eu,1
404c9307.eu,0,0,64,200,11,33,eu,1
1395b017.eu,0,0,64,200,11,33,eu,1
52f93ce9.eu,0,0,45,150,11,20,eu,1
1201ff9.eu,1,0,50,100,10,25,eu,1
ea455b8c.eu,0,0,36,200,11,17,eu,1
b99c789c.eu,0,0,45,67,11,20,eu,1
b2264bda.eu,1,0,36,100,11,17,eu,1
e1ff68ca.eu,0,0,27,133,11,14,eu,1
a9a2cbf.eu,0,0,20,133,10,14,eu,1
59430faf.eu,0,0,45,150,11,20,eu,1
63eb3af5.eu,0,0,36,200,11,17,eu,1
db575d90.eu,0,0,45,67,11,20,eu,1
9a3bd16e.eu,0,0,36,200,11,17,eu,1
c9e2f27e.eu,0,0,36,200,11,17,eu,1
2287b60b.eu,0,0,55,100,11,25,eu,1
715e951b.eu,1,0,55,300,11,25,eu,1
bf508eb2.eu,0,0,36,100,11,17,eu,1
ec89ada2.eu,0,0,27,250,11,14,eu,1
7ece9d7.eu,0,0,30,200,10,17,eu,1
5435cac7.eu,0,0,45,150,11,20,eu,1
ade5215c.eu,0,0,36,200,11,17,eu,1
fe3c024c.eu,0,0,36,100,11,17,eu,1
f586310a.eu,0,0,55,300,11,25,eu,1
a65f121a.eu,0,0,45,400,11,20,eu,1
4d3a566f.eu,0,0,45,150,11,20,eu,1
1ee3757f.eu,0,0,45,400,11,20,eu,1
d523055.eu,0,0,60,200,10,33,eu,1
5e8b1345.eu,1,0,55,300,11,25,eu,1
3813b572.eu,0,0,64,200,11,33,eu,1
6bca9662.eu,0,0,45,150,11,20,eu,1
2aa61a9c.eu,0,0,36,500,11,17,eu,1
