domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
drvmvprpddaljvem.eu,0,0,0,29,19,6,eu,1
bpxtatgiorbncoyy.eu,0,0,0,50,19,6,eu,1
dyoihqrhbrbncoyy.eu,0,0,0,38,19,6,eu,1
bwqplhgamgpputgy.eu,0,0,0,29,19,6,eu,1
dgueserylscputgy.eu,0,0,0,50,19,6,eu,1
uhsmbgxypgetpbkt.eu,0,0,0,29,19,6,eu,1
wqjbidjlpgetpbkt.eu,0,0,0,29,19,6,eu,1
uolimtkqnufvitrg.eu,0,0,0,64,19,6,eu,1
wxcwgqvpaufvitrg.eu,0,0,0,38,19,6,eu,1
uveexhkiljtxbmmg.eu,0,0,0,50,19,6,eu,1
wfisrevhxvgxbmmg.eu,0,0,0,29,19,6,eu,1
udkajikajxuahfhg.eu,0,0,0,80,19,6,eu,1
wmbodfvyikuahfhg.eu,0,0,0,50,19,6,eu,1
ukdvhvwetyvcaxos.eu,0,0,0,50,19,6,eu,1
wttwbsiqgyvcaxos.eu,0,0,0,38,19,6,eu,1
urvesjwvenkrsdjs.eu,0,0,0,38,19,6,eu,1
wbagatiienkrsdjs.eu,0,0,0,64,19,6,eu,1
uyoaekwnccytlvqf.eu,0,0,0,50,19,6,eu,1
wisoxtumooltlvqf.eu,0,0,0,64,19,6,eu,1
uguvcxjfaqajrolf.eu,0,0,0,64,19,6,eu,1
wplkjuuemdajrolf.eu,0,0,0,64,19,6,eu,1
unnrnljwkrblkhgf.eu,0,0,0,20,19,6,eu,1
wweguiuvweblkhgf.eu,0,0,0,64,19,6,eu,1
olpodkbjofdpfowm.eu,0,0,0,50,19,6,eu,1
qugdkhmibfdpfowm.eu,0,0,0,38,19,6,eu,1
osikoxnnygerxtem.eu,0,0,0,64,19,6,eu,1
qcmyiuymlgerxtem.eu,0,0,0,50,19,6,eu,1
oaogaynfwuftqmyy.eu,0,0,0,64,19,6,eu,1
qjfutiyejuftqmyy.eu,0,0,0,50,19,6,eu,1
ohhclmnwhjtvjfty.eu,0,0,0,20,19,6,eu,1
qqxdfjyvtvgvjfty.eu,0,0,0,12,19,6,eu,1
ooaxjanofxuxcxby.eu,0,0,0,80,19,6,eu,1
qxqydwlnrkuxcxby.eu,0,0,0,20,19,6,eu,1
ovsgunagdmjniqvl.eu,0,0,0,50,19,6,eu,1
qfwuoklfpyvaiqvl.eu,0,0,0,50,19,6,eu,1
odycgoaxnnkpbjql.eu,0,0,0,38,19,6,eu,1
qmpqallwankpbjql.eu,0,0,0,29,19,6,eu,1
okrxecaplcyrtoxx.eu,0,0,0,50,19,6,eu,1
qtimlyxbxolrtoxx.eu,0,0,0,38,19,6,eu,1
orktppmtvdahausx.eu,0,0,0,50,19,6,eu,1
qboiwmxsidahausx.eu,0,0,0,80,19,6,eu,1
ipmqfoegaecluojs.eu,0,0,0,100,19,6,eu,1
kydfmlpfmqoxhojs.eu,0,0,0,29,19,6,eu,1
iwfmqcexkfdnnhes.eu,0,0,0,38,19,6,eu,1
kgjbxycwwrpanhes.eu,0,0,0,29,19,6,eu,1
ielicdepitepgayf.eu,0,0,0,100,19,6,eu,1
kncwvmcougepgayf.eu,0,0,0,50,19,6,eu,1
ileenqqtsufryfgf.eu,0,0,0,50,19,6,eu,1
kuufhncgsufryfgf.eu,0,0,0,38,19,6,eu,1
iswmleqlqjttrxnr.eu,0,0,0,29,19,6,eu,1
kcbosbcxdjttrxnr.eu,0,0,0,20,19,6,eu,1
iadvwrddoxuvkqir.eu,0,0,0,64,19,6,eu,1
kjtwqoocbxuvkqir.eu,0,0,0,50,19,6,eu,1
ihveisduyyvxdjdr.eu,0,0,0,50,19,6,eu,1
kqmscpotlyvxdjdr.eu,0,0,0,20,19,6,eu,1
iooatgdmwnknjcxe.eu,0,0,0,64,19,6,eu,1
kxfondoljnknjcxe.eu,0,0,0,38,19,6,eu,1
ivhvrtpqhcypcufe.eu,0,0,0,38,19,6,eu,1
kflkyqbdhcypcufe.eu,0,0,0,29,19,6,eu,1
ctjshshdlpntwovl.eu,0,0,0,20,19,6,eu,1
ednhopscxcntwovl.eu,0,0,0,38,19,6,eu,1
cbposghuvqovphql.eu,0,0,0,38,19,6,eu,1
ekgdaqstiqovphql.eu,0,0,0,50,19,6,eu,1
ciikehhmtfdlvall.eu,0,0,0,50,19,6,eu,1
erylxqflgfdlvall.eu,0,0,0,29,19,6,eu,1
cpbgputqetenossx.eu,0,0,0,50,19,6,eu,1
