domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
gbjtyyhrhk.com,2,0,0,8,14,8,com,23,1
suogzzicvq.com,2,1,0,44,14,8,com,23,1
satcqmazby.com,2,0,0,30,14,8,com,23,1
sdcbiszvch.com,2,0,0,18,14,8,com,23,1
zjnmamdejw.com,1,0,0,30,14,8,com,23,1
slfvsokuzt.com,2,0,0,30,14,8,com,23,1
yhsfoslvey.com,2,0,0,30,14,8,com,23,1
kadlypferg.com,2,0,0,30,14,8,com,23,1
nmemhsouhl.com,2,0,0,44,14,8,com,23,1
qwvppuvwmy.com,2,0,0,18,14,8,com,23,1
lwawnlzhei.com,2,0,0,44,14,8,com,23,1
ftjxlqjgav.com,2,0,0,18,14,8,com,23,1
ubzqaxtprc.com,2,0,0,30,14,8,com,23,1
duurmwgtbt.com,2,0,0,30,14,8,com,23,1
gysaaonrpp.com,2,0,0,44,14,8,com,23,1
lqsssehadt.com,2,0,0,30,14,8,com,23,1
ykxctypfrw.com,2,0,0,8,14,8,com,23,1
mshybnszzf.com,2,0,0,8,14,8,com,23,1
ezxugszcag.com,2,0,0,44,14,8,com,23,1
dlbbqxpqaa.com,2,0,0,30,14,8,com,23,1
vkmkpcuxzv.com,2,0,0,18,14,8,com,23,1
jegdsqvxes.com,2,0,0,30,14,8,com,23,1
aornqyeptf.com,2,0,0,44,14,8,com,23,1
kafffhusfe.com,2,0,0,44,14,8,com,23,1
zhboeqxmjd.com,2,0,0,30,14,8,com,23,1
ypdqfvqosj.com,2,0,0,18,14,8,com,23,1
gqliwxbmvw.com,2,0,0,18,14,8,com,23,1
inqduvhqfo.com,2,0,0,44,14,8,com,23,1
ggwudkvxzn.com,2,0,0,18,14,8,com,23,1
jkogdmdsla.com,2,0,0,30,14,8,com,23,1
kpyxrrnozx.com,2,0,0,18,14,8,com,23,1
fhdeesvfyb.com,2,0,0,30,14,8,com,23,1
yszhthgzjp.com,2,0,0,8,14,8,com,23,1
uzofueqeuk.com,2,0,0,117,14,8,com,23,1
acjcvwrekp.com,2,0,0,30,14,8,com,23,1
naplddjqyq.com,2,0,0,18,14,8,com,23,1
zdixlevhva.com,2,0,0,44,14,8,com,23,1
actnmseebo.com,2,0,0,62,14,8,com,23,1
vwprlvvosb.com,2,0,0,18,14,8,com,23,1
tqwaksxugf.com,2,0,0,30,14,8,com,23,1
hjjnrcxvqn.com,2,0,0,8,14,8,com,23,1
yqkktqdzii.com,2,0,0,30,14,8,com,23,1
vhqjrucxsh.com,2,0,0,18,14,8,com,23,1
rpxmmujmck.com,2,0,0,18,14,8,com,23,1
aybenhohnv.com,2,0,0,44,14,8,com,23,1
hdoblqnvax.com,2,0,0,30,14,8,com,23,1
