domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
1yjm9lf1qwhr9m2bpdtlvsapzj.net,0,0,17,9,30,4,net,24,1
54olr41q8dd1y19k60201437kdm.biz,0,0,52,17,31,7,biz,24,1
1gnvxty16g64ali7mxrx1cmjbnh.org,0,0,23,15,31,4,org,24,1
15hg6yw1j60hxt1priykgo7q6f5.com,0,0,32,18,31,5,com,24,1
1psuzh79jgo8a1cv9fk316uj2sm.net,0,0,32,33,31,5,net,24,1
10qeett454mt92r7widvztieo.org,0,0,28,54,29,5,org,24,1
14rwyc115c6tzw19cy2oj129xvh4.net,0,0,41,12,32,6,net,24,1
1hmaw3k18byc08t5j2rm1i6t8ri.com,0,0,35,27,31,5,com,24,1
yuv2u8djz40i1qo58wq1yz5a8z.org,0,0,33,46,30,5,org,24,1
4l15waaqjxg71x122evpc4deq.biz,0,0,31,36,29,5,biz,24,1
lnh11q1qlaxig1sezdpb5kjayq.net,0,0,17,26,30,4,net,24,1
33tmw51l12u9u13bidn1jywhfy.com,0,0,33,27,30,5,com,24,1
945w80166aisf7tuepkr4h09l.net,0,0,41,45,29,6,net,24,1
el2yq7sfnzy71g6qxjd1f4vbty.biz,0,0,23,10,30,5,biz,24,1
on0gout3wyuo14z1dh4116npbg.org,0,0,30,43,30,5,org,24,1
16jrhki2lh3bc1hpvjap1vip5dq.com,0,0,23,21,31,4,com,24,1
1nxky8mnew12b12mis48xheq7w.net,0,0,30,25,30,5,net,24,1
1skle0w1bv3f54iqimeio6bw3l.org,0,0,27,50,30,5,org,24,1
x48ak51g5avy4fcikp8kxgec9.net,0,0,28,33,29,5,net,24,1
1wh8x531rvtbdh1wsvi8417vd76n.com,0,0,38,12,32,5,com,24,1
1lqd4p06y0ipo1641e1g6s0019.org,0,0,50,40,30,7,org,24,1
1op31pk105dvsv1cr4a1p5ocp5r.biz,0,0,35,27,31,5,biz,24,1
d0k3wiohzrz91xvzdvvdmyf83.net,0,0,21,16,29,5,net,24,1
wep0xq119os3n1utp1of18u5x9h.com,0,0,35,46,31,5,com,24,1
g022o8k0yqhtha4xah1jewalt.net,0,0,24,40,29,5,net,24,1
1jpff4m6276ip1wjf4vn18rth5v.biz,0,0,35,12,31,5,biz,24,1
n1f5st14rkcdp1gvm4gb18tfk5p.org,0,0,29,5,31,5,org,24,1
1vejv501iwzk0e1g4mbrv1emjh9g.com,0,0,28,29,32,5,com,24,1
6ldo461wh0tbe98kbw1kcokn5.net,0,0,31,27,29,5,net,24,1
vbnf8i1jm8to3cuxzzfpuc8ab.org,0,0,17,35,29,4,org,24,1
5xqnx8dq1h7e197eoxw19tllt1.net,0,0,33,27,30,5,net,24,1
9dimzn1peh11pxrcduo19chwcd.com,0,0,20,28,30,4,com,24,1
mtqi1n1r1pvo21qvbkrn1w4f1pw.org,0,0,26,16,31,5,org,24,1
caqb7jeksic4le4eo41pvrqir.biz,0,0,17,53,29,4,biz,24,1
9q5d0b1vb1e2b1cgv3hsbjdnhk.net,0,0,27,11,30,5,net,24,1
1yv71uo16m3qvlfn29w5u5vk33.com,0,0,40,31,30,6,com,24,1
1v5333q1caag09m5s2ae1wzenqy.net,0,0,35,46,31,5,net,24,1
1m5bm631qnpxclsajrctecdf49.biz,0,0,23,16,30,5,biz,24,1
x3lvlo9gejvm18tb2d6oblw2j.org,0,0,24,24,29,5,org,24,1
4h89zv17vzeps1c5th3akshj03.com,0,0,33,19,30,5,com,24,1
2e3dk1gfmvkh1us1ijj1w53g18.net,0,0,33,27,30,5,net,24,1
tcg3nb1nybbusvvkv5wwee65d.org,0,0,17,21,29,4,org,24,1
tb3sk31vfdxf0gi5daq8wovjw.net,0,0,21,22,29,5,net,24,1
1mev2kw1h3ducwx1vh3g1mg4488.com,0,0,35,19,31,5,com,24,1
19hl3y6qkj0r0175bi6u1n3vu8t.org,0,0,42,31,31,6,org,24,1
1f9rn5tv13xwm1dxu9aw1ixorce.biz,0,0,26,38,31,5,biz,24,1
1tsp8w21epnqdvq056eefbj4vx.net,0,0,27,24,30,5,net,24,1
tss3r2eda3lj1fwnfls18dxhoc.com,0,0,20,21,30,4,com,24,1
kh8qmxaxtid11lyabggig8z6y.net,0,0,17,28,29,4,net,24,1
11wm3hb1sb8k7kb4r3un6ggaxy.biz,0,0,30,18,30,5,biz,24,1
k3xsb7ljofjnvd7o2u11e3unl.org,0,0,24,40,29,5,org,24,1
1hz7acigk49vd1vxl9pm134a328.com,0,0,39,29,31,6,com,24,1
d0w5nf1qdfq4d1hlrnqr1xlg9zg.net,0,0,23,5,31,4,net,24,1
zklk1e1kghyze15biwq59wx06h.org,0,0,27,24,30,5,org,24,1
dyd7elbs83by7u1v6h1pjt1rc.net,0,0,28,18,29,5,net,24,1
1yqh2i1n6os7j6f1u7ggjg17f.com,0,0,34,29,29,6,com,24,1
1zhjd617rxs651o90srmy86ouf.org,0,0,37,29,30,6,org,24,1
akupccqsnxps11n58vkkr7j8n.biz,0,0,21,16,29,5,biz,24,1
17pz7v7164sooatepic72sjmd3.net,0,0,33,46,30,5,net,24,1
1gdtqvohec9e812kg8y6xxt7fk.com,0,0,27,24,30,5,com,24,1
1fyirw0898nlt1qviaip1m978ih.net,0,0,32,43,31,5,net,24,1
zyx83s15yiuojh93pww3yq7js.biz,0,0,28,25,29,5,biz,24,1
ns95tiydz95mfxffty1e7d8mb.org,0,0,24,17,29,5,org,24,1
13sta4a15cr5ltrgw0gv16x5r8.com,0,0,37,20,30,6,com,24,1
i8ybmvcy5f9212zqw3h1u0f1qq.net,0,0,33,19,30,5,net,24,1
18i3n4g1lmbzndvo38rq1x97qzx.org,0,0,32,18,31,5,org,24,1
1ttmzzy1sn89wpfmlrk91u04ckw.net,0,0,26,10,31,5,net,24,1
15h4yw7ury8de1st0fuwt74k1w.com,0,0,33,27,30,5,com,24,1
5tdjw1162koud1d4actchzatov.org,0,0,23,38,30,5,org,24,1
qm07h0j90quq13otv34aguo9.biz,0,0,36,55,28,6,biz,24,1
1gc0gl9idkqeo1615pt717u1u8g.net,0,0,39,50,31,6,net,24,1
1b40ekyay0t8y10yya7j1gb5t8x.com,0,0,35,27,31,5,com,24,1
1l8wjcv3wlylpr3gyy3vizp50.net,0,0,24,11,29,5,net,24,1
1qi2e5z1hwm8hv1jikfl7o4pvm4.biz,0,0,29,31,31,5,biz,24,1
qevx0o2530be8gzqi81j5gvab.org,0,0,31,46,29,5,org,24,1
1df31kfnwscnouranurr7wtav.com,0,0,14,33,29,4,com,24,1
1um7ylfcwmb20fyqde01qc6wty.net,0,0,23,16,30,5,net,24,1
83ho5ex1wr5xdzrg6rx3ut6.org,0,0,30,29,27,6,org,24,1
3qxrbi17n9x8d1io28w3tz520r.net,0,0,40,31,30,6,net,24,1
dspfz11suc89e1aa1pdmv5ewnp.com,0,0,23,38,30,5,com,24,1
oxzfie14srxql9ue33l2hak0e.org,0,0,24,62,29,5,org,24,1
lbxq1d1p3ksz813uzbe94eq7je.biz,0,0,30,33,30,5,biz,24,1
15f8ks31711xut1nsvjht1t4g6aw.net,0,0,38,19,32,5,net,24,1
1ktezzt128kt2t1y66igo1xu094c.com,0,0,38,36,32,5,com,24,1
1u8nmf5hbf0c1nsy5gpvu4ra8.net,0,0,28,25,29,5,net,24,1
10nalhi157bc5j1wxqz09smvtb9.biz,0,0,32,18,31,5,biz,24,1
1ryp7qirdbua27c6qchqip2ao.org,0,0,21,47,29,5,org,24,1
13kqcyopr53ja1pw17q98feywu.com,0,0,30,33,30,5,com,24,1
j6obc7o1uyse2ofjsz7er6pw.net,0,0,21,50,28,5,net,24,1
1oniapj1cla2xodcsgzetiq8xb.org,0,0,13,47,30,4,org,24,1
1gfmfl8qfuhty1b3arl71s345m7.net,0,0,32,18,31,5,net,24,1
1d0zw9fy2l5z5j6btdhu2nuy0.com,0,0,31,19,29,5,com,24,1
19t9y5r65v48rlbay481ibost9.org,0,0,40,31,30,6,org,24,1
1bfp9an1e59lpxkq2sqv19qw30c.biz,0,0,32,18,31,5,biz,24,1
gozlrv2x4hqj19gaynl1yd1lfu.net,0,0,20,21,30,4,net,24,1
1iohsr21rbp7a27oxbaiu9xey3.com,0,0,27,75,30,5,com,24,1
6vsxco99k06odzi3y7hnsrsc.net,0,0,25,25,28,5,net,24,1
1xj6n421dbnmf91s95qzw1fct2wk.biz,0,0,34,5,32,5,biz,24,1
trpmzo1xdualns1c4ya1et00zl.org,0,0,20,35,30,4,org,24,1
1icz5om1ohdg779m9oll13va78s.com,0,0,35,46,31,5,com,24,1
