domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
ltkvkhqscceciqgofcynzpxo.com,0,0,0,23,28,4,com,25,1
trgvsabqwsrcxtatwtconcuhu.net,0,0,0,27,29,4,net,25,1
ojofozaqmnlzdemnyjvvxoijzd.org,0,0,0,38,30,3,org,25,1
fydirlfheqtouzlgypvxpfmfov.info,0,0,0,30,31,3,info,25,1
cyudaxstovgabidqhqbagatl.biz,0,0,0,42,28,4,biz,25,1
mqhixgqwifkrbiyplfbyxijx.ru,0,0,0,24,27,4,ru,25,1
cugmcilhgqvgkztoongaebimndy.com,0,0,0,36,31,3,com,25,1
rgxordndqhqpforqwnjvkzhemxk.info,0,0,0,19,32,3,info,25,1
ylvsojdinvbitsyduyxmjgydwo.org,0,0,0,26,30,3,org,25,1
lvxgqohcqyhvonzpjgicyiugeyvkz.biz,0,0,0,28,33,3,biz,25,1
lngmcicmwovgisghuuglzaicmjv.com,0,0,0,36,31,3,com,25,1
kzpyxmjamorovqwincavcuwzcm.ru,0,0,0,33,29,4,ru,25,1
pzpbdxqwguukwsxprdaauemrssgus.com,0,0,0,33,33,3,com,25,1
eahecmvkdytdissgkbfmucbqrw.net,0,0,0,26,30,3,net,25,1
jvmjjbaikfojeatokbhauscupreyhih.biz,0,0,0,55,35,3,biz,25,1
wdswuglfcirovqogmdfippv.info,0,0,0,35,28,4,info,25,1
emzfusgwoxgeqtclfyhvkzppz.com,0,0,0,22,29,4,com,25,1
rwdyswdalbfuxgxtucswnvjrdtw.ru,0,0,0,16,30,3,ru,25,1
hdqoxnnzdmtbisofwsxcorx.com,0,0,0,24,27,4,com,25,1
wcpcuhpzdxcwvglhhiwtcde.biz,0,0,0,18,27,4,biz,25,1
zhkzpjxugdqhzhqokqctodybybyd.org,0,0,0,15,32,3,org,25,1
ozbezhizhcmswerhmmbswcazd.net,0,0,0,27,29,4,net,25,1
jvcusklzmjdadayohhkdq.com,0,0,0,26,25,4,com,25,1
obdqthhgytlzfpfqpnrdai.ru,0,0,0,20,25,4,ru,25,1
hvwythanbobknpjbhulnylwsdmkf.biz,0,0,0,15,32,3,biz,25,1
zdppaqwkslvljblhnzailpn.net,0,0,0,18,27,4,net,25,1
lxkjdindnvorkfyginlkntiz.org,0,0,0,23,28,4,org,25,1
vgnfpzhiscqcfylemxmbobhmdugdy.info,0,0,0,22,34,3,info,25,1
iflbeizainjppftkzqkroydswpzzt.com,0,0,0,28,33,3,com,25,1
facmpkvllsgdnzadtpznzpfkz.ru,0,0,0,12,28,4,ru,25,1
kjofigugeheeycudmdxkbyhaswt.com,0,0,0,43,31,3,com,25,1
dcuamxsggmlifnbypzfmifjrkzdi.info,0,0,0,28,33,3,info,25,1
xtoqcovsdufauukbamlpn.org,0,0,0,50,25,4,org,25,1
wgjfscibxljfbelqgvshobl.net,0,0,0,18,27,4,net,25,1
jrcqinifirmbztfmylscdnztgzdyp.biz,0,0,0,14,33,3,biz,25,1
