domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
recordsdestlawsappealed.ru,0,0,0,56,26,4,ru,26,1
dissolvedandconn.ru,0,0,0,50,19,6,ru,26,1
rightagabeenaauthority.ru,0,0,0,85,25,4,ru,26,1
withamongrights.ru,0,0,0,42,18,6,ru,26,1
andrighisoverthesedutyth.ru,0,0,0,53,27,4,ru,26,1
andestablishment.ru,0,0,0,50,19,6,ru,26,1
neceestablishmentevetila.ru,0,0,0,73,27,4,ru,26,1
districtstheseages.ru,0,0,0,54,21,5,ru,26,1
whichhashaspeopleredress.ru,0,0,0,53,27,4,ru,26,1
fobeysuchalliances.ru,0,0,0,67,21,5,ru,26,1
thethatstagenew.ru,0,0,0,55,18,6,ru,26,1
tpowerrightjustice.ru,0,0,0,54,21,5,ru,26,1
andmendictateestatherand.ru,0,0,0,62,27,4,ru,26,1
whhagesthirteenalliances.ru,0,0,0,62,27,4,ru,26,1
everypeolaalr.ru,0,0,0,88,16,7,ru,26,1
hobjlawsconstrained.ru,0,0,0,50,22,5,ru,26,1
happinessgoverforeign.ru,0,0,0,64,24,4,ru,26,1
forbandabuseslostation.ru,0,0,0,71,25,4,ru,26,1
unanimousthat.ru,0,0,0,88,16,7,ru,26,1
governmentunitedthey.ru,0,0,0,57,23,5,ru,26,1
thingsrelinquishlives.ru,0,0,0,53,24,4,ru,26,1
placesahaourlawsjutdec.ru,0,0,0,71,25,4,ru,26,1
sametogeacquiesce.ru,0,0,0,111,20,5,ru,26,1
futureabsolved.ru,0,0,0,78,17,6,ru,26,1
sexesonlythe.ru,0,0,0,56,15,7,ru,26,1
combinedestablishing.ru,0,0,0,57,23,5,ru,26,1
fourthemlawsnece.ru,0,0,0,64,19,6,ru,26,1
invasionsthatharinsti.ru,0,0,0,64,24,4,ru,26,1
futuretheirrights.ru,0,0,0,58,20,5,ru,26,1
opposingencouragea.ru,0,0,0,100,21,5,ru,26,1
consanbarbarous.ru,0,0,0,70,18,6,ru,26,1
theenthaththese.ru,0,0,0,55,18,6,ru,26,1
seasnativelives.ru,0,0,0,89,18,6,ru,26,1
representativestholaws.ru,0,0,0,60,25,4,ru,26,1
legisfadestruction.ru,0,0,0,67,21,5,ru,26,1
theircongress.ru,0,0,0,50,16,7,ru,26,1
justiceothearth.ru,0,0,0,70,18,6,ru,26,1
generalhereandentitletyr.ru,0,0,0,62,27,4,ru,26,1
ereourththeworldtimethe.ru,0,0,0,67,26,4,ru,26,1
sexesstatheopin.ru,0,0,0,70,18,6,ru,26,1
peoeviawlargereduce.ru,0,0,0,110,22,5,ru,26,1
conjouralassentlawsprove.ru,0,0,0,62,27,4,ru,26,1
altewithoutarbitrarythe.ru,0,0,0,67,26,4,ru,26,1
casestyrannyhiscauses.ru,0,0,0,53,24,4,ru,26,1
injuriesabsose.ru,0,0,0,100,17,6,ru,26,1
keptaalonethetheman.ru,0,0,0,75,22,5,ru,26,1
thetcitimoretheywitoppo.ru,0,0,0,67,26,4,ru,26,1
necehislargeeach.ru,0,0,0,80,19,6,ru,26,1
answeredcontract.ru,0,0,0,50,19,6,ru,26,1
depositoryovernamegreat.ru,0,0,0,79,26,4,ru,26,1
offfornotentitlejus.ru,0,0,0,62,22,5,ru,26,1
benatneceamcoasts.ru,0,0,0,73,20,5,ru,26,1
theyhaveauthindep.ru,0,0,0,73,20,5,ru,26,1
shoadissolvefawarimporo.ru,0,0,0,79,26,4,ru,26,1
answeredlawspatient.ru,0,0,0,62,22,5,ru,26,1
legiscasescauour.ru,0,0,0,100,19,6,ru,26,1
wantingwhagainstmerc.ru,0,0,0,47,23,5,ru,26,1
trialahistorygiving.ru,0,0,0,62,22,5,ru,26,1
mahehasforigdeclare.ru,0,0,0,75,22,5,ru,26,1
tdissolutionspreandthem.ru,0,0,0,56,26,4,ru,26,1
lawsfriendsandpolitical.ru,0,0,0,56,26,4,ru,26,1
examplethaandmahpowdiss.ru,0,0,0,56,26,4,ru,26,1
justiceforthnot.ru,0,0,0,55,18,6,ru,26,1
justicelawsmanytheir.ru,0,0,0,57,23,5,ru,26,1
repeatedthetyr.ru,0,0,0,60,17,6,ru,26,1
correspondenceoffithtout.ru,0,0,0,62,27,4,ru,26,1
betfreehistroops.ru,0,0,0,64,19,6,ru,26,1
largethemsdeclaring.ru,0,0,0,50,22,5,ru,26,1
motheirsuchindeedassent.ru,0,0,0,67,26,4,ru,26,1
forkncaptivebesettlement.ru,0,0,0,53,27,4,ru,26,1
stftrainharandlifthese.ru,0,0,0,50,25,4,ru,26,1
theiraccommodation.ru,0,0,0,82,21,5,ru,26,1
threpreseasssole.ru,0,0,0,64,19,6,ru,26,1
destructivebri.ru,0,0,0,60,17,6,ru,26,1
