domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
wsauinxpy.com,1,0,0,50,13,8,com,27,1
vgnpuhqsu.com,1,0,0,33,13,8,com,27,1
sptlwemzca.com,1,0,0,30,14,8,com,27,1
mfjyhkpc.com,1,0,0,10,12,9,com,27,1
gtdvbge.com,1,0,0,25,11,10,com,27,1
nypbhiz.com,1,0,0,25,11,10,com,27,1
nqvhhjysttaj.com,1,0,0,15,16,7,com,27,1
litqhfljtqd.com,2,0,0,17,15,7,com,27,1
piomvz.com,2,0,0,50,10,11,com,27,1
slkueiy.com,1,0,0,67,11,10,com,27,1
zgvcp.com,1,0,0,14,9,12,com,27,1
grueqf.com,1,0,0,50,10,11,com,27,1
jafbb.com,1,0,0,33,9,12,com,27,1
krbon.com,1,1,0,33,9,12,com,27,1
rqkqms.com,0,0,0,12,10,11,com,27,1
gqotdgszoe.com,1,0,0,44,14,8,com,27,1
pbnqlaor.com,1,0,0,38,12,9,com,27,1
fikurwuzf.com,1,0,0,50,13,8,com,27,1
gwnlv.com,2,0,0,14,9,12,com,27,1
ybudgehdm.com,2,0,0,33,13,8,com,27,1
yzqgq.com,1,1,0,14,9,12,com,27,1
ptaggcrlfwsn.com,2,0,0,15,16,7,com,27,1
oezdefexean.com,2,0,0,100,15,7,com,27,1
dwnuwbuqf.com,2,0,0,33,13,8,com,27,1
yehyuulqvj.com,1,0,0,44,14,8,com,27,1
kdztzqhvi.com,2,0,0,20,13,8,com,27,1
sskhuvroh.com,2,0,0,33,13,8,com,27,1
ebabqr.com,2,0,0,50,10,11,com,27,1
dwwjlbqlw.com,2,0,0,9,13,8,com,27,1
tlzhxihvp.com,1,0,0,20,13,8,com,27,1
dkgnt.com,2,1,0,14,9,12,com,27,1
pwvqtx.com,2,0,0,12,10,11,com,27,1
toyvsgu.com,2,0,0,43,11,10,com,27,1
bejslgoeby.com,2,0,0,44,14,8,com,27,1
ygtfrnejxyo.com,2,0,0,27,15,7,com,27,1
tbkbwkhhyska.com,2,0,0,15,16,7,com,27,1
czwwrf.com,2,0,0,12,10,11,com,27,1
tnjpfvlkf.com,2,0,0,9,13,8,com,27,1
mukkqbslka.com,2,0,0,30,14,8,com,27,1
hodkknnisqjt.com,2,0,0,25,16,7,com,27,1
ikaqg.com,1,1,0,60,9,12,com,27,1
axjgthfiptq.com,1,0,0,27,15,7,com,27,1
xwwmip.com,2,0,0,29,10,11,com,27,1
dwhafq.com,2,0,0,29,10,11,com,27,1
rswkeuwj.com,1,0,0,38,12,9,com,27,1
tnopc.com,1,0,0,33,9,12,com,27,1
nnqaiuznvjc.com,1,0,0,40,15,7,com,27,1
uqrasnwsivoj.com,2,0,0,50,16,7,com,27,1
lsqbkgfgjrk.com,2,0,0,8,15,7,com,27,1
bdnlpq.com,2,0,0,12,10,11,com,27,1
okrcm.com,2,0,0,33,9,12,com,27,1
klzenxapl.com,1,0,0,33,13,8,com,27,1
fqrrsrbfljk.com,1,0,0,8,15,7,com,27,1
mftggpinjeve.com,1,0,0,36,16,7,com,27,1
vloetf.com,1,0,0,50,10,11,com,27,1
gmvwwxxiklh.com,2,0,0,17,15,7,com,27,1
ykziwnjosl.com,1,0,0,30,14,8,com,27,1
iqqlhzav.com,1,0,0,38,12,9,com,27,1
dvnyu.com,1,0,0,33,9,12,com,27,1
eodmv.com,2,1,0,60,9,12,com,27,1
amxmlarxzu.com,2,0,0,44,14,8,com,27,1
yncpp.com,1,1,0,14,9,12,com,27,1
irnxiew.com,2,0,0,67,11,10,com,27,1
hxsfnexpb.com,2,0,0,20,13,8,com,27,1
wjtzzthk.com,2,0,0,10,12,9,com,27,1
qzorfgw.com,1,0,0,25,11,10,com,27,1
nhymgamjgb.com,1,0,0,18,14,8,com,27,1
yapuhd.com,2,0,0,50,10,11,com,27,1
hrckr.com,1,0,0,14,9,12,com,27,1
hbywnqver.com,1,0,0,20,13,8,com,27,1
gqeqzyxgwzz.com,0,0,0,17,15,7,com,27,1
agrheztwo.com,0,1,0,50,13,8,com,27,1
sdukmcrrt.com,0,0,0,20,13,8,com,27,1
gzrozbiabntw.com,1,0,0,36,16,7,com,27,1
syuirictwhg.com,1,0,0,40,15,7,com,27,1
rvackvw.com,1,0,0,25,11,10,com,27,1
ireddtsamq.com,1,0,0,44,14,8,com,27,1
ekifnyrkbgs.com,1,0,0,27,15,7,com,27,1
atjzhjphf.com,1,0,0,20,13,8,com,27,1
bjkog.com,2,1,0,33,9,12,com,27,1
wpabfkl.com,1,0,0,25,11,10,com,27,1
ijeexcx.com,2,0,0,67,11,10,com,27,1
cfptrrn.com,1,0,0,11,11,10,com,27,1
komqtnyvmq.com,1,0,0,18,14,8,com,27,1
ayeavzciuct.com,1,0,0,75,15,7,com,27,1
smoqnksjgml.com,1,0,0,17,15,7,com,27,1
muljidb.com,1,0,0,43,11,10,com,27,1
hpaeerv.com,1,0,0,67,11,10,com,27,1
rddmdld.com,2,0,0,11,11,10,com,27,1
gcjzfassqpuk.com,2,0,0,25,16,7,com,27,1
jxrxc.com,2,0,0,14,9,12,com,27,1
xkkngtuvkyz.com,1,0,0,17,15,7,com,27,1
kuskratlcjk.com,1,0,0,27,15,7,com,27,1
jptociidja.com,0,0,0,62,14,8,com,27,1
wwrqeu.com,1,0,0,50,10,11,com,27,1
hytvlpzuccgx.com,1,0,0,15,16,7,com,27,1
kapuvfjl.com,1,0,0,38,12,9,com,27,1
ruegewxsry.com,1,0,0,44,14,8,com,27,1
xtnpnwsxh.com,1,0,0,9,13,8,com,27,1
nfyhect.com,1,0,0,25,11,10,com,27,1
ipdaduzg.com,1,0,0,57,12,9,com,27,1
xsvlxk.com,1,0,0,12,10,11,com,27,1
vwytfwetfvz.com,0,0,0,17,15,7,com,27,1
dbzdscotks.com,1,0,0,18,14,8,com,27,1
qzwgevschb.com,0,0,0,18,14,8,com,27,1
bvubu.com,0,0,0,60,9,12,com,27,1
atggnkrwefx.com,1,0,0,27,15,7,com,27,1
yqijufmpk.com,1,0,0,33,13,8,com,27,1
piulky.com,2,0,0,50,10,11,com,27,1
jgbvb.com,0,0,0,14,9,12,com,27,1
fzomewygzyut.com,2,0,0,36,16,7,com,27,1
xydrslxqzf.com,0,0,0,8,14,8,com,27,1
xtweitrmjxg.com,0,0,0,27,15,7,com,27,1
axvkahcdmms.com,2,0,0,27,15,7,com,27,1
bpsicz.com,1,0,0,29,10,11,com,27,1
qjfksw.com,1,0,0,12,10,11,com,27,1
mqtvmw.com,1,0,0,12,10,11,com,27,1
tquzmlt.com,1,0,0,25,11,10,com,27,1
daandgihjwqn.com,2,0,0,36,16,7,com,27,1
vygempwkwz.com,1,0,0,18,14,8,com,27,1
ysxqy.com,1,1,0,14,9,12,com,27,1
tvftb.com,2,0,0,14,9,12,com,27,1
xlycuqgtbnsr.com,0,0,0,15,16,7,com,27,1
italvmr.com,2,0,0,43,11,10,com,27,1
flbne.com,2,0,0,33,9,12,com,27,1
zqmzvhlx.com,2,0,0,10,12,9,com,27,1
fxmrkxzcg.com,0,0,0,9,13,8,com,27,1
jjzvctqdtwr.com,0,0,0,8,15,7,com,27,1
vpkdtp.com,1,0,0,12,10,11,com,27,1
yukzyi.com,2,0,0,50,10,11,com,27,1
bcpgsh.com,2,0,0,12,10,11,com,27,1
ckmleu.com,0,0,0,50,10,11,com,27,1
jtsiddhr.com,0,0,0,22,12,9,com,27,1
sgocl.com,1,0,0,33,9,12,com,27,1
ijkwrpojcmm.com,2,0,0,27,15,7,com,27,1
lkphf.com,0,0,0,14,9,12,com,27,1
uxuksbnyd.com,1,0,0,33,13,8,com,27,1
yrjejdx.com,1,0,0,25,11,10,com,27,1
vrmhbhlh.com,1,0,0,10,12,9,com,27,1
jyapcrzrscvv.com,1,0,0,15,16,7,com,27,1
tlwrayuvp.com,1,0,0,33,13,8,com,27,1
iqudrarhyoo.com,1,0,0,75,15,7,com,27,1
fkqfnbthjcg.com,1,0,0,8,15,7,com,27,1
qmnfxnkdkfd.com,1,0,0,8,15,7,com,27,1
dypfymlhx.com,2,0,0,9,13,8,com,27,1
hgsukdcon.com,2,0,0,33,13,8,com,27,1
yzmlcyxymnh.com,2,0,0,8,15,7,com,27,1
aucokq.com,2,0,0,80,10,11,com,27,1
maedgrdbiusz.com,2,0,0,50,16,7,com,27,1
drxrsxgymbwr.com,1,0,0,7,16,7,com,27,1
crjvzavqdkd.com,1,0,0,17,15,7,com,27,1
omaxsnkicsp.com,0,0,0,40,15,7,com,27,1
uhphafltp.com,0,0,0,33,13,8,com,27,1
eriixr.com,1,0,0,80,10,11,com,27,1
dhvee.com,2,1,0,60,9,12,com,27,1
gvlopy.com,1,0,0,29,10,11,com,27,1
sexsxpx.com,1,0,0,25,11,10,com,27,1
xitpegp.com,2,0,0,43,11,10,com,27,1
pwhiqoqoe.com,1,0,0,71,13,8,com,27,1
fnfrru.com,1,0,0,29,10,11,com,27,1
girtodyn.com,1,0,0,38,12,9,com,27,1
gspammy.com,1,0,0,25,11,10,com,27,1
zykmkx.com,1,0,0,12,10,11,com,27,1
ijvhjft.com,1,0,0,25,11,10,com,27,1
noylchiym.com,2,0,0,33,13,8,com,27,1
fgovudplfen.com,1,0,0,40,15,7,com,27,1
xrnkdb.com,1,0,0,12,10,11,com,27,1
ptiuta.com,1,0,0,80,10,11,com,27,1
jpmbfsrlgw.com,0,0,0,8,14,8,com,27,1
cyfcgizys.com,2,0,0,20,13,8,com,27,1
dmziuj.com,1,0,0,50,10,11,com,27,1
vashdgejnuhd.com,2,0,0,36,16,7,com,27,1
zlkrlyre.com,1,0,0,22,12,9,com,27,1
avnkgspr.com,2,0,0,22,12,9,com,27,1
gbcbuglshj.com,2,0,0,18,14,8,com,27,1
loevztvhpogh.com,1,0,0,36,16,7,com,27,1
cwafcxwgjp.com,2,0,0,18,14,8,com,27,1
eberphdk.com,2,0,0,38,12,9,com,27,1
rchcal.com,0,0,0,29,10,11,com,27,1
synotkmj.com,2,0,0,22,12,9,com,27,1
qkoslfn.com,0,0,0,25,11,10,com,27,1
