domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
020c2318538057a9.net,1,0,70,67,20,20,net,28,1
02dce21597c6e71f.net,1,0,50,50,20,11,net,28,1
9c3b4fe3fba848a3.net,1,0,40,57,20,9,net,28,1
542703c273588fbf.net,1,0,60,17,20,14,net,28,1
fe3c19ba5ee88856.net,1,0,45,100,20,10,net,28,1
c827b9d0130b08ab.net,1,0,50,29,20,11,net,28,1
7f66cbe356889607.net,1,0,60,40,20,14,net,28,1
7372224c0e471967.net,1,0,70,67,20,20,net,28,1
e69300e3588ba1eb.net,1,0,50,125,20,11,net,28,1
1710b710d82b5ec9.net,1,0,55,33,20,12,net,28,1
01247dc1d13789b3.net,1,0,60,17,20,14,net,28,1
484b072f94637588.net,1,0,70,25,20,20,net,28,1
ba5091bbb4d1fdc8.net,1,0,35,20,20,8,net,28,1
205ea0e6fe5c3823.net,1,0,50,125,20,11,net,28,1
40e80f6818f74cbc.net,1,0,50,29,20,11,net,28,1
639444f7d52d0883.net,0,0,65,20,20,17,net,28,1
c6e5be5ec95abad4.net,1,0,30,86,20,8,net,28,1
3164168f83658393.net,1,0,75,33,20,25,net,28,1
b17112b575c0bada.net,1,0,45,43,20,10,net,28,1
0d84a90a5e716835.net,1,0,60,133,20,14,net,28,1
080e7b9a1d74a936.net,1,0,55,100,20,12,net,28,1
90b95a7450260a4d.net,1,0,60,75,20,14,net,28,1
5f6a921e3d0d663a.net,1,0,50,80,20,11,net,28,1
ce6fc25017e8248b.net,1,0,50,50,20,11,net,28,1
66c075fcf408476a.net,1,0,55,33,20,12,net,28,1
29d077263ea904d6.net,1,0,60,75,20,14,net,28,1
05f8f448f350e117.net,1,0,60,40,20,14,net,28,1
6fb5cd0360c4f63c.net,1,0,45,11,20,10,net,28,1
3f9bac1094d076ee.net,1,0,45,67,20,10,net,28,1
9248c26a0be23c01.net,1,0,55,60,20,12,net,28,1
52324371263253c7.net,1,0,75,33,20,25,net,28,1
3ca772205ab47c66.net,1,0,55,60,20,12,net,28,1
e09940cd3f45547e.net,0,0,55,60,20,12,net,28,1
b1c7c07949dfec47.net,1,0,45,25,20,10,net,28,1
bb1f1fd40faabae2.net,1,0,25,56,20,7,net,28,1
e8ead8c2b8422457.net,1,0,50,80,20,11,net,28,1
2740c650d8c960dd.net,1,0,55,14,20,12,net,28,1
ece67b8b1da43733.net,1,0,45,67,20,10,net,28,1
cbc558a69bf5ac12.net,1,0,40,38,20,9,net,28,1
fe9782375716068e.net,1,0,65,100,20,17,net,28,1
7698735387bfc251.net,0,0,65,20,20,17,net,28,1
