domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
lcwoflfm.com,2,0,0,22,12,9,com,29,1
wcpqszeyeglkxikzhshpky.com,2,0,0,19,26,4,com,29,1
rmanrebdjeupmbbmjkkashjw.com,2,0,0,29,28,4,com,29,1
lrlxedqf.com,2,0,0,22,12,9,com,29,1
aunmyggo.com,2,0,0,57,12,9,com,29,1
vdxqihsgrldshosjo.com,2,0,0,25,21,5,com,29,1
elyvatdhitsv.com,2,0,0,36,16,7,com,29,1
uchhvakr.com,2,0,0,38,12,9,com,29,1
vrbkjlwe.com,2,0,0,22,12,9,com,29,1
mwjsllseqknqoyitzcuyhk.com,2,0,0,25,26,4,com,29,1
fsgpkznbnwmpjijctbund.com,2,0,0,14,25,4,com,29,1
hkjegpiohsncdginfxs.com,2,0,0,29,23,5,com,29,1
mwxulysy.com,2,0,0,22,12,9,com,29,1
flfwwbwefxjqbsmdwbebdeh.com,2,0,0,18,27,4,com,29,1
gosiafxouoocfshjng.com,2,0,0,62,22,5,com,29,1
knzusiuu.com,2,0,0,83,12,9,com,29,1
ecgtnwvxigkjol.com,2,0,0,31,18,6,com,29,1
eanaztis.com,2,0,0,83,12,9,com,29,1
rufyeysqrijejl.com,2,0,0,42,18,6,com,29,1
ixvkfwue.com,2,0,0,57,12,9,com,29,1
nszpfvyn.com,2,0,0,10,12,9,com,29,1
ffvuzxyc.com,2,0,0,22,12,9,com,29,1
tdfdqwwnpljbppmko.com,2,0,0,11,21,5,com,29,1
hfdnsjyp.com,2,0,0,10,12,9,com,29,1
wkcnyvzl.com,2,0,0,10,12,9,com,29,1
bfofcwhxbt.com,1,0,0,18,14,8,com,29,1
gkeslexa.com,2,0,0,57,12,9,com,29,1
amqkxafm.com,2,0,0,38,12,9,com,29,1
mjnzacmrqvjffrmsguojbgq.com,2,0,0,18,27,4,com,29,1
sydaccss.com,2,0,0,22,12,9,com,29,1
pwhkgauqtklejjkrhoiea.com,2,0,0,50,25,4,com,29,1
wyhfuvol.com,2,0,0,38,12,9,com,29,1
znbeghswlbhkfsoxqaqgterh.com,2,0,0,23,28,4,com,29,1
ddixextblrmnjk.com,2,0,0,21,18,6,com,29,1
naopoylfviurrnb.com,2,0,0,50,19,6,com,29,1
jpqyrsly.com,2,0,0,10,12,9,com,29,1
ivqyhkbq.com,2,0,0,22,12,9,com,29,1
pgrlloyn.com,2,0,0,22,12,9,com,29,1
irzqqpuc.com,2,0,0,38,12,9,com,29,1
htdncxqldtjxzimm.com,2,0,0,12,20,5,com,29,1
cgtuvpcgggzuyewb.com,2,0,0,27,20,5,com,29,1
ymsvlwddmawpilzatsqqm.com,2,0,0,20,25,4,com,29,1
ithimookubdy.com,2,0,0,67,16,7,com,29,1
eiekstvieiauxevflxxl.com,2,0,0,77,24,4,com,29,1
ivlrsmohqzhvv.com,2,0,0,23,17,6,com,29,1
smwripfzwqqlf.com,2,0,0,14,17,6,com,29,1
nxfjxpmt.com,2,0,0,10,12,9,com,29,1
ekhjkysl.com,2,0,0,22,12,9,com,29,1
lltccvgytdzmzywdscuynaxp.com,2,0,0,12,28,4,com,29,1
ceonuxfl.com,2,0,0,57,12,9,com,29,1
lkbaabsspohgf.com,2,0,0,33,17,6,com,29,1
osblggwn.com,2,0,0,22,12,9,com,29,1
rvtutgag.com,2,0,0,38,12,9,com,29,1
ucqrejzhucmvhmj.com,2,0,0,29,19,6,com,29,1
jkramsio.com,2,0,0,57,12,9,com,29,1
zsfkjkmm.com,2,0,0,10,12,9,com,29,1
rzktskhf.com,2,0,0,10,12,9,com,29,1
vhxqxmakndrwsvedib.com,2,0,0,24,22,5,com,29,1
lcupwrbbxuanbevwhp.com,2,0,0,31,22,5,com,29,1
zuwveoxv.com,2,0,0,57,12,9,com,29,1
ltkrjzplxlgxkupiu.com,2,0,0,25,21,5,com,29,1
jcuozshexqoqcphphs.com,2,0,0,31,22,5,com,29,1
jxguztpuflcicgtdoi.com,2,0,0,40,22,5,com,29,1
czhqassc.com,2,0,0,22,12,9,com,29,1
vavfvwyx.com,2,0,0,22,12,9,com,29,1
nyaypyxqf.com,2,0,0,20,13,8,com,29,1
doyloprfdserr.com,2,0,0,33,17,6,com,29,1
nekzhplr.com,2,0,0,22,12,9,com,29,1
sehqomocsebqrrulh.com,2,0,0,43,21,5,com,29,1
cqqbbvjp.com,2,0,0,10,12,9,com,29,1
czbsvuoi.com,2,0,0,57,12,9,com,29,1
sfkjojphoxgtnmpqeu.com,2,0,0,31,22,5,com,29,1
pxxaldeo.com,2,0,0,57,12,9,com,29,1
xhraobeslh.com,2,0,0,44,14,8,com,29,1
nbttcccbbjz.com,2,0,0,8,15,7,com,29,1
pchqhfsytkdkeqszt.com,2,0,0,11,21,5,com,29,1
unxvjpad.com,2,0,0,38,12,9,com,29,1
tunptwmf.com,2,0,0,22,12,9,com,29,1
meznyzylust.com,2,0,0,27,15,7,com,29,1
ucmaejhoyuiahmnphz.com,2,0,0,62,22,5,com,29,1
iidgfaum.com,2,0,0,83,12,9,com,29,1
colerikkycpyurgtxl.com,2,0,0,31,22,5,com,29,1
xpscvkfqbdm.com,2,0,0,8,15,7,com,29,1
psgxcnlx.com,2,0,0,10,12,9,com,29,1
djejhhnh.com,2,0,0,22,12,9,com,29,1
leywtyzw.com,2,0,0,22,12,9,com,29,1
gyyivmrkkyewqjrrlr.com,2,0,0,17,22,5,com,29,1
fjwudtbgfvqugafhgecx.com,2,0,0,28,24,4,com,29,1
wtdxfqyxkthjah.com,2,0,0,13,18,6,com,29,1
mjsazshsqbygulxvyreqrk.com,2,0,0,19,26,4,com,29,1
msculizc.com,2,0,0,38,12,9,com,29,1
kxkpbwljwpovejhaitbulr.com,2,0,0,32,26,4,com,29,1
hihldzsnhidbyoscdq.com,2,0,0,24,22,5,com,29,1
wuatlxpfkygtikp.com,2,0,0,29,19,6,com,29,1
jbxhfwwnjbtbgjcoot.com,2,0,0,17,22,5,com,29,1
thrdsxerbdvfraace.com,2,0,0,33,21,5,com,29,1
bwiqolpctemoncj.com,2,0,0,38,19,6,com,29,1
vgflpsun.com,2,0,0,22,12,9,com,29,1
dqxsywwwrqd.com,2,0,0,8,15,7,com,29,1
vwyrnpvhnwuvqe.com,2,0,0,21,18,6,com,29,1
idrljrenqzvzkiakiar.com,2,0,0,47,23,5,com,29,1
dhduwumghl.com,2,0,0,30,14,8,com,29,1
cpruhxecktx.com,2,0,0,27,15,7,com,29,1
xhoetxls.com,2,0,0,38,12,9,com,29,1
adtlmpinalnzrgikuhlrtlye.com,2,0,0,35,28,4,com,29,1
kbkkzrlesboqaehlgzquhv.com,2,0,0,32,26,4,com,29,1
wbyflndt.com,2,0,0,10,12,9,com,29,1
ezcduyzv.com,2,0,0,38,12,9,com,29,1
itiikrrg.com,2,0,0,57,12,9,com,29,1
kboqjlhk.com,2,0,0,22,12,9,com,29,1
dtgizots.com,2,0,0,38,12,9,com,29,1
qlgrddrdqdkreslkk.com,2,0,0,11,21,5,com,29,1
pqyygtdu.com,2,0,0,22,12,9,com,29,1
qbcibgno.com,2,0,0,38,12,9,com,29,1
pejkyqmmpepydnglflhootdf.com,2,0,0,23,28,4,com,29,1
gjetznpj.com,2,0,0,22,12,9,com,29,1
diiwkbjs.com,2,0,0,38,12,9,com,29,1
hivhiuujhabv.com,2,0,0,67,16,7,com,29,1
fptrqccd.com,2,0,0,10,12,9,com,29,1
jwtmixyg.com,2,0,0,22,12,9,com,29,1
fappmrgn.com,2,0,0,22,12,9,com,29,1
bbanasxdnterfbraevrampvo.com,2,0,0,42,28,4,com,29,1
hzsespxsllyexcxrqlt.com,2,0,0,16,23,5,com,29,1
rhfntqqp.com,2,0,0,10,12,9,com,29,1
thozqydd.com,2,0,0,22,12,9,com,29,1
reksghhaneomfwhbtyncbb.com,2,0,0,25,26,4,com,29,1
dgnqbyikd.com,2,0,0,20,13,8,com,29,1
tugshila.com,2,0,0,57,12,9,com,29,1
imtfiowxuuplfzgwdyilwmy.com,2,0,0,37,27,4,com,29,1
eolfyekxechldvowlvqck.com,2,0,0,33,25,4,com,29,1
gjbvltsd.com,2,0,0,10,12,9,com,29,1
oxlzuxkrktffraqymbamjzmm.com,2,0,0,23,28,4,com,29,1
xziivvngllesymrryiavz.com,2,0,0,33,25,4,com,29,1
llzrprylhz.com,2,0,0,8,14,8,com,29,1
dltqmvcc.com,2,0,0,10,12,9,com,29,1
vjtarveorfn.com,2,0,0,40,15,7,com,29,1
qnlmqaeombhcpxofaxjixz.com,2,0,0,39,26,4,com,29,1
ccxtksab.com,2,0,0,22,12,9,com,29,1
uohskgse.com,2,0,0,57,12,9,com,29,1
gidwqwys.com,2,0,0,22,12,9,com,29,1
hfbvpcwdz.com,2,0,0,9,13,8,com,29,1
smminxfo.com,2,0,0,38,12,9,com,29,1
hfsrhyxhhnov.com,2,0,0,15,16,7,com,29,1
lbhukhmu.com,2,0,0,38,12,9,com,29,1
kdehcrrj.com,2,0,0,22,12,9,com,29,1
rmwnlutp.com,2,0,0,22,12,9,com,29,1
ceytinzfyisthudy.com,2,0,0,36,20,5,com,29,1
irkcenfq.com,2,0,0,38,12,9,com,29,1
qbhowsom.com,2,0,0,38,12,9,com,29,1
idvaiocsi.com,2,0,0,100,13,8,com,29,1
