domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
b727c325.top,0,0,50,25,12,20,top,30,1
b727c325.net,0,0,50,25,12,20,net,30,1
c86f1c33.space,0,0,36,33,14,12,space,30,1
c86f1c33.top,0,0,42,20,12,17,top,30,1
c86f1c33.net,0,0,42,20,12,17,net,30,1
51664d89.space,0,0,50,50,14,17,space,30,1
51664d89.top,0,0,58,33,12,25,top,30,1
51664d89.net,0,0,58,33,12,25,net,30,1
26617d1f.space,0,0,43,40,14,14,space,30,1
26617d1f.top,0,0,50,25,12,20,top,30,1
26617d1f.net,0,0,50,25,12,20,net,30,1
b805e8bc.space,0,0,29,50,14,11,space,30,1
b805e8bc.top,0,0,33,40,12,14,top,30,1
b805e8bc.net,0,0,33,40,12,14,net,30,1
cf02d82a.space,0,0,29,50,14,11,space,30,1
cf02d82a.top,0,0,33,40,12,14,top,30,1
cf02d82a.net,0,0,33,40,12,14,net,30,1
560b8990.space,0,0,50,50,14,17,space,30,1
560b8990.top,0,0,58,33,12,25,top,30,1
560b8990.net,0,0,58,33,12,25,net,30,1
210cb906.space,0,0,43,40,14,14,space,30,1
210cb906.top,0,0,50,25,12,20,top,30,1
210cb906.net,0,0,50,25,12,20,net,30,1
b1b3a497.space,0,0,36,60,14,12,space,30,1
b1b3a497.top,0,0,42,50,12,17,top,30,1
b1b3a497.net,0,0,42,50,12,17,net,30,1
c6b49401.space,0,0,43,40,14,14,space,30,1
c6b49401.top,0,0,50,25,12,20,top,30,1
c6b49401.net,0,0,50,25,12,20,net,30,1
4bc3d12b.space,0,0,29,29,14,11,space,30,1
4bc3d12b.top,0,0,33,17,12,14,top,30,1
4bc3d12b.net,0,0,33,17,12,14,net,30,1
3cc4e1bd.space,0,0,21,43,14,10,space,30,1
3cc4e1bd.top,0,0,25,33,12,12,top,30,1
3cc4e1bd.net,0,0,25,33,12,12,net,30,1
a5cdb007.space,0,0,29,50,14,11,space,30,1
a5cdb007.top,0,0,33,40,12,14,top,30,1
a5cdb007.net,0,0,33,40,12,14,net,30,1
d2ca8091.space,0,0,36,60,14,12,space,30,1
d2ca8091.top,0,0,42,50,12,17,top,30,1
d2ca8091.net,0,0,42,50,12,17,net,30,1
4cae1532.space,0,0,36,100,14,12,space,30,1
