domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
dgqemko.fr,0,0,0,29,10,11,fr,31,1
yytsgypat.us,0,0,0,22,12,9,us,31,1
ewxjjtoehlkygcfo.in,0,0,0,38,19,6,in,31,1
xxbgguujnfnmsvfe.uk,0,0,0,29,19,6,uk,31,1
mdyjiygdqqaxtm.ru,0,0,0,23,17,6,ru,31,1
kluvgfdmmn.fr,0,0,0,9,13,8,fr,31,1
kpwiqmoibukehbeh.nl,1,0,0,50,19,6,nl,31,1
xmkhnsgij.in,0,0,0,22,12,9,in,31,1
xlfxfdv.pw,0,0,0,0,10,11,pw,31,1
fyhbtvmlsauma.us,0,0,0,36,16,7,us,31,1
uohlrpfihoeaxknk.de,0,0,0,64,19,6,de,31,1
iprufgnf.pm,0,0,0,25,11,10,pm,31,1
lxlnxmgbhyoclg.pw,0,0,0,7,17,6,pw,31,1
ppnvtyf.in,0,0,0,12,10,11,in,31,1
ojsqogmeflmlsros.be,0,0,0,38,19,6,be,31,1
xmkhnsgij.in,0,0,0,22,12,9,in,31,1
xlfxfdv.pw,0,0,0,0,10,11,pw,31,1
fyhbtvmlsauma.us,0,0,0,36,16,7,us,31,1
uohlrpfihoeaxknk.de,0,0,0,64,19,6,de,31,1
iprufgnf.pm,0,0,0,25,11,10,pm,31,1
lxlnxmgbhyoclg.pw,0,0,0,7,17,6,pw,31,1
ppnvtyf.in,0,0,0,12,10,11,in,31,1
ojsqogmeflmlsros.be,0,0,0,38,19,6,be,31,1
tyypuyjln.be,0,0,0,22,12,9,be,31,1
uurmiwbhjngoe.be,0,0,0,67,16,7,be,31,1
wylgxxaquuuuxsptg.yt,0,0,0,36,20,5,yt,31,1
hhifwsfjcspc.in,0,0,0,17,15,7,in,31,1
drinwgf.it,0,0,0,29,10,11,it,31,1
pkwlvodtxehftbwu.in,0,0,0,29,19,6,in,31,1
cnhrikuhlmom.be,0,0,0,40,15,7,be,31,1
hvxbsfpmhf.eu,0,0,0,20,13,8,eu,31,1
tyypuyjln.be,0,0,0,22,12,9,be,31,1
uurmiwbhjngoe.be,0,0,0,67,16,7,be,31,1
wylgxxaquuuuxsptg.yt,0,0,0,36,20,5,yt,31,1
hhifwsfjcspc.in,0,0,0,17,15,7,in,31,1
drinwgf.it,0,0,0,29,10,11,it,31,1
pkwlvodtxehftbwu.in,0,0,0,29,19,6,in,31,1
cnhrikuhlmom.be,0,0,0,40,15,7,be,31,1
hvxbsfpmhf.eu,0,0,0,20,13,8,eu,31,1
vlocfthdnfpbgmh.be,0,0,0,13,18,6,be,31,1
aeucxaycrwcr.in,0,0,0,56,15,7,in,31,1
rvbcitehatcrshy.fr,0,0,0,21,18,6,fr,31,1
utedpipra.pm,0,0,0,57,12,9,pm,31,1
yegckyallevgaeijn.pw,0,0,0,46,20,5,pw,31,1
kdnnuohsgvrlgberu.be,0,0,0,36,20,5,be,31,1
istpqtkt.nl,0,0,0,11,11,10,nl,31,1
shdddwqhyvonyx.uk,0,0,0,14,17,6,uk,31,1
vlocfthdnfpbgmh.be,0,0,0,13,18,6,be,31,1
