domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
3ipp3xuzn2.com,1,0,21,43,14,10,com,32,1
www.3ipp3xuzn2.com,1,0,17,30,18,15,com,32,1
norkfcncep.org,0,0,0,30,14,8,org,32,1
www.norkfcncep.org,1,0,0,23,18,12,org,32,1
b9koz9cfsv.info,0,0,13,33,15,8,info,32,1
www.b9koz9cfsv.info,2,0,11,25,19,13,info,32,1
zl4w1ywkcb.net,0,0,14,10,14,9,net,32,1
www.zl4w1ywkcb.net,2,0,11,8,18,14,net,32,1
d0yfmwte92.com,0,0,21,25,14,10,com,32,1
www.d0yfmwte92.com,2,0,17,18,18,15,com,32,1
cqzlyy4r70.org,0,0,21,11,14,10,org,32,1
www.cqzlyy4r70.org,2,0,17,8,18,15,org,32,1
w6zwihbwio.info,0,0,7,62,15,8,info,32,1
www.w6zwihbwio.info,2,0,5,45,19,12,info,32,1
n2cackqdam.net,0,0,7,33,14,8,net,32,1
www.n2cackqdam.net,2,0,6,25,18,13,net,32,1
6jh8djurlq.com,0,0,14,22,14,9,com,32,1
www.6jh8djurlq.com,2,0,11,17,18,14,com,32,1
mdfpzugyee.org,0,0,0,44,14,8,org,32,1
www.mdfpzugyee.org,2,0,0,33,18,12,org,32,1
yucunblst3.info,0,0,7,44,15,8,info,32,1
www.yucunblst3.info,2,0,5,33,19,12,info,32,1
ms4qvaqbfj.net,0,0,7,20,14,8,net,32,1
www.ms4qvaqbfj.net,2,0,6,15,18,13,net,32,1
ovkdxfokzv.com,0,0,0,30,14,8,com,32,1
www.ovkdxfokzv.com,2,0,0,23,18,12,com,32,1
u6urscrrk6.org,0,0,14,38,14,9,org,32,1
www.u6urscrrk6.org,2,0,11,27,18,14,org,32,1
7wxdv4ko7j.info,0,0,20,38,15,9,info,32,1
www.7wxdv4ko7j.info,2,0,16,27,19,14,info,32,1
a3wanm9tiu.net,0,0,14,83,14,9,net,32,1
www.a3wanm9tiu.net,2,0,11,56,18,14,net,32,1
8gdgsnvzbk.com,0,0,7,9,14,8,com,32,1
www.8gdgsnvzbk.com,2,0,6,7,18,13,com,32,1
yucb4xun51.org,0,0,21,43,14,10,org,32,1
www.yucb4xun51.org,2,0,17,30,18,15,org,32,1
5iedn8pao3.info,0,0,20,120,15,9,info,32,1
www.5iedn8pao3.info,2,0,16,75,19,14,info,32,1
n5wzg9nvlf.net,0,0,14,10,14,9,net,32,1
www.n5wzg9nvlf.net,2,0,11,8,18,14,net,32,1
gy7h1eunzx.com,0,0,14,38,14,9,com,32,1
www.gy7h1eunzx.com,2,0,11,27,18,14,com,32,1
q77mygab2h.org,0,0,21,25,14,10,org,32,1
www.q77mygab2h.org,2,0,17,18,18,15,org,32,1
x3vr7fujhv.info,0,0,13,33,15,8,info,32,1
www.x3vr7fujhv.info,2,0,11,25,19,13,info,32,1
k4gs4f0p1d.net,0,0,29,12,14,11,net,32,1
www.k4gs4f0p1d.net,2,0,22,9,18,17,net,32,1
t8ozdrm7it.com,0,0,14,38,14,9,com,32,1
www.t8ozdrm7it.com,2,0,11,27,18,14,com,32,1
lwhma1sp3b.org,0,0,14,22,14,9,org,32,1
www.lwhma1sp3b.org,2,0,11,17,18,14,org,32,1
jcevu6f8qn.info,0,0,13,50,15,8,info,32,1
www.jcevu6f8qn.info,2,0,11,36,19,13,info,32,1
wb02o7dcww.net,0,0,21,25,14,10,net,32,1
www.wb02o7dcww.net,1,0,17,18,18,15,net,32,1
lufwdyiqcl.com,0,0,0,30,14,8,com,32,1
www.lufwdyiqcl.com,2,0,0,23,18,12,com,32,1
k4uso1k8gw.org,0,0,21,43,14,10,org,32,1
