domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
readingpasscontribution.com,0,0,0,62,27,4,com,33,1
campsailorder.com,0,1,0,60,17,6,com,33,1
recognitionbeen.com,0,0,0,80,19,6,com,33,1
partyauthorinterest.com,0,0,0,57,23,5,com,33,1
purplereasonfarm.com,0,1,0,58,20,5,com,33,1
careerhascare.com,0,0,0,78,17,6,com,33,1
assistremovecoach.com,0,0,0,67,21,5,com,33,1
nothingpackage.com,1,1,0,55,18,6,com,33,1
catpeakfearinterview.com,0,0,0,77,24,4,com,33,1
partyauthorinterest.com,0,0,0,57,23,5,com,33,1
purplereasonfarm.com,0,1,0,58,20,5,com,33,1
careerhascare.com,0,0,0,78,17,6,com,33,1
assistremovecoach.com,0,0,0,67,21,5,com,33,1
nothingpackage.com,1,1,0,55,18,6,com,33,1
catpeakfearinterview.com,0,0,0,77,24,4,com,33,1
morningignore.com,0,0,0,60,17,6,com,33,1
counteraccuse.com,1,1,0,78,17,6,com,33,1
surprisewererequest.com,0,0,0,69,23,5,com,33,1
assistremovecoach.com,0,0,0,67,21,5,com,33,1
nothingpackage.com,1,1,0,55,18,6,com,33,1
catpeakfearinterview.com,0,0,0,77,24,4,com,33,1
morningignore.com,0,0,0,60,17,6,com,33,1
counteraccuse.com,1,1,0,78,17,6,com,33,1
surprisewererequest.com,0,0,0,69,23,5,com,33,1
trafficpricedirection.com,0,0,0,60,25,4,com,33,1
novelhorseboyfriend.com,0,1,0,57,23,5,com,33,1
proposalfanpause.com,0,0,0,73,20,5,com,33,1
morningignore.com,0,0,0,60,17,6,com,33,1
counteraccuse.com,1,1,0,78,17,6,com,33,1
surprisewererequest.com,0,0,0,69,23,5,com,33,1
trafficpricedirection.com,0,0,0,60,25,4,com,33,1
novelhorseboyfriend.com,0,1,0,57,23,5,com,33,1
proposalfanpause.com,0,0,0,73,20,5,com,33,1
airportconference.com,1,1,0,67,21,5,com,33,1
officerkilllove.com,0,0,0,64,19,6,com,33,1
courtapproach.com,0,0,0,60,17,6,com,33,1
