domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
gefrdypxyspb.tech,2,0,0,14,17,6,tech,34,1
qildykhleois.tech,1,0,0,45,17,6,tech,34,1
vmdefmnsndoj.tech,2,0,0,23,17,6,tech,34,1
xpknpxmywqsr.support,2,1,0,12,20,5,support,34,1
kedbuffigfjs.online,2,1,0,50,19,6,online,34,1
pjapobyvmsne.support,2,0,0,36,20,5,support,34,1
bwhrdaumwuvn.support,2,0,0,36,20,5,support,34,1
bpmsfckfkrpr.support,2,1,0,12,20,5,support,34,1
oornsduuwjli.tech,2,0,0,60,17,6,tech,34,1
qjqubpciajoc.tech,2,1,0,45,17,6,tech,34,1
exvdaajegjur.support,2,0,0,58,20,5,support,34,1
poorcetnmjfc.online,2,1,0,50,19,6,online,34,1
ulficqrujekp.support,2,1,0,46,20,5,support,34,1
qqnbfqrdjyjk.support,2,0,0,12,20,5,support,34,1
aojpocslpwsu.support,2,1,0,46,20,5,support,34,1
vtrndmhsgada.online,2,0,0,38,19,6,online,34,1
nmrawjqbdgxi.tech,1,0,0,23,17,6,tech,34,1
sefdjnmvctwv.tech,2,0,0,14,17,6,tech,34,1
divitpvjexxh.tech,1,0,0,33,17,6,tech,34,1
fxdgbaifiqhs.support,2,1,0,36,20,5,support,34,1
xvrvdsuhphjg.online,2,1,0,29,19,6,online,34,1
dnoxhnhyghqq.support,2,0,0,19,20,5,support,34,1
wojeohsgfspe.support,2,0,0,46,20,5,support,34,1
dxmgamuevfjy.support,2,1,0,36,20,5,support,34,1
vkefdmrkscke.tech,1,0,0,23,17,6,tech,34,1
xrdbvxyjxhca.tech,1,1,0,14,17,6,tech,34,1
gtpcnqcfvqpq.support,2,0,0,12,20,5,support,34,1
dgjyfmrensro.online,1,1,0,38,19,6,online,34,1
ipaactrwlvcy.support,2,1,0,36,20,5,support,34,1
mupopplhslea.support,2,0,0,46,20,5,support,34,1
nsxylkawrdae.support,2,1,0,36,20,5,support,34,1
rxnnrlhegisn.online,1,0,0,38,19,6,online,34,1
brrgceodumxk.tech,2,0,0,33,17,6,tech,34,1
nvgabbhltodw.tech,1,0,0,23,17,6,tech,34,1
xavvbgniayqg.tech,1,0,0,33,17,6,tech,34,1
sdoplblbefwm.support,2,1,0,27,20,5,support,34,1
snkuuboupqsx.online,1,1,0,64,19,6,online,34,1
qsvswidnhxqf.support,1,0,0,19,20,5,support,34,1
rgmlxftuqtns.support,1,0,0,19,20,5,support,34,1
qdxkgcaoluhs.support,2,1,0,36,20,5,support,34,1
qcaodvjpqcvk.tech,1,0,0,23,17,6,tech,34,1
lwkgypfuchrj.tech,2,1,0,14,17,6,tech,34,1
blbdxbwooohg.support,1,0,0,36,20,5,support,34,1
xxxcujgnxiap.online,2,1,0,50,19,6,online,34,1
vudcifwrwoox.support,2,1,0,46,20,5,support,34,1
aaovdyhgfwmb.support,2,0,0,36,20,5,support,34,1
brrgceodumxk.tech,2,0,0,33,17,6,tech,34,1
nvgabbhltodw.tech,1,0,0,23,17,6,tech,34,1
xavvbgniayqg.tech,1,0,0,33,17,6,tech,34,1
sdoplblbefwm.support,2,1,0,27,20,5,support,34,1
snkuuboupqsx.online,1,1,0,64,19,6,online,34,1
qsvswidnhxqf.support,1,0,0,19,20,5,support,34,1
rgmlxftuqtns.support,1,0,0,19,20,5,support,34,1
qdxkgcaoluhs.support,2,1,0,36,20,5,support,34,1
qcaodvjpqcvk.tech,1,0,0,23,17,6,tech,34,1
lwkgypfuchrj.tech,2,1,0,14,17,6,tech,34,1
blbdxbwooohg.support,1,0,0,36,20,5,support,34,1
xxxcujgnxiap.online,2,1,0,50,19,6,online,34,1
vudcifwrwoox.support,2,1,0,46,20,5,support,34,1
aaovdyhgfwmb.support,2,0,0,36,20,5,support,34,1
bxmxwftsggra.support,2,0,0,19,20,5,support,34,1
fdxvowjmsudu.online,2,0,0,50,19,6,online,34,1
mjftuqibhuch.tech,2,0,0,33,17,6,tech,34,1
kokashdrvurm.tech,2,0,0,33,17,6,tech,34,1
jrmoqvpeahxh.tech,2,0,0,33,17,6,tech,34,1
euviovpeqqsu.support,2,1,0,73,20,5,support,34,1
efuwlkmirpie.online,2,1,0,80,19,6,online,34,1
ckwvxnmlflyi.support,2,0,0,19,20,5,support,34,1
oyxgiyuwkfyg.support,2,0,0,36,20,5,support,34,1
nvlnhjkkletb.support,2,1,0,19,20,5,support,34,1
ctvtsrcnvyvq.tech,2,0,0,7,17,6,tech,34,1
wowldwtcpowb.tech,2,1,0,23,17,6,tech,34,1
xeeitoihavkw.support,1,0,0,73,20,5,support,34,1
jpbrnmonoegg.online,2,1,0,50,19,6,online,34,1
hmwpencxavsi.support,2,1,0,36,20,5,support,34,1
wspasbmeilxh.support,2,0,0,36,20,5,support,34,1
mpmfqdmkvveo.support,2,1,0,27,20,5,support,34,1
mjftuqibhuch.tech,2,0,0,33,17,6,tech,34,1
kokashdrvurm.tech,2,0,0,33,17,6,tech,34,1
jrmoqvpeahxh.tech,2,0,0,33,17,6,tech,34,1
euviovpeqqsu.support,2,1,0,73,20,5,support,34,1
efuwlkmirpie.online,2,1,0,80,19,6,online,34,1
ckwvxnmlflyi.support,2,0,0,19,20,5,support,34,1
oyxgiyuwkfyg.support,2,0,0,36,20,5,support,34,1
nvlnhjkkletb.support,2,1,0,19,20,5,support,34,1
ctvtsrcnvyvq.tech,2,0,0,7,17,6,tech,34,1
wowldwtcpowb.tech,2,1,0,23,17,6,tech,34,1
xeeitoihavkw.support,1,0,0,73,20,5,support,34,1
jpbrnmonoegg.online,2,1,0,50,19,6,online,34,1
hmwpencxavsi.support,2,1,0,36,20,5,support,34,1
wspasbmeilxh.support,2,0,0,36,20,5,support,34,1
mpmfqdmkvveo.support,2,1,0,27,20,5,support,34,1
cvfppqjnyewn.online,2,1,0,29,19,6,online,34,1
eontjlrvrkax.tech,2,0,0,33,17,6,tech,34,1
tgxxdhcwaqio.tech,2,0,0,33,17,6,tech,34,1
bmrxembdavvg.tech,2,0,0,23,17,6,tech,34,1
ycydknpltoff.support,2,0,0,19,20,5,support,34,1
yxkcaimdejhk.online,2,0,0,50,19,6,online,34,1
tphxykkypmqb.support,2,0,0,12,20,5,support,34,1
usfivvkmuljb.support,2,0,0,36,20,5,support,34,1
tabwfnhxkkpo.support,2,0,0,27,20,5,support,34,1
tovumtmcxlre.tech,2,0,0,33,17,6,tech,34,1
rvuxfyxxutux.tech,2,0,0,33,17,6,tech,34,1
exewatkpvfna.support,2,0,0,46,20,5,support,34,1
eixftbirnjxm.online,2,0,0,50,19,6,online,34,1
yrodbapnthrp.support,2,0,0,27,20,5,support,34,1
dwhydrerssbh.support,2,0,0,19,20,5,support,34,1
hwmyewihroqf.support,2,0,0,36,20,5,support,34,1
eontjlrvrkax.tech,2,0,0,33,17,6,tech,34,1
tgxxdhcwaqio.tech,2,0,0,33,17,6,tech,34,1
bmrxembdavvg.tech,2,0,0,23,17,6,tech,34,1
ycydknpltoff.support,2,0,0,19,20,5,support,34,1
yxkcaimdejhk.online,2,0,0,50,19,6,online,34,1
tphxykkypmqb.support,2,0,0,12,20,5,support,34,1
usfivvkmuljb.support,2,0,0,36,20,5,support,34,1
tabwfnhxkkpo.support,2,0,0,27,20,5,support,34,1
tovumtmcxlre.tech,2,0,0,33,17,6,tech,34,1
rvuxfyxxutux.tech,2,0,0,33,17,6,tech,34,1
exewatkpvfna.support,2,0,0,46,20,5,support,34,1
eixftbirnjxm.online,2,0,0,50,19,6,online,34,1
yrodbapnthrp.support,2,0,0,27,20,5,support,34,1
dwhydrerssbh.support,2,0,0,19,20,5,support,34,1
hwmyewihroqf.support,2,0,0,36,20,5,support,34,1
lcfusmflccff.online,2,0,0,29,19,6,online,34,1
pgeqxokfpwbq.tech,2,0,0,23,17,6,tech,34,1
qyqtrqotrlry.tech,2,0,0,14,17,6,tech,34,1
melqiboslott.tech,0,0,0,45,17,6,tech,34,1
ktjxwkwriqqu.support,2,0,0,27,20,5,support,34,1
kpwlhedbjtwy.online,2,0,0,29,19,6,online,34,1
fhkkktsbsfws.support,0,0,0,12,20,5,support,34,1
rleomrgafdtd.support,2,0,0,36,20,5,support,34,1
qseyvwwvohab.support,2,0,0,36,20,5,support,34,1
fgvtevqicbca.tech,2,0,0,33,17,6,tech,34,1
dnlyxbibexgn.tech,2,0,0,23,17,6,tech,34,1
bqwlhxgjwghk.support,2,0,0,12,20,5,support,34,1
paeignchojke.online,2,0,0,80,19,6,online,34,1
kjlgekqdcapr.support,2,0,0,27,20,5,support,34,1
apwcpmuvvhwp.support,0,0,0,27,20,5,support,34,1
sopcenwtdmjl.support,2,0,0,27,20,5,support,34,1
iubybconyaqe.online,0,0,0,80,19,6,online,34,1
pgeqxokfpwbq.tech,2,0,0,23,17,6,tech,34,1
qyqtrqotrlry.tech,2,0,0,14,17,6,tech,34,1
melqiboslott.tech,0,0,0,45,17,6,tech,34,1
ktjxwkwriqqu.support,2,0,0,27,20,5,support,34,1
kpwlhedbjtwy.online,2,0,0,29,19,6,online,34,1
fhkkktsbsfws.support,0,0,0,12,20,5,support,34,1
rleomrgafdtd.support,2,0,0,36,20,5,support,34,1
qseyvwwvohab.support,2,0,0,36,20,5,support,34,1
fgvtevqicbca.tech,2,0,0,33,17,6,tech,34,1
dnlyxbibexgn.tech,2,0,0,23,17,6,tech,34,1
bqwlhxgjwghk.support,2,0,0,12,20,5,support,34,1
paeignchojke.online,2,0,0,80,19,6,online,34,1
kjlgekqdcapr.support,2,0,0,27,20,5,support,34,1
apwcpmuvvhwp.support,0,0,0,27,20,5,support,34,1
sopcenwtdmjl.support,2,0,0,27,20,5,support,34,1
umeffttjhcln.tech,2,0,0,23,17,6,tech,34,1
trhewjxxeyjm.tech,2,0,0,23,17,6,tech,34,1
kwinquqwurrk.tech,2,0,0,33,17,6,tech,34,1
maploykatkah.support,2,0,0,46,20,5,support,34,1
yilxhwqvesfp.online,2,0,0,38,19,6,online,34,1
eninsnkmydjv.support,2,0,0,27,20,5,support,34,1
eeyfiqreqxbl.support,2,0,0,46,20,5,support,34,1
eynholopxcya.support,2,0,0,46,20,5,support,34,1
dypqoqobijsd.tech,2,0,0,33,17,6,tech,34,1
ftomtwtqsxfo.tech,2,0,0,23,17,6,tech,34,1
hjqahdulruxt.support,2,0,0,36,20,5,support,34,1
esculfdogdoo.online,2,0,0,80,19,6,online,34,1
jpsmibquqpqc.support,2,0,0,27,20,5,support,34,1
tvennqqgnyek.support,2,0,0,27,20,5,support,34,1
ouqjllbpavil.support,2,0,0,46,20,5,support,34,1
ybcplkxmuudh.online,2,0,0,38,19,6,online,34,1
umeffttjhcln.tech,2,0,0,23,17,6,tech,34,1
trhewjxxeyjm.tech,2,0,0,23,17,6,tech,34,1
kwinquqwurrk.tech,2,0,0,33,17,6,tech,34,1
maploykatkah.support,2,0,0,46,20,5,support,34,1
yilxhwqvesfp.online,2,0,0,38,19,6,online,34,1
eninsnkmydjv.support,2,0,0,27,20,5,support,34,1
eeyfiqreqxbl.support,2,0,0,46,20,5,support,34,1
eynholopxcya.support,2,0,0,46,20,5,support,34,1
dypqoqobijsd.tech,2,0,0,33,17,6,tech,34,1
ftomtwtqsxfo.tech,2,0,0,23,17,6,tech,34,1
hjqahdulruxt.support,2,0,0,36,20,5,support,34,1
esculfdogdoo.online,2,0,0,80,19,6,online,34,1
jpsmibquqpqc.support,2,0,0,27,20,5,support,34,1
tvennqqgnyek.support,2,0,0,27,20,5,support,34,1
ouqjllbpavil.support,2,0,0,46,20,5,support,34,1
gefrdypxyspb.tech,2,0,0,14,17,6,tech,34,1
qildykhleois.tech,1,0,0,45,17,6,tech,34,1
vmdefmnsndoj.tech,2,0,0,23,17,6,tech,34,1
xpknpxmywqsr.support,2,1,0,12,20,5,support,34,1
kedbuffigfjs.online,2,1,0,50,19,6,online,34,1
pjapobyvmsne.support,2,0,0,36,20,5,support,34,1
bwhrdaumwuvn.support,2,0,0,36,20,5,support,34,1
bpmsfckfkrpr.support,2,1,0,12,20,5,support,34,1
oornsduuwjli.tech,2,0,0,60,17,6,tech,34,1
qjqubpciajoc.tech,2,1,0,45,17,6,tech,34,1
exvdaajegjur.support,2,0,0,58,20,5,support,34,1
poorcetnmjfc.online,2,1,0,50,19,6,online,34,1
ulficqrujekp.support,2,1,0,46,20,5,support,34,1
qqnbfqrdjyjk.support,2,0,0,12,20,5,support,34,1
aojpocslpwsu.support,2,1,0,46,20,5,support,34,1
irbdlacprqhw.online,2,0,0,38,19,6,online,34,1
vhunkhwttahs.tech,0,0,0,23,17,6,tech,34,1
xrvgicmghsas.support,0,0,0,27,20,5,support,34,1
dojocqewlryi.support,0,0,0,46,20,5,support,34,1
ncqlngpxwuyx.tech,0,0,0,14,17,6,tech,34,1
pcrpxewicouh.online,2,0,0,64,19,6,online,34,1
rwoywonuobcr.tech,1,0,0,45,17,6,tech,34,1
liusqxocbedg.support,0,0,0,46,20,5,support,34,1
ndoiabgxgmew.online,2,1,0,64,19,6,online,34,1
hwjqtwkectlo.tech,1,0,0,23,17,6,tech,34,1
mtoyrjnvlqdx.online,2,1,0,29,19,6,online,34,1
ddfqdttkmoyv.support,0,0,0,19,20,5,support,34,1
iaxjxyqjckqi.online,2,0,0,50,19,6,online,34,1
nuuxndqlhiwb.online,2,0,0,50,19,6,online,34,1
pxvmqwpemiif.support,0,0,0,36,20,5,support,34,1
shjwhbdgjyba.tech,0,0,0,14,17,6,tech,34,1
xmjvlucdsegk.support,0,0,0,27,20,5,support,34,1
irkbpugkwsir.support,0,0,0,36,20,5,support,34,1
