domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
af37coaum.ru,1,0,17,125,12,11,ru,35,1
0p6fsponf9.ru,2,0,23,29,13,11,ru,35,1
wdzbt76z.ru,2,0,18,14,11,12,ru,35,1
f2a4ipk6.ru,2,0,27,75,11,14,ru,35,1
z517zhlqhu.ru,2,0,23,29,13,11,ru,35,1
yvgp6yj6nu.ru,2,0,15,25,13,10,ru,35,1
qrkqnyr0o.ru,2,0,8,25,12,10,ru,35,1
e43rnauir.ru,2,0,17,125,12,11,ru,35,1
1xcxygjz1.ru,2,0,17,12,12,11,ru,35,1
wf0lr73ak.ru,2,0,25,33,12,12,ru,35,1
0iiqjoltm.ru,2,0,8,67,12,10,ru,35,1
3b1ffvf2g.ru,2,0,25,14,12,12,ru,35,1
1zuqg8x0h5.ru,2,0,31,33,13,12,ru,35,1
bws3v7zh.ru,2,0,18,14,11,12,ru,35,1
5nubdeqb.ru,2,0,9,50,11,11,ru,35,1
2s5m19yk.ru,2,0,36,20,11,17,ru,35,1
dxqaz6k85i.ru,2,0,23,50,13,11,ru,35,1
7ssneqrtef.ru,2,0,8,38,13,9,ru,35,1
olnsniegr.ru,2,0,0,57,12,9,ru,35,1
fcj2lyhr.ru,2,0,9,12,11,11,ru,35,1
xg0aya3my.ru,2,0,17,50,12,11,ru,35,1
ekic4bf5c.ru,2,0,17,50,12,11,ru,35,1
hjy6f2a8dt.ru,2,0,23,29,13,11,ru,35,1
9jdco01e.ru,2,0,27,75,11,14,ru,35,1
pxrsvgai.ru,2,0,0,43,11,10,ru,35,1
kow19fe7ak.ru,1,0,23,80,13,11,ru,35,1
4wcbwk02.ru,2,0,27,17,11,14,ru,35,1
z9e5i78c.ru,2,0,36,100,11,17,ru,35,1
mvtexgsj.ru,2,0,0,25,11,10,ru,35,1
qc0zt6eo9.ru,1,0,25,60,12,12,ru,35,1
eert54gh.ru,2,0,18,60,11,12,ru,35,1
oa505txzz.ru,2,0,25,60,12,12,ru,35,1
4nbizac8a.ru,2,0,17,80,12,11,ru,35,1
ks1n8yamb.ru,1,0,17,29,12,11,ru,35,1
qwj8gd081.ru,1,0,33,17,12,14,ru,35,1
7mb0ayr6.ru,2,0,27,40,11,14,ru,35,1
p5hdc2nw.ru,2,0,18,14,11,12,ru,35,1
s73zzjxr3.ru,1,0,25,14,12,12,ru,35,1
2a135o0wa.ru,2,0,42,200,12,17,ru,35,1
x1yuqjh9e.ru,2,0,17,50,12,11,ru,35,1
vswhv5zt.ru,2,0,9,12,11,11,ru,35,1
hfuabnqx.ru,2,1,0,43,11,10,ru,35,1
ac6ruv8tx.ru,2,0,17,50,12,11,ru,35,1
xpy8piady.ru,1,0,8,43,12,10,ru,35,1
lg82n82g.ru,2,0,36,20,11,17,ru,35,1
ceddi8ub.ru,2,0,9,80,11,11,ru,35,1
zbum2hkm.ru,2,0,9,29,11,11,ru,35,1
xqzdkh56y.ru,2,0,17,12,12,11,ru,35,1
esb7cg54.ru,2,1,27,40,11,14,ru,35,1
14b3x6oa.ru,2,1,36,100,11,17,ru,35,1
02dxbo9u.ru,2,1,27,75,11,14,ru,35,1
gvaq70s7he.ru,2,1,23,50,13,11,ru,35,1
af37coaum.ru,1,0,17,125,12,11,ru,35,1
0p6fsponf9.ru,2,0,23,29,13,11,ru,35,1
wdzbt76z.ru,2,0,18,14,11,12,ru,35,1
f2a4ipk6.ru,2,0,27,75,11,14,ru,35,1
z517zhlqhu.ru,2,0,23,29,13,11,ru,35,1
yvgp6yj6nu.ru,2,0,15,25,13,10,ru,35,1
qrkqnyr0o.ru,2,0,8,25,12,10,ru,35,1
e43rnauir.ru,2,0,17,125,12,11,ru,35,1
1xcxygjz1.ru,2,0,17,12,12,11,ru,35,1
wf0lr73ak.ru,2,0,25,33,12,12,ru,35,1
0iiqjoltm.ru,2,0,8,67,12,10,ru,35,1
3b1ffvf2g.ru,2,0,25,14,12,12,ru,35,1
1zuqg8x0h5.ru,2,0,31,33,13,12,ru,35,1
bws3v7zh.ru,2,0,18,14,11,12,ru,35,1
5nubdeqb.ru,2,0,9,50,11,11,ru,35,1
2s5m19yk.ru,2,0,36,20,11,17,ru,35,1
dxqaz6k85i.ru,2,0,23,50,13,11,ru,35,1
