domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
knklkcxtrslrsjvn.com,0,0,0,6,20,5,com,36,1
rmdmworgzmttzq.org,0,0,0,13,18,6,org,36,1
rmdmworgzmttzq.com,0,0,0,13,18,6,com,36,1
inlpjtwlizosfqsy.info,0,0,0,33,21,5,info,36,1
inlpjtwlizosfqsy.biz,0,0,0,27,20,5,biz,36,1
ozoqfjvpqphwnyq.net,0,0,0,20,19,6,net,36,1
ozoqfjvpqphwnyq.com,0,0,0,20,19,6,com,36,1
ohsohsriugwlpcsr.info,0,0,0,43,21,5,info,36,1
ohsohsriugwlpcsr.com,0,0,0,36,20,5,com,36,1
zsxroupscnlevqpp.biz,0,0,0,27,20,5,biz,36,1
zsxroupscnlevqpp.org,0,0,0,27,20,5,org,36,1
cuqqompifypsrlnu.info,0,0,0,43,21,5,info,36,1
cuqqompifypsrlnu.com,0,0,0,36,20,5,com,36,1
qyhekqkslpuwmcpy.org,0,0,0,19,20,5,org,36,1
qyhekqkslpuwmcpy.biz,0,0,0,19,20,5,biz,36,1
tsmkrjvtmstjnmss.info,0,0,0,11,21,5,info,36,1
tsmkrjvtmstjnmss.org,0,0,0,6,20,5,org,36,1
qjnapqrqkufgtqc.net,0,0,0,20,19,6,net,36,1
qjnapqrqkufgtqc.com,0,0,0,20,19,6,com,36,1
qeemorolonqrrlss.biz,0,0,0,46,20,5,biz,36,1
qeemorolonqrrlss.com,0,0,0,46,20,5,com,36,1
rqpmfnlksirqlgj.net,0,0,0,12,19,6,net,36,1
rqpmfnlksirqlgj.org,0,0,0,12,19,6,org,36,1
moprrkcutpjvolli.info,0,0,0,43,21,5,info,36,1
moprrkcutpjvolli.biz,0,0,0,36,20,5,biz,36,1
porenznrepkldkj.org,0,0,0,29,19,6,org,36,1
porenznrepkldkj.com,0,0,0,29,19,6,com,36,1
lrstomtwpjzyrszp.info,0,0,0,18,21,5,info,36,1
lrstomtwpjzyrszp.org,0,0,0,12,20,5,org,36,1
nvjvuqgmhmoetyjo.biz,0,0,0,36,20,5,biz,36,1
nvjvuqgmhmoetyjo.com,0,0,0,36,20,5,com,36,1
ggjygjysiwjose.info,0,0,0,38,19,6,info,36,1
ggjygjysiwjose.com,0,0,0,31,18,6,com,36,1
nkrrqlntzpkrttep.net,0,0,0,12,20,5,net,36,1
nkrrqlntzpkrttep.biz,0,0,0,12,20,5,biz,36,1
ghuoktdrfhrom.info,0,0,0,42,18,6,info,36,1
ghuoktdrfhrom.com,0,0,0,33,17,6,com,36,1
ntugmzspunyrqhlo.org,0,0,0,27,20,5,org,36,1
ntugmzspunyrqhlo.com,0,0,0,27,20,5,com,36,1
vtvtuyqmqqtopslm.biz,0,0,0,19,20,5,biz,36,1
vtvtuyqmqqtopslm.org,0,0,0,19,20,5,org,36,1
kvsnnpkjpxpzqg.net,0,0,0,6,18,6,net,36,1
kvsnnpkjpxpzqg.com,0,0,0,6,18,6,com,36,1
iqosoyuutdvdrc.info,0,0,0,64,19,6,info,36,1
iqosoyuutdvdrc.biz,0,0,0,55,18,6,biz,36,1
kwktjgmtvznd.net,0,0,0,7,16,7,net,36,1
kwktjgmtvznd.org,0,0,0,7,16,7,org,36,1
figpzmlwjhqdsod.info,0,0,0,27,20,5,info,36,1
figpzmlwjhqdsod.com,0,0,0,20,19,6,com,36,1
ljnnkhyxhejtuot.biz,0,0,0,29,19,6,biz,36,1
ljnnkhyxhejtuot.com,0,0,0,29,19,6,com,36,1
psdehnpueqqrldtm.info,0,0,0,33,21,5,info,36,1
psdehnpueqqrldtm.org,0,0,0,27,20,5,org,36,1
tvqmvrrzxiethqr.net,0,0,0,20,19,6,net,36,1
tvqmvrrzxiethqr.biz,0,0,0,20,19,6,biz,36,1
lrufzxqslshyi.info,0,0,0,31,18,6,info,36,1
lrufzxqslshyi.com,0,0,0,23,17,6,com,36,1
lnjqdhoimvmypnw.net,0,0,0,20,19,6,net,36,1
lnjqdhoimvmypnw.org,0,0,0,20,19,6,org,36,1
rvicqsdymrowsyjg.biz,0,0,0,19,20,5,biz,36,1
rvicqsdymrowsyjg.com,0,0,0,19,20,5,com,36,1
rvnmdpkpwrsttxrz.org,0,0,0,6,20,5,org,36,1
rvnmdpkpwrsttxrz.com,0,0,0,6,20,5,com,36,1
mwqlxjhmknjxgqt.info,0,0,0,12,20,5,info,36,1
mwqlxjhmknjxgqt.biz,0,0,0,6,19,6,biz,36,1
nsuoskvmplpnvru.net,0,0,0,29,19,6,net,36,1
nsuoskvmplpnvru.com,0,0,0,29,19,6,com,36,1
hwhtqdkecwpnw.info,0,0,0,21,18,6,info,36,1
hwhtqdkecwpnw.com,0,0,0,14,17,6,com,36,1
tjwjopvygqqjto.biz,0,0,0,21,18,6,biz,36,1
tjwjopvygqqjto.org,0,0,0,21,18,6,org,36,1
pqkvtamlpqrcris.info,0,0,0,27,20,5,info,36,1
pqkvtamlpqrcris.com,0,0,0,20,19,6,com,36,1
ovxngdnqljlsqrnv.org,0,0,0,12,20,5,org,36,1
