domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
lvjzj36luj56gxo41htpva27jrb58n60dtg13o21.org,0,0,36,23,44,4,org,37,1
c19e51isixmznwmzmshxdxmwiun30i55prj26.net,0,0,24,30,41,3,net,37,1
mso41lwiqkzdwg33i25myb28g23duh14irgqlv.com,0,0,29,26,42,3,com,37,1
i35owh34ivf52ovpzawd20ctcyf42e11hybsls.ru,0,0,29,33,41,4,ru,37,1
a37l38o41ntc49i65f32avl18d30a27pvp42g63o51ou.biz,0,0,50,64,48,4,biz,37,1
nrkwm29jydqe21f32d50drm19f22f12mqd30avpz.net,0,0,36,12,44,4,net,37,1
duetducrawnxe61e51dsa37ork37jyductfy.org,0,0,20,48,40,3,org,37,1
k37dyl38j26d20dwmui45lyn60dsiwfxm19axgs.info,0,0,32,26,44,3,info,37,1
b28b28gynzc29o11lwazcvd20jvgwmrj56aqls.com,0,0,29,16,42,3,com,37,1
fzc19n10muoyp12fxk27erp12hxdunxnym59fw.ru,0,0,29,22,41,4,ru,37,1
axargypxksozp12csjtjyc59bxm59mubtlw.com,0,0,15,19,39,3,com,37,1
a57c19lwgtp62i35hsjtkqpsdshzpvprbzaq.info,0,0,20,19,41,3,info,37,1
nubthvlzergrhqmxm49c39jrpxh44f22byft.org,0,0,20,11,40,3,org,37,1
gymwmsp22cqg53nsm59msk67kujti65p22mqg13.net,0,0,33,12,43,4,net,37,1
gsf12n40o51avdzpxfvoxmwgwp32g43mteznv.biz,0,0,24,20,41,3,biz,37,1
bsfyluc59h54hxa57g63gzm29cvbxcrnrgwd30.ru,0,0,29,12,41,4,ru,37,1
hrixo31a57oqpzj66p62d60pwo21bqcraqkrgt.com,0,0,29,32,42,3,com,37,1
dtiqjxfzfvhwf32j16mvfujzh64p12l58cqku.net,0,0,24,15,41,3,net,37,1
n10f42b18mwiti55l68cyavjtiwi45f22otfxiu.org,0,0,33,47,43,4,org,37,1
