domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
yefvucdkmybahbdvwgq.biz,0,0,0,22,23,5,biz,38,1
uirvpsttqdnelhlc.org,0,0,0,27,20,5,org,38,1
udsmjbbxicxegpuonc.mn,0,0,0,33,21,5,mn,38,1
uaqtendoimyhbwmjd.nf,0,0,0,36,20,5,nf,38,1
aewxnclyvjpqvburc.biz,0,0,0,25,21,5,biz,38,1
wbtiooaymdnrxmyv.tv,0,0,0,29,19,6,tv,38,1
xckxoklsamcbb.tj,0,0,0,15,16,7,tj,38,1
stbfkjhfnmcqt.ir,0,0,0,7,16,7,ir,38,1
cvslahbucda.xxx,0,0,0,27,15,7,xxx,38,1
mhtnycvangpygkub.bz,0,0,0,12,19,6,bz,38,1
pylwxrcqntiurqru.sc,0,0,0,20,19,6,sc,38,1
auytvapsarmnlywqc.la,0,1,0,36,20,5,la,38,1
ntblualoe.bit,0,0,0,71,13,8,bit,38,1
idgtmarcpvtppycrooif.biz,0,0,0,35,24,4,biz,38,1
nddhbgjt.la,0,1,0,11,11,10,la,38,1
cmmorefq.ga,0,0,0,43,11,10,ga,38,1
ygvnlcvnwwuswvwguhqek.me,0,0,0,21,24,4,me,38,1
guiinobshenfbniq.co,0,0,0,64,19,6,co,38,1
exqepweggigbtjeijctfw.bit,0,0,0,41,25,4,bit,38,1
obwtsmvnetehsv.sx,0,0,0,23,17,6,sx,38,1
vfwewsrbcjpornqeduuj.la,0,1,0,38,23,5,la,38,1
yuknhifuphfynmlr.ac,0,0,0,29,19,6,ac,38,1
jmvvkmerjgjpr.tj,0,0,0,7,16,7,tj,38,1
uqxcbratpfeef.ir,0,0,0,50,16,7,ir,38,1
bpqwxhakeacbyf.bz,0,0,0,23,17,6,bz,38,1
muyotgmnxfdvuoiaomw.nu,0,0,0,62,22,5,nu,38,1
lbaesrdkpbsbhtdkqvha.jp,0,0,0,16,23,5,jp,38,1
rccoouuocuam.tw,0,0,0,100,15,7,tw,38,1
gsitdvdwfgsjvxp.ki,0,0,0,13,18,6,ki,38,1
wmyusqvg.mx,0,0,0,11,11,10,mx,38,1
fuoxqyvivgjtvetaja.bit,0,0,0,50,22,5,bit,38,1
kuprubbgappwtpkc.tw,0,0,0,20,19,6,tw,38,1
oouedakoygraui.ru,0,0,0,167,17,6,ru,38,1
jxwcuofr.ki,0,0,0,43,11,10,ki,38,1
vqwmfqsmqhbjivp.sh,0,0,0,6,18,6,sh,38,1
cphvrxxasdsuefpl.cx,0,0,0,20,19,6,cx,38,1
sdxxhqnvrrxnisomohmd.de,0,0,0,22,23,5,de,38,1
xxevgbcyovdgf.kz,0,0,0,15,16,7,kz,38,1
ndnmniiaqqtwdquo.bit,0,0,0,46,20,5,bit,38,1
shmaosjlxuxvdsqssgjgd.de,0,0,0,21,24,4,de,38,1
kllhbebteeidwfqo.bit,0,0,0,46,20,5,bit,38,1
hudyyvkl.us,0,0,0,25,11,10,us,38,1
csnivotoviskvtvxmgt.ru,0,0,0,31,22,5,ru,38,1
eeadqvsybagcgloodlqf.pw,0,0,0,38,23,5,pw,38,1
smntvaespyofpav.tj,0,0,0,31,18,6,tj,38,1
xcbaenedggwunpeshva.ac,0,0,0,50,22,5,ac,38,1
snkqqoovsbovrqmnvly.tj,0,0,0,17,22,5,tj,38,1
kwnaptergd.ms,0,0,0,20,13,8,ms,38,1
vjcafhvdlthwu.biz,0,0,0,23,17,6,biz,38,1
njsfdgykrh.la,0,1,0,9,13,8,la,38,1
qgclyqstxnxdjmw.kz,0,0,0,0,18,6,kz,38,1
crfskkirfw.ms,0,0,0,9,13,8,ms,38,1
nxbydlgocgct.nf,0,0,0,8,15,7,nf,38,1
chgovplmlyw.ir,0,0,0,18,14,8,ir,38,1
wfksvskikdeeaup.ga,0,0,0,55,18,6,ga,38,1
fjackfcgsdtdspurum.ki,0,0,0,25,21,5,ki,38,1
dficdiusqgev.su,0,0,0,56,15,7,su,38,1
nughrdwbrq.ir,0,0,0,20,13,8,ir,38,1
ysrtuafjrae.sh,0,0,0,44,14,8,sh,38,1
ibsfyrospwno.im,0,0,0,40,15,7,im,38,1
judupudjb.cx,0,0,0,38,12,9,cx,38,1
latpivbmvlilsxng.sc,0,0,0,20,19,6,sc,38,1
