domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
pzstibiqu.biz,0,0,0,50,13,8,biz,39,1
puduglrp.org,0,0,0,38,12,9,org,39,1
pzhwikuhndn.net,0,0,0,27,15,7,net,39,1
gcvgnaj.com,0,0,0,25,11,10,com,39,1
bmosyl.net,0,0,0,29,10,11,net,39,1
ixfpblbkfo.biz,0,0,0,30,14,8,biz,39,1
siqrpb.net,0,0,0,29,10,11,net,39,1
juoyass.com,0,0,0,67,11,10,com,39,1
soklgt.com,0,0,0,29,10,11,com,39,1
euyxdu.biz,0,0,0,80,10,11,biz,39,1
bszkiyzo.net,0,0,0,38,12,9,net,39,1
rdsrvwkmb.org,0,0,0,9,13,8,org,39,1
imkwhuifjtr.net,0,0,0,40,15,7,net,39,1
zbtsyfwwkzx.com,0,0,0,8,15,7,com,39,1
ratxveaj.org,0,0,0,57,12,9,org,39,1
uvmbayarlif.info,0,0,0,67,16,7,info,39,1
nukbwotizdi.ru,0,0,0,62,14,8,ru,39,1
qiuylksh.info,0,0,0,50,13,8,info,39,1
emjuwib.net,0,0,0,67,11,10,net,39,1
fvvcmry.ru,0,0,0,12,10,11,ru,39,1
ybmtkx.org,0,0,0,12,10,11,org,39,1
npjkfrwvqmr.org,0,0,0,8,15,7,org,39,1
stcjmy.org,0,0,0,12,10,11,org,39,1
jnpmfdanc.org,0,0,0,20,13,8,org,39,1
zaoqge.org,0,0,0,80,10,11,org,39,1
hqtuidwlx.biz,0,0,0,33,13,8,biz,39,1
cleotcro.com,0,0,0,57,12,9,com,39,1
weoiwscgew.com,0,0,0,62,14,8,com,39,1
lkokvyn.ru,0,0,0,29,10,11,ru,39,1
yfuosflrt.info,0,0,0,44,14,8,info,39,1
uwovncbffuo.net,0,0,0,56,15,7,net,39,1
aoodvaavt.info,0,0,0,117,14,8,info,39,1
jherhql.net,0,0,0,25,11,10,net,39,1
ujvwrkw.ru,0,0,0,29,10,11,ru,39,1
jyjcidr.com,0,0,0,25,11,10,com,39,1
whexdshac.ru,0,0,0,38,12,9,ru,39,1
ubgziqqj.org,0,0,0,38,12,9,org,39,1
zixhdvm.ru,0,0,0,29,10,11,ru,39,1
gpvdaswzr.info,0,0,0,30,14,8,info,39,1
xbfgpwdolea.ru,0,0,0,44,14,8,ru,39,1
emnpuynakgo.com,0,0,0,56,15,7,com,39,1
dlwdpoee.ru,0,0,0,67,11,10,ru,39,1
jdcimc.ru,0,0,0,33,9,12,ru,39,1
ibdrhb.info,0,0,0,43,11,10,info,39,1
drfecci.ru,0,0,0,50,10,11,ru,39,1
wvaraqhi.org,0,0,0,57,12,9,org,39,1
vieajzkg.info,2,0,0,71,13,8,info,39,1
hhygobw.info,0,0,0,38,12,9,info,39,1
tuovdbn.ru,0,0,0,50,10,11,ru,39,1
dmyaslmrjrl.net,0,0,0,17,15,7,net,39,1
rvarvoonul.info,0,0,0,75,15,7,info,39,1
kgthcbtwg.ru,0,0,0,10,12,9,ru,39,1
exhgzh.com,0,0,0,29,10,11,com,39,1
abhnnbqkenc.com,0,0,0,27,15,7,com,39,1
jkkdruoy.net,0,0,0,38,12,9,net,39,1
cecvzexy.net,0,0,0,38,12,9,net,39,1
plfptlei.ru,0,0,0,43,11,10,ru,39,1
lldhbzbt.info,0,0,0,20,13,8,info,39,1
jflwbnjz.org,0,0,0,10,12,9,org,39,1
uajhtmqrl.net,0,0,0,33,13,8,net,39,1
tkmkpsjuso.org,0,0,0,30,14,8,org,39,1
gxhqidt.net,0,0,0,25,11,10,net,39,1
bocpye.net,0,0,0,50,10,11,net,39,1
uyvyln.org,0,0,0,29,10,11,org,39,1
zgunbjprloa.biz,0,0,0,40,15,7,biz,39,1
gheequxyr.net,0,0,0,50,13,8,net,39,1
erubtvjozr.info,0,0,0,56,15,7,info,39,1
bsjbovudujj.com,0,0,0,40,15,7,com,39,1
hjyywc.net,0,0,0,12,10,11,net,39,1
dailky.com,0,0,0,50,10,11,com,39,1
pesqhd.info,0,0,0,43,11,10,info,39,1
ooyuaezsv.info,0,0,0,117,14,8,info,39,1
uuuwayxwme.info,0,0,0,100,15,7,info,39,1
mtzhues.net,0,0,0,43,11,10,net,39,1
vapoxsu.com,0,0,0,67,11,10,com,39,1
xrxchlielu.ru,0,0,0,50,13,8,ru,39,1
gmclvwrjf.com,0,0,0,9,13,8,com,39,1
iojupbixehq.com,0,0,0,75,15,7,com,39,1
jxddnuyoirb.ru,0,0,0,44,14,8,ru,39,1
fbvjgppr.com,0,0,0,10,12,9,com,39,1
spnwqrliybf.org,0,0,0,17,15,7,org,39,1
jqagmkwe.ru,1,0,0,43,11,10,ru,39,1
yvbwyltgib.biz,0,0,0,18,14,8,biz,39,1
fhwlwdsvaa.ru,0,0,0,33,13,8,ru,39,1
ownepudksfv.info,0,0,0,50,16,7,info,39,1
kveirk.net,0,0,0,50,10,11,net,39,1
ubmxludj.net,1,0,0,38,12,9,net,39,1
cfglgl.ru,0,0,0,14,9,12,ru,39,1
pcbvrx.info,0,0,0,25,11,10,info,39,1
icxhvskzu.ru,1,0,0,38,12,9,ru,39,1
qgqtmzzxxzy.net,1,0,0,8,15,7,net,39,1
gpgdyrn.info,1,0,0,22,12,9,info,39,1
qyosql.ru,1,0,0,33,9,12,ru,39,1
zjgfpseubkg.org,0,0,0,27,15,7,org,39,1
xaxmruqeik.com,1,0,0,62,14,8,com,39,1
fxuvehgf.net,1,0,0,38,12,9,net,39,1
mvsbpdlxfdu.org,0,0,0,17,15,7,org,39,1
zdcuztskl.com,1,0,0,20,13,8,com,39,1
bwouhmtpg.net,0,0,0,33,13,8,net,39,1
gcdrotgstcn.org,0,0,0,17,15,7,org,39,1
mgzebjayv.net,1,0,0,33,13,8,net,39,1
hdhotlqkgnk.net,0,0,0,17,15,7,net,39,1
mgvzpy.biz,0,0,0,12,10,11,biz,39,1
rmtpslm.org,0,0,0,11,11,10,org,39,1
fbxbxqq.ru,1,0,0,12,10,11,ru,39,1
axaeipp.org,0,0,0,100,11,10,org,39,1
yuppqob.net,1,0,0,43,11,10,net,39,1
jtbbvmpm.ru,1,0,0,11,11,10,ru,39,1
jburnap.net,0,0,0,43,11,10,net,39,1
jlswhpgxau.biz,1,0,0,30,14,8,biz,39,1
vdtrcterr.info,2,0,0,30,14,8,info,39,1
lqgrxbkhrsj.biz,1,0,0,8,15,7,biz,39,1
plrnour.org,1,0,0,43,11,10,org,39,1
ptlbrra.org,1,0,0,25,11,10,org,39,1
gsrtaj.info,2,0,0,43,11,10,info,39,1
gxywyq.com,2,0,0,12,10,11,com,39,1
qejldrl.ru,2,0,0,29,10,11,ru,39,1
zpilhtolhip.com,0,0,0,40,15,7,com,39,1
zznlzgm.net,2,0,0,11,11,10,net,39,1
nejutindais.org,1,0,0,75,15,7,org,39,1
nnpcljm.ru,2,0,0,12,10,11,ru,39,1
urhlzwum.biz,1,0,0,38,12,9,biz,39,1
uztpbla.org,1,0,0,43,11,10,org,39,1
wqmlrxcnu.ru,2,0,0,22,12,9,ru,39,1
cuawruj.org,1,0,0,67,11,10,org,39,1
xwimjck.net,2,0,0,25,11,10,net,39,1
drprfdpcmll.net,2,0,0,8,15,7,net,39,1
ruzthxqwqc.ru,2,0,0,20,13,8,ru,39,1
znjixjoqvht.net,2,0,0,27,15,7,net,39,1
munmutrq.ru,2,0,0,43,11,10,ru,39,1
zmhdvlka.net,1,0,0,22,12,9,net,39,1
nwotnffmwtc.ru,1,0,0,18,14,8,ru,39,1
nvpqfd.ru,2,0,0,14,9,12,ru,39,1
gleewgumyt.info,2,0,0,56,15,7,info,39,1
kljnzotqceq.info,1,0,0,36,16,7,info,39,1
ecowfulclg.biz,1,0,0,44,14,8,biz,39,1
tvfejj.info,1,0,0,43,11,10,info,39,1
wmvckwruk.biz,1,0,0,20,13,8,biz,39,1
nctwkzlgnfh.com,2,0,0,8,15,7,com,39,1
cgquzteqt.net,2,1,0,33,13,8,net,39,1
iffyuqfzv.biz,1,0,0,33,13,8,biz,39,1
qgymraem.com,2,1,0,38,12,9,com,39,1
gwsftjmen.com,2,1,0,20,13,8,com,39,1
nyitcr.org,1,0,0,29,10,11,org,39,1
jubeoubvn.info,2,0,0,86,14,8,info,39,1
vltgvaicj.net,2,0,0,33,13,8,net,39,1
qqdygsbtk.com,2,1,0,9,13,8,com,39,1
mylupcjl.info,1,1,0,33,13,8,info,39,1
ddfqxokmmhy.com,1,0,0,17,15,7,com,39,1
qkgmsrrq.ru,2,0,0,11,11,10,ru,39,1
