domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
djpoppy.cc,2,0,0,12,10,11,cc,40,1
eqhritj.com,0,0,0,43,11,10,com,40,1
ypwpkekynfe.tv,2,0,0,18,14,8,tv,40,1
mpswpqkms.com,2,0,0,9,13,8,com,40,1
zholmqsydik.net,1,0,0,27,15,7,net,40,1
zkuhalzrmn.tv,2,0,0,20,13,8,tv,40,1
oqvefrsunxhc.com,0,0,0,36,16,7,com,40,1
ixjcbhjxex.net,2,0,0,30,14,8,net,40,1
lswwnffvsyf.tv,2,0,0,0,14,8,tv,40,1
fjbndnl.net,2,0,0,11,11,10,net,40,1
raymdvhxuwt.com,2,0,0,27,15,7,com,40,1
gleplcks.net,2,0,0,22,12,9,net,40,1
gltgpiotqmiu.cc,2,0,0,40,15,7,cc,40,1
sxzpapgkt.com,2,0,0,20,13,8,com,40,1
acwretbdi.net,2,0,0,50,13,8,net,40,1
xecfkjlgiz.tv,2,0,0,20,13,8,tv,40,1
cmuyfcfi.cc,2,0,0,25,11,10,cc,40,1
bnpwfswafeu.com,0,0,0,40,15,7,com,40,1
qyedabxhc.net,0,0,0,33,13,8,net,40,1
jhjndtrjdca.tv,2,0,0,8,14,8,tv,40,1
gpsvwtg.cc,2,0,0,0,10,11,cc,40,1
antvjrfytic.com,2,0,0,27,15,7,com,40,1
xzxwhtplza.tv,0,0,0,9,13,8,tv,40,1
iymoqfmldb.cc,2,0,0,20,13,8,cc,40,1
ohrbnuid.net,2,0,0,57,12,9,net,40,1
zfopgwhe.tv,2,0,0,25,11,10,tv,40,1
grohhgebtxa.net,2,0,0,40,15,7,net,40,1
pfzztkewycs.tv,2,0,0,8,14,8,tv,40,1
bsngxkmiyk.com,2,0,0,18,14,8,com,40,1
yiywvlf.net,0,0,0,25,11,10,net,40,1
oalierb.tv,2,0,0,80,10,11,tv,40,1
mckthqpi.com,2,0,0,22,12,9,com,40,1
evnaqovg.net,2,0,0,57,12,9,net,40,1
sfhbkoesbf.tv,2,0,0,20,13,8,tv,40,1
dzxelyqub.com,2,0,0,33,13,8,com,40,1
unwxdgn.net,2,0,0,25,11,10,net,40,1
yvrblhl.cc,2,0,0,0,10,11,cc,40,1
cxvcguxm.com,2,0,0,22,12,9,com,40,1
fhgjdfjt.tv,0,0,0,0,11,10,tv,40,1
saqoxwkkzyec.net,2,0,0,36,16,7,net,40,1
fhyprcnkxvhx.tv,2,0,0,0,15,7,tv,40,1
tfpeavew.cc,2,0,0,43,11,10,cc,40,1
xxtcvozof.com,0,0,0,33,13,8,com,40,1
amxhaczlyuy.net,2,0,0,40,15,7,net,40,1
xpsxrnehqe.com,2,0,0,30,14,8,com,40,1
gyinkvye.net,2,0,0,38,12,9,net,40,1
xchyyznpsebm.cc,2,0,0,8,15,7,cc,40,1
pedcnrnqux.net,2,0,0,30,14,8,net,40,1
mwkseoginphh.tv,2,0,0,27,15,7,tv,40,1
qxfbduci.com,2,1,0,38,12,9,com,40,1
ducbcbxef.net,2,0,0,33,13,8,net,40,1
niojhksrf.tv,2,0,0,22,12,9,tv,40,1
uwxmktg.cc,0,0,0,12,10,11,cc,40,1
iwiqedomnn.com,2,0,0,62,14,8,com,40,1
hdalfvhnmu.tv,2,0,0,20,13,8,tv,40,1
kezmeddqia.com,1,0,0,62,14,8,com,40,1
kezmeddqia.net,1,0,0,62,14,8,net,40,1
tcvuqtkc.tv,2,0,0,11,11,10,tv,40,1
svxrfoikdmxf.cc,2,0,0,17,15,7,cc,40,1
brrilzo.net,2,0,0,43,11,10,net,40,1
lkjkpdtfyk.com,2,1,0,8,14,8,com,40,1
gukhvbwlukan.net,2,0,0,36,16,7,net,40,1
dkurtgyaby.tv,2,0,0,20,13,8,tv,40,1
ajqjvzhwpzn.cc,2,0,0,8,14,8,cc,40,1
zodycooiuw.com,1,0,0,86,14,8,com,40,1
xtnouxrcav.net,2,0,0,44,14,8,net,40,1
ultzrwpolyt.tv,2,0,0,18,14,8,tv,40,1
xdzmxdrb.com,2,0,0,10,12,9,com,40,1
xdpipke.tv,2,0,0,29,10,11,tv,40,1
sndxzug.cc,2,0,0,12,10,11,cc,40,1
lyrsqlcm.net,2,0,0,10,12,9,net,40,1
dcqturnn.tv,2,0,0,11,11,10,tv,40,1
ffcjgsplghw.cc,2,0,0,0,14,8,cc,40,1
fotmyvcmga.net,2,0,0,30,14,8,net,40,1
xdpipke.cc,2,0,0,29,10,11,cc,40,1
