domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
fff1834cbcd5ba96ca75fdae9c44cf5d.net,1,0,36,29,36,5,net,41,1
35262768764bd6c908c386b532a3dc2f.net,1,0,64,20,36,8,net,41,1
7817b2bcf25367beb24b3270232e67e5.net,1,0,61,44,36,8,net,41,1
247b05f526ca169f6eff42dff26155d3.net,1,0,56,25,36,7,net,41,1
75305ca65aff1efeaf8e20efc8671f5c.net,1,0,44,73,36,5,net,41,1
7eb1d4893548f94dc8967a6f9bf465b9.net,1,0,58,27,36,7,net,41,1
fda5efbff2fc4e8b3d4ad842424672f2.net,1,0,44,36,36,5,net,41,1
8afdb277bb8ca402c88434d4767ef43f.net,1,0,53,33,36,6,net,41,1
15badd2265ddb8e5529e5180d6513d97.net,1,0,58,40,36,7,net,41,1
9fde1219ae5f14aaee395434cac6f9db.net,1,0,44,90,36,5,net,41,1
152f30e37cb39f0ea5cca988ef23b738.net,1,0,53,60,36,6,net,41,1
c582ae8c14a4d59301931063a108de9a.net,1,0,61,117,36,8,net,41,1
2394711756975c099972acc8330278e4.net,1,0,75,60,36,12,net,41,1
ea604a6c855858a03ecb98ce8234eb49.net,1,0,56,114,36,7,net,41,1
a399d1cb92b286f310ce411ed2d544fe.net,1,0,53,45,36,6,net,41,1
6a860e3b63758e43aa2c570bbb4e4ecf.net,1,0,50,89,36,6,net,41,1
ce20b6daed41f0ef94a3eb9df74827d3.net,1,0,44,58,36,5,net,41,1
cac83d32efa269055d351fcb3a92647d.net,1,0,53,45,36,6,net,41,1
f5d4039e37f977b46ccb2e966d571b53.net,1,0,58,27,36,7,net,41,1
b5f8a75ef98aac34cdc4b4a7163db964.net,0,0,47,50,36,6,net,41,1
