domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
aalcaaokdmccoaak.com,0,0,0,90,20,5,com,42,1
ofamcnncbnmfmcaf.info,0,0,0,33,21,5,info,42,1
mfaolklcancfofeb.co,0,0,0,50,19,6,co,42,1
flflnckncffadofm.com,0,0,0,19,20,5,com,42,1
adkbaecnabafddbd.cc,0,0,0,38,19,6,cc,42,1
cfblladbdccfbaaa.com,0,0,0,36,20,5,com,42,1
kdlaammaffkffdfc.net,0,0,0,27,20,5,net,42,1
afabmlfefffkkdmd.com,0,0,0,27,20,5,com,42,1
afkamamcdcbcakfn.cc,0,0,0,29,19,6,cc,42,1
dfeadafbbbeabedo.net,0,0,0,73,20,5,net,42,1
ocndamanacfmffnk.com,0,0,0,36,20,5,com,42,1
bnbaddefkelaaeme.com,0,0,0,73,20,5,com,42,1
nolbfnbbabacbdcf.co,0,0,0,29,19,6,co,42,1
afakdfcbledalccl.net,0,0,0,36,20,5,net,42,1
bneadfddefdlecfb.com,0,0,0,36,20,5,com,42,1
lfalfolfmaffmonf.com,0,0,0,36,20,5,com,42,1
mdldffnncaobbfob.cc,0,0,0,20,19,6,cc,42,1
lbabckbdddccdabn.com,0,0,0,19,20,5,com,42,1
maoodmcfcddebclb.net,0,0,0,36,20,5,net,42,1
fadkafeaolbkacma.co,0,0,0,80,19,6,co,42,1
acadbbaafnmfdmdl.org,0,0,0,36,20,5,org,42,1
aclmdaakkkoocdlo.co.uk,0,0,0,67,22,10,uk,42,1
fnaanfdbbakfcdkc.com,0,0,0,27,20,5,com,42,1
kfdbfedbcaaaembf.co.uk,0,0,0,54,22,10,uk,42,1
bmodbfldbacfcdbn.com,0,0,0,19,20,5,com,42,1
mcclnednbaolobkk.com,0,0,0,36,20,5,com,42,1
keobffafdfkmcdae.eu,0,0,0,64,19,6,eu,42,1
flambknmdonmcfdd.de,0,0,0,20,19,6,de,42,1
bmddacdlafdcocdk.de,0,0,0,29,19,6,de,42,1
obmmaecdbbcbfcae.co.uk,0,0,0,54,22,10,uk,42,1
dfdbdmledbbccadf.com,0,0,0,19,20,5,com,42,1
kckdmoffcmabffmm.net,0,0,0,19,20,5,net,42,1
dbeobdlafcaeacdf.com,0,0,0,58,20,5,com,42,1
kkkedffocdddcoco.com,0,0,0,36,20,5,com,42,1
cneedafeonbckoac.com,0,0,0,73,20,5,com,42,1
fccdmfmcddbkcdkl.website,0,0,0,15,24,4,website,42,1
