domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
86101e936978.net,2,0,69,100,16,25,net,43,1
86101e936911.net,2,0,69,100,16,25,net,43,1
86101e936919.net,2,0,69,100,16,25,net,43,1
f9f7fa9e1bd4.com,2,1,31,43,16,10,com,43,1
f9f7fa9e1b78.net,2,0,38,50,16,11,net,43,1
f9f7fa9e1b11.net,2,0,38,50,16,11,net,43,1
f9f7fa9e1b19.net,2,0,38,50,16,11,net,43,1
bcfc618d12d4.com,2,1,38,12,16,11,com,43,1
bcfc618d1278.net,2,0,44,14,16,12,net,43,1
bcfc618d1211.net,2,0,44,14,16,12,net,43,1
bcfc618d1219.net,2,0,44,14,16,12,net,43,1
6695600c0ed4.com,2,1,56,50,16,17,com,43,1
6695600c0e78.net,2,0,62,67,16,20,net,43,1
6695600c0e11.net,2,0,62,67,16,20,net,43,1
6695600c0e19.net,2,0,62,67,16,20,net,43,1
e6262a3525d4.com,2,1,56,100,16,17,com,43,1
e6262a352578.net,2,0,62,150,16,20,net,43,1
e6262a352511.net,2,0,62,150,16,20,net,43,1
e6262a352519.net,2,0,62,150,16,20,net,43,1
025740b5a1d4.com,2,1,56,50,16,17,com,43,1
025740b5a178.net,2,0,62,67,16,20,net,43,1
025740b5a111.net,2,0,62,67,16,20,net,43,1
025740b5a119.net,2,0,62,67,16,20,net,43,1
33bd754371d4.com,2,1,56,20,16,17,com,43,1
33bd75437178.net,2,0,62,25,16,20,net,43,1
33bd75437111.net,2,0,62,25,16,20,net,43,1
33bd75437119.net,2,0,62,25,16,20,net,43,1
de869f7326d4.com,2,1,50,40,16,14,com,43,1
de869f732678.net,2,0,56,50,16,17,net,43,1
de869f732611.net,2,0,56,50,16,17,net,43,1
de869f732619.net,2,0,56,50,16,17,net,43,1
190df03f1cd4.com,2,1,44,14,16,12,com,43,1
190df03f1c78.net,2,0,50,17,16,14,net,43,1
190df03f1c11.net,2,0,50,17,16,14,net,43,1
190df03f1c19.net,2,0,50,17,16,14,net,43,1
6a4be91bdfd4.com,2,1,31,43,16,10,com,43,1
6a4be91bdf78.net,2,0,38,50,16,11,net,43,1
6a4be91bdf11.net,2,0,38,50,16,11,net,43,1
6a4be91bdf19.net,2,0,38,50,16,11,net,43,1
835aaaf0c1d4.com,2,1,38,80,16,11,com,43,1
835aaaf0c178.net,2,0,44,100,16,12,net,43,1
835aaaf0c111.net,2,0,44,100,16,12,net,43,1
835aaaf0c119.net,2,0,44,100,16,12,net,43,1
cbf5f6af4ad4.com,2,1,25,38,16,9,com,43,1
cbf5f6af4a78.net,2,0,31,43,16,10,net,43,1
cbf5f6af4a11.net,2,0,31,43,16,10,net,43,1
cbf5f6af4a19.net,2,0,31,43,16,10,net,43,1
057d20cd0fd4.com,2,1,44,14,16,12,com,43,1
057d20cd0f78.net,2,0,50,17,16,14,net,43,1
057d20cd0f11.net,2,0,50,17,16,14,net,43,1
057d20cd0f19.net,2,0,50,17,16,14,net,43,1
7c8fc361bbd4.com,2,1,38,12,16,11,com,43,1
7c8fc361bb78.net,2,0,44,14,16,12,net,43,1
7c8fc361bb11.net,2,0,44,14,16,12,net,43,1
7c8fc361bb19.net,2,0,44,14,16,12,net,43,1
817c05fbabd4.com,2,1,38,29,16,11,com,43,1
817c05fbab78.net,2,0,44,33,16,12,net,43,1
817c05fbab11.net,2,0,44,33,16,12,net,43,1
817c05fbab19.net,2,0,44,33,16,12,net,43,1
6b7b944c8bd4.com,2,1,44,14,16,12,com,43,1
6b7b944c8b78.net,2,0,50,17,16,14,net,43,1
6b7b944c8b11.net,2,0,50,17,16,14,net,43,1
003c296ea1d4.com,2,1,50,75,16,14,com,43,1
003c296ea178.net,2,0,56,100,16,17,net,43,1
003c296ea111.net,2,0,56,100,16,17,net,43,1
003c296ea119.net,2,0,56,100,16,17,net,43,1
7b6098f426d4.com,2,1,56,20,16,17,com,43,1
7b6098f42678.net,2,0,62,25,16,20,net,43,1
7b6098f42611.net,2,0,62,25,16,20,net,43,1
7b6098f42619.net,2,0,62,25,16,20,net,43,1
3f4865e30dd4.com,2,1,50,40,16,14,com,43,1
3f4865e30d78.net,2,0,56,50,16,17,net,43,1
3f4865e30d11.net,2,0,56,50,16,17,net,43,1
3f4865e30d19.net,2,0,56,50,16,17,net,43,1
0e9d01c3c3d4.com,2,1,44,33,16,12,com,43,1
0e9d01c3c378.net,2,0,50,40,16,14,net,43,1
0e9d01c3c311.net,2,0,50,40,16,14,net,43,1
0e9d01c3c319.net,2,0,50,40,16,14,net,43,1
f64b1339a5d4.com,2,1,50,40,16,14,com,43,1
f64b1339a578.net,2,0,56,50,16,17,net,43,1
f64b1339a511.net,2,0,56,50,16,17,net,43,1
f64b1339a519.net,2,0,56,50,16,17,net,43,1
0960059a21d4.com,2,1,62,67,16,20,com,43,1
0960059a2178.net,2,0,69,100,16,25,net,43,1
0960059a2111.net,2,0,69,100,16,25,net,43,1
0960059a2119.net,2,0,69,100,16,25,net,43,1
5d5d554d0cd4.com,2,1,44,14,16,12,com,43,1
5d5d554d0c78.net,2,0,50,17,16,14,net,43,1
5d5d554d0c11.net,2,0,50,17,16,14,net,43,1
5d5d554d0c19.net,2,0,50,17,16,14,net,43,1
