domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
lujwgskmidb.eu,0,0,0,44,14,8,eu,44,1
buphamxx.cc,0,0,0,25,11,10,cc,44,1
umecblcnq.co,0,0,0,38,12,9,co,44,1
miwriygfa.eu,0,0,0,83,12,9,eu,44,1
cazzmlll.cc,0,0,0,11,11,10,cc,44,1
vimvzljtf.co,0,0,0,22,12,9,co,44,1
notdsutzoh.eu,0,0,0,71,13,8,eu,44,1
yzddouhle.cc,0,0,0,38,12,9,cc,44,1
wublmkgp.co,0,0,0,25,11,10,co,44,1
jrfxqokg.eu,0,0,0,43,11,10,eu,44,1
zvyfdrplh.cc,0,0,0,0,12,9,cc,44,1
xacggyx.co,0,0,0,29,10,11,co,44,1
klmtzk.eu,0,0,0,33,9,12,eu,44,1
azgdxgsmr.cc,0,0,0,10,12,9,cc,44,1
txinka.co,0,0,0,60,9,12,co,44,1
ljfnqi.eu,0,0,0,60,9,12,eu,44,1
bfpcrnddev.cc,0,0,0,9,13,8,cc,44,1
uyqljhweykk.co,0,0,0,30,14,8,co,44,1
mtlfiopzca.eu,0,0,0,71,13,8,eu,44,1
wejkrp.cc,0,0,0,14,9,12,cc,44,1
dlxmajkkh.co,0,0,0,22,12,9,co,44,1
klfjguazt.eu,0,0,0,57,12,9,eu,44,1
vmdzyxu.cc,0,0,0,12,10,11,cc,44,1
ctxvvvmafn.co,0,0,0,20,13,8,co,44,1
jidpelser.eu,0,0,0,83,12,9,eu,44,1
uuvmkvoa.cc,0,0,0,67,11,10,cc,44,1
bbvjqlwzbs.co,0,0,0,9,13,8,co,44,1
iaqizoqg.eu,0,0,0,150,11,10,eu,44,1
txhcnnkt.cc,0,0,0,0,11,10,cc,44,1
ajleble.co,0,0,0,80,10,11,co,44,1
hsjqrii.eu,0,0,0,80,10,11,eu,44,1
sfxgxjo.cc,0,0,0,12,10,11,cc,44,1
zvwyox.co,0,0,0,33,9,12,co,44,1
gkpxnghvb.eu,0,0,0,22,12,9,eu,44,1
rntgwbqn.cc,0,0,0,0,11,10,cc,44,1
yduorqwz.co,0,0,0,43,11,10,co,44,1
fcupzhsa.eu,0,0,0,67,11,10,eu,44,1
qvnmiv.cc,0,0,0,14,9,12,cc,44,1
xgcyspe.co,0,0,0,29,10,11,co,44,1
ectiborb.eu,0,0,0,100,11,10,eu,44,1
pdfvmi.cc,0,0,0,14,9,12,cc,44,1
wojfuqy.co,0,0,0,50,10,11,co,44,1
dkaqezeqwem.eu,0,0,0,86,14,8,eu,44,1
suhdxviepq.cc,0,0,0,33,13,8,cc,44,1
vwtsqmhv.co,0,0,0,11,11,10,co,44,1
hcytmv.eu,0,0,0,33,9,12,eu,44,1
rcihyhdg.cc,0,0,0,11,11,10,cc,44,1
uejxbgvt.co,0,0,0,43,11,10,co,44,1
guojri.eu,0,0,0,167,9,12,eu,44,1
mitgfnhpfsd.cc,0,0,0,8,14,8,cc,44,1
ftpavlnt.co,0,0,0,25,11,10,co,44,1
xardqrvk.eu,0,0,0,43,11,10,eu,44,1
lulbcyp.cc,0,0,0,12,10,11,cc,44,1
ejhyzewtu.co,0,0,0,57,12,9,co,44,1
wucxphlstt.eu,0,0,0,33,13,8,eu,44,1
karcypbpg.cc,0,0,0,10,12,9,cc,44,1
dlfxwhktd.co,0,0,0,10,12,9,co,44,1
vifpxjpr.eu,0,0,0,43,11,10,eu,44,1
jcehannlq.cc,0,0,0,22,12,9,cc,44,1
crsfuilc.co,0,0,0,43,11,10,co,44,1
uolztacny.eu,0,0,0,83,12,9,eu,44,1
iiritbtt.cc,0,0,0,43,11,10,cc,44,1
btwpspsom.co,0,0,0,22,12,9,co,44,1
tgilupd.eu,0,0,0,80,10,11,eu,44,1
hmxsvxqj.cc,0,0,0,0,11,10,cc,44,1
abncwni.co,0,0,0,50,10,11,co,44,1
swclgevwx.eu,0,0,0,38,12,9,eu,44,1
gqerhnko.cc,0,0,0,25,11,10,cc,44,1
ztqzegwsa.co,0,0,0,38,12,9,co,44,1
rymmviyg.eu,0,0,0,43,11,10,eu,44,1
fjkxxtrdg.cc,0,0,0,0,12,9,cc,44,1
dzugnd.co,0,0,0,33,9,12,co,44,1
qewignl.eu,0,0,0,80,10,11,eu,44,1
ethucjcg.cc,0,0,0,25,11,10,cc,44,1
cdlzwp.co,0,0,0,14,9,12,co,44,1
pvpefb.eu,0,0,0,60,9,12,eu,44,1
itbwjlczz.cc,0,0,0,10,12,9,cc,44,1
bjtrvm.co,0,0,0,14,9,12,co,44,1
tvmzwebmi.eu,0,0,0,57,12,9,eu,44,1
zdhwuhzhhy.cc,0,0,0,9,13,8,cc,44,1
gvmncaybvz.co,0,0,0,20,13,8,co,44,1
orljtycq.eu,0,0,0,43,11,10,eu,44,1
yrntzmilntn.cc,0,0,0,8,14,8,cc,44,1
fzrrvunaz.co,0,0,0,38,12,9,co,44,1
ndnjtppr.eu,0,0,0,25,11,10,eu,44,1
xlykwnij.cc,0,0,0,11,11,10,cc,44,1
edjkopj.co,0,0,0,50,10,11,co,44,1
mxdztyj.eu,0,0,0,29,10,11,eu,44,1
wjltlw.cc,0,0,0,0,9,12,cc,44,1
drbhgema.co,0,0,0,43,11,10,co,44,1
lalumg.eu,0,0,0,100,9,12,eu,44,1
vodbshrisv.cc,0,0,0,20,13,8,cc,44,1
clpyfzd.co,0,0,0,12,10,11,co,44,1
kuvshafpe.eu,0,0,0,83,12,9,eu,44,1
ughfpi.cc,0,0,0,33,9,12,cc,44,1
bjpxaf.co,0,0,0,33,9,12,co,44,1
jizhksdp.eu,0,0,0,43,11,10,eu,44,1
twtspf.cc,0,0,0,0,9,12,cc,44,1
adqyhjuqkw.co,0,0,0,33,13,8,co,44,1
imduievwk.eu,0,0,0,120,12,9,eu,44,1
scvnlv.cc,0,0,0,0,9,12,cc,44,1
zmcnomtuvv.co,0,0,0,33,13,8,co,44,1
hqozeft.eu,0,0,0,80,10,11,eu,44,1
wykbcdre.cc,0,0,0,11,11,10,cc,44,1
yijsew.co,0,0,0,60,9,12,co,44,1
lqzputjw.eu,0,0,0,43,11,10,eu,44,1
veztqhfannjf.cc,0,0,0,17,15,7,cc,44,1
xuyvkdvw.co,0,0,0,25,11,10,co,44,1
kecwwvwu.eu,0,0,0,67,11,10,eu,44,1
bqlnhpi.cc,0,0,0,12,10,11,cc,44,1
uxinmway.co,0,0,0,67,11,10,co,44,1
nelesgtt.eu,0,0,0,67,11,10,eu,44,1
aixuieihn.cc,0,0,0,120,12,9,cc,44,1
tpkwttl.co,0,0,0,12,10,11,co,44,1
mmfjtm.eu,0,0,0,33,9,12,eu,44,1
zwqcxhc.cc,0,0,0,0,10,11,cc,44,1
sprrufcqe.co,0,0,0,38,12,9,co,44,1
lpjcvwdlo.eu,0,0,0,38,12,9,eu,44,1
yoxmokdw.cc,0,0,0,25,11,10,cc,44,1
rxonldu.co,0,0,0,50,10,11,co,44,1
kxcquxhbhv.eu,0,0,0,33,13,8,eu,44,1
xgsgoke.cc,0,0,0,29,10,11,cc,44,1
qfapntyvjtd.co,0,0,0,18,14,8,co,44,1
jftlaz.eu,0,0,0,60,9,12,eu,44,1
wysapffd.cc,0,0,0,11,11,10,cc,44,1
pnvubtq.co,0,0,0,29,10,11,co,44,1
indexqpn.eu,0,0,0,67,11,10,eu,44,1
vqzgcjwou.cc,0,0,0,22,12,9,cc,44,1
ovvkgbqpl.co,0,0,0,22,12,9,co,44,1
hfrorfnu.eu,0,0,0,67,11,10,eu,44,1
uimrrsja.cc,0,0,0,43,11,10,cc,44,1
salowdxlpki.co,0,0,0,44,14,8,co,44,1
gxtjwlinneo.eu,0,0,0,62,14,8,eu,44,1
taszuslzfk.cc,0,0,0,20,13,8,cc,44,1
rijpwmknr.co,0,0,0,22,12,9,co,44,1
fpztixvho.eu,0,0,0,57,12,9,eu,44,1
xvmewxs.cc,0,0,0,12,10,11,cc,44,1
qqczbcdo.co,0,0,0,25,11,10,co,44,1
iczicjemjuc.eu,0,0,0,86,14,8,eu,44,1
tglpkyar.cc,0,0,0,11,11,10,cc,44,1
