domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
zesvosyake.kz,0,0,0,50,13,8,kz,45,1
hyimophut.kz,0,0,0,38,12,9,kz,45,1
jofymwuctuc.kz,0,0,0,30,14,8,kz,45,1
lulapykyggu.kz,0,0,0,30,14,8,kz,45,1
vesmymasa.kz,0,0,0,38,12,9,kz,45,1
zadogavykoxa.kz,0,0,0,56,15,7,kz,45,1
becokundokf.kz,0,0,0,44,14,8,kz,45,1
cyimaruqqa.kz,0,0,0,50,13,8,kz,45,1
hugumopsespy.kz,0,0,0,40,15,7,kz,45,1
wafhucyize.kz,0,0,0,50,13,8,kz,45,1
permagygg.kz,0,0,0,22,12,9,kz,45,1
xajuqxewucxe.kz,0,0,0,56,15,7,kz,45,1
jegobkesfazp.kz,0,0,0,40,15,7,kz,45,1
duhuwaffatow.kz,0,0,0,56,15,7,kz,45,1
rokxesyal.kz,0,0,0,38,12,9,kz,45,1
vesvyzefa.kz,0,0,0,38,12,9,kz,45,1
tyxhujowop.kz,0,0,0,33,13,8,kz,45,1
gokpaharo.kz,0,0,0,57,12,9,kz,45,1
kovokdajelac.kz,0,0,0,56,15,7,kz,45,1
dyimuqjaju.kz,0,0,0,50,13,8,kz,45,1
reswanba.kz,0,0,0,43,11,10,kz,45,1
tihuqove.kz,0,0,0,67,11,10,kz,45,1
pocupmat.kz,0,0,0,43,11,10,kz,45,1
gifozlil.kz,0,0,0,43,11,10,kz,45,1
vupgijok.kz,0,0,0,43,11,10,kz,45,1
kohabath.kz,0,0,0,43,11,10,kz,45,1
licvibux.kz,0,0,0,43,11,10,kz,45,1
neofeibo.kz,0,0,0,100,11,10,kz,45,1
laflutea.kz,0,0,0,67,11,10,kz,45,1
bucokroq.kz,0,0,0,43,11,10,kz,45,1
hakeawil.kz,0,0,0,67,11,10,kz,45,1
toqohafs.kz,0,0,0,43,11,10,kz,45,1
qopohicm.kz,0,0,0,43,11,10,kz,45,1
woqbowug.kz,0,0,0,43,11,10,kz,45,1
nubuxxid.kz,0,0,0,43,11,10,kz,45,1
gacugdea.kz,0,0,0,67,11,10,kz,45,1
rirxixeo.kz,0,0,0,67,11,10,kz,45,1
deicebud.kz,0,0,0,67,11,10,kz,45,1
xucoqjud.kz,0,0,0,43,11,10,kz,45,1
neanatfe.kz,0,0,0,67,11,10,kz,45,1
gufichaj.kz,0,0,0,43,11,10,kz,45,1
dicdeiru.kz,0,0,0,67,11,10,kz,45,1
voqkirki.kz,0,0,0,43,11,10,kz,45,1
lakeitel.kz,0,0,0,67,11,10,kz,45,1
pilxiqux.kz,0,0,0,43,11,10,kz,45,1
rineakoq.kz,0,0,0,67,11,10,kz,45,1
bupvirke.kz,0,0,0,43,11,10,kz,45,1
qatriten.kz,0,0,0,43,11,10,kz,45,1
neibatci.kz,0,0,0,67,11,10,kz,45,1
buneiqor.kz,0,0,0,67,11,10,kz,45,1
reswanbace.com,0,0,0,62,14,8,com,45,1
tihuqovecal.com,0,0,0,75,15,7,com,45,1
pocupmatpek.com,0,0,0,56,15,7,com,45,1
gifozlilficc.com,0,0,0,50,16,7,com,45,1
vupgijoke.com,0,0,0,71,13,8,com,45,1
kohabathokca.com,0,0,0,67,16,7,com,45,1
licvibuxp.com,0,0,0,50,13,8,com,45,1
neofeibozm.com,0,0,0,86,14,8,com,45,1
lafluteat.com,0,0,0,71,13,8,com,45,1
bucokroqboz.com,0,0,0,56,15,7,com,45,1
hakeawilugc.com,0,0,0,75,15,7,com,45,1
toqohafsinic.com,0,0,0,67,16,7,com,45,1
qopohicmuho.com,0,0,0,75,15,7,com,45,1
woqbowugnu.com,0,0,0,62,14,8,com,45,1
nubuxxideog.com,0,0,0,75,15,7,com,45,1
gacugdearuli.com,0,0,0,88,16,7,com,45,1
rirxixeoru.com,0,0,0,86,14,8,com,45,1
deicebudozr.com,0,0,0,75,15,7,com,45,1
xucoqjudeoh.com,0,0,0,75,15,7,com,45,1
neanatfeaqo.com,0,0,0,100,15,7,com,45,1
gufichajozx.com,0,0,0,56,15,7,com,45,1
dicdeiruq.com,0,0,0,71,13,8,com,45,1
voqkirkij.com,0,0,0,50,13,8,com,45,1
lakeitelovat.com,0,0,0,88,16,7,com,45,1
pilxiquxki.com,0,0,0,62,14,8,com,45,1
rineakoqtaf.com,0,0,0,75,15,7,com,45,1
bupvirkei.com,0,0,0,71,13,8,com,45,1
qatritenu.com,0,0,0,71,13,8,com,45,1
neibatcir.com,0,0,0,71,13,8,com,45,1
buneiqorath.com,0,0,0,75,15,7,com,45,1
mebsankaqe.kz,0,0,0,50,13,8,kz,45,1
xinuporeqaf.kz,0,0,0,62,14,8,kz,45,1
loqurwallej.kz,0,0,0,44,14,8,kz,45,1
cihoqfixhimq.kz,0,0,0,40,15,7,kz,45,1
rurcidoje.kz,0,0,0,57,12,9,kz,45,1
jonakalnosqa.kz,0,0,0,56,15,7,kz,45,1
fimrikuzl.kz,0,0,0,38,12,9,kz,45,1
geoheikoqw.kz,0,0,0,71,13,8,kz,45,1
fadfuxeax.kz,0,0,0,57,12,9,kz,45,1
kuqosmogkoq.kz,0,0,0,44,14,8,kz,45,1
najeasifufq.kz,0,0,0,62,14,8,kz,45,1
xoponadzigiq.kz,0,0,0,56,15,7,kz,45,1
polonimwuno.kz,0,0,0,62,14,8,kz,45,1
sogkosufgu.kz,0,0,0,50,13,8,kz,45,1
gukuzvibeoc.kz,0,0,0,62,14,8,kz,45,1
caqufbeamufi.kz,0,0,0,75,15,7,kz,45,1
mitviveomu.kz,0,0,0,71,13,8,kz,45,1
beiqekuboqm.kz,0,0,0,62,14,8,kz,45,1
vuqogdubeon.kz,0,0,0,62,14,8,kz,45,1
geagalheapo.kz,0,0,0,86,14,8,kz,45,1
cuhimnadoqv.kz,0,0,0,44,14,8,kz,45,1
bimbeimup.kz,0,0,0,57,12,9,kz,45,1
rogjitjid.kz,0,0,0,38,12,9,kz,45,1
fajeixeforal.kz,0,0,0,75,15,7,kz,45,1
lixvipuzji.kz,0,0,0,50,13,8,kz,45,1
migeajogxad.kz,0,0,0,62,14,8,kz,45,1
kurritjei.kz,0,0,0,57,12,9,kz,45,1
palmixegu.kz,0,0,0,57,12,9,kz,45,1
geikalqit.kz,0,0,0,57,12,9,kz,45,1
kugeipomaln.kz,0,0,0,62,14,8,kz,45,1
puqvokqoku.kz,0,0,0,50,13,8,kz,45,1
zyatemaruko.kz,0,0,0,62,14,8,kz,45,1
lakerfoblud.kz,0,0,0,44,14,8,kz,45,1
cyohazwyahyo.kz,0,0,0,40,15,7,kz,45,1
rercyojad.kz,0,0,0,38,12,9,kz,45,1
datoqobtafko.kz,0,0,0,56,15,7,kz,45,1
wyoryqell.kz,0,0,0,22,12,9,kz,45,1
guqhuqazfa.kz,0,0,0,50,13,8,kz,45,1
wopwezucz.kz,0,0,0,38,12,9,kz,45,1
qekafpatqaz.kz,0,0,0,44,14,8,kz,45,1
toduvywesky.kz,0,0,0,30,14,8,kz,45,1
zamatopxyogy.kz,0,0,0,40,15,7,kz,45,1
malatymfeta.kz,0,0,0,44,14,8,kz,45,1
vatqavesge.kz,0,0,0,50,13,8,kz,45,1
geqelsyibuc.kz,0,0,0,44,14,8,kz,45,1
cokesbucpewy.kz,0,0,0,40,15,7,kz,45,1
pygsyasupe.kz,0,0,0,33,13,8,kz,45,1
bukuqebazpe.kz,0,0,0,62,14,8,kz,45,1
sekatjebuta.kz,0,0,0,62,14,8,kz,45,1
gugobhumajy.kz,0,0,0,44,14,8,kz,45,1
cehyotojazs.kz,0,0,0,44,14,8,kz,45,1
bymbupema.kz,0,0,0,38,12,9,kz,45,1
ratdyidyo.kz,0,0,0,38,12,9,kz,45,1
wodunzuwarob.kz,0,0,0,56,15,7,kz,45,1
lyasyimeld.kz,0,0,0,33,13,8,kz,45,1
pygudatzopv.kz,0,0,0,30,14,8,kz,45,1
qerrygdun.kz,0,0,0,22,12,9,kz,45,1
mobpyzuge.kz,0,0,0,38,12,9,kz,45,1
gunqobkyg.kz,0,0,0,22,12,9,kz,45,1
qegunmapobt.kz,0,0,0,44,14,8,kz,45,1
dokvupju.kz,0,0,0,43,11,10,kz,45,1
dichilfa.kz,0,0,0,43,11,10,kz,45,1
mafaxuxk.kz,0,0,0,43,11,10,kz,45,1
neikoqta.kz,0,0,0,67,11,10,kz,45,1
seisagem.kz,0,0,0,67,11,10,kz,45,1
lifaxicj.kz,0,0,0,43,11,10,kz,45,1
helotugh.kz,0,0,0,43,11,10,kz,45,1
rosanxir.kz,0,0,0,43,11,10,kz,45,1
cadinogo.kz,0,0,0,67,11,10,kz,45,1
cuglafpe.kz,0,0,0,43,11,10,kz,45,1
roqedgat.kz,0,0,0,43,11,10,kz,45,1
ceneivat.kz,0,0,0,67,11,10,kz,45,1
sugpofup.kz,0,0,0,43,11,10,kz,45,1
jirsiroq.kz,0,0,0,43,11,10,kz,45,1
wanoqele.kz,0,0,0,67,11,10,kz,45,1
qorobilo.kz,0,0,0,67,11,10,kz,45,1
tozgupka.kz,0,0,0,43,11,10,kz,45,1
cokqerir.kz,0,0,0,43,11,10,kz,45,1
mudugjea.kz,0,0,0,67,11,10,kz,45,1
wuplifag.kz,0,0,0,43,11,10,kz,45,1
mickaboz.kz,0,0,0,43,11,10,kz,45,1
kipijatn.kz,0,0,0,43,11,10,kz,45,1
kilseosi.kz,0,0,0,67,11,10,kz,45,1
xidozdam.kz,0,0,0,43,11,10,kz,45,1
xugkihok.kz,0,0,0,43,11,10,kz,45,1
namuxlaf.kz,0,0,0,43,11,10,kz,45,1
xoklawab.kz,0,0,0,43,11,10,kz,45,1
hozjuzbo.kz,0,0,0,43,11,10,kz,45,1
noxivirx.kz,0,0,0,43,11,10,kz,45,1
jiseipef.kz,0,0,0,67,11,10,kz,45,1
dokvupjuwe.com,0,0,0,62,14,8,com,45,1
dichilfas.com,0,0,0,50,13,8,com,45,1
mafaxuxkanub.com,0,0,0,67,16,7,com,45,1
neikoqtaf.com,0,0,0,71,13,8,com,45,1
seisagemux.com,0,0,0,86,14,8,com,45,1
lifaxicjicq.com,0,0,0,56,15,7,com,45,1
helotughedwa.com,0,0,0,67,16,7,com,45,1
rosanxirupbo.com,0,0,0,67,16,7,com,45,1
cadinogokqiv.com,0,0,0,67,16,7,com,45,1
cuglafpen.com,0,0,0,50,13,8,com,45,1
roqedgataca.com,0,0,0,75,15,7,com,45,1
ceneivatsin.com,0,0,0,75,15,7,com,45,1
sugpofupu.com,0,0,0,71,13,8,com,45,1
jirsiroqs.com,0,0,0,50,13,8,com,45,1
wanoqeledfo.com,0,0,0,75,15,7,com,45,1
qorobilogokr.com,0,0,0,67,16,7,com,45,1
tozgupkak.com,0,0,0,50,13,8,com,45,1
cokqerirv.com,0,0,0,50,13,8,com,45,1
mudugjeanat.com,0,0,0,75,15,7,com,45,1
wuplifagar.com,0,0,0,62,14,8,com,45,1
mickabozfi.com,0,0,0,62,14,8,com,45,1
kipijatnupg.com,0,0,0,56,15,7,com,45,1
kilseosik.com,0,0,0,71,13,8,com,45,1
xidozdamuxn.com,0,0,0,56,15,7,com,45,1
xugkihoksu.com,0,0,0,62,14,8,com,45,1
namuxlafganp.com,0,0,0,50,16,7,com,45,1
xoklawabum.com,0,0,0,62,14,8,com,45,1
hozjuzbot.com,0,0,0,50,13,8,com,45,1
noxivirxace.com,0,0,0,75,15,7,com,45,1
jiseipefuxj.com,0,0,0,75,15,7,com,45,1
bosrurduse.kz,0,0,0,50,13,8,kz,45,1
bimnixhaz.kz,0,0,0,38,12,9,kz,45,1
wahavuzjaguk.kz,0,0,0,56,15,7,kz,45,1
geijogxad.kz,0,0,0,57,12,9,kz,45,1
zeizacewuz.kz,0,0,0,71,13,8,kz,45,1
fihavimdimp.kz,0,0,0,44,14,8,kz,45,1
nefoxufnecsa.kz,0,0,0,56,15,7,kz,45,1
mozanvimurko.kz,0,0,0,56,15,7,kz,45,1
qabigocospir.kz,0,0,0,56,15,7,kz,45,1
quffadleg.kz,0,0,0,38,12,9,kz,45,1
mopeccaxaqa.kz,0,0,0,62,14,8,kz,45,1
qegeiralzig.kz,0,0,0,62,14,8,kz,45,1
zuflohulu.kz,0,0,0,57,12,9,kz,45,1
ditzimogz.kz,0,0,0,38,12,9,kz,45,1
