domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
xirgbebore.tv,2,0,0,50,13,8,tv,46,1
ahujctulsb.org,2,1,0,44,14,8,org,46,1
bsbuhapqbw.org,1,1,0,30,14,8,org,46,1
hibalmtopc.ru,2,0,0,50,13,8,ru,46,1
jqzqdgfcrg.net,2,0,0,8,14,8,net,46,1
svubopsfiv.org,2,0,0,44,14,8,org,46,1
cbehwbafqn.com,1,0,0,30,14,8,com,46,1
dehkxyfetg.org,2,0,0,30,14,8,org,46,1
urcvipmxqz.org,2,0,0,30,14,8,org,46,1
idgbobarul.tv,2,0,0,50,13,8,tv,46,1
najetadqxu.tv,2,0,0,50,13,8,tv,46,1
tovczuhofs.tv,2,0,0,33,13,8,tv,46,1
lufivkduzk.tv,2,0,0,33,13,8,tv,46,1
yvslalgnet.org,2,0,0,30,14,8,org,46,1
ujmjuhmjwx.com,2,0,0,30,14,8,com,46,1
uvqrebstif.net,2,0,0,44,14,8,net,46,1
pqxsbkxwlw.ru,2,0,0,9,13,8,ru,46,1
izudcfgfqh.net,2,0,0,30,14,8,net,46,1
tohytabkve.net,2,0,0,44,14,8,net,46,1
bydofmlozg.tv,2,0,0,20,13,8,tv,46,1
ohgzincfkp.org,2,0,0,30,14,8,org,46,1
olofapmxgl.net,2,0,0,44,14,8,net,46,1
pqxgtujorq.com,2,0,0,30,14,8,com,46,1
buzetwjena.tv,2,0,0,50,13,8,tv,46,1
qdozgfkbyf.tv,2,0,0,9,13,8,tv,46,1
gzgpavsdgn.com,2,0,0,18,14,8,com,46,1
wtynsxehoz.org,1,0,0,30,14,8,org,46,1
ilutudexuf.ru,2,0,0,100,13,8,ru,46,1
stojkxybcr.com,2,0,0,18,14,8,com,46,1
ovkhobclun.net,2,0,0,44,14,8,net,46,1
uzqnapanon.tv,2,0,0,50,13,8,tv,46,1
gxmdgfmjcx.com,2,0,0,8,14,8,com,46,1
fkpopuhszw.net,1,0,0,30,14,8,net,46,1
pgdudgjypi.ru,2,0,0,33,13,8,ru,46,1
cbgxubqbcf.net,2,0,0,18,14,8,net,46,1
mdovcrgzkz.org,2,0,0,18,14,8,org,46,1
adybodmzuh.ru,2,0,0,50,13,8,ru,46,1
ojurkfofgd.com,0,0,0,44,14,8,com,46,1
qvapotejat.com,1,0,0,62,14,8,com,46,1
fgjkrorwzq.ru,2,0,0,20,13,8,ru,46,1
ebulmnwtod.tv,1,0,0,33,13,8,tv,46,1
tedwdilupi.ru,2,0,0,71,13,8,ru,46,1
teletejmjk.ru,2,0,0,50,13,8,ru,46,1
arsfgjqtyh.tv,1,0,0,9,13,8,tv,46,1
hixqhijkhc.net,1,0,0,30,14,8,net,46,1
ujolefuvut.ru,2,0,0,100,13,8,ru,46,1
mnizepibib.org,1,0,0,62,14,8,org,46,1
slaxgnizel.net,1,0,0,44,14,8,net,46,1
sdmfepkxib.tv,1,0,0,20,13,8,tv,46,1
ctovmzgvav.org,1,0,0,30,14,8,org,46,1
hmfglarqfe.com,1,0,0,30,14,8,com,46,1
zqdmfelqbw.ru,2,0,0,20,13,8,ru,46,1
yxqpovsbqt.net,0,0,0,18,14,8,net,46,1
ebqngdolen.com,1,0,0,44,14,8,com,46,1
tmvgnehgxe.tv,1,0,0,20,13,8,tv,46,1
pmrwtudopy.com,1,0,0,30,14,8,com,46,1
zwvuvepglc.ru,1,0,0,33,13,8,ru,46,1
kvknmngnup.net,1,0,0,18,14,8,net,46,1
cxsdilupkv.com,1,0,0,30,14,8,com,46,1
xiropuzetm.tv,1,0,0,50,13,8,tv,46,1
hqjulgrots.com,1,0,0,30,14,8,com,46,1
bwfkrezang.org,1,0,0,30,14,8,org,46,1
epcvytydcz.org,1,0,0,18,14,8,org,46,1
sdobqfwjwb.org,1,0,0,18,14,8,org,46,1
pudebkbwno.ru,1,0,0,50,13,8,ru,46,1
ivypcxadsd.org,1,0,0,30,14,8,org,46,1
zulknufyzu.tv,1,0,0,33,13,8,tv,46,1
fyryxwjavy.tv,1,0,0,9,13,8,tv,46,1
