domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
ykggumiq.info,0,0,0,50,13,8,info,48,1
qmxoqqeoya.info,0,0,0,75,15,7,info,48,1
grfkzsdsholapet.cc,0,0,0,21,18,6,cc,48,1
uielbkdsholapet.org,0,0,0,64,19,6,org,48,1
emzuhsuiwcymao.net,0,0,0,70,18,6,net,48,1
kwrymcuiwcymao.net,0,0,0,42,18,6,net,48,1
gvtctufqbex.com,0,0,0,27,15,7,com,48,1
intmbufqbex.com,0,0,0,40,15,7,com,48,1
kwiisaiugkeq.biz,0,0,0,88,16,7,biz,48,1
cohipguiwcymao.info,0,0,0,80,19,6,info,48,1
dzvmhsfox.cc,0,0,0,10,12,9,cc,48,1
mfoxjadsholapet.cc,0,0,0,42,18,6,cc,48,1
iugzosiugkeq.net,0,0,0,88,16,7,net,48,1
awoyoaiq.biz,0,0,0,120,12,9,biz,48,1
rrjytsn.org,2,0,0,11,11,10,org,48,1
eqykrodsholapet.com,2,0,0,50,19,6,com,48,1
goeaywiq.info,2,0,0,100,13,8,info,48,1
megsoeiq.net,2,0,0,83,12,9,net,48,1
zfdthsn.cc,2,1,0,0,10,11,cc,48,1
kswguwiugkeq.info,0,0,0,60,17,6,info,48,1
xadcxgn.org,0,0,0,25,11,10,org,48,1
hsbsoafox.cc,0,0,0,38,12,9,cc,48,1
swsesiiugkeq.net,0,0,0,67,16,7,net,48,1
owawieiq.info,0,0,0,140,13,8,info,48,1
uneydkdsholapet.org,0,0,0,50,19,6,org,48,1
lknkdsfox.com,0,0,0,20,13,8,com,48,1
cumufaiugkeq.biz,0,0,0,88,16,7,biz,48,1
ekagqk.biz,1,0,0,50,10,11,biz,48,1
gaogbsdsholapet.cc,2,1,0,42,18,6,cc,48,1
tpzinsfox.org,2,0,0,33,13,8,org,48,1
kegbceiq.info,2,1,0,71,13,8,info,48,1
yeuawkuiwcymao.info,2,1,0,100,19,6,info,48,1
pboimafox.cc,2,0,0,57,12,9,cc,48,1
acpkhsdsholapet.org,2,0,0,38,19,6,org,48,1
umqrio.biz,2,0,0,80,10,11,biz,48,1
eueymsuiwcymao.info,2,0,0,100,19,6,info,48,1
deagvafox.org,2,0,0,71,13,8,org,48,1
vfrvvcn.org,2,0,0,11,11,10,org,48,1
ygsink.info,2,0,0,43,11,10,info,48,1
itemqodsholapet.com,0,0,0,64,19,6,com,48,1
oqpbws.net,0,0,0,29,10,11,net,48,1
skhuos.biz,0,0,0,50,10,11,biz,48,1
netlfkn.cc,0,0,0,12,10,11,cc,48,1
evoetwnansnan.com,0,0,0,60,17,6,com,48,1
igwgzeiq.info,0,0,0,71,13,8,info,48,1
syuoqeiq.biz,0,0,0,83,12,9,biz,48,1
ngdokcn.cc,0,0,0,12,10,11,cc,48,1
mqdsngfqbex.cc,0,0,0,8,14,8,cc,48,1
mkpyasuiwcymao.info,0,0,0,64,19,6,info,48,1
wueqsaiugkeq.net,0,0,0,88,16,7,net,48,1
mbpykadsholapet.com,0,0,0,38,19,6,com,48,1
tewtnifox.cc,0,0,0,38,12,9,cc,48,1
cqhjgguiwcymao.biz,0,0,0,42,18,6,biz,48,1
carrrueoya.info,1,0,0,100,15,7,info,48,1
rwxovafox.cc,2,0,0,38,12,9,cc,48,1
hhgumsfox.com,2,1,0,33,13,8,com,48,1
sobesqeoya.biz,2,0,0,86,14,8,biz,48,1
kizkggeoya.biz,2,0,0,62,14,8,biz,48,1
zfdthsn.cc,2,1,0,0,10,11,cc,48,1
mqwauueoya.biz,0,0,0,117,14,8,biz,48,1
fsgusafox.cc,0,0,0,38,12,9,cc,48,1
rarldsfox.com,0,0,0,33,13,8,com,48,1
iqmogsiugkeq.biz,0,0,0,67,16,7,biz,48,1
ceuogueoya.net,0,0,0,160,14,8,net,48,1
sfnyvgfqbex.cc,0,0,0,8,14,8,cc,48,1
iwpucodsholapet.com,0,0,0,64,19,6,com,48,1
yeskys.biz,0,0,0,29,10,11,biz,48,1
misciueoya.net,0,0,0,117,14,8,net,48,1
ssywjodsholapet.com,2,0,0,38,19,6,com,48,1
qdzneadsholapet.cc,2,0,0,42,18,6,cc,48,1
mkechwiugkeq.info,2,0,0,60,17,6,info,48,1
aiyxziiugkeq.net,2,0,0,88,16,7,net,48,1
kckspkdsholapet.com,2,0,0,29,19,6,com,48,1
fajgnsn.com,2,0,0,25,11,10,com,48,1
umqrio.biz,2,0,0,80,10,11,biz,48,1
eueymsuiwcymao.info,2,0,0,100,19,6,info,48,1
deagvafox.org,2,0,0,71,13,8,org,48,1
vfrvvcn.org,2,0,0,11,11,10,org,48,1
ygsink.info,2,0,0,43,11,10,info,48,1
prxqzgn.com,0,0,0,11,11,10,com,48,1
aatylo.biz,0,0,0,80,10,11,biz,48,1
wchieguiwcymao.biz,0,0,0,70,18,6,biz,48,1
vafcvafox.org,0,0,0,50,13,8,org,48,1
ruwensfox.cc,0,0,0,38,12,9,cc,48,1
eqdwvgeoya.info,0,0,0,75,15,7,info,48,1
oaamrmiq.info,0,0,0,100,13,8,info,48,1
rfrbvgn.com,0,0,0,11,11,10,com,48,1
tzxelkn.cc,0,0,0,12,10,11,cc,48,1
gsemeaiugkeq.net,0,0,0,88,16,7,net,48,1
iihfkgeoya.net,0,0,0,86,14,8,net,48,1
hkbuvgn.org,2,0,0,25,11,10,org,48,1
ijcdjodsholapet.com,0,0,0,50,19,6,com,48,1
isapuwiq.net,0,0,0,83,12,9,net,48,1
kslhlkuiwcymao.biz,1,0,0,42,18,6,biz,48,1
ntzmjwfox.com,2,0,0,20,13,8,com,48,1
lnbaukn.cc,2,0,0,29,10,11,cc,48,1
kkqcoeiq.biz,1,0,0,57,12,9,biz,48,1
yqjkxo.net,2,0,0,29,10,11,net,48,1
zfdthsn.cc,2,1,0,0,10,11,cc,48,1
mgsyso.info,0,0,0,43,11,10,info,48,1
ezmobmnansnan.com,0,0,0,45,17,6,com,48,1
uqrqrgfqbex.com,0,0,0,27,15,7,com,48,1
quigqyeoya.info,0,0,0,100,15,7,info,48,1
isokck.net,0,0,0,50,10,11,net,48,1
wcxcyyfqbex.cc,0,0,0,8,14,8,cc,48,1
qyrgswnansnan.org,0,0,0,23,17,6,org,48,1
wwioswiq.biz,0,0,0,57,12,9,biz,48,1
qeeuqguiwcymao.net,2,0,0,89,18,6,net,48,1
tsfihcn.com,2,0,0,25,11,10,com,48,1
vfhrzcn.cc,2,0,0,0,10,11,cc,48,1
scwiwmiq.net,2,0,0,38,12,9,net,48,1
uawmoa.net,2,0,0,125,10,11,net,48,1
pboimafox.cc,2,0,0,57,12,9,cc,48,1
acpkhsdsholapet.org,2,0,0,38,19,6,org,48,1
umqrio.biz,2,0,0,80,10,11,biz,48,1
eueymsuiwcymao.info,2,0,0,100,19,6,info,48,1
deagvafox.org,2,0,0,71,13,8,org,48,1
vfrvvcn.org,2,0,0,11,11,10,org,48,1
ygsink.info,2,0,0,43,11,10,info,48,1
ttjungn.org,0,0,0,25,11,10,org,48,1
ygylmaiugkeq.info,0,0,0,60,17,6,info,48,1
guruoguiwcymao.info,0,0,0,100,19,6,info,48,1
cvbudadsholapet.com,0,0,0,50,19,6,com,48,1
uhuwdanansnan.org,0,0,0,60,17,6,org,48,1
cwioyeiq.net,0,0,0,83,12,9,net,48,1
iwkqiaiq.biz,0,0,0,83,12,9,biz,48,1
axtudkdsholapet.com,0,0,0,50,19,6,com,48,1
ygkmlenansnan.org,0,0,0,33,17,6,org,48,1
gojmsqeoya.net,0,0,0,62,14,8,net,48,1
scbfnsuiwcymao.info,0,0,0,50,19,6,info,48,1
eejawmnansnan.com,0,0,0,60,17,6,com,48,1
qxighadsholapet.com,0,0,0,50,19,6,com,48,1
qkqbimiq.net,0,0,0,38,12,9,net,48,1
esakyeiq.biz,1,0,0,83,12,9,biz,48,1
cphqfanansnan.org,2,0,0,33,17,6,org,48,1
savxcqfqbex.cc,2,0,0,18,14,8,cc,48,1
gahkmo.biz,1,0,0,50,10,11,biz,48,1
yqjkxo.net,2,0,0,29,10,11,net,48,1
zfdthsn.cc,2,1,0,0,10,11,cc,48,1
yiujcueoya.info,0,0,0,133,15,7,info,48,1
jkmyjifox.cc,0,0,0,22,12,9,cc,48,1
zlbkzkn.com,0,0,0,11,11,10,com,48,1
omusoaiq.biz,0,0,0,120,12,9,biz,48,1
musmia.info,0,0,0,100,11,10,info,48,1
izeuvodsholapet.org,0,0,0,80,19,6,org,48,1
xgfwmkn.org,0,0,0,11,11,10,org,48,1
wsysgguiwcymao.info,0,0,0,50,19,6,info,48,1
yoeimk.info,0,0,0,100,11,10,info,48,1
yscgfmnansnan.cc,2,0,0,15,16,7,cc,48,1
gufvownansnan.cc,2,0,0,36,16,7,cc,48,1
ssejbguiwcymao.biz,2,0,0,55,18,6,biz,48,1
aiyxziiugkeq.net,2,0,0,88,16,7,net,48,1
kckspkdsholapet.com,2,0,0,29,19,6,com,48,1
fajgnsn.com,2,0,0,25,11,10,com,48,1
umqrio.biz,2,0,0,80,10,11,biz,48,1
eueymsuiwcymao.info,2,0,0,100,19,6,info,48,1
deagvafox.org,2,0,0,71,13,8,org,48,1
vfrvvcn.org,2,0,0,11,11,10,org,48,1
ygsink.info,2,0,0,43,11,10,info,48,1
czggeodsholapet.com,0,0,0,50,19,6,com,48,1
qsdoua.net,0,0,0,80,10,11,net,48,1
kouyeaiugkeq.info,0,0,0,129,17,6,info,48,1
yzdbekdsholapet.com,0,0,0,38,19,6,com,48,1
qywttenansnan.cc,0,0,0,25,16,7,cc,48,1
qeoemmiq.net,0,0,0,83,12,9,net,48,1
mghofguiwcymao.info,0,0,0,64,19,6,info,48,1
uufvxgfqbex.org,0,0,0,40,15,7,org,48,1
nmdadsn.org,0,0,0,25,11,10,org,48,1
qonakk.net,0,0,0,50,10,11,net,48,1
wqnbpsuiwcymao.net,0,0,0,42,18,6,net,48,1
ozlqiwnansnan.com,0,0,0,45,17,6,com,48,1
qqbklyfqbex.org,0,0,0,17,15,7,org,48,1
amwuimiq.info,0,0,0,100,13,8,info,48,1
eykfraiugkeq.biz,0,0,0,67,16,7,biz,48,1
wircxqfqbex.cc,2,0,0,18,14,8,cc,48,1
hkjkmsn.cc,2,0,0,0,10,11,cc,48,1
murkga.net,2,0,0,50,10,11,net,48,1
kizkggeoya.biz,2,0,0,62,14,8,biz,48,1
zfdthsn.cc,2,1,0,0,10,11,cc,48,1
wqiypwiugkeq.biz,0,0,0,50,16,7,biz,48,1
eomananansnan.com,0,0,0,78,17,6,com,48,1
bstmbkn.cc,0,0,0,0,10,11,cc,48,1
ccaobk.biz,0,0,0,50,10,11,biz,48,1
eyieoo.net,0,0,0,200,10,11,net,48,1
qjoebanansnan.cc,0,0,0,50,16,7,cc,48,1
vyfkrifox.cc,0,0,0,22,12,9,cc,48,1
oqgksaiq.net,0,0,0,57,12,9,net,48,1
gmsysmiq.info,1,0,0,33,13,8,info,48,1
oplqbqfqbex.com,2,0,0,27,15,7,com,48,1
umndwufqbex.com,2,1,0,40,15,7,com,48,1
kegbceiq.info,2,1,0,71,13,8,info,48,1
yeuawkuiwcymao.info,2,1,0,100,19,6,info,48,1
pboimafox.cc,2,0,0,57,12,9,cc,48,1
acpkhsdsholapet.org,2,0,0,38,19,6,org,48,1
umqrio.biz,2,0,0,80,10,11,biz,48,1
eueymsuiwcymao.info,2,0,0,100,19,6,info,48,1
deagvafox.org,2,0,0,71,13,8,org,48,1
vfrvvcn.org,2,0,0,11,11,10,org,48,1
ygsink.info,2,0,0,43,11,10,info,48,1
qercxufqbex.com,0,0,0,40,15,7,com,48,1
ycxkosuiwcymao.net,0,0,0,55,18,6,net,48,1
qycmmsiugkeq.net,0,0,0,36,16,7,net,48,1
sezxqwnansnan.cc,0,0,0,25,16,7,cc,48,1
aorvxgfqbex.com,0,0,0,40,15,7,com,48,1
giomtaiq.biz,0,0,0,83,12,9,biz,48,1
iaygrmiq.biz,0,0,0,57,12,9,biz,48,1
qvpqmenansnan.cc,0,0,0,25,16,7,cc,48,1
jkkapwfox.cc,0,0,0,22,12,9,cc,48,1
aybyyqeoya.biz,0,0,0,62,14,8,biz,48,1
qecmfmiq.biz,0,0,0,38,12,9,biz,48,1
bcpqvcn.com,0,0,0,11,11,10,com,48,1
pkipvafox.com,0,0,0,50,13,8,com,48,1
ywvmya.biz,0,0,0,29,10,11,biz,48,1
kksziwiq.net,1,0,0,38,12,9,net,48,1
tgfengn.com,2,0,0,25,11,10,com,48,1
jevbagn.org,2,0,0,43,11,10,org,48,1
ququeaiugkeq.net,2,0,0,114,16,7,net,48,1
megsoeiq.net,2,0,0,83,12,9,net,48,1
zfdthsn.cc,2,1,0,0,10,11,cc,48,1
omcibwiugkeq.info,0,0,0,78,17,6,info,48,1
vnfgccn.cc,0,0,0,0,10,11,cc,48,1
phzdlsfox.cc,0,0,0,10,12,9,cc,48,1
seykaa.info,0,0,0,100,11,10,info,48,1
gaqqfaiq.info,0,0,0,71,13,8,info,48,1
ngngdgn.com,0,0,0,11,11,10,com,48,1
hahkikn.cc,0,0,0,29,10,11,cc,48,1
aswawueoya.info,0,0,0,133,15,7,info,48,1
ewwcqiiugkeq.info,0,0,0,78,17,6,info,48,1
geiobsdsholapet.cc,2,0,0,55,18,6,cc,48,1
wkdcasdsholapet.cc,2,0,0,31,18,6,cc,48,1
eqyeriiugkeq.biz,2,0,0,88,16,7,biz,48,1
ymazfyeoya.info,2,0,0,75,15,7,info,48,1
kckspkdsholapet.com,2,0,0,29,19,6,com,48,1
fajgnsn.com,2,0,0,25,11,10,com,48,1
umqrio.biz,2,0,0,80,10,11,biz,48,1
eueymsuiwcymao.info,2,0,0,100,19,6,info,48,1
