domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
mwjywk.net,2,0,0,12,10,11,net,49,1
mqzkja.info,2,0,0,43,11,10,info,49,1
cglkbqfqbex.com,2,0,0,17,15,7,com,49,1
nevudkn.com,2,0,0,43,11,10,com,49,1
aoymgwiq.net,2,0,0,57,12,9,net,49,1
ockgnmiq.net,2,0,0,38,12,9,net,49,1
zafwxgn.com,2,0,0,25,11,10,com,49,1
rgsyvsfox.cc,2,0,0,10,12,9,cc,49,1
oefypgeoya.info,2,0,0,100,15,7,info,49,1
ygnuoa.info,2,0,0,100,11,10,info,49,1
lcrvncn.com,2,0,0,11,11,10,com,49,1
gwkjjenansnan.cc,2,0,0,25,16,7,cc,49,1
ycphfguiwcymao.net,2,0,0,42,18,6,net,49,1
csrkpo.net,2,0,0,29,10,11,net,49,1
jgrkgcn.com,2,0,0,11,11,10,com,49,1
qjmyrwnansnan.cc,2,0,0,15,16,7,cc,49,1
gofxucuiwcymao.info,2,0,0,80,19,6,info,49,1
welkfa.biz,2,0,0,50,10,11,biz,49,1
kppwgwnansnan.org,2,0,0,23,17,6,org,49,1
mrudvmnansnan.cc,2,0,0,25,16,7,cc,49,1
qklalkuiwcymao.biz,2,0,0,55,18,6,biz,49,1
ykjgqk.info,2,0,0,25,11,10,info,49,1
whruvadsholapet.cc,2,0,0,42,18,6,cc,49,1
usctvwnansnan.com,2,0,0,33,17,6,com,49,1
eypceyeoya.info,2,0,0,100,15,7,info,49,1
qmifpmiq.info,2,0,0,50,13,8,info,49,1
clbysufqbex.com,2,0,0,27,15,7,com,49,1
njuuuwfox.cc,2,0,0,57,12,9,cc,49,1
sabeeguiwcymao.info,2,0,0,100,19,6,info,49,1
eqppkueoya.biz,2,0,0,86,14,8,biz,49,1
omxqnqfqbex.com,2,0,0,27,15,7,com,49,1
hzzcrcn.cc,2,0,0,0,10,11,cc,49,1
ykvvzqeoya.net,2,0,0,44,14,8,net,49,1
uqyyeaiq.info,2,0,0,100,13,8,info,49,1
avlhoadsholapet.cc,2,0,0,55,18,6,cc,49,1
arwyqsdsholapet.com,2,0,0,38,19,6,com,49,1
kkneya.net,2,0,0,50,10,11,net,49,1
aoryqkuiwcymao.info,2,0,0,80,19,6,info,49,1
mdttbwnansnan.org,2,0,0,23,17,6,org,49,1
gclwrqfqbex.cc,2,0,0,8,14,8,cc,49,1
scmbgaiq.biz,2,0,0,38,12,9,biz,49,1
syfzdqeoya.net,2,0,0,44,14,8,net,49,1
hijypcn.org,2,0,0,25,11,10,org,49,1
flvcjcn.com,2,0,0,11,11,10,com,49,1
sgeohwiugkeq.biz,2,0,0,67,16,7,biz,49,1
yezwdyeoya.biz,2,0,0,62,14,8,biz,49,1
lynqocn.cc,2,0,0,12,10,11,cc,49,1
bnumdsfox.com,2,0,0,33,13,8,com,49,1
wybgtkuiwcymao.info,2,0,0,50,19,6,info,49,1
yoevsaiugkeq.biz,2,0,0,88,16,7,biz,49,1
oabkyqfqbex.org,2,0,0,40,15,7,org,49,1
msikvwnansnan.com,2,0,0,33,17,6,com,49,1
guiqtiiugkeq.info,2,0,0,100,17,6,info,49,1
gempciiugkeq.net,2,0,0,67,16,7,net,49,1
szxihodsholapet.cc,2,0,0,42,18,6,cc,49,1
vjectafox.cc,2,0,0,38,12,9,cc,49,1
sqggqeiq.info,2,0,0,50,13,8,info,49,1
kauussiugkeq.info,2,0,0,100,17,6,info,49,1
sibmqanansnan.org,2,0,0,45,17,6,org,49,1
ygeslenansnan.com,2,0,0,45,17,6,com,49,1
aicmqwiugkeq.info,2,0,0,78,17,6,info,49,1
ksfiwsuiwcymao.biz,2,0,0,55,18,6,biz,49,1
ebtunwnansnan.org,2,0,0,45,17,6,org,49,1
iljcrufqbex.com,2,0,0,40,15,7,com,49,1
sybskk.net,2,0,0,12,10,11,net,49,1
eabxscuiwcymao.info,2,0,0,80,19,6,info,49,1
ylhkoanansnan.org,2,0,0,45,17,6,org,49,1
sycvdkdsholapet.com,2,0,0,29,19,6,com,49,1
qwvaes.net,2,0,0,50,10,11,net,49,1
saqzeaiugkeq.net,2,0,0,88,16,7,net,49,1
jafoqsn.com,2,0,0,43,11,10,com,49,1
pnhfgsn.org,2,0,0,11,11,10,org,49,1
gokqoiiugkeq.info,2,0,0,100,17,6,info,49,1
gieguaiq.net,2,0,0,120,12,9,net,49,1
wmzqbqfqbex.cc,2,0,0,8,14,8,cc,49,1
yumcvadsholapet.com,2,0,0,50,19,6,com,49,1
