domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
dwgiqj.info,1,0,0,43,11,10,info,47,1
xentbqban.org,1,0,0,33,13,8,org,47,1
btpqgmnd.net,1,0,0,10,12,9,net,47,1
tkfvxqu.org,1,0,0,25,11,10,org,47,1
dxzqmoua.info,1,0,0,71,13,8,info,47,1
lgxmnui.net,1,0,0,43,11,10,net,47,1
qqrdrz.info,1,0,0,25,11,10,info,47,1
avukumw.net,1,0,0,67,11,10,net,47,1
gwoklnjse.info,1,0,0,44,14,8,info,47,1
eiywaisu.org,1,0,0,120,12,9,org,47,1
tkfwfjklvp.net,1,0,0,8,14,8,net,47,1
amyckqcgei.com,1,0,0,44,14,8,com,47,1
lvgyitraajb.info,1,0,0,50,16,7,info,47,1
oqegwkgaeciu.org,1,0,0,88,16,7,org,47,1
snnsbljz.net,1,0,0,10,12,9,net,47,1
qmucku.org,1,0,0,50,10,11,org,47,1
ifkwzfpmhtoy.info,1,0,0,33,17,6,info,47,1
xargsxyqk.com,1,0,0,20,13,8,com,47,1
jefqzyjvo.net,1,0,0,33,13,8,net,47,1
gppcdmloh.net,1,0,0,20,13,8,net,47,1
obppxfxrvm.info,1,0,0,27,15,7,info,47,1
ksieiamykgma.com,1,0,0,67,16,7,com,47,1
kloioe.net,1,0,0,125,10,11,net,47,1
mooyggeayqma.org,1,0,0,67,16,7,org,47,1
qifloox.info,1,0,0,83,12,9,info,47,1
usgcsa.org,1,0,0,50,10,11,org,47,1
vragknbwia.net,1,0,0,44,14,8,net,47,1
jlppxyponkh.com,1,0,0,17,15,7,com,47,1
pwnfry.net,1,0,0,12,10,11,net,47,1
uqnysqh.net,1,0,0,25,11,10,net,47,1
cdbrzxma.info,1,0,0,33,13,8,info,47,1
nucpkyzvjw.info,1,0,0,27,15,7,info,47,1
dcnbvvbyygg.info,1,0,0,15,16,7,info,47,1
xzfrzv.info,1,0,0,25,11,10,info,47,1
cwegttl.info,1,0,0,38,12,9,info,47,1
dgfolgtqh.net,1,0,0,20,13,8,net,47,1
pnhpwwgv.info,1,0,0,20,13,8,info,47,1
goquhifefgf.info,1,0,0,67,16,7,info,47,1
lvotovcr.info,1,0,0,50,13,8,info,47,1
qsiqeyio.com,1,0,0,83,12,9,com,47,1
cdjtjcj.info,1,0,0,22,12,9,info,47,1
uooqukak.com,1,0,0,120,12,9,com,47,1
frbyls.net,1,0,0,12,10,11,net,47,1
qcmiua.org,1,0,0,80,10,11,org,47,1
nhelzb.info,1,0,0,43,11,10,info,47,1
bqtcdqacrgk.info,1,0,0,25,16,7,info,47,1
rtnbyy.info,1,0,0,25,11,10,info,47,1
iqefpvgbuc.info,1,0,0,56,15,7,info,47,1
hdpkptgcep.info,1,0,0,27,15,7,info,47,1
xoyajnpclsd.org,1,0,0,27,15,7,org,47,1
vicxxumy.net,1,0,0,38,12,9,net,47,1
zhezkuyjou.info,1,0,0,75,15,7,info,47,1
knhmeinitts.info,1,0,0,50,16,7,info,47,1
zwvubtfigl.net,1,0,0,30,14,8,net,47,1
brprvvtbpil.info,1,0,0,25,16,7,info,47,1
yzlvcs.info,1,0,0,25,11,10,info,47,1
kgdngbi.info,1,0,0,38,12,9,info,47,1
qmrypiq.info,1,0,0,38,12,9,info,47,1
pidlounu.info,1,0,0,100,13,8,info,47,1
yabbpifwawe.info,0,0,0,67,16,7,info,47,1
eszgwhn.net,1,0,0,25,11,10,net,47,1
fgskxmbql.org,1,0,0,9,13,8,org,47,1
ycautv.net,0,0,0,50,10,11,net,47,1
dlhcdwfif.info,1,0,0,30,14,8,info,47,1
ycicdvv.info,0,0,0,38,12,9,info,47,1
ondtbiqbypwv.info,0,0,0,33,17,6,info,47,1
tdnfwxicnr.info,2,0,0,27,15,7,info,47,1
fvfzfxas.info,1,0,0,33,13,8,info,47,1
tfthstianrup.net,0,0,0,36,16,7,net,47,1
jmjyner.org,0,0,0,25,11,10,org,47,1
zjfanffi.net,0,0,0,38,12,9,net,47,1
jqujgzijez.net,2,0,0,44,14,8,net,47,1
kchscubawwr.info,2,0,0,36,16,7,info,47,1
uieiks.org,2,0,0,125,10,11,org,47,1
rdmarxbnaj.net,2,0,0,30,14,8,net,47,1
dyzaduxfjoj.info,2,0,0,50,16,7,info,47,1
fsmdch.info,1,0,0,25,11,10,info,47,1
ewmmucse.com,1,0,0,57,12,9,com,47,1
aemybvuuqe.net,2,0,0,86,14,8,net,47,1
jwbwdffrlwz.org,1,0,0,8,15,7,org,47,1
hessrbbc.info,0,0,0,33,13,8,info,47,1
fafyxuh.com,1,0,0,43,11,10,com,47,1
wfekdgbqm.net,0,0,0,20,13,8,net,47,1
fovaxollnep.org,0,0,0,56,15,7,org,47,1
sqpgpfjwqdn.info,0,0,0,15,16,7,info,47,1
jwpyroymg.info,0,0,0,30,14,8,info,47,1
tkbynapsp.info,0,0,0,30,14,8,info,47,1
ifsqakkjfp.info,1,0,0,40,15,7,info,47,1
uifpfw.net,0,0,0,50,10,11,net,47,1
kggiwgmmwo.org,0,0,0,30,14,8,org,47,1
tovmbdleejig.net,0,0,0,50,16,7,net,47,1
bxobpfzs.info,1,0,0,33,13,8,info,47,1
uoriyofftq.info,0,0,0,75,15,7,info,47,1
wbbvxchszuw.net,0,0,0,17,15,7,net,47,1
rsamerxpxyy.info,0,0,0,36,16,7,info,47,1
smaagmoawm.org,0,0,0,62,14,8,org,47,1
scokgaukm.info,0,0,0,62,14,8,info,47,1
jmgveiowly.net,0,0,0,44,14,8,net,47,1
cuzgsyv.info,1,0,0,38,12,9,info,47,1
mwmnka.info,0,0,0,43,11,10,info,47,1
toymgmffcb.net,0,0,0,18,14,8,net,47,1
aosaecmggqcm.com,1,0,0,50,16,7,com,47,1
nrwjvwzd.net,0,0,0,10,12,9,net,47,1
usbwzpxmkqn.info,0,0,0,25,16,7,info,47,1
igijfobkicdz.net,1,0,0,50,16,7,net,47,1
ogdgxejobsv.net,0,0,0,40,15,7,net,47,1
rgbjdnlzwlle.info,0,0,0,23,17,6,info,47,1
ucsewass.com,0,0,0,57,12,9,com,47,1
xgrkllc.info,0,0,0,22,12,9,info,47,1
qnhozeesx.net,0,0,0,50,13,8,net,47,1
xmzeruxmk.info,0,0,0,44,14,8,info,47,1
wsygzoz.net,0,0,0,25,11,10,net,47,1
qllydyjl.info,0,0,0,20,13,8,info,47,1
xqcbtaffcaoj.info,0,0,0,45,17,6,info,47,1
ojbbtmbg.info,0,0,0,33,13,8,info,47,1
ruukrshjber.com,0,0,0,40,15,7,com,47,1
hrwblzvifitz.info,0,0,0,33,17,6,info,47,1
hcdkpauur.org,0,0,0,50,13,8,org,47,1
tnyiupdop.net,0,0,0,50,13,8,net,47,1
eiogos.com,0,0,0,125,10,11,com,47,1
ckhqzwv.net,0,0,0,11,11,10,net,47,1
eyiiwoksweyc.org,0,0,0,67,16,7,org,47,1
mezqnojkxpx.net,0,0,0,27,15,7,net,47,1
fefxdx.info,0,0,0,43,11,10,info,47,1
ltjswehkvyu.info,0,0,0,36,16,7,info,47,1
nbpulwxmskp.org,0,0,0,17,15,7,org,47,1
bhsqve.net,0,0,0,29,10,11,net,47,1
ccoasg.org,0,0,0,50,10,11,org,47,1
tyayhghxtb.net,0,0,0,18,14,8,net,47,1
xtyrrgchuayv.info,0,0,0,33,17,6,info,47,1
frslpfhcnolw.info,0,0,0,23,17,6,info,47,1
anoanmxkbmy.info,0,0,0,50,16,7,info,47,1
vveijryggz.info,0,0,0,40,15,7,info,47,1
yqqiegse.com,0,0,0,57,12,9,com,47,1
qqqvqf.net,0,0,0,12,10,11,net,47,1
quiqykmamm.org,0,0,0,44,14,8,org,47,1
kxwyys.info,0,0,0,25,11,10,info,47,1
bokkgkrnh.com,0,0,0,20,13,8,com,47,1
uessoigd.net,0,0,0,83,12,9,net,47,1
giaymw.com,0,0,0,50,10,11,com,47,1
wnjksxjolcp.info,0,0,0,25,16,7,info,47,1
tkdacfz.net,0,0,0,25,11,10,net,47,1
pmynzzcscgsc.info,0,0,0,14,17,6,info,47,1
bmdxrfj.org,0,0,0,11,11,10,org,47,1
wmrbdomnsq.info,0,0,0,27,15,7,info,47,1
kqqcgaoyii.com,0,0,0,62,14,8,com,47,1
fhcororkfodi.net,0,0,0,50,16,7,net,47,1
nsfuxwscl.org,0,0,0,20,13,8,org,47,1
eezjbwvg.info,0,0,0,50,13,8,info,47,1
vzvknol.com,0,0,0,25,11,10,com,47,1
dmrbpmepfebz.net,0,0,0,25,16,7,net,47,1
binyncwgj.com,0,0,0,20,13,8,com,47,1
latwni.net,0,0,0,50,10,11,net,47,1
cmvobupya.info,0,0,0,62,14,8,info,47,1
xloneq.info,0,0,0,67,11,10,info,47,1
vyhgeqigmzv.org,0,0,0,27,15,7,org,47,1
