domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
ohenktyv05u7.com,0,0,19,50,16,8,com,50,1
taf45evo9iv0.com,0,0,25,83,16,9,com,50,1
yvchurw5yrwt.org,0,0,6,17,16,7,org,50,1
7k1e785yfgpm.com,0,0,31,25,16,10,com,50,1
c1q7cx6n8tqr.com,0,0,25,10,16,9,com,50,1
h27gl63slej8.org,0,0,31,25,16,10,org,50,1
e38lan0pmbcd.org,0,0,19,33,16,8,org,50,1
z0123gxmrgp6.net,0,0,31,11,16,10,net,50,1
gpir0le74pan.org,0,0,19,50,16,8,org,50,1
dan8pmvkx2n8.org,0,0,19,20,16,8,org,50,1
2jw5afcte7wd.org,0,0,19,33,16,8,org,50,1
3gp63ctuvcda.com,0,0,19,33,16,8,com,50,1
s9a7kd2j4t6j.net,0,0,31,25,16,10,net,50,1
te3khu7wh63k.net,0,0,25,38,16,9,net,50,1
mjgdy3kpqvwp.net,0,0,6,8,16,7,net,50,1
vk12z8lifw56.net,0,0,31,25,16,10,net,50,1
85mjcpif05yj.net,0,0,25,22,16,9,net,50,1
x63s1er4turc.org,0,0,25,38,16,9,org,50,1
y3k1ebchir89.net,0,0,25,38,16,9,net,50,1
vsp6j05ejc9a.org,0,0,25,38,16,9,org,50,1
stifkxerk563.org,0,0,19,33,16,8,org,50,1
xyrchano5ab4.org,0,0,12,44,16,8,org,50,1
2zk1mfwtubcd.com,0,0,12,18,16,8,com,50,1
fkl23w5qfst6.org,0,0,25,10,16,9,org,50,1
k1i701m7k1aj.com,0,0,38,50,16,11,com,50,1
1yzghqf4xir0.net,0,0,19,20,16,8,net,50,1
ajkpevwd6zs9.net,0,0,12,30,16,8,net,50,1
zwdqrs5yvw9e.net,0,0,12,18,16,8,net,50,1
chefo927gh2f.org,0,0,25,38,16,9,org,50,1
le7cx2v85mv0.net,0,0,31,25,16,10,net,50,1
uv4dmzcti3sl.com,0,0,12,30,16,8,com,50,1
7glyn05qbcdy.org,0,0,19,9,16,8,org,50,1
496bodyfgpeb.org,0,0,19,33,16,8,org,50,1
5eboxurcpif4.com,0,0,12,62,16,8,com,50,1
2j41azsdaj01.net,0,0,31,43,16,10,net,50,1
