domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
escgzgztplehcjt.org,0,0,0,20,19,6,org,51,1
klqiehpzfcqyc.info,0,0,0,31,18,6,info,51,1
ldjpzvrngit.org,0,0,0,17,15,7,org,51,1
dgqejmimisuzuxyg.net,0,0,0,46,20,5,net,51,1
avuhegnhwfmltjhjwvhuzddp.info,0,0,0,27,29,4,info,51,1
cmpvbeesuguyfuuugthhid.info,0,0,0,62,27,4,info,51,1
fshjnakorbppslys.org,0,0,0,19,20,5,org,51,1
qbfxuvkqljevntvqnuqvp.info,0,0,0,25,26,4,info,51,1
dynksjfconlsnzzqrzlxlhkhl.info,0,0,0,12,30,3,info,51,1
yznwtjocfjsbajkitombz.biz,0,0,0,26,25,4,biz,51,1
stemmwuugqmrub.net,0,0,0,42,18,6,net,51,1
oczytyhp.org,0,0,0,22,12,9,org,51,1
pkybdygjpzlrynumcwfp.info,0,0,0,14,25,4,info,51,1
gjbpodmaymxekjjbxzcusohx.com,0,0,0,29,28,4,com,51,1
ftisbykjrei.org,0,0,0,40,15,7,org,51,1
lqqkdjrptp.info,0,0,0,17,15,7,info,51,1
qxsexqsgnkrysntoz.biz,0,0,0,18,21,5,biz,51,1
ztblijlwdbxfnp.com,0,0,0,13,18,6,com,51,1
elsqrsiuqtqa.org,0,0,0,50,16,7,org,51,1
hypcwxvjizmufygk.org,0,0,0,19,20,5,org,51,1
gaxxgvnz.org,0,0,0,22,12,9,org,51,1
raxollwpvrjmyekswhxteo.biz,0,0,0,32,26,4,biz,51,1
lytknmyimbjxhsx.com,0,0,0,12,19,6,com,51,1
eolddfmerndzaqcftyb.biz,0,0,0,29,23,5,biz,51,1
whruwbvkxqc.com,0,0,0,17,15,7,com,51,1
oodagxokwebwrrvxart.info,0,0,0,53,24,4,info,51,1
zcgvucci.org,0,0,0,38,12,9,org,51,1
gmefydnxdugtgfuvzdvpngp.org,0,0,0,18,27,4,org,51,1
kdyvodgndupisw.net,0,0,0,31,18,6,net,51,1
vuvinmfmnoncbwtuvmtkscc.com,0,0,0,24,27,4,com,51,1
kgmktbsgearwoxmntsxhataz.org,0,0,0,29,28,4,org,51,1
ozvucllbki.net,0,0,0,44,14,8,net,51,1
lgrcnedntondwzuyvtq.biz,0,0,0,22,23,5,biz,51,1
mnfdiajmnuyqzp.biz,0,0,0,31,18,6,biz,51,1
cbfbrffyucmmuebuxl.org,0,0,0,31,22,5,org,51,1
oyteujmfrqnbveuweju.com,0,0,0,57,23,5,com,51,1
zsvfucmszbh.com,0,0,0,17,15,7,com,51,1
gqhsfqlxsczwaaqn.biz,0,0,0,19,20,5,biz,51,1
scguanvpoxyye.info,0,0,0,55,18,6,info,51,1
twnlngtyvgzxyyz.info,0,0,0,12,20,5,info,51,1
qhjxmyuwk.org,0,0,0,20,13,8,org,51,1
sxvkvctnfkvrkq.org,0,0,0,6,18,6,org,51,1
djlrlkzdqfknjatjjihaggrw.org,0,0,0,17,28,4,org,51,1
lgxeyopmuhdzgtil.com,0,0,0,36,20,5,com,51,1
irgysfieoommwcnhbi.info,0,0,0,57,23,5,info,51,1
xlttakzupxrclerea.com,0,0,0,43,21,5,com,51,1
xtzribrjuhinerzqkuybmm.info,0,0,0,37,27,4,info,51,1
zzfqgdxsvnclmidbhkrjdl.com,0,0,0,9,26,4,com,51,1
lqkokadwclzwrbbxhyud.org,0,0,0,21,24,4,org,51,1
pqksxwlvvvs.net,0,0,0,8,15,7,net,51,1
eqdgjahmpagspj.net,0,0,0,31,18,6,net,51,1
vptcpvdoqaysgbrfmdhmw.org,0,0,0,14,25,4,org,51,1
vlcarecz.net,0,0,0,38,12,9,net,51,1
guedonmktibi.com,0,0,0,67,16,7,com,51,1
ebyvaljisjcvhtxebdtntr.info,0,0,0,30,27,4,info,51,1
nhcjzycikowvleofrirss.info,0,0,0,39,26,4,info,51,1
vhlwwtlyhrqdaftpuogzfju.org,0,0,0,24,27,4,org,51,1
pytrfytajnalq.biz,0,0,0,23,17,6,biz,51,1
hifkhmmciqvvamfwranmku.org,0,0,0,32,26,4,org,51,1
uofiyucjpwvkrzlswxpcabq.net,0,0,0,30,27,4,net,51,1
basslpymdxxrqgwkieitiqw.org,0,0,0,30,27,4,org,51,1
tlxaikhskndxr.com,0,0,0,23,17,6,com,51,1
snsgublipftiamgefhsrbbmos.net,0,0,0,33,29,4,net,51,1
lzdbcuxapsudq.com,0,0,0,33,17,6,com,51,1
jjsvrvoiqkyqlyb.info,0,0,0,27,20,5,info,51,1
xwgidmtplkcoonddnu.net,0,0,0,31,22,5,net,51,1
unxfwadzlvldpmamuib.org,0,0,0,38,23,5,org,51,1
iephsyulni.com,0,0,0,62,14,8,com,51,1
urdamuieb.org,0,0,0,100,13,8,org,51,1
uclpaukvikrgcr.net,0,0,0,42,18,6,net,51,1
jzacsroecxvvpqy.net,0,0,0,29,19,6,net,51,1
bhghqwraz.org,0,0,0,20,13,8,org,51,1
vkownonftxpfixyszlxwebjka.info,0,0,0,32,30,3,info,51,1
grzunkjijaadabynnxweebisq.com,0,0,0,47,29,4,com,51,1
vskiaafbtt.net,0,0,0,44,14,8,net,51,1
upmxymvuybmwfg.biz,0,0,0,21,18,6,biz,51,1
qhlmgdxjikngitkwfhhrjowiq.org,0,0,0,22,29,4,org,51,1
puvryalunvwyzimakkyjzxuhq.net,0,0,0,33,29,4,net,51,1
gwlswaigndvmtsryhxjoyoiw.org,0,0,0,29,28,4,org,51,1
qhtctcwnbhjqljhaphuydavq.biz,0,0,0,17,28,4,biz,51,1
inyapwlqjpvnnqltsxbqsf.biz,0,0,0,14,26,4,biz,51,1
ysbblhryqsbijfdhybu.com,0,0,0,16,23,5,com,51,1
feztdoedetswvxaqrg.biz,0,0,0,40,22,5,biz,51,1
xoxjrzgqvmhohvjururklgnm.org,0,0,0,23,28,4,org,51,1
sydnwqmpcodplczneo.com,0,0,0,24,22,5,com,51,1
ejaxwmzoijg.info,0,0,0,67,16,7,info,51,1
yfvozyoomwcfam.org,0,0,0,42,18,6,org,51,1
qpiokzfzfzkvlgoppzzngvr.org,0,0,0,18,27,4,org,51,1
cdfyfjwouue.net,0,0,0,56,15,7,net,51,1
zcrhkucpvlqtenmimlccarcq.info,0,0,0,27,29,4,info,51,1
ozlcckuxokuupvzhvqexaegj.org,0,0,0,50,28,4,org,51,1
pglzuqwqjjxehxojopxqn.com,0,0,0,26,25,4,com,51,1
rbkbrigqysqktsmi.info,0,0,0,25,21,5,info,51,1
xtqrflebn.net,0,0,0,20,13,8,net,51,1
kdnfwowwztxlhzkw.com,0,0,0,12,20,5,com,51,1
nmtqygkdzvm.info,0,0,0,15,16,7,info,51,1
imvsxzxfdbidkzumytkuc.org,0,0,0,26,25,4,org,51,1
hhdxiwerpzcpjheagjaqkueu.org,0,0,0,50,28,4,org,51,1
epujghcaeugyqeufvxngymnc.org,0,0,0,42,28,4,org,51,1
tnkbcgdgjioax.biz,0,0,0,33,17,6,biz,51,1
rncvjyuf.com,0,0,0,22,12,9,com,51,1
dvudjxalgcdmvmgrbupzcqf.info,0,0,0,23,28,4,info,51,1
towijdwiidyof.net,0,0,0,60,17,6,net,51,1
phctpnkgngvf.org,0,0,0,7,16,7,org,51,1
kmkaghszxchhvul.org,0,0,0,20,19,6,org,51,1
zsbhkdfkslrxt.biz,0,0,0,7,17,6,biz,51,1
tqmziwevgguvvbbnx.org,0,0,0,25,21,5,org,51,1
bfnzhjagxezufbhrlmi.org,0,0,0,29,23,5,org,51,1
eahuexlmbi.info,0,0,0,100,15,7,info,51,1
xdmjoiprbdok.info,0,0,0,45,17,6,info,51,1
moxmnplucxzbhi.biz,0,0,0,31,18,6,biz,51,1
ckhjnkdwnhbhefnsgjkvjg.net,0,0,0,9,26,4,net,51,1
jgfdlplhuatlia.org,0,0,0,42,18,6,org,51,1
uvtgrvfkbogkhoau.org,0,0,0,46,20,5,org,51,1
yacmsivzmycfl.org,0,0,0,23,17,6,org,51,1
cbjzijedoemdfjpferbspxhg.org,0,0,0,29,28,4,org,51,1
doptwgttbswrvurerygp.info,0,0,0,26,25,4,info,51,1
ymcevnstsxoiklvilgwy.net,0,0,0,28,24,4,net,51,1
lxswwypkmmlmknuxziafjsmz.com,0,0,0,17,28,4,com,51,1
soexnjwybs.org,0,0,0,30,14,8,org,51,1
fjwevinmnuqucfrmbbimaoyg.com,0,0,0,42,28,4,com,51,1
uzhytvdfzbtihsm.org,0,0,0,20,19,6,org,51,1
kwsowutxkomxm.biz,0,0,0,33,17,6,biz,51,1
bjwotgyjyockpyukwhmtpih.info,0,0,0,29,28,4,info,51,1
yyddxczkctpl.info,0,0,0,14,17,6,info,51,1
kilyuehjggvhryf.net,0,0,0,29,19,6,net,51,1
vzsyaawqqhiqhomslwsozl.net,0,0,0,32,26,4,net,51,1
whtmkknhzhtuhbmjkoc.org,0,0,0,16,23,5,org,51,1
docctmyhmyaxxnpdyqxnrf.net,0,0,0,14,26,4,net,51,1
pnodnqtcysjxo.info,0,0,0,31,18,6,info,51,1
aaxhqnkmnov.org,0,0,0,40,15,7,org,51,1
pwgmchzbzhursilvs.com,0,0,0,18,21,5,com,51,1
fljkbtsywqwuqpczgvdd.org,0,0,0,10,24,4,org,51,1
jkgqjaqqiwxgbkvfbeknmwjg.biz,0,0,0,17,28,4,biz,51,1
evkwboxislnplmnuyvtbcmwcu.biz,0,0,0,27,29,4,biz,51,1
hbyyfmtajjlcvunenpkgsdrzj.info,0,0,0,21,30,3,info,51,1
rofsrlshp.com,0,0,0,20,13,8,com,51,1
exwxmmdbqobu.org,0,0,0,36,16,7,org,51,1
hdfglfgspfwnbbnwkb.com,0,0,0,5,22,5,com,51,1
rirdexnq.net,0,0,0,38,12,9,net,51,1
xgpriqogdtumbcgudq.net,0,0,0,31,22,5,net,51,1
zgufqftircjbpresndqfhmy.com,0,0,0,18,27,4,com,51,1
fojznaavjqnraanlmc.org,0,0,0,40,22,5,org,51,1
qimywfew.org,0,0,0,38,12,9,org,51,1
eusyslimdwfbm.org,0,0,0,33,17,6,org,51,1
phpvhmalvamjnbthwzwayvgz.net,0,0,0,17,28,4,net,51,1
sofmatfzrqfgmaegsoigqtnp.net,0,0,0,35,28,4,net,51,1
xhyeinupvjdgayhtr.org,0,0,0,33,21,5,org,51,1
