domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
uocqiumsciscqaiu.org,2,1,0,90,20,5,org,52,1
aauqwkuaweoyqeem.org,2,0,0,111,20,5,org,52,1
eiqyymseoumkagya.org,2,0,0,73,20,5,org,52,1
ceqqqwwuigyuueso.org,2,1,0,73,20,5,org,52,1
eiauyeskoscgusmu.org,1,0,0,90,20,5,org,52,1
kusmsgmyuukomyms.org,1,0,0,36,20,5,org,52,1
iqqesaywsiiuikqs.org,1,0,0,73,20,5,org,52,1
kuuckkiiiwgamqqw.org,1,0,0,58,20,5,org,52,1
ceysyiycmcqummsq.org,1,0,0,27,20,5,org,52,1
uoeagaqciiageges.org,2,0,0,138,20,5,org,52,1
eieqowoeguyuimsq.org,2,0,0,111,20,5,org,52,1
uoouwaaqegioayse.org,2,0,0,171,20,5,org,52,1
ywkoaewmsgwmeiai.org,1,0,0,73,20,5,org,52,1
cewkyaociewkmsqa.org,2,0,0,58,20,5,org,52,1
uoqaikgikcyweawu.org,2,0,0,90,20,5,org,52,1
uoeyisoekkagoycm.org,2,0,0,90,20,5,org,52,1
iqqkwuqmmmcmsqak.org,2,0,0,27,20,5,org,52,1
eimemaymyseegqao.org,2,0,0,90,20,5,org,52,1
gmoqauymqksacyms.org,2,0,0,36,20,5,org,52,1
ywmauemyucokcceg.org,2,0,0,58,20,5,org,52,1
cegsucokwuesogkm.org,2,0,0,58,20,5,org,52,1
kuwacweqokiokmcq.org,2,0,0,58,20,5,org,52,1
ywwekwkouycuwqis.org,2,0,0,46,20,5,org,52,1
myocsyummoeuymqg.org,2,0,0,46,20,5,org,52,1
aakeekamcogswwkc.org,2,0,0,58,20,5,org,52,1
gmwsymieimyyiqau.org,2,0,0,58,20,5,org,52,1
ywksmaukyagykqqu.org,2,0,0,36,20,5,org,52,1
eigaaicyeouekwqy.org,2,0,0,111,20,5,org,52,1
wsegoaeeukssmsua.org,2,0,0,90,20,5,org,52,1
eiimmyyoysyookmm.org,2,0,0,58,20,5,org,52,1
eieeccssogsakkke.org,2,0,0,73,20,5,org,52,1
skwesyciuqaymeic.org,2,0,0,58,20,5,org,52,1
wswomqyeiweygcok.org,2,0,0,46,20,5,org,52,1
mykeiqeqkiywkieu.org,2,0,0,73,20,5,org,52,1
eiocqwqukiyaeoek.org,2,0,0,111,20,5,org,52,1
ceogyiqmiuqgeaym.org,2,0,0,73,20,5,org,52,1
skkkimuqiowwqqqy.org,2,0,0,36,20,5,org,52,1
oceiqeyikwywcasm.org,2,0,0,58,20,5,org,52,1
ywywyugwikyygguq.org,2,0,0,27,20,5,org,52,1
ywwiyymiismikwkw.org,2,0,0,36,20,5,org,52,1
skswigoccwiyiwim.org,2,0,0,46,20,5,org,52,1
myqykiikwsmocmyc.org,2,0,0,27,20,5,org,52,1
qgwkuegykiqcuiwg.org,2,0,0,46,20,5,org,52,1
uoogmykeqqwcyayy.org,2,0,0,46,20,5,org,52,1
ywkyamqiqkkieeys.org,2,0,0,46,20,5,org,52,1
aaaymyseaqyyymow.org,2,0,0,58,20,5,org,52,1
uowgsekwsoeogkqg.org,2,0,0,58,20,5,org,52,1
iqsakmmqscomiegq.org,2,0,0,46,20,5,org,52,1
wsqmeususukcowas.org,2,0,0,58,20,5,org,52,1
wsgqyuiowgesuamk.org,2,0,0,58,20,5,org,52,1
wswecimmeeaiemse.org,2,0,0,90,20,5,org,52,1
wsyaiisuucwaugas.org,2,0,0,90,20,5,org,52,1
skimocygqyygcqys.org,2,0,0,19,20,5,org,52,1
ceucsoeeegqguaya.org,2,0,0,111,20,5,org,52,1
ywwcgmieweogcgci.org,2,0,0,46,20,5,org,52,1
ockyccaocueuscke.org,2,0,0,73,20,5,org,52,1
skgykiogcoiomsum.org,2,0,0,58,20,5,org,52,1
iqmugqyagauicsue.org,2,0,0,90,20,5,org,52,1
ociayssumakaaokq.org,2,0,0,90,20,5,org,52,1
cegmskauwukiksuc.org,2,0,0,58,20,5,org,52,1
wsoeyyiwauuqikcq.org,2,0,0,73,20,5,org,52,1
kuoykmoogmkayyui.org,2,0,0,73,20,5,org,52,1
iqqmcygkuyuqsyss.org,2,0,0,27,20,5,org,52,1
qggqoucwksuiaooo.org,2,0,0,90,20,5,org,52,1
wsaouuysoigakecw.org,2,0,0,90,20,5,org,52,1
ywocwogwgewmikko.org,2,0,0,46,20,5,org,52,1
