domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
gjvoemsjvb.com,2,1,0,30,14,8,com,53,1
ahpygyxe.com,2,0,0,38,12,9,com,53,1
msoalrhvphqrnjv.com,2,1,0,20,19,6,com,53,1
rdslmvlipid.com,2,0,0,27,15,7,com,53,1
jpcqdmfvn.com,2,1,0,9,13,8,com,53,1
rrmlyaviljwuoph.com,2,1,0,38,19,6,com,53,1
maajnyhst.com,2,1,0,33,13,8,com,53,1
enbbojmjpss.com,2,1,0,27,15,7,com,53,1
oqmfrxak.com,2,0,0,38,12,9,com,53,1
tdccjwtetv.com,2,1,0,18,14,8,com,53,1
tpxobasr.com,2,0,0,38,12,9,com,53,1
xpdsuvpcvrcrnwbxqfx.com,2,0,0,10,23,5,com,53,1
fbrlgikmlriqlvel.com,2,1,0,27,20,5,com,53,1
boeyrhmrd.com,2,0,0,33,13,8,com,53,1
ugcukkcpplmouoah.com,2,0,0,58,20,5,com,53,1
sfrbcplidirpm.com,2,0,0,23,17,6,com,53,1
psnsmtvpmuj.com,2,0,0,17,15,7,com,53,1
cvlewunfqesjcy.com,2,0,0,31,18,6,com,53,1
ohpokcjhky.com,2,0,0,30,14,8,com,53,1
ekvrfserviqavnagdgy.com,2,0,0,38,23,5,com,53,1
ihbpyyxw.com,2,0,0,22,12,9,com,53,1
isvinqfucfqlvkvvql.com,2,0,0,24,22,5,com,53,1
wyybxnuytkndf.com,2,0,0,14,17,6,com,53,1
poeknrwyhcwfa.com,2,0,0,33,17,6,com,53,1
dfoftnupknfkqwqljjs.com,2,0,0,16,23,5,com,53,1
ncwihlgjfk.com,2,0,0,18,14,8,com,53,1
gbghkwmforpewx.com,2,0,0,21,18,6,com,53,1
kwvfxjtqkqrgile.com,2,0,0,20,19,6,com,53,1
jafaqdvwmios.com,2,0,0,50,16,7,com,53,1
atybwmgorwbaia.com,2,0,0,55,18,6,com,53,1
lmhlydrwlfmnipune.com,2,0,0,25,21,5,com,53,1
ybkyvlruewrdrh.com,2,0,0,21,18,6,com,53,1
jrxdclqmkaranoufre.com,2,0,0,40,22,5,com,53,1
jdgjdudwmvhdphgevsd.com,2,0,0,16,23,5,com,53,1
aoadkyuircxngd.com,2,0,0,55,18,6,com,53,1
iuoexynslvmcynj.com,2,0,0,38,19,6,com,53,1
tnudqqslyn.com,2,0,0,18,14,8,com,53,1
vgtblplqgu.com,2,0,0,18,14,8,com,53,1
fvbckaexsitsvmalvr.com,2,0,0,31,22,5,com,53,1
ulumkrefcnscexqljy.com,2,0,0,31,22,5,com,53,1
wplfravuij.com,2,0,0,44,14,8,com,53,1
wblcocrskmkfccmpq.com,2,0,0,11,21,5,com,53,1
cwcvoeiuvdvpr.com,2,0,0,45,17,6,com,53,1
iacxjweox.com,2,0,0,71,13,8,com,53,1
govhfihmtfinjj.com,2,0,0,31,18,6,com,53,1
pbouvorgst.com,2,0,0,44,14,8,com,53,1
gitmbcqhawmt.com,2,0,0,25,16,7,com,53,1
mshtulprju.com,2,0,0,30,14,8,com,53,1
btftdllfobxnhebp.com,2,0,0,19,20,5,com,53,1
jilvuwmrdmawrptc.com,2,0,0,27,20,5,com,53,1
puvvfswywolk.com,2,0,0,25,16,7,com,53,1
ndvxdguwjppmk.com,2,0,0,14,17,6,com,53,1
nkxrvjhukymeftiil.com,2,0,0,33,21,5,com,53,1
kwljcasktpg.com,2,0,0,17,15,7,com,53,1
fxnrkjevvsurm.com,2,0,0,23,17,6,com,53,1
xxjejlrykivcb.com,2,0,0,23,17,6,com,53,1
jjeeeshrlaopifqoogd.com,2,0,0,69,23,5,com,53,1
mrymoaskhd.com,2,0,0,30,14,8,com,53,1
vlfontrsip.com,2,0,0,30,14,8,com,53,1
plesbklokulm.com,2,0,0,36,16,7,com,53,1
amussqataedldjyu.com,2,0,0,58,20,5,com,53,1
