domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
rbigttosqexxpqwmv.me,0,0,0,27,20,5,me,54,1
upvfvnlbdpygjaewn.cc,0,0,0,19,20,5,cc,54,1
kwmdfajfitxbnlbph.su,0,0,0,19,20,5,su,54,1
gknktrrghubwhyfdh.tw,0,0,0,6,20,5,tw,54,1
ksgvqawfsfocqtkra.net,0,0,0,25,21,5,net,54,1
hmbtvgbwmvscguidd.com,0,0,0,18,21,5,com,54,1
radtohdodvsrtlaaj.pw,0,0,0,36,20,5,pw,54,1
xapeyrnbcdqasclne.in,0,0,0,36,20,5,in,54,1
svtqfbfwqxcryobhd.me,0,0,0,12,20,5,me,54,1
fvbptluhytcqspjow.cc,0,0,0,12,20,5,cc,54,1
immqahyafmfucbvkb.su,0,0,0,36,20,5,su,54,1
xkedqggkawipxuyqb.tw,0,0,0,27,20,5,tw,54,1
aldhchyhorjqkljgj.net,0,0,0,18,21,5,net,54,1
jooucxyhagddukpds.com,0,0,0,43,21,5,com,54,1
hbebkleqthmmcdwad.pw,0,0,0,19,20,5,pw,54,1
aawefmecnawenodkk.in,0,0,0,73,20,5,in,54,1
fvdhjeecxhsysxuan.me,0,0,0,36,20,5,me,54,1
sppyehktnvlfloaje.cc,0,0,0,27,20,5,cc,54,1
bwqdshkkqedongpvy.su,0,0,0,19,20,5,su,54,1
oqkfetgugvmlwwivq.tw,0,0,0,27,20,5,tw,54,1
malxqxxpvtnoydeoo.net,0,0,0,43,21,5,net,54,1
mxdloeyxfquejmvjj.com,0,0,0,33,21,5,com,54,1
nkfovxpwdohfnaaol.pw,0,0,0,36,20,5,pw,54,1
oxbsjixomtilaxeoo.in,0,0,0,90,20,5,in,54,1
btkvpmkdbtxyhmpmo.me,0,0,0,12,20,5,me,54,1
diplenpdcfaoiqwge.cc,0,0,0,46,20,5,cc,54,1
wscougxpjmyhmpspi.su,0,0,0,27,20,5,su,54,1
oeyycboltxslkqxoj.tw,0,0,0,27,20,5,tw,54,1
gduunkrofltyxopvi.net,0,0,0,43,21,5,net,54,1
imimnnnwummkasolj.com,0,0,0,43,21,5,com,54,1
gcpwwbinrubbmgoiy.pw,0,0,0,27,20,5,pw,54,1
vmfasckxhbyyyefod.in,0,0,0,27,20,5,in,54,1
xniovlatpiypulagy.me,0,0,0,58,20,5,me,54,1
yhkjytavpdderucsd.cc,0,0,0,19,20,5,cc,54,1
palgwebekwsfsvawl.su,0,0,0,36,20,5,su,54,1
jxmnwvctwhkbaqugu.tw,0,0,0,19,20,5,tw,54,1
gfnjskjybjlelhuxi.net,0,0,0,25,21,5,net,54,1
htgoqthkmiidujnav.com,0,0,0,43,21,5,com,54,1
ybqxawjiiiewuyrod.pw,0,0,0,58,20,5,pw,54,1
rrvpjfanlqelkadbl.in,0,0,0,27,20,5,in,54,1
arqnbuahkfcaegfrl.cc,0,0,0,36,20,5,cc,54,1
gqokdhoyurhhwdqgp.su,0,0,0,27,20,5,su,54,1
gcwhlgqkpmhppeglf.tw,0,0,0,6,20,5,tw,54,1
qdnbcdpsndcdcsrbe.net,0,0,0,11,21,5,net,54,1
ygikqredbtfyrtlsv.com,0,0,0,18,21,5,com,54,1
yckjgsxdnwpgvcxci.pw,0,0,0,6,20,5,pw,54,1
fkwqyiejhtomcfiid.in,0,0,0,46,20,5,in,54,1
seitkylvqqgldiqln.me,0,0,0,27,20,5,me,54,1
mfvakaukerlgpoaqx.cc,0,0,0,46,20,5,cc,54,1
wudxbduaetpapvphp.su,0,0,0,46,20,5,su,54,1
yspupedcardleifkr.tw,0,0,0,36,20,5,tw,54,1
ikaurjirhuhicmktt.net,0,0,0,54,21,5,net,54,1
jbmmdfqjmsplhiknr.com,0,0,0,11,21,5,com,54,1
gmhklixitwepowlia.pw,0,0,0,46,20,5,pw,54,1
knsiqiltcvxremyxg.in,0,0,0,27,20,5,in,54,1
npcgobilrfmufphnt.me,0,0,0,27,20,5,me,54,1
ibmcocdrgemybwymv.cc,0,0,0,19,20,5,cc,54,1
dgybusfavkpauagfr.su,0,0,0,46,20,5,su,54,1
acoyupiwvyqyahysp.tw,0,0,0,36,20,5,tw,54,1
waxrqwwoudhhbqeyn.net,0,0,0,33,21,5,net,54,1
pypvqinubkkuluolu.com,0,0,0,54,21,5,com,54,1
japndpbcxngquadrs.pw,0,0,0,19,20,5,pw,54,1
ijqarivpbukeqtisa.in,0,0,0,73,20,5,in,54,1
avyunayhjnjfsmxpn.me,0,0,0,27,20,5,me,54,1
ccuesueynvgfjgwuk.cc,0,0,0,36,20,5,cc,54,1
jfetrewsmvwuqwmlp.su,0,0,0,27,20,5,su,54,1
ocrbpavcwwetdwyew.tw,0,0,0,27,20,5,tw,54,1
bubwddqymycbrhino.net,0,0,0,25,21,5,net,54,1
pjamornjienfonxbu.com,0,0,0,54,21,5,com,54,1
wkuqaxehetkacshxv.pw,0,0,0,36,20,5,pw,54,1
rhrehsxucexqaqoup.in,0,0,0,58,20,5,in,54,1
eiuloblylfgubkxbp.me,0,0,0,46,20,5,me,54,1
gybbqskeupjynqljp.cc,0,0,0,12,20,5,cc,54,1
vcdnjqprgpeslkjsb.su,0,0,0,12,20,5,su,54,1
bjbkkgiymaurqntcj.tw,0,0,0,19,20,5,tw,54,1
dwyhbfxatcbkqxcir.net,0,0,0,18,21,5,net,54,1
mmlufslypgpiiorjd.com,0,0,0,33,21,5,com,54,1
sxhycxeicstfrddpe.pw,0,0,0,19,20,5,pw,54,1
lsjephrwjjteeatsf.in,0,0,0,36,20,5,in,54,1
gfeadujdryefvbyox.me,0,0,0,46,20,5,me,54,1
jlwxerkikfuujhasp.su,0,0,0,46,20,5,su,54,1
unkendetysdllujfy.tw,0,0,0,27,20,5,tw,54,1
jpfqmdqbpevfwawts.net,0,0,0,18,21,5,net,54,1
jmgecuxlrljjpykac.com,0,0,0,25,21,5,com,54,1
fpchoidedadkiuodt.pw,0,0,0,58,20,5,pw,54,1
dwqynikeuadalgiln.in,0,0,0,58,20,5,in,54,1
cemndbsbdpkgdgdsq.me,0,0,0,12,20,5,me,54,1
qxlwvxlrheqhnmvyy.cc,0,0,0,6,20,5,cc,54,1
jxajefnerehelveqa.su,0,0,0,73,20,5,su,54,1
sjcmvgictwgvlvpvg.tw,0,0,0,6,20,5,tw,54,1
bjeemdyogqsurmdou.net,0,0,0,54,21,5,net,54,1
veeughinyouosajej.com,0,0,0,100,21,5,com,54,1
byepibaefulcluvpw.pw,0,0,0,46,20,5,pw,54,1
vjwwnqfwnplybiqov.in,0,0,0,19,20,5,in,54,1
hwxpkowclnislnyjd.me,0,0,0,19,20,5,me,54,1
dqcfjrriqsidojalf.cc,0,0,0,27,20,5,cc,54,1
gqmlkabneyvxihgby.su,0,0,0,27,20,5,su,54,1
nbsyrhehigifnhpos.tw,0,0,0,27,20,5,tw,54,1
abxtkrbxbhmgkkmka.net,0,0,0,18,21,5,net,54,1
tprabdskkytilyvrp.com,0,0,0,18,21,5,com,54,1
xhhnnyfyjqptkqwgj.pw,0,0,0,0,20,5,pw,54,1
pcfwhgantjwtveqol.in,0,0,0,27,20,5,in,54,1
rmtaueeuexsbmbiqu.me,0,0,0,90,20,5,me,54,1
ulnjwtwpqlaitkgfn.cc,0,0,0,19,20,5,cc,54,1
dpveevbkewjjoopfd.su,0,0,0,46,20,5,su,54,1
mmhrnleopyyoxiseq.tw,0,0,0,36,20,5,tw,54,1
wshvhygrsbmdiphya.net,0,0,0,18,21,5,net,54,1
ucwtsuoyrlientpat.com,0,0,0,54,21,5,com,54,1
mgdnwjinesbpxnyru.pw,0,0,0,19,20,5,pw,54,1
