domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
erdoypf-inr.net,2,0,0,44,15,15,net,56,1
reqblcsh-a.net,2,0,0,33,14,17,net,56,1
anzku-bqe.net,2,0,0,57,13,18,net,56,1
sfrcmdt-wbfiktb.net,2,0,0,13,19,12,net,56,1
fsepzqgv-osvxg.net,1,0,0,23,18,12,net,56,1
obnyi-pesxbeg.net,2,0,0,50,17,13,net,56,1
boalvm-rfkor.net,1,0,0,40,16,14,net,56,1
kxjuevl-otx.net,1,0,0,44,15,15,net,56,1
xkwhriyn-g.net,1,0,0,20,14,17,net,56,1
gtfqa-hwk.net,1,0,0,22,13,18,net,56,1
ylxisjz-chloqzh.net,1,0,0,21,19,12,net,56,1
lykvfwmb-uybdm.net,1,0,0,14,18,12,net,56,1
uhteo-vkydhkm.net,1,0,0,36,17,13,net,56,1
hugrbs-xlqux.net,1,0,0,27,16,14,net,56,1
qdpakbr-uzd.net,1,0,0,30,15,15,net,56,1
dqcnxoet-m.net,1,0,0,33,14,17,net,56,1
mzlwg-ncq.net,1,0,0,10,13,18,net,56,1
erdoypf-inruwfn.net,1,0,0,42,19,12,net,56,1
reqblcsh-aehjs.net,1,0,0,33,18,12,net,56,1
anzku-bqejnqs.net,2,0,0,36,17,13,net,56,1
namxhy-drwad.net,1,0,0,27,16,14,net,56,1
wjvgqhx-afj.net,1,0,0,18,15,15,net,56,1
jwitdukz-s.net,1,0,0,33,14,17,net,56,1
sfrcm-tiw.net,1,0,0,22,13,18,net,56,1
kxjuevl-otxaclt.net,1,0,0,42,19,12,net,56,1
xkwhriyn-gknpy.net,1,0,0,14,18,12,net,56,1
gtfqa-hwkptwy.net,1,0,0,15,17,13,net,56,1
tgsdne-jxcgj.net,1,0,0,17,16,14,net,56,1
cpbmwnd-glp.net,1,0,0,8,15,15,net,56,1
pcozjaqf-y.net,1,0,0,33,14,17,net,56,1
