domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
ggc4jjo4rys3qvdzuh.cn,0,0,14,13,21,6,cn,57,1
bgisguks1bzy4s5jqu.biz,2,1,14,29,22,6,biz,57,1
l3bpxq7ajqxx763yfx.ru,0,0,24,15,21,7,ru,57,1
at1k2k6j34p1tuaxl6.ru,1,0,33,44,21,8,ru,57,1
4pprtl8sqgn2gartxz.cn,0,0,14,6,21,6,cn,57,1
q5shkrspzb8aiwgf6q.cn,0,0,14,13,21,6,cn,57,1
lanjmll2bjouhjth16.biz,2,1,14,29,22,6,biz,57,1
t6lth7duukzk7umik3.net,0,0,18,42,22,6,net,57,1
bushmctziim4z8t8yj.com,1,0,14,29,22,6,com,57,1
7d6ynnm3ykj8bcixa2.cn,0,0,24,15,21,7,cn,57,1
y7f5zdoxas8cbkifmd.com,1,0,14,29,22,6,com,57,1
w2rpdfx7uqup43tk13.cn,1,0,29,17,21,7,cn,57,1
odwazvg6geazto5ugd.cn,0,0,10,50,21,6,cn,57,1
5xi5qr7w2rrvo6wocx.cn,0,0,24,25,21,7,cn,57,1
dob8lf8vmx8jo6qlqv.biz,2,1,18,21,22,6,biz,57,1
7nsgt126nqfvehrlwa.com,0,0,18,21,22,6,com,57,1
2mg7jz58jxh7okbivy.biz,0,0,23,23,22,6,biz,57,1
63xef72k56nvq2xdf1.net,1,0,36,18,22,8,net,57,1
wb5y8ulwpzzikoz1rc.ru,0,0,14,31,21,6,ru,57,1
pyzcv5y4m7u8egmghb.biz,0,0,18,21,22,6,biz,57,1
3e3rbfgnl3n3bsgecy.cn,0,0,19,14,21,6,cn,57,1
rntcxljp8xk7s2wyjx.biz,0,0,14,6,22,6,biz,57,1
im5k16al7k6guad5wx.com,0,0,27,50,22,7,com,57,1
auae6osno2fs3uo4kp.com,0,0,18,112,22,6,com,57,1
akofzlbcxgmmfzhk3m.com,0,0,5,18,22,5,com,57,1
ymkwn7elkvkccvlmga.net,0,0,5,18,22,5,net,57,1
uh4mk5i32iq8zj4bnl.net,0,0,27,36,22,7,net,57,1
1auij8d6aq6fic5den.com,0,0,23,78,22,6,com,57,1
gs2wet8tepvkd68ksh.com,0,0,18,21,22,6,com,57,1
g458xr15wtt5rah24t.cn,0,0,38,9,21,8,cn,57,1
zpp5joc7hulvespl8a.biz,0,0,14,38,22,6,biz,57,1
qgbjun63ayh6ozryqn.ru,0,0,14,31,21,6,ru,57,1
j6eeqnla2gtcpbsq3p.cn,0,0,14,21,21,6,cn,57,1
6iv8tf1lttzlqb2agt.biz,0,0,18,21,22,6,biz,57,1
jlvymnv45y2izy4okw.biz,0,0,18,21,22,6,biz,57,1
hatabz7hmbi4inszor.cn,0,0,10,38,21,6,cn,57,1
ee7i6tbi76bxf8qnww.biz,0,0,23,45,22,6,biz,57,1
rza81zn3x4gcs6bzfd.ru,0,0,24,15,21,7,ru,57,1
5ty64cvbutt3a1n7xl.cn,0,0,29,17,21,7,cn,57,1
f2e4mnybompwpqkkq7.biz,0,0,14,20,22,6,biz,57,1
ponrfwifvm61i3aij2.biz,0,0,18,55,22,6,biz,57,1
yxx6zpxfshystxlcwi.net,0,0,5,11,22,5,net,57,1
ywqwfsplxcuh1desi2.com,0,0,9,27,22,5,com,57,1
5tj54zvxlaxwb2t7pm.cn,0,0,24,7,21,7,cn,57,1
imbcrhr8r4v84sv7au.cn,0,0,24,25,21,7,cn,57,1
kkspvnznxgszh7fsyg.cn,0,0,5,0,21,5,cn,57,1
3mxdyrqmu35aau2t6t.biz,0,0,23,45,22,6,biz,57,1
65j5hwot7w1w3fdc1e.ru,0,0,33,30,21,8,ru,57,1
668laawepmak66ykzi.ru,0,0,24,67,21,7,ru,57,1
mw26jm3x3xg3c6oi2m.cn,0,0,33,18,21,8,cn,57,1
ubygamdxp8ncjxxu65.ru,0,0,14,31,21,6,ru,57,1
ihutc4wbuh2bczhiab.cn,0,0,10,38,21,6,cn,57,1
84kmbtd6xhxtr1webi.com,0,0,18,21,22,6,com,57,1
k7whyvu4cdon1fmprj.biz,0,0,14,20,22,6,biz,57,1
6cwk3zbzh5eb116ht8.biz,0,0,32,17,22,7,biz,57,1
r5q8mgwxiskitwzeoq.biz,0,0,9,36,22,5,biz,57,1
7fgas3rq5deccfovns.biz,0,0,14,29,22,6,biz,57,1
f7t8q2g664eprt2618.net,0,0,45,22,22,9,net,57,1
b7xtunzn87hpsh4wge.net,0,0,18,21,22,6,net,57,1
qlnqry68w16wafu115.com,0,0,32,27,22,7,com,57,1
7uhjoutgvpchwwb6ob.com,0,0,9,36,22,5,com,57,1
qhw5i7olwnnvk7kmzu.net,0,0,14,29,22,6,net,57,1
26ksgcfjdikwu7ojip.com,0,0,14,38,22,6,com,57,1
7ptqlfmx65tehyn8ew.com,0,0,18,21,22,6,com,57,1
7mwn1pynen33nq3m8j.cn,0,0,29,8,21,7,cn,57,1
wc74vm8up5lcwjbrlg.net,0,0,18,13,22,6,net,57,1
xniynvlc85ebkaadt2.com,0,0,14,38,22,6,com,57,1
pl4xjum8ey3fzk8tn6.cn,0,0,24,15,21,7,cn,57,1
dpeb2eywr3q73ih52n.ru,0,0,29,40,21,7,ru,57,1
ci7qzucz6mczk448xs.net,0,0,23,23,22,6,net,57,1
1dxyajgaqv4vb8n2ls.ru,0,0,19,23,21,6,ru,57,1
dyswb2hjiihemyoqoh.ru,0,0,5,46,21,5,ru,57,1
jrtoiodsv1o7y4pmnq.com,0,0,14,38,22,6,com,57,1
zz2lxv2kwyg8m3bmd6.ru,0,0,24,7,21,7,ru,57,1
nemxcjxkhe8na3n6r2.biz,0,0,18,31,22,6,biz,57,1
655xz277pekjcfo72m.ru,0,0,38,33,21,8,ru,57,1
c3ny87goxvcy2lgqcs.ru,0,0,19,14,21,6,ru,57,1
dr5x13jsnaakvt8c5u.biz,0,0,23,33,22,6,biz,57,1
35wzdiq8adqyfdpcyb.cn,0,0,14,13,21,6,cn,57,1
jgg8sydkbsdpw6dwkq.cn,0,0,10,0,21,6,cn,57,1
menpj584kv3q4lhi48.ru,0,0,33,30,21,8,ru,57,1
aqql6yo5mux68mxb21.biz,0,0,27,36,22,7,biz,57,1
j6dri66vilq4fb18su.ru,0,0,29,40,21,7,ru,57,1
