domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
urkaelt.info,2,1,0,83,12,9,info,58,1
nqqxqdg.info,2,0,0,22,12,9,info,58,1
guqstpy.info,2,0,0,38,12,9,info,58,1
lecajst.info,2,0,0,57,12,9,info,58,1
liyahhb.info,2,0,0,57,12,9,info,58,1
rsymdhk.info,2,1,0,22,12,9,info,58,1
smclmfc.info,2,0,0,22,12,9,info,58,1
rqedqrd.info,2,0,0,38,12,9,info,58,1
udududu.info,2,0,0,120,12,9,info,58,1
jlqlrlq.info,2,0,0,22,12,9,info,58,1
lroqojg.info,2,0,0,57,12,9,info,58,1
axsbjnc.info,2,0,0,38,12,9,info,58,1
svxutcm.info,2,0,0,38,12,9,info,58,1
gfnxxrt.info,2,0,0,22,12,9,info,58,1
fvffynt.info,2,0,0,22,12,9,info,58,1
wnywaia.info,2,0,0,83,12,9,info,58,1
ujolyif.info,2,1,0,83,12,9,info,58,1
txerrhc.info,2,0,0,38,12,9,info,58,1
bbtaafm.info,2,0,0,57,12,9,info,58,1
fwakadj.info,2,0,0,57,12,9,info,58,1
vroukdd.info,2,0,0,57,12,9,info,58,1
tdmuddb.info,2,0,0,38,12,9,info,58,1
usmkecy.info,2,0,0,57,12,9,info,58,1
gfsrfgr.info,2,0,0,22,12,9,info,58,1
vekqwdk.info,2,0,0,38,12,9,info,58,1
tfkyjyi.info,2,0,0,38,12,9,info,58,1
bprcfos.info,2,0,0,38,12,9,info,58,1
bgnqado.info,2,0,0,57,12,9,info,58,1
pbchjln.info,2,0,0,22,12,9,info,58,1
raemscf.info,2,0,0,57,12,9,info,58,1
oaoyorw.info,2,0,0,120,12,9,info,58,1
njkyhle.info,2,0,0,38,12,9,info,58,1
xnwwbmg.info,2,0,0,22,12,9,info,58,1
greqlro.info,2,0,0,57,12,9,info,58,1
jvyqipb.info,2,0,0,38,12,9,info,58,1
ssacqhl.info,2,0,0,38,12,9,info,58,1
crgfvym.info,2,0,0,22,12,9,info,58,1
qdkckem.info,2,0,0,38,12,9,info,58,1
