domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
pujeleg.net,2,1,0,67,11,10,net,59,1
pujerag.net,2,0,0,67,11,10,net,59,1
tujazag.net,1,0,0,67,11,10,net,59,1
tujopog.net,1,0,0,67,11,10,net,59,1
tyhicig.net,1,0,0,43,11,10,net,59,1
ryhudig.net,1,0,0,43,11,10,net,59,1
ryhubug.net,1,0,0,43,11,10,net,59,1
ryhyfug.net,1,0,0,25,11,10,net,59,1
wyhenyg.net,1,0,0,25,11,10,net,59,1
wehahyg.net,1,0,0,43,11,10,net,59,1
wehaqeg.net,1,0,0,67,11,10,net,59,1
qegokeg.net,1,0,0,67,11,10,net,59,1
qegiwag.net,1,0,0,67,11,10,net,59,1
qegulag.net,1,0,0,67,11,10,net,59,1
magytof.net,1,0,0,43,11,10,net,59,1
magyxof.net,1,0,0,43,11,10,net,59,1
magesif.net,1,0,0,67,11,10,net,59,1
nagavuf.net,1,0,0,67,11,10,net,59,1
nafoduf.net,1,0,0,67,11,10,net,59,1
nofobyf.net,1,0,0,43,11,10,net,59,1
bofigyf.net,1,0,0,43,11,10,net,59,1
bofumef.net,1,0,0,67,11,10,net,59,1
bofyjef.net,1,0,0,43,11,10,net,59,1
vofeqaf.net,1,0,0,67,11,10,net,59,1
vifekaf.net,1,0,0,67,11,10,net,59,1
vidarof.net,1,0,0,67,11,10,net,59,1
cidozof.net,1,0,0,67,11,10,net,59,1
cidipif.net,1,0,0,67,11,10,net,59,1
cidicif.net,1,0,0,67,11,10,net,59,1
xudusud.net,1,0,0,67,11,10,net,59,1
xudyvyd.net,1,0,0,25,11,10,net,59,1
xudefyd.net,1,0,0,43,11,10,net,59,1
zusaned.net,1,0,0,67,11,10,net,59,1
zusahed.net,1,0,0,67,11,10,net,59,1
zysomad.net,1,0,0,43,11,10,net,59,1
lysijad.net,1,0,0,43,11,10,net,59,1
lysuwod.net,1,0,0,43,11,10,net,59,1
lysulod.net,1,0,0,43,11,10,net,59,1
kysytid.net,1,0,0,25,11,10,net,59,1
kepexid.net,1,0,0,67,11,10,net,59,1
kepapud.net,1,0,0,67,11,10,net,59,1
jepocud.net,1,0,0,67,11,10,net,59,1
jepodyd.net,1,0,0,43,11,10,net,59,1
jepibed.net,1,0,0,67,11,10,net,59,1
hapuges.net,1,0,0,67,11,10,net,59,1
hapynas.net,1,0,0,43,11,10,net,59,1
hatyhas.net,1,0,0,43,11,10,net,59,1
gateqos.net,1,0,0,67,11,10,net,59,1
gatakos.net,1,0,0,67,11,10,net,59,1
gotoris.net,1,0,0,67,11,10,net,59,1
fotizis.net,1,0,0,67,11,10,net,59,1
fotitus.net,1,0,0,67,11,10,net,59,1
fotuxus.net,1,0,0,67,11,10,net,59,1
dorysys.net,1,0,0,25,11,10,net,59,1
direvys.net,1,0,0,43,11,10,net,59,1
direfes.net,1,0,0,67,11,10,net,59,1
sirabas.net,1,0,0,67,11,10,net,59,1
sirogas.net,1,0,0,67,11,10,net,59,1
sirimos.net,1,0,0,67,11,10,net,59,1
purujop.net,1,0,0,67,11,10,net,59,1
puwuwip.net,1,0,0,67,11,10,net,59,1
puwylip.net,1,0,0,43,11,10,net,59,1
tuwerup.net,1,0,0,67,11,10,net,59,1
tuwazup.net,1,0,0,67,11,10,net,59,1
tywapyp.net,1,0,0,25,11,10,net,59,1
rywocyp.net,1,0,0,25,11,10,net,59,1
rywidep.net,1,0,0,43,11,10,net,59,1
ryquvep.net,1,0,0,43,11,10,net,59,1
wyqyfap.net,1,0,0,25,11,10,net,59,1
weqynop.net,1,0,0,43,11,10,net,59,1
weqehop.net,1,0,0,67,11,10,net,59,1
qeqaqip.net,1,0,0,67,11,10,net,59,1
qeqokip.net,1,0,0,67,11,10,net,59,1
qeqowup.net,1,0,0,67,11,10,net,59,1
mamilut.net,1,0,0,67,11,10,net,59,1
mamutyt.net,1,0,0,43,11,10,net,59,1
mamyxyt.net,1,0,0,25,11,10,net,59,1
nameset.net,2,1,0,67,11,10,net,59,1
namecet.net,1,0,0,67,11,10,net,59,1
nomadat.net,2,1,0,67,11,10,net,59,1
bomobat.net,1,0,0,67,11,10,net,59,1
bonigot.net,1,0,0,67,11,10,net,59,1
bonimit.net,1,0,0,67,11,10,net,59,1
vonujit.net,1,0,0,67,11,10,net,59,1
vinyqut.net,1,0,0,43,11,10,net,59,1
vinekut.net,1,0,0,67,11,10,net,59,1
cinaryt.net,1,0,0,43,11,10,net,59,1
cinazyt.net,1,0,0,43,11,10,net,59,1
cibopet.net,1,0,0,67,11,10,net,59,1
xubixer.net,1,0,0,67,11,10,net,59,1
xubusar.net,1,0,0,67,11,10,net,59,1
xubuvar.net,1,0,0,67,11,10,net,59,1
zubyfor.net,1,0,0,43,11,10,net,59,1
zubenor.net,1,0,0,67,11,10,net,59,1
zybahir.net,1,0,0,43,11,10,net,59,1
lyvomur.net,1,0,0,43,11,10,net,59,1
lyvojur.net,1,0,0,43,11,10,net,59,1
lyviwyr.net,1,0,0,25,11,10,net,59,1
kyvulyr.net,1,0,0,25,11,10,net,59,1
kevyter.net,1,0,0,43,11,10,net,59,1
kevyzer.net,1,0,0,43,11,10,net,59,1
jevepar.net,1,0,0,67,11,10,net,59,1
jecacar.net,1,0,0,67,11,10,net,59,1
jecodor.net,1,0,0,67,11,10,net,59,1
hacibow.net,1,0,0,67,11,10,net,59,1
hacigiw.net,1,0,0,67,11,10,net,59,1
hacuniw.net,1,0,0,67,11,10,net,59,1
gacyhuw.net,1,0,0,43,11,10,net,59,1
gaceqyw.net,1,0,0,43,11,10,net,59,1
goxekyw.net,1,0,0,43,11,10,net,59,1
foxarew.net,1,0,0,67,11,10,net,59,1
foxolew.net,1,0,0,67,11,10,net,59,1
foxitaw.net,1,0,0,67,11,10,net,59,1
doxuxaw.net,1,0,0,67,11,10,net,59,1
dixusow.net,1,0,0,67,11,10,net,59,1
dixyvow.net,1,0,0,43,11,10,net,59,1
