domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
mdewmtiwmtma.com,0,0,0,36,16,7,com,60,1
mdewmtiwmtma.org,0,0,0,36,16,7,org,60,1
mdewmtiwmtma.net,0,0,0,36,16,7,net,60,1
mdewmtiwmtma.info,0,0,0,45,17,6,info,60,1
mzexmjiwmtia.com,0,0,0,50,16,7,com,60,1
mzexmjiwmtia.org,0,0,0,50,16,7,org,60,1
mzexmjiwmtia.net,0,0,0,50,16,7,net,60,1
mzexmjiwmtia.info,0,0,0,60,17,6,info,60,1
mzaxmjiwmtia.com,0,0,0,50,16,7,com,60,1
mzaxmjiwmtia.org,0,0,0,50,16,7,org,60,1
mzaxmjiwmtia.net,0,0,0,50,16,7,net,60,1
mzaxmjiwmtia.info,0,0,0,60,17,6,info,60,1
mjkxmjiwmtia.com,0,0,0,36,16,7,com,60,1
mjkxmjiwmtia.org,0,0,0,36,16,7,org,60,1
mjkxmjiwmtia.net,0,0,0,36,16,7,net,60,1
mjkxmjiwmtia.info,0,0,0,45,17,6,info,60,1
mjgxmjiwmtia.com,0,0,0,36,16,7,com,60,1
mjgxmjiwmtia.org,0,0,0,36,16,7,org,60,1
mjgxmjiwmtia.net,0,0,0,36,16,7,net,60,1
mjgxmjiwmtia.info,0,0,0,45,17,6,info,60,1
mjcxmjiwmtia.com,0,0,0,36,16,7,com,60,1
mjcxmjiwmtia.org,0,0,0,36,16,7,org,60,1
mjcxmjiwmtia.net,0,0,0,36,16,7,net,60,1
mjcxmjiwmtia.info,0,0,0,45,17,6,info,60,1
mjyxmjiwmtia.com,0,0,0,36,16,7,com,60,1
mjyxmjiwmtia.org,0,0,0,36,16,7,org,60,1
mjyxmjiwmtia.net,0,0,0,36,16,7,net,60,1
mjyxmjiwmtia.info,0,0,0,45,17,6,info,60,1
mjuxmjiwmtia.com,0,0,0,50,16,7,com,60,1
mjuxmjiwmtia.org,0,0,0,50,16,7,org,60,1
mjuxmjiwmtia.net,0,0,0,50,16,7,net,60,1
mjuxmjiwmtia.info,0,0,0,60,17,6,info,60,1
mjqxmjiwmtia.com,0,0,0,36,16,7,com,60,1
mjqxmjiwmtia.org,0,0,0,36,16,7,org,60,1
mjqxmjiwmtia.net,0,0,0,36,16,7,net,60,1
mjqxmjiwmtia.info,0,0,0,45,17,6,info,60,1
mjmxmjiwmtia.com,0,0,0,36,16,7,com,60,1
mjmxmjiwmtia.org,0,0,0,36,16,7,org,60,1
mjmxmjiwmtia.net,0,0,0,36,16,7,net,60,1
mjmxmjiwmtia.info,0,0,0,45,17,6,info,60,1
mdiwmtiwmtma.com,0,0,0,36,16,7,com,60,1
mdiwmtiwmtma.org,0,0,0,36,16,7,org,60,1
mdiwmtiwmtma.net,0,0,0,36,16,7,net,60,1
mdiwmtiwmtma.info,0,0,0,45,17,6,info,60,1
mdewmtiwmtma.com,0,0,0,36,16,7,com,60,1
mdewmtiwmtma.org,0,0,0,36,16,7,org,60,1
mdewmtiwmtma.net,0,0,0,36,16,7,net,60,1
mdewmtiwmtma.info,0,0,0,45,17,6,info,60,1
mzexmjiwmtia.com,0,0,0,50,16,7,com,60,1
mzexmjiwmtia.org,0,0,0,50,16,7,org,60,1
mzexmjiwmtia.net,0,0,0,50,16,7,net,60,1
mzexmjiwmtia.info,0,0,0,60,17,6,info,60,1
mzaxmjiwmtia.com,0,0,0,50,16,7,com,60,1
mzaxmjiwmtia.org,0,0,0,50,16,7,org,60,1
mzaxmjiwmtia.net,0,0,0,50,16,7,net,60,1
mzaxmjiwmtia.info,0,0,0,60,17,6,info,60,1
mjkxmjiwmtia.com,0,0,0,36,16,7,com,60,1
mjkxmjiwmtia.org,0,0,0,36,16,7,org,60,1
mjkxmjiwmtia.net,0,0,0,36,16,7,net,60,1
mjkxmjiwmtia.info,0,0,0,45,17,6,info,60,1
mjgxmjiwmtia.com,0,0,0,36,16,7,com,60,1
mjgxmjiwmtia.org,0,0,0,36,16,7,org,60,1
mjgxmjiwmtia.net,0,0,0,36,16,7,net,60,1
mjgxmjiwmtia.info,0,0,0,45,17,6,info,60,1
mjcxmjiwmtia.com,0,0,0,36,16,7,com,60,1
mjcxmjiwmtia.org,0,0,0,36,16,7,org,60,1
mjcxmjiwmtia.net,0,0,0,36,16,7,net,60,1
mjcxmjiwmtia.info,0,0,0,45,17,6,info,60,1
mjyxmjiwmtia.com,0,0,0,36,16,7,com,60,1
mjyxmjiwmtia.org,0,0,0,36,16,7,org,60,1
mjyxmjiwmtia.net,0,0,0,36,16,7,net,60,1
mjyxmjiwmtia.info,0,0,0,45,17,6,info,60,1
mjuxmjiwmtia.com,0,0,0,50,16,7,com,60,1
mjuxmjiwmtia.org,0,0,0,50,16,7,org,60,1
mjuxmjiwmtia.net,0,0,0,50,16,7,net,60,1
mjuxmjiwmtia.info,0,0,0,60,17,6,info,60,1
