domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
tdxhptshdgiojilw.com,0,0,0,27,20,5,com,61,1
qfkxaletqdoedqwl.com,0,0,0,36,20,5,com,61,1
bcwopfctcvkjiuaf.com,0,0,0,36,20,5,com,61,1
pxklygmpweqepwhk.com,0,0,0,19,20,5,com,61,1
yqnwiookuonujole.com,0,0,0,90,20,5,com,61,1
vwtumucrqykehpol.com,0,0,0,36,20,5,com,61,1
sshgmicdfhfqtrck.com,0,0,0,12,20,5,com,61,1
kbnullghuycbeqoy.com,0,0,0,36,20,5,com,61,1
gwydrdgsjthmmfvl.com,0,0,0,6,20,5,com,61,1
xuuypwgcclreidma.com,0,0,0,46,20,5,com,61,1
xttdvdbugwgthqmb.com,0,0,0,12,20,5,com,61,1
oybtvcetvtsdiqxr.com,0,0,0,27,20,5,com,61,1
jnuslkfduvukxgql.com,0,0,0,27,20,5,com,61,1
kikjouvmwbjeoklo.com,0,0,0,58,20,5,com,61,1
jhaqyrhpbrdpvbpw.com,0,0,0,12,20,5,com,61,1
qholgsjmxlsywsjr.com,0,0,0,12,20,5,com,61,1
ukjsguauctdxhpts.com,0,0,0,36,20,5,com,61,1
sekiyjdvdcrntvqa.com,0,0,0,27,20,5,com,61,1
kxggplcphhqtpyyq.com,0,0,0,6,20,5,com,61,1
lijgyhcfvwslgbfd.com,0,0,0,12,20,5,com,61,1
vbkprtscxbiorxyw.com,0,0,0,19,20,5,com,61,1
fkyhwuvynvgakskv.com,0,0,0,19,20,5,com,61,1
kvxgbtblwixmkdqb.com,0,0,0,12,20,5,com,61,1
tmokbeymkeqvrdsh.com,0,0,0,27,20,5,com,61,1
veinwuxocdksgbvn.com,0,0,0,36,20,5,com,61,1
fvqfiupkpmewjsgn.com,0,0,0,27,20,5,com,61,1
whnadqajoouuligk.com,0,0,0,73,20,5,com,61,1
vfnpkllsfjnsgdey.com,0,0,0,12,20,5,com,61,1
sgihornpllpibkpg.com,0,0,0,27,20,5,com,61,1
npismpwiwxuhkukd.com,0,0,0,36,20,5,com,61,1
qqbvcuoshkmixrky.com,0,0,0,27,20,5,com,61,1
cwsgdytiaitwipnj.com,0,0,0,36,20,5,com,61,1
tdlnhonpdhqymypu.com,0,0,0,19,20,5,com,61,1
hhegfmxkqvkiqbpb.com,0,0,0,19,20,5,com,61,1
dvklfxakaqxumjuj.com,0,0,0,36,20,5,com,61,1
vhckhqcshvondrpo.com,0,0,0,19,20,5,com,61,1
sxcuxmmnvdtmngnb.com,0,0,0,12,20,5,com,61,1
khojkktowppbnbfb.com,0,0,0,19,20,5,com,61,1
unpukunfctfyvrdw.com,0,0,0,27,20,5,com,61,1
qmiirlyxnxojvuee.com,0,0,0,58,20,5,com,61,1
gafusksiokcdmnvn.com,0,0,0,36,20,5,com,61,1
tcilneoxjekujjmk.com,0,0,0,46,20,5,com,61,1
ftdqagkmbttgjtwr.com,0,0,0,12,20,5,com,61,1
xqdlfhwjpfbdqlgv.com,0,0,0,6,20,5,com,61,1
mbhrbructblosxma.com,0,0,0,27,20,5,com,61,1
imjnlrvvcreflvia.com,0,0,0,36,20,5,com,61,1
vfqdggoulcndmgex.com,0,0,0,27,20,5,com,61,1
nxksheijyqfommvv.com,0,0,0,27,20,5,com,61,1
rmqfebelmobyqsdj.com,0,0,0,27,20,5,com,61,1
gwhbehjpkrycquwj.com,0,0,0,19,20,5,com,61,1
rapjrwfpoigafumj.com,0,0,0,46,20,5,com,61,1
wysqdhynfcvlmrlv.com,0,0,0,6,20,5,com,61,1
guiuvufnvbfkvcce.com,0,0,0,46,20,5,com,61,1
naittdaxhjxeqbvu.com,0,0,0,46,20,5,com,61,1
xbvbunvappdpixha.com,0,0,0,36,20,5,com,61,1
wnxykiwcslnybywe.com,0,0,0,19,20,5,com,61,1
uveeyaaqnkabfoyd.com,0,0,0,73,20,5,com,61,1
syaonncvyndmailf.com,0,0,0,36,20,5,com,61,1
ooevamwmvfrmgqjv.com,0,0,0,36,20,5,com,61,1
ygwobwgoeolmhomm.com,0,0,0,46,20,5,com,61,1
oukhhrkqhsqbtbcl.com,0,0,0,19,20,5,com,61,1
hhokcxdeviovmhwp.com,0,0,0,36,20,5,com,61,1
ukhvrebcgywogsry.com,0,0,0,27,20,5,com,61,1
hcmpkjnlbaaibohv.com,0,0,0,36,20,5,com,61,1
mqemvoprruokctgb.com,0,0,0,36,20,5,com,61,1
ymesjjbfemgaqbdb.com,0,0,0,27,20,5,com,61,1
apuxlqfkskulksuo.com,0,0,0,46,20,5,com,61,1
rkoyscxqhplycovf.com,0,0,0,19,20,5,com,61,1
ohvfvlikjxwksyhx.com,0,0,0,19,20,5,com,61,1
lircxlwlkcmlpjgo.com,0,0,0,19,20,5,com,61,1
exxrarndranhjibc.com,0,0,0,36,20,5,com,61,1
vgocbohvylytvyuy.com,0,0,0,27,20,5,com,61,1
wpgxwmdlxvpthjlq.com,0,0,0,6,20,5,com,61,1
yhhgayxaooqoksic.com,0,0,0,58,20,5,com,61,1
kdotilimoiuhpqbs.com,0,0,0,58,20,5,com,61,1
vulkmosscawincgy.com,0,0,0,36,20,5,com,61,1
dxepnwgoocpalcqc.com,0,0,0,36,20,5,com,61,1
mljucrphgmeeqomt.com,0,0,0,36,20,5,com,61,1
iuxjbqdglvfnuvag.com,0,0,0,36,20,5,com,61,1
ipaykhednopmmqom.com,0,0,0,46,20,5,com,61,1
jufmwyabyrmaalxp.com,0,0,0,36,20,5,com,61,1
fkpjpywlviordqdm.com,0,0,0,19,20,5,com,61,1
oibhpfcmwqltycfv.com,0,0,0,19,20,5,com,61,1
kwvoctutsxcvhdxi.com,0,0,0,27,20,5,com,61,1
gncenpsewityfpfd.com,0,0,0,27,20,5,com,61,1
fyhpolhxcumrespd.com,0,0,0,27,20,5,com,61,1
rydviwmdjcuakbrn.com,0,0,0,27,20,5,com,61,1
xdbsooitjfutjyqu.com,0,0,0,46,20,5,com,61,1
cmwulcyjfaambxij.com,0,0,0,36,20,5,com,61,1
psygtreavpxupqgd.com,0,0,0,27,20,5,com,61,1
blfkdvagpmticxym.com,0,0,0,19,20,5,com,61,1
puacbwmokcnnckmd.com,0,0,0,27,20,5,com,61,1
xmursiouydnjpxmm.com,0,0,0,36,20,5,com,61,1
cybkgujensrustod.com,0,0,0,36,20,5,com,61,1
vdeyngxjmxgiwrsa.com,0,0,0,27,20,5,com,61,1
drmnyrqvtjqyrjfc.com,0,0,0,6,20,5,com,61,1
kppnuvqfduglvikg.com,0,0,0,27,20,5,com,61,1
upxakqpnlpaqwfto.com,0,0,0,36,20,5,com,61,1
ebenxjvntqbhgsrn.com,0,0,0,19,20,5,com,61,1
qneoivdehsqimesb.com,0,0,0,58,20,5,com,61,1
njedfitwiaxcvrtc.com,0,0,0,36,20,5,com,61,1
fpgcbojeuyxrdtqb.com,0,0,0,27,20,5,com,61,1
lpqrdislsttnldte.com,0,0,0,19,20,5,com,61,1
ngdthdqxmosfdojx.com,0,0,0,19,20,5,com,61,1
pijrrtygflsfcjug.com,0,0,0,19,20,5,com,61,1
mnnigxceifseywoe.com,0,0,0,58,20,5,com,61,1
kubdfyiwachtsqrf.com,0,0,0,27,20,5,com,61,1
gyspabknqbbgspgk.com,0,0,0,12,20,5,com,61,1
qxupfangewgroino.com,0,0,0,58,20,5,com,61,1
unellxptmfeexxha.com,0,0,0,46,20,5,com,61,1
hidcaysshbexdobr.com,0,0,0,36,20,5,com,61,1
diokmixrksmynomu.com,0,0,0,46,20,5,com,61,1
uqdplypyfsnwlxwj.com,0,0,0,12,20,5,com,61,1
njwbgyxgplkwkmiy.com,0,0,0,12,20,5,com,61,1
bhwcivhqbydqfqkc.com,0,0,0,12,20,5,com,61,1
fciovhcmxbhvljcw.com,0,0,0,19,20,5,com,61,1
gugryisnotfuptgn.com,0,0,0,36,20,5,com,61,1
mnqhabfmydidjtaf.com,0,0,0,27,20,5,com,61,1
pebrswpchesbhako.com,0,0,0,36,20,5,com,61,1
dplbpyqcmqybcwvo.com,0,0,0,12,20,5,com,61,1
ednrawxsrfwixckm.com,0,0,0,27,20,5,com,61,1
rysgdjtxlijercyp.com,0,0,0,19,20,5,com,61,1
ppcgsnxlhaffhbxn.com,0,0,0,12,20,5,com,61,1
dvhupkmqnndbwffa.com,0,0,0,19,20,5,com,61,1
cqxxxvmkfpnfjhao.com,0,0,0,19,20,5,com,61,1
kmogclymfyuhtbcq.com,0,0,0,19,20,5,com,61,1
ewayfmtelcirdgiq.com,0,0,0,46,20,5,com,61,1
qvsfedyfdvfqnacn.com,0,0,0,19,20,5,com,61,1
arogjfcijuyndwux.com,0,0,0,46,20,5,com,61,1
wqtwtauuwoxdwfnm.com,0,0,0,36,20,5,com,61,1
hngnjtsuihtiojqg.com,0,0,0,36,20,5,com,61,1
jjtkfudqqpadvlql.com,0,0,0,19,20,5,com,61,1
sfexoaxjodevpaud.com,0,0,0,73,20,5,com,61,1
plkvsglqknbfbbxk.com,0,0,0,6,20,5,com,61,1
yhqhgtsclsorngsl.com,0,0,0,12,20,5,com,61,1
qmwtfawibklaxffa.com,0,0,0,36,20,5,com,61,1
aipcxrptdixlsqfm.com,0,0,0,27,20,5,com,61,1
rjlavipbvaifoovy.com,0,0,0,58,20,5,com,61,1
eideprrtmipubfda.com,0,0,0,58,20,5,com,61,1
ukkspquucfxidvim.com,0,0,0,46,20,5,com,61,1
oskxgfpxabkpsbbq.com,0,0,0,19,20,5,com,61,1
pnuejplrrvtytpbt.com,0,0,0,19,20,5,com,61,1
ecklewwuvmsubgar.com,0,0,0,46,20,5,com,61,1
vmeqbnthdqiernym.com,0,0,0,27,20,5,com,61,1
aptnbppawonsmujx.com,0,0,0,36,20,5,com,61,1
nyadeonbxwhsoqbu.com,0,0,0,46,20,5,com,61,1
pdvlkgrkmmbyktov.com,0,0,0,12,20,5,com,61,1
gdtbemrkqriglgpi.com,0,0,0,27,20,5,com,61,1
qgaumodwdgstmsor.com,0,0,0,36,20,5,com,61,1
kpjmraleiqqupxub.com,0,0,0,46,20,5,com,61,1
fqnbgolgcnnrfxgv.com,0,0,0,12,20,5,com,61,1
yrypvjohfybqwidm.com,0,0,0,19,20,5,com,61,1
qyxicpitwiaxbvli.com,0,0,0,46,20,5,com,61,1
kbbkdaffuhtroxqs.com,0,0,0,27,20,5,com,61,1
rcduilkojtfagdvf.com,0,0,0,36,20,5,com,61,1
bkxufqbnaednlioe.com,0,0,0,58,20,5,com,61,1
nlxctmduqqanvffb.com,0,0,0,19,20,5,com,61,1
skxxruhdrskcppui.com,0,0,0,27,20,5,com,61,1
lvlqwpenmpwnswut.com,0,0,0,19,20,5,com,61,1
wrilieenunernkdo.com,0,0,0,73,20,5,com,61,1
yivsctxkichxgnyt.com,0,0,0,19,20,5,com,61,1
nvnhyxojkkthwppc.com,0,0,0,12,20,5,com,61,1
whbkymjlgcovguli.com,0,0,0,27,20,5,com,61,1
pvllnfltbhfmwgyp.com,0,0,0,6,20,5,com,61,1
ymlvrxdmprdntuwc.com,0,0,0,12,20,5,com,61,1
esfieydpdeychmva.com,0,0,0,46,20,5,com,61,1
ocyvqjwgvfvxpgtv.com,0,0,0,12,20,5,com,61,1
wbrjlwpwhjficjnf.com,0,0,0,12,20,5,com,61,1
mlvtmvjhuylesyfm.com,0,0,0,19,20,5,com,61,1
nnyktsxypsttdudj.com,2,0,0,12,20,5,com,61,1
yitrgutnufkfdfns.com,0,0,0,27,20,5,com,61,1
efmmysgijqrcwapw.com,0,0,0,27,20,5,com,61,1
spqqudlbapcpymvb.com,0,0,0,19,20,5,com,61,1
cxsmfdmwigngfhry.com,0,0,0,12,20,5,com,61,1
pqhcmufvrqwcgrbw.com,0,0,0,12,20,5,com,61,1
hjbtnsrkscongxmw.com,0,0,0,12,20,5,com,61,1
xbhgkpnkgakxketk.com,0,0,0,19,20,5,com,61,1
mlxcxvsoedpdwjnk.com,0,0,0,19,20,5,com,61,1
xoyiliooitwbljdk.com,2,0,0,58,20,5,com,61,1
dncpwsimlnmmsgcu.com,0,0,0,19,20,5,com,61,1
ajrtpgoocpvlcqsd.com,0,0,0,27,20,5,com,61,1
hlrsnofynxofwpft.com,0,0,0,19,20,5,com,61,1
rmfaoymbvetqomqy.com,0,0,0,36,20,5,com,61,1
qyhaetndyaexhngd.com,0,0,0,36,20,5,com,61,1
ohnfslqrtyqaldpc.com,0,0,0,19,20,5,com,61,1
mkjphylwfctlgwce.com,0,0,0,12,20,5,com,61,1
ianwtxgnctilmfau.com,0,0,0,46,20,5,com,61,1
sugpuippkaclndef.com,0,0,0,46,20,5,com,61,1
wssoptsxyuitlyte.com,0,0,0,36,20,5,com,61,1
pfgdkallnkwdefoi.com,0,0,0,36,20,5,com,61,1
miyoagjjobfvxujr.com,0,0,0,46,20,5,com,61,1
yaeishfsjcipsqpo.com,0,0,0,46,20,5,com,61,1
eovfemhkawwrkvoi.com,0,0,0,58,20,5,com,61,1
qomlbhsxmkxhydli.com,0,0,0,19,20,5,com,61,1
rrdqdlqorjgpjrgk.com,0,0,0,12,20,5,com,61,1
qldutegjyndrkmnx.com,0,0,0,19,20,5,com,61,1
wfnmenqrbafdkwyq.com,0,0,0,19,20,5,com,61,1
tgjjgjosseushloh.com,0,0,0,36,20,5,com,61,1
vvgkipfkaxforkjj.com,0,0,0,27,20,5,com,61,1
niwusqpohjqbewmg.com,0,0,0,36,20,5,com,61,1
frxfoolepxxmphdx.com,0,0,0,27,20,5,com,61,1
hfyniwphgqyhcuqu.com,0,0,0,27,20,5,com,61,1
cbwmqjatwgmoxssl.com,0,0,0,19,20,5,com,61,1
nwtdeqblkxfpvaxg.com,0,0,0,19,20,5,com,61,1
lvvwfyxhgexsdeyu.com,0,0,0,27,20,5,com,61,1
ujrckphookvliqem.com,0,0,0,46,20,5,com,61,1
awgcsslnttnudtrn.com,0,0,0,19,20,5,com,61,1
qnrgcjvvfqxfeswf.com,0,0,0,12,20,5,com,61,1
rsntfwiihpehripi.com,0,0,0,46,20,5,com,61,1
wmhchbfenkwylolt.com,0,0,0,19,20,5,com,61,1
wgjoxdtfosdmqewo.com,0,0,0,36,20,5,com,61,1
cyevkvdbbvkdpbgp.com,0,0,0,12,20,5,com,61,1
oltwfrkwoklrwrnk.com,0,0,0,19,20,5,com,61,1
nbpwwjpfksuymqhv.com,0,0,0,12,20,5,com,61,1
jwuoayevbemhcdau.com,0,0,0,73,20,5,com,61,1
gfjawmqbrddmbwin.com,0,0,0,19,20,5,com,61,1
tkondeqcwcrtjaqq.com,0,0,0,27,20,5,com,61,1
xuhncpmhengnhoxv.com,0,0,0,27,20,5,com,61,1
sjwduxryholptaqt.com,0,0,0,27,20,5,com,61,1
xwijjuuvsavgkiuv.com,0,0,0,58,20,5,com,61,1
pkdkkggnqffqhaet.com,0,0,0,19,20,5,com,61,1
tbsrowifhhbvmixc.com,0,0,0,27,20,5,com,61,1
prnxtuhismphddjb.com,0,0,0,19,20,5,com,61,1
jddofdhwnuhaluvd.com,0,0,0,36,20,5,com,61,1
ebymokaewjpkcwtf.com,0,0,0,36,20,5,com,61,1
behyqfyorbqrdqkp.com,0,0,0,19,20,5,com,61,1
kmuorumoncriaeim.com,0,0,0,90,20,5,com,61,1
kcnnckmdnhahssca.com,0,0,0,19,20,5,com,61,1
txnelwdxolhdcdkd.com,0,0,0,19,20,5,com,61,1
lbwduaafokoswfit.com,0,0,0,58,20,5,com,61,1
triklteprsirlcii.com,0,0,0,46,20,5,com,61,1
ofrxicftnnhbenxt.com,0,0,0,27,20,5,com,61,1
qhxnsuncgmebbkgc.com,0,0,0,19,20,5,com,61,1
loyefynihgeixxai.com,0,0,0,73,20,5,com,61,1
jvmheatbybsxepdj.com,0,0,0,27,20,5,com,61,1
hxetbayjrapctoug.com,0,0,0,46,20,5,com,61,1
rwjlgyccfvunphck.com,0,0,0,12,20,5,com,61,1
vmshmyeplgsawyve.com,0,0,0,27,20,5,com,61,1
gjrgyaewgcpccpmv.com,0,0,0,19,20,5,com,61,1
cjaoljjvjtxdmpxy.com,0,0,0,19,20,5,com,61,1
trotkabdgtybmyin.com,0,0,0,27,20,5,com,61,1
okiwhxjcqkvslltu.com,0,0,0,27,20,5,com,61,1
cgixjusmcxomgpvx.com,0,0,0,27,20,5,com,61,1
gbtkwgniyasrloxv.com,0,0,0,27,20,5,com,61,1
uqfqnetmdpgtephm.com,0,0,0,27,20,5,com,61,1
bjrgowglnyjcxpbe.com,0,0,0,19,20,5,com,61,1
eacshsqdvatcvvlp.com,0,0,0,27,20,5,com,61,1
rlmceurdxmacnswp.com,0,0,0,27,20,5,com,61,1
syoslsytdbxjjxln.com,0,0,0,12,20,5,com,61,1
guthofuywekfgxaq.com,0,0,0,46,20,5,com,61,1
elbhhjwmvvegvwwo.com,0,0,0,27,20,5,com,61,1
rrgveglrcjcclbeb.com,0,0,0,19,20,5,com,61,1
qmxsxbnyqeotuvbd.com,0,0,0,27,20,5,com,61,1
vbpumgorptkmevrv.com,0,0,0,27,20,5,com,61,1
orpephjbclontpom.com,0,0,0,36,20,5,com,61,1
hmybutfbtmymeqvj.com,0,0,0,19,20,5,com,61,1
ggffdqljpjpmwley.com,0,0,0,12,20,5,com,61,1
dcdvnolvdahcqten.com,0,0,0,27,20,5,com,61,1
nypmdijvosdhuxhh.com,0,0,0,27,20,5,com,61,1
dudjljtrkbjccaam.com,0,0,0,27,20,5,com,61,1
mtuyulhiiruwvlec.com,0,0,0,58,20,5,com,61,1
jabwyrupecrgumhj.com,0,0,0,36,20,5,com,61,1
fvaiafjbrexshujm.com,0,0,0,46,20,5,com,61,1
wxgsyonjhvuyrtvb.com,0,0,0,19,20,5,com,61,1
ttgbegyuwwokycon.com,0,0,0,36,20,5,com,61,1
lxcbctyapoyguafx.com,0,0,0,36,20,5,com,61,1
kwmfjgisstyvutty.com,0,0,0,19,20,5,com,61,1
bvtrjflviqohjkrn.com,0,0,0,19,20,5,com,61,1
ihbwmqyytpboymkp.com,0,0,0,19,20,5,com,61,1
jcefpbcqxhdaners.com,0,0,0,27,20,5,com,61,1
kntmxlntcxjtuujs.com,0,0,0,19,20,5,com,61,1
pbuphydiwfydxypn.com,0,0,0,19,20,5,com,61,1
tedohbgydawtgjaw.com,0,0,0,36,20,5,com,61,1
tkqexdwaeixruckv.com,0,0,0,46,20,5,com,61,1
jrmkqrilgbkxqffu.com,0,0,0,19,20,5,com,61,1
modcxbijwdyhfuyh.com,0,0,0,27,20,5,com,61,1
wuqtsamxwucssefs.com,0,0,0,36,20,5,com,61,1
eeslxocdocavjmea.com,0,0,0,73,20,5,com,61,1
lcecaauhvceqljww.com,0,0,0,46,20,5,com,61,1
sgiocxfilkkrqwml.com,0,0,0,27,20,5,com,61,1
wkojvbrsdwqwhhcj.com,0,0,0,12,20,5,com,61,1
epkjjovgosksimar.com,0,0,0,46,20,5,com,61,1
xntvcwtnpioymomg.com,0,0,0,27,20,5,com,61,1
uyhtlfrogptofwxd.com,0,0,0,27,20,5,com,61,1
taodnxttkfjmcqvc.com,0,0,0,19,20,5,com,61,1
mvowljqexebdjbeh.com,0,0,0,36,20,5,com,61,1
rkurdbuogegmyleu.com,0,0,0,58,20,5,com,61,1
ddykcsnmbcnshvtn.com,0,0,0,6,20,5,com,61,1
swfriihlcnxwacis.com,0,0,0,36,20,5,com,61,1
tkwisjgcsicaonxj.com,0,0,0,36,20,5,com,61,1
fjsdhkrsxepdowdb.com,0,0,0,19,20,5,com,61,1
xttsfdtbjjwffehw.com,0,0,0,12,20,5,com,61,1
qktdaaufxplulsfj.com,0,0,0,36,20,5,com,61,1
muwbmwlwuchjpons.com,0,0,0,27,20,5,com,61,1
wahdihfnehnqxelo.com,0,0,0,46,20,5,com,61,1
oyaqtyhpplwbthvm.com,0,0,0,19,20,5,com,61,1
ennmuxctxgsrvrmy.com,0,0,0,19,20,5,com,61,1
kgrwwafmsabganvv.com,0,0,0,27,20,5,com,61,1
vpmfjcbbrxdraxgg.com,0,0,0,12,20,5,com,61,1
hmtavlnugjkoahwk.com,0,0,0,36,20,5,com,61,1
vwxdrvendwudctdo.com,0,0,0,27,20,5,com,61,1
yqaycvfklnutcayl.com,0,0,0,27,20,5,com,61,1
mjaopcxjuxeodkij.com,0,0,0,58,20,5,com,61,1
ecthqayxpuvadqfk.com,0,0,0,36,20,5,com,61,1
biatnwuwdsrkhwmx.com,0,0,0,27,20,5,com,61,1
psqpudabbviqaqgx.com,0,0,0,36,20,5,com,61,1
bvguibvbfmpooqvx.com,0,0,0,36,20,5,com,61,1
gujctlpyogfavnuh.com,0,0,0,36,20,5,com,61,1
wqygmyvcfdinoyfb.com,0,0,0,19,20,5,com,61,1
usfqbgsbagbhjxsr.com,0,0,0,19,20,5,com,61,1
fesxcqydimgsbuew.com,0,0,0,36,20,5,com,61,1
equcrmgqchwkkunp.com,0,0,0,27,20,5,com,61,1
lauspfpqnfpbfjod.com,0,0,0,27,20,5,com,61,1
sekonsmvyismadbf.com,0,0,0,36,20,5,com,61,1
otovarhmvahmglyv.com,0,0,0,36,20,5,com,61,1
ybhobcqoetbmhjdg.com,0,0,0,27,20,5,com,61,1
dytnvntwsohuffsf.com,0,0,0,19,20,5,com,61,1
vlfeqtmkhexcxlnj.com,0,0,0,19,20,5,com,61,1
goxpgakiuugurois.com,0,0,0,90,20,5,com,61,1
sgdjynerpvjomkqp.com,0,0,0,19,20,5,com,61,1
xuugksglgqxqqpph.com,0,0,0,19,20,5,com,61,1
kinmunrysqwgfwmh.com,0,0,0,19,20,5,com,61,1
llerwfgpxpfqpxfj.com,0,0,0,12,20,5,com,61,1
wfetnxhkstcsqsmy.com,0,0,0,12,20,5,com,61,1
dlmlkhrqutgeedxr.com,0,0,0,27,20,5,com,61,1
amiimpnryxvrbgjw.com,0,0,0,27,20,5,com,61,1
gbbaxukupdkyhfet.com,0,0,0,36,20,5,com,61,1
xdrkdlkewovltcrq.com,0,0,0,19,20,5,com,61,1
umdpyjgtasscfmii.com,0,0,0,36,20,5,com,61,1
wkexxcurqltwmplk.com,0,0,0,19,20,5,com,61,1
mtxnwpysdmlnemrm.com,0,0,0,12,20,5,com,61,1
