domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
woulddemand.net,2,0,0,56,15,7,net,62,1
rememberdemand.net,2,0,0,55,18,6,net,62,1
wouldshout.net,2,0,0,62,14,8,net,62,1
remembershout.net,2,0,0,60,17,6,net,62,1
remembershout.ru,1,0,0,67,16,7,ru,62,1
journeystation.net,2,0,0,70,18,6,net,62,1
husbandstation.net,2,0,0,55,18,6,net,62,1
journeythird.net,2,0,0,50,16,7,net,62,1
husbandthird.net,2,0,0,36,16,7,net,62,1
journeyobject.net,2,1,0,60,17,6,net,62,1
journeyobject.ru,0,0,0,67,16,7,ru,62,1
husbandobject.net,2,0,0,45,17,6,net,62,1
journeychildhood.net,2,1,0,58,20,5,net,62,1
husbandchildhood.net,2,0,0,46,20,5,net,62,1
destroystation.net,2,0,0,55,18,6,net,62,1
littlestation.net,2,0,0,60,17,6,net,62,1
littlestation.ru,0,0,0,67,16,7,ru,62,1
destroythird.net,2,0,0,36,16,7,net,62,1
littlethird.net,2,0,0,40,15,7,net,62,1
destroyobject.net,2,0,0,45,17,6,net,62,1
littleobject.net,2,0,0,50,16,7,net,62,1
destroychildhood.net,2,0,0,46,20,5,net,62,1
destroychildhood.ru,0,0,0,50,19,6,ru,62,1
littlechildhood.net,2,0,0,50,19,6,net,62,1
riddenstation.net,2,0,0,60,17,6,net,62,1
belongstation.net,2,0,0,60,17,6,net,62,1
riddenthird.net,2,0,0,40,15,7,net,62,1
belongthird.net,2,0,0,40,15,7,net,62,1
belongthird.ru,0,0,0,44,14,8,ru,62,1
riddenobject.net,2,0,0,50,16,7,net,62,1
belongobject.net,2,0,0,50,16,7,net,62,1
riddenchildhood.net,2,0,0,50,19,6,net,62,1
belongchildhood.net,2,0,0,50,19,6,net,62,1
chairstation.net,2,0,0,67,16,7,net,62,1
chairstation.ru,0,0,0,75,15,7,ru,62,1
thosestation.net,2,0,0,67,16,7,net,62,1
chairthird.net,2,0,0,44,14,8,net,62,1
thosethird.net,2,0,0,44,14,8,net,62,1
chairobject.net,2,0,0,56,15,7,net,62,1
thoseobject.net,2,0,0,56,15,7,net,62,1
thoseobject.ru,0,0,0,62,14,8,ru,62,1
chairchildhood.net,2,0,0,55,18,6,net,62,1
thosechildhood.net,2,0,0,55,18,6,net,62,1
withinstation.net,2,0,0,60,17,6,net,62,1
sufferstation.net,2,0,0,60,17,6,net,62,1
