domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
fdcefgreroefeeig.ru,0,0,0,80,19,6,ru,63,1
gweqifjejtoaemgw.ru,0,0,0,64,19,6,ru,63,1
hjlttargwgrwfrji.ru,0,0,0,20,19,6,ru,63,1
zjqreepghdjojjrc.ru,0,0,0,29,19,6,ru,63,1
werfracwfffwfpod.ru,0,0,0,29,19,6,ru,63,1
aqohcwecfphqrmww.ru,0,0,0,29,19,6,ru,63,1
wcetelwlwiwgdaww.ru,0,0,0,38,19,6,ru,63,1
oilrwfaaflflwppe.ru,0,0,0,50,19,6,ru,63,1
wtewrpcthpfdewcw.ru,0,0,0,20,19,6,ru,63,1
hffiomwezgwlowfh.ru,0,0,0,38,19,6,ru,63,1
cwzpwlpmofzdgjgt.ru,0,0,0,12,19,6,ru,63,1
pifwwjiawjlhgfrz.ru,0,0,0,29,19,6,ru,63,1
jagqfremcpwocjqw.ru,0,0,0,29,19,6,ru,63,1
rogwjhigrftizlec.ru,0,0,0,38,19,6,ru,63,1
jrpiwjwhawtwjzrp.ru,0,0,0,20,19,6,ru,63,1
ccijegfrcweffrwf.ru,0,0,0,29,19,6,ru,63,1
eerwfehriigwhmlf.ru,0,0,0,50,19,6,ru,63,1
fehrjfrewwhcrwic.ru,0,0,0,29,19,6,ru,63,1
rwiwwjrjoieewcft.ru,0,0,0,50,19,6,ru,63,1
cgmwqjzppewrqmff.ru,0,0,0,12,19,6,ru,63,1
effhzmhifwfrrjhc.ru,0,0,0,20,19,6,ru,63,1
epcfjrijtpcwdjwe.ru,0,0,0,29,19,6,ru,63,1
wgwfzfichfclrepw.ru,0,0,0,20,19,6,ru,63,1
mwjwdioercwizocf.ru,0,0,0,50,19,6,ru,63,1
gcmcewhwpffjcrlh.ru,0,0,0,12,19,6,ru,63,1
ciffrrawfzfdleli.ru,0,0,0,38,19,6,ru,63,1
wczhwfrmfohwffpw.ru,0,0,0,12,19,6,ru,63,1
mfpodimijlrihwcf.ru,0,0,0,38,19,6,ru,63,1
gwhfoljhhwecrahe.ru,0,0,0,38,19,6,ru,63,1
tiwciriehorepwfe.ru,0,0,0,80,19,6,ru,63,1
fafifowwigropgrw.ru,0,0,0,50,19,6,ru,63,1
lozmwgrtgwplowoi.ru,0,0,0,38,19,6,ru,63,1
frfoeifracilrjwe.ru,0,0,0,64,19,6,ru,63,1
rcafrfjcehwefhqj.ru,0,0,0,29,19,6,ru,63,1
weccpfdmcpecigfc.ru,0,0,0,29,19,6,ru,63,1
ledfqhrpmfopwfjg.ru,0,0,0,20,19,6,ru,63,1
pwjjfwlafwggrqij.ru,0,0,0,20,19,6,ru,63,1
fgthfjzlmjfmchfr.ru,0,0,0,6,19,6,ru,63,1
gfhdphdfjwiwgzww.ru,0,0,0,12,19,6,ru,63,1
wpicqwhwwfhwewrf.ru,0,0,0,20,19,6,ru,63,1
igdjfhowejfehcwf.ru,0,0,0,38,19,6,ru,63,1
dzjrtfowclwedghh.ru,0,0,0,20,19,6,ru,63,1
awcmwitrwtpejjrp.ru,0,0,0,29,19,6,ru,63,1
wjwcewarjowwjmwd.ru,0,0,0,29,19,6,ru,63,1
zcheiwmwtfdpzlmh.ru,0,0,0,20,19,6,ru,63,1
wiwzrfctggejiofr.ru,0,0,0,38,19,6,ru,63,1
acpjfricmfhdicfh.ru,0,0,0,29,19,6,ru,63,1
weifjdoriiaiwrej.ru,0,0,0,100,19,6,ru,63,1
ompeqwifcwhwpwhj.ru,0,0,0,29,19,6,ru,63,1
jthdfjmwegofpzwh.ru,0,0,0,20,19,6,ru,63,1
rlwgpwwifjphwcce.ru,0,0,0,20,19,6,ru,63,1
jfojzdohgpcjiwpt.ru,0,0,0,29,19,6,ru,63,1
fheppdhfghpiicwz.ru,0,0,0,29,19,6,ru,63,1
jgwohpwctarhiigm.ru,0,0,0,38,19,6,ru,63,1
rzelfrmjhjwctmgf.ru,0,0,0,12,19,6,ru,63,1
jhiwwwjcpdmplfat.ru,0,0,0,20,19,6,ru,63,1
cpdewpwggwewcefg.ru,0,0,0,29,19,6,ru,63,1
efjawzwtwfadpgwi.ru,0,0,0,38,19,6,ru,63,1
ewgpfepggjwdemeo.ru,0,0,0,50,19,6,ru,63,1
zigrzzwzoqrzhjrp.ru,0,0,0,20,19,6,ru,63,1
qwiztwrwwcwfggcg.ru,0,0,0,12,19,6,ru,63,1
hjdajtmwtfqgqetw.ru,0,0,0,20,19,6,ru,63,1
ewprjifjgfwdtptt.ru,0,0,0,20,19,6,ru,63,1
wjiewgparefzdwlc.ru,0,0,0,38,19,6,ru,63,1
mcrcgtdiwcflzppf.ru,0,0,0,12,19,6,ru,63,1
gemlwtwwjfrwfwgj.ru,0,0,0,12,19,6,ru,63,1
cmgfwhpicwjcjajg.ru,0,0,0,20,19,6,ru,63,1
ptpegijfhmhhfrwf.ru,0,0,0,20,19,6,ru,63,1
iliwzzqwgwrdpigi.ru,0,0,0,38,19,6,ru,63,1
ffrtfirdjtreepip.ru,0,0,0,38,19,6,ru,63,1
rhmrteppcwiwfojw.ru,0,0,0,29,19,6,ru,63,1
fgjgwawdwirpqdqg.ru,0,0,0,20,19,6,ru,63,1
izwpliofdlitfqoe.ru,0,0,0,64,19,6,ru,63,1
fhrjewwiffiwwdjw.ru,0,0,0,29,19,6,ru,63,1
rpwwfewpigfwchcw.ru,0,0,0,20,19,6,ru,63,1
wfezpzdfcjwgqphc.ru,0,0,0,12,19,6,ru,63,1
wwfwwppjfawwpogf.ru,0,0,0,20,19,6,ru,63,1
iizpfpwgwgpiawhf.ru,0,0,0,38,19,6,ru,63,1
dajjrwrwqogjqica.ru,0,0,0,38,19,6,ru,63,1
