domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
oxbaavec.ddns.net,2,0,0,50,17,13,net,63,1
undiebkaodvobe.ddns.net,2,0,0,62,23,10,net,63,1
wogeifpuek.ddns.net,2,0,0,55,19,12,net,63,1
miqeibopu.ddns.net,2,0,0,60,18,12,net,63,1
urcurofaanogerr.ddns.net,2,0,0,57,24,9,net,63,1
odnereavom.ddns.net,2,0,0,55,19,12,net,63,1
xiqucudoasgab.ddns.net,2,0,0,54,22,10,net,63,1
cobaongoahdai.ddns.net,2,0,0,67,22,10,net,63,1
afuwahliuktok.ddns.net,2,0,0,54,22,10,net,63,1
ewsikaruix.ddns.net,2,0,0,55,19,12,net,63,1
wivibeegu.ddns.net,2,0,0,60,18,12,net,63,1
ixugebolegepw.ddns.net,2,0,0,54,22,10,net,63,1
mubixaiq.ddns.net,2,0,0,50,17,13,net,63,1
uqkuteukahgaac.ddns.net,2,0,0,62,23,10,net,63,1
nuosfoixxaci.ddns.net,2,0,0,58,21,11,net,63,1
viriroel.ddns.net,2,0,0,50,17,13,net,63,1
ruheoqehmukua.ddns.net,2,0,0,67,22,10,net,63,1
waeqseupqo.ddns.net,2,0,0,55,19,12,net,63,1
woobuvdiiri.ddns.net,2,0,0,64,20,11,net,63,1
ahsadaasobepxi.ddns.net,2,0,0,62,23,10,net,63,1
loqebaefidexu.ddns.net,2,0,0,67,22,10,net,63,1
qabautma.ddns.net,2,0,0,50,17,13,net,63,1
woemegqoiducr.ddns.net,2,0,0,54,22,10,net,63,1
adgaepapdoawh.ddns.net,2,0,0,54,22,10,net,63,1
buquaknoxee.ddns.net,2,0,0,64,20,11,net,63,1
efqiukavdaog.ddns.net,2,0,0,58,21,11,net,63,1
kiucakpigio.ddns.net,2,0,0,64,20,11,net,63,1
qewuorif.ddns.net,2,0,0,50,17,13,net,63,1
gimexesaokoto.ddns.net,2,0,0,67,22,10,net,63,1
ikadokokdaekw.ddns.net,2,0,0,54,22,10,net,63,1
ixgoetiqif.ddns.net,2,0,0,55,19,12,net,63,1
uxqopiacagebkal.ddns.net,2,0,0,57,24,9,net,63,1
ugfailukafugw.ddns.net,2,0,0,54,22,10,net,63,1
taulecqi.ddns.net,2,0,0,50,17,13,net,63,1
qairufxeepaw.ddns.net,2,0,0,58,21,11,net,63,1
exmemiamceux.ddns.net,2,0,0,58,21,11,net,63,1
puritauqhog.ddns.net,2,0,0,50,20,11,net,63,1
erviarivbiabbu.ddns.net,2,0,0,62,23,10,net,63,1
beutulerxiuh.ddns.net,1,0,0,58,21,11,net,63,1
raulpuan.ddns.net,2,0,0,50,17,13,net,63,1
wiubollinamo.ddns.net,2,0,0,58,21,11,net,63,1
qoumirinita.ddns.net,2,0,0,64,20,11,net,63,1
bioxokrub.ddns.net,2,0,0,45,18,12,net,63,1
lailfamourobhue.ddns.net,1,0,0,69,24,9,net,63,1
quiguxqavano.ddns.net,1,0,0,58,21,11,net,63,1
tiatacavocsot.ddns.net,2,0,0,54,22,10,net,63,1
ikumeglobu.ddns.net,2,0,0,55,19,12,net,63,1
bikupinereub.ddns.net,2,0,0,58,21,11,net,63,1
kaacwuixc.ddns.net,2,0,0,45,18,12,net,63,1
olamnimia.ddns.net,2,0,0,60,18,12,net,63,1
iparathuvu.ddns.net,2,0,0,55,19,12,net,63,1
roagodhuveof.ddns.net,2,0,0,58,21,11,net,63,1
noafedniabt.ddns.net,2,0,0,50,20,11,net,63,1
gaoserur.ddns.net,2,0,0,50,17,13,net,63,1
ixqeipreohusfae.ddns.net,2,0,0,69,24,9,net,63,1
nilepuanp.ddns.net,2,0,0,45,18,12,net,63,1
irreiwguo.ddns.net,2,0,0,60,18,12,net,63,1
biicaxwug.ddns.net,1,0,0,45,18,12,net,63,1
adpeodaren.ddns.net,2,0,0,55,19,12,net,63,1
haevpeodeqodem.ddns.net,2,0,0,62,23,10,net,63,1
cuxuokeb.ddns.net,2,0,0,50,17,13,net,63,1
sikokoohodt.ddns.net,2,0,0,50,20,11,net,63,1
cisiutnuwo.ddns.net,2,0,0,55,19,12,net,63,1
astuquewihdowi.ddns.net,2,0,0,62,23,10,net,63,1
atocfaestiarxo.ddns.net,2,0,0,62,23,10,net,63,1
habaututuwowut.ddns.net,2,0,0,62,23,10,net,63,1
quvouhmaurcu.ddns.net,2,0,0,58,21,11,net,63,1
ilmepuwu.ddns.net,2,0,0,50,17,13,net,63,1
umvoquqiakek.ddns.net,2,0,0,58,21,11,net,63,1
ahxoawgu.ddns.net,2,0,0,50,17,13,net,63,1
wiidodipewul.ddns.net,2,0,0,58,21,11,net,63,1
gaoparsuloi.ddns.net,2,0,0,64,20,11,net,63,1
ukaninefo.ddns.net,2,0,0,60,18,12,net,63,1
supoovbileleh.ddns.net,2,0,0,54,22,10,net,63,1
hoohseipi.ddns.net,2,0,0,60,18,12,net,63,1
haopqifeko.ddns.net,2,0,0,55,19,12,net,63,1
inogitroavvaw.ddns.net,2,0,0,54,22,10,net,63,1
wiugesewsiah.ddns.net,2,0,0,58,21,11,net,63,1
ubciemcul.ddns.net,2,0,0,45,18,12,net,63,1
sixiqoropo.ddns.net,2,0,0,55,19,12,net,63,1
kuinechivuonlo.ddns.net,1,0,0,62,23,10,net,63,1
wosaehduquxuafu.ddns.net,1,0,0,69,24,9,net,63,1
ococolxebe.ddns.net,1,0,0,55,19,12,net,63,1
reidacutt.ddns.net,2,0,0,45,18,12,net,63,1
nuvoxefefoqubun.ddns.net,2,0,0,57,24,9,net,63,1
igpemeuqhee.ddns.net,1,0,0,64,20,11,net,63,1
esuvodsuoci.ddns.net,1,0,0,64,20,11,net,63,1
epuhcieseqepfie.ddns.net,1,0,0,69,24,9,net,63,1
weofboebohotdiu.ddns.net,2,0,0,69,24,9,net,63,1
iraqumbodi.ddns.net,1,0,0,55,19,12,net,63,1
kuipgusiqiq.ddns.net,2,0,0,50,20,11,net,63,1
isboukteseor.ddns.net,2,0,0,58,21,11,net,63,1
ofciaxosar.ddns.net,2,0,0,55,19,12,net,63,1
gietkoiwkoixa.ddns.net,2,0,0,67,22,10,net,63,1
daawsikunuilc.ddns.net,1,0,0,54,22,10,net,63,1
utlamurameawu.ddns.net,2,0,0,67,22,10,net,63,1
elvoehqanoa.ddns.net,1,0,0,64,20,11,net,63,1
peelbagau.ddns.net,2,0,0,60,18,12,net,63,1
uqpiasifetetqon.ddns.net,1,0,0,57,24,9,net,63,1
buecuhigotsoaf.ddns.net,1,0,0,62,23,10,net,63,1
odpanisedula.ddns.net,2,0,0,58,21,11,net,63,1
wuhaafugig.ddns.net,2,0,0,55,19,12,net,63,1
hiecofepap.ddns.net,1,0,0,55,19,12,net,63,1
ramowoiqg.ddns.net,1,0,0,45,18,12,net,63,1
exaxciehipcio.ddns.net,2,0,0,67,22,10,net,63,1
okilkobirea.ddns.net,2,0,0,64,20,11,net,63,1
miundeex.ddns.net,2,0,0,50,17,13,net,63,1
evdaugmu.ddns.net,2,0,0,50,17,13,net,63,1
ekxoguekixefagh.ddns.net,2,0,0,57,24,9,net,63,1
cafamakuavefqo.ddns.net,1,0,0,62,23,10,net,63,1
urqexusaosoxob.ddns.net,2,0,0,62,23,10,net,63,1
nupueholqaupsi.ddns.net,2,0,0,62,23,10,net,63,1
uqkoifdoupkeek.ddns.net,1,0,0,62,23,10,net,63,1
moevasanpiwoni.ddns.net,2,0,0,62,23,10,net,63,1
sanuhupudoiduq.ddns.net,1,0,0,62,23,10,net,63,1
ciapurvoloiqv.ddns.net,1,0,0,54,22,10,net,63,1
coosqegub.ddns.net,2,0,0,45,18,12,net,63,1
fowuopuxhois.ddns.net,1,0,0,58,21,11,net,63,1
liovokaxaqorecu.ddns.net,2,0,0,69,24,9,net,63,1
xubalotireulpa.ddns.net,2,0,0,62,23,10,net,63,1
miumxehii.ddns.net,2,0,0,60,18,12,net,63,1
kufaovbuimxot.ddns.net,2,0,0,54,22,10,net,63,1
ukoxcoupv.ddns.net,2,0,0,45,18,12,net,63,1
cecaunical.ddns.net,2,0,0,55,19,12,net,63,1
noiqpuanol.ddns.net,2,0,0,55,19,12,net,63,1
doakducexoebakn.ddns.net,2,0,0,57,24,9,net,63,1
epunpaolul.ddns.net,2,0,0,55,19,12,net,63,1
boluoviteditum.ddns.net,2,0,0,62,23,10,net,63,1
ukbounapimusamx.ddns.net,2,0,0,57,24,9,net,63,1
leasfius.ddns.net,2,0,0,50,17,13,net,63,1
ikogrihaa.ddns.net,2,0,0,60,18,12,net,63,1
okneosbeero.ddns.net,2,0,0,64,20,11,net,63,1
gegaqausohco.ddns.net,2,0,0,58,21,11,net,63,1
pafodiixsuul.ddns.net,2,0,0,58,21,11,net,63,1
apacudilh.ddns.net,2,0,0,45,18,12,net,63,1
veegxiovul.ddns.net,2,0,0,55,19,12,net,63,1
usqaocnecouls.ddns.net,2,0,0,54,22,10,net,63,1
upesfeense.ddns.net,1,0,0,55,19,12,net,63,1
igtaciqe.ddns.net,1,0,0,50,17,13,net,63,1
soinmixufoon.ddns.net,2,0,0,58,21,11,net,63,1
iceterek.ddns.net,2,0,0,50,17,13,net,63,1
kooxvilauc.ddns.net,2,0,0,55,19,12,net,63,1
heomeluxeka.ddns.net,2,0,0,64,20,11,net,63,1
egetperiome.ddns.net,2,0,0,64,20,11,net,63,1
odephaem.ddns.net,2,0,0,50,17,13,net,63,1
ilfewuoxefha.ddns.net,2,0,0,58,21,11,net,63,1
icwouhsof.ddns.net,2,0,0,45,18,12,net,63,1
faevowoxa.ddns.net,2,0,0,60,18,12,net,63,1
ceivasleebt.ddns.net,2,0,0,50,20,11,net,63,1
mawenebuu.ddns.net,2,0,0,60,18,12,net,63,1
ewnuenabkomau.ddns.net,2,0,0,67,22,10,net,63,1
udqouhxebelelai.ddns.net,2,0,0,69,24,9,net,63,1
cealtifouq.ddns.net,2,0,0,55,19,12,net,63,1
qeoquvas.ddns.net,2,0,0,50,17,13,net,63,1
oxevloixeggair.ddns.net,2,0,0,62,23,10,net,63,1
osseheneasuvla.ddns.net,2,0,0,62,23,10,net,63,1
aqorgasuvoqig.ddns.net,2,0,0,54,22,10,net,63,1
qoodohgogotoco.ddns.net,2,0,0,62,23,10,net,63,1
imbohamu.ddns.net,2,0,0,50,17,13,net,63,1
ewqoiwirbu.ddns.net,2,0,0,55,19,12,net,63,1
noihupufiwgif.ddns.net,2,0,0,54,22,10,net,63,1
alatagixexor.ddns.net,2,0,0,58,21,11,net,63,1
doloedihqe.ddns.net,2,0,0,55,19,12,net,63,1
huaqarunudb.ddns.net,2,0,0,50,20,11,net,63,1
axnaivweesv.ddns.net,2,0,0,50,20,11,net,63,1
lukefago.ddns.net,2,0,0,50,17,13,net,63,1
almagoid.ddns.net,2,0,0,50,17,13,net,63,1
ihakolqaudihu.ddns.net,2,0,0,67,22,10,net,63,1
amiwlaupipwihi.ddns.net,2,0,0,62,23,10,net,63,1
xinahiog.ddns.net,2,0,0,50,17,13,net,63,1
ulamebiw.ddns.net,2,0,0,50,17,13,net,63,1
mavaurxahuukaw.ddns.net,2,0,0,62,23,10,net,63,1
roelxemepewuehk.ddns.net,2,0,0,57,24,9,net,63,1
duepitmeh.ddns.net,2,0,0,45,18,12,net,63,1
upbeseqa.ddns.net,2,0,0,50,17,13,net,63,1
enokteqo.ddns.net,2,0,0,50,17,13,net,63,1
atrobuon.ddns.net,2,0,0,50,17,13,net,63,1
igavoxfodaisi.ddns.net,2,0,0,67,22,10,net,63,1
faudqutuimuwrao.ddns.net,2,0,0,69,24,9,net,63,1
nueqabheraa.ddns.net,2,0,0,64,20,11,net,63,1
wasiufavn.ddns.net,2,0,0,45,18,12,net,63,1
