domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
arfitfqw.com,0,0,0,38,12,9,com,65,1
yusgosqe.com,0,0,0,57,12,9,com,65,1
qppudpqr.com,0,0,0,22,12,9,com,65,1
adifwiqt.com,0,0,0,57,12,9,com,65,1
fraqraou.com,0,0,0,83,12,9,com,65,1
suyquywd.com,0,0,0,38,12,9,com,65,1
ppqqpqpr.com,0,0,0,10,12,9,com,65,1
idaqdaep.com,0,0,0,83,12,9,com,65,1
wrifgiys.com,0,0,0,38,12,9,com,65,1
eugsfgai.com,0,0,0,83,12,9,com,65,1
rpupduqr.com,0,0,0,38,12,9,com,65,1
tdfisfyg.com,0,0,0,22,12,9,com,65,1
ertgftuo.com,0,0,0,57,12,9,com,65,1
tuofsodw.com,0,0,0,57,12,9,com,65,1
upddpdrp.com,0,0,0,22,12,9,com,65,1
odwsiwpe.com,0,0,0,57,12,9,com,65,1
irwsowrf.com,0,0,0,38,12,9,com,65,1
gueiweus.com,0,0,0,120,12,9,com,65,1
uprrprpp.com,2,0,0,22,12,9,com,65,1
fdtgetdi.com,0,0,0,38,12,9,com,65,1
orgtigde.com,0,0,0,57,12,9,com,65,1
wufogfpt.com,0,0,0,38,12,9,com,65,1
ppdduduu.com,1,0,0,57,12,9,com,65,1
edswfsro.com,0,0,0,38,12,9,com,65,1
frswespi.com,0,0,0,38,12,9,com,65,1
suietirg.com,0,0,0,83,12,9,com,65,1
pprrurdu.com,0,0,0,38,12,9,com,65,1
idgtoguf.com,0,0,0,57,12,9,com,65,1
groewoat.com,0,0,0,83,12,9,com,65,1
fuwtewyo.com,0,0,0,57,12,9,com,65,1
dppurpqd.com,0,0,0,22,12,9,com,65,1
sdeoteaw.com,0,0,0,83,12,9,com,65,1
drygdyip.com,0,0,0,22,12,9,com,65,1
puafpagr.com,0,0,0,57,12,9,com,65,1
upqduqud.com,0,0,0,57,12,9,com,65,1
rdysryfu.com,0,0,0,22,12,9,com,65,1
srepseqg.com,0,0,0,38,12,9,com,65,1
iutritqf.com,0,0,0,57,12,9,com,65,1
rpudruqd.com,0,0,0,38,12,9,com,65,1
gdougoqs.com,0,0,0,57,12,9,com,65,1
urqtuqfr.com,0,0,0,38,12,9,com,65,1
duqodqsu.com,0,0,0,57,12,9,com,65,1
rpqdrqpp.com,0,0,0,10,12,9,com,65,1
pdqwpqid.com,0,0,0,22,12,9,com,65,1
yrdiydgq.com,0,0,0,22,12,9,com,65,1
aupgapfq.com,0,0,0,57,12,9,com,65,1
qpuuqudq.com,0,0,0,57,12,9,com,65,1
ydrfyrsq.com,0,0,0,10,12,9,com,65,1
qrpeqpsy.com,0,0,0,22,12,9,com,65,1
qurtqria.com,0,0,0,57,12,9,com,65,1
qpduqdrq.com,0,0,0,22,12,9,com,65,1
qduoqugy.com,0,0,0,57,12,9,com,65,1
grufquta.com,0,0,0,57,12,9,com,65,1
fudsqdoy.com,0,0,0,38,12,9,com,65,1
dprpqrdq.com,0,0,0,10,12,9,com,65,1
sdpiqpwa.com,0,0,0,38,12,9,com,65,1
srroarwq.com,0,0,0,38,12,9,com,65,1
iuuwyueq.com,0,0,0,120,12,9,com,65,1
rpppqprq.com,0,0,0,10,12,9,com,65,1
gddeadtq.com,0,0,0,38,12,9,com,65,1
orqspqed.com,0,0,0,38,12,9,com,65,1
wuqirqtp.com,0,0,0,38,12,9,com,65,1
ppqrdquu.com,0,0,0,38,12,9,com,65,1
edqguqor.com,0,0,0,57,12,9,com,65,1
yrfutfqw.com,0,0,0,22,12,9,com,65,1
ausdosqe.com,0,0,0,83,12,9,com,65,1
qpprdpqr.com,0,0,0,10,12,9,com,65,1
ydipwiqt.com,0,0,0,38,12,9,com,65,1
erawraou.com,0,0,0,120,12,9,com,65,1
tuyeuywd.com,0,0,0,57,12,9,com,65,1
upqrpqpr.com,0,0,0,22,12,9,com,65,1
odatdaep.com,0,0,0,83,12,9,com,65,1
dridgiys.com,0,0,0,38,12,9,com,65,1
pugpfgai.com,0,0,0,57,12,9,com,65,1
upuuduqr.com,0,0,0,83,12,9,com,65,1
rdfrsfyg.com,0,0,0,10,12,9,com,65,1
qrtqftuo.com,0,0,0,38,12,9,com,65,1
quoqsodw.com,0,0,0,57,12,9,com,65,1
qpdqpdrp.com,0,0,0,10,12,9,com,65,1
qdwqiwpe.com,0,0,0,38,12,9,com,65,1
arwaowrf.com,0,0,0,57,12,9,com,65,1
yueyweus.com,0,0,0,83,12,9,com,65,1
qprqprpp.com,0,0,0,10,12,9,com,65,1
adtaetdi.com,0,0,0,83,12,9,com,65,1
