domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
sxilgdils.com,2,1,0,33,13,8,com,66,1
mbfolblryjv.net,2,0,0,17,15,7,net,66,1
mtebwfypg.org,2,0,0,20,13,8,org,66,1
uxifijkswp.info,2,0,0,56,15,7,info,66,1
gzahihgp.com,2,0,0,38,12,9,com,66,1
jtqduyghes.net,2,0,0,30,14,8,net,66,1
enshshg.org,2,0,0,25,11,10,org,66,1
nswmujyaeio.info,2,0,0,88,16,7,info,66,1
afspypmvmh.com,1,0,0,18,14,8,com,66,1
dhgtnzkhark.net,1,0,0,17,15,7,net,66,1
mnsretq.org,1,0,0,25,11,10,org,66,1
xgnlsdnmhj.info,2,1,0,17,15,7,info,66,1
sfexofoh.com,1,0,0,57,12,9,com,66,1
giwstfhdb.net,1,0,0,20,13,8,net,66,1
overafazg.org,1,0,0,71,13,8,org,66,1
rvicrqbgipy.info,2,0,0,36,16,7,info,66,1
ejazapox.com,1,0,0,83,12,9,com,66,1
uqmkuzo.net,1,0,0,67,11,10,net,66,1
gfsxixa.org,1,0,0,43,11,10,org,66,1
tbdhjap.info,1,0,0,38,12,9,info,66,1
qlydqvg.com,1,0,0,11,11,10,com,66,1
drohicbetj.net,1,0,0,44,14,8,net,66,1
uxcdqpa.org,1,0,0,43,11,10,org,66,1
kvdpapczbnk.info,2,0,0,25,16,7,info,66,1
wnmjwhed.com,1,0,0,22,12,9,com,66,1
vgecymea.net,1,0,0,57,12,9,net,66,1
uxqzexa.org,1,0,0,67,11,10,org,66,1
jbjuohx.info,1,0,0,57,12,9,info,66,1
wjqbwbwx.com,1,0,0,10,12,9,com,66,1
xbmvgfgt.net,1,0,0,10,12,9,net,66,1
gnkduluz.org,1,0,0,38,12,9,org,66,1
gpekepgzo.info,2,0,0,62,14,8,info,66,1
uxitijih.com,2,0,0,83,12,9,com,66,1
wznxqzqjis.net,2,0,0,18,14,8,net,66,1
whuzujat.org,2,0,0,57,12,9,org,66,1
gownvjwm.info,2,0,0,33,13,8,info,66,1
kpgrape.com,2,0,0,43,11,10,com,66,1
nelmkgcicpk.net,2,0,0,27,15,7,net,66,1
czihevypa.org,2,0,0,50,13,8,org,66,1
xpxnymcisj.info,2,0,0,27,15,7,info,66,1
grgpylivef.com,2,0,0,30,14,8,com,66,1
kwbvqvkiugk.net,2,0,0,27,15,7,net,66,1
ytexcnmh.org,2,0,0,22,12,9,org,66,1
yjhdlnz.info,2,0,0,22,12,9,info,66,1
ofijebcpwda.com,2,0,0,56,15,7,com,66,1
bamhklghyd.net,2,0,0,18,14,8,net,66,1
ojujozu.org,2,0,0,100,11,10,org,66,1
dtalhtdk.info,2,0,0,33,13,8,info,66,1
clgbmtwdkna.com,2,0,0,17,15,7,com,66,1
ynegezjkuie.net,2,0,0,75,15,7,net,66,1
kncfylmdw.org,2,0,0,9,13,8,org,66,1
ajduboakyg.info,2,0,0,75,15,7,info,66,1
mrgjuva.com,2,0,0,43,11,10,com,66,1
upjaupudk.net,2,0,0,71,13,8,net,66,1
obwjmpudi.org,2,0,0,50,13,8,org,66,1
dichcebx.info,2,0,0,50,13,8,info,66,1
cxihcts.com,2,0,0,25,11,10,com,66,1
izfmfgwhy.net,2,0,0,20,13,8,net,66,1
ipqfode.org,2,0,0,67,11,10,org,66,1
kgdwcrbvnv.info,2,0,0,17,15,7,info,66,1
yxwxmhyz.com,2,0,0,10,12,9,com,66,1
wzcedrge.net,2,0,0,38,12,9,net,66,1
axkpuza.org,2,0,0,67,11,10,org,66,1
wvuthdhvu.info,2,0,0,44,14,8,info,66,1
cfqxofg.com,2,0,0,25,11,10,com,66,1
cyamdng.net,2,0,0,25,11,10,net,66,1
ubadkzozej.org,2,0,0,62,14,8,org,66,1
otbtqpjn.info,2,0,0,33,13,8,info,66,1
otgngtszaj.com,2,0,0,30,14,8,com,66,1
wpvxkakoyr.net,2,0,0,30,14,8,net,66,1
irgrinsp.org,2,0,0,38,12,9,org,66,1
sgxaxrbajib.info,2,0,0,50,16,7,info,66,1
olorergrwbm.com,2,0,0,40,15,7,com,66,1
ryhclxgshz.net,2,0,0,8,14,8,net,66,1
anupkvqdg.org,2,0,0,33,13,8,org,66,1
vahqezo.info,2,0,0,83,12,9,info,66,1
atmjylybqb.com,2,0,0,18,14,8,com,66,1
fyuifhb.net,2,0,0,43,11,10,net,66,1
ctczczglkv.org,2,0,0,8,14,8,org,66,1
utxvwvun.info,2,0,0,50,13,8,info,66,1
sdqrofgnoxo.com,2,0,0,40,15,7,com,66,1
ovhiatg.net,2,0,0,67,11,10,net,66,1
qlcvudwvirm.org,2,0,0,27,15,7,org,66,1
ybemwdjm.info,2,0,0,33,13,8,info,66,1
kfklwbklwho.com,2,0,0,17,15,7,com,66,1
qgpeugpshc.net,2,0,0,30,14,8,net,66,1
ydsxmdgb.org,2,0,0,10,12,9,org,66,1
gzjzniawjr.info,2,0,0,40,15,7,info,66,1
wjarmzghkrc.com,2,0,0,17,15,7,com,66,1
exfqoyhxi.net,2,0,0,50,13,8,net,66,1
czyhafgdi.org,2,0,0,33,13,8,org,66,1
tklivfvn.info,2,0,0,33,13,8,info,66,1
ixirgpqh.com,2,0,0,38,12,9,com,66,1
rjctlglk.net,2,0,0,10,12,9,net,66,1
apityrgpcx.org,2,0,0,30,14,8,org,66,1
mtdadzrquxu.info,2,0,0,50,16,7,info,66,1
czabgnahmju.com,2,0,0,40,15,7,com,66,1
uzrpbxyj.net,2,0,0,22,12,9,net,66,1
evkrqfqfyp.org,2,0,0,18,14,8,org,66,1
lgrosvmzxjy.info,2,0,0,25,16,7,info,66,1
elgrwtshql.com,2,0,0,18,14,8,com,66,1
olhzjuoqjbj.net,2,0,0,40,15,7,net,66,1
ingncvgj.org,2,0,0,22,12,9,org,66,1
kdfuedzheqx.info,2,0,0,50,16,7,info,66,1
azepwrazq.com,2,0,0,50,13,8,com,66,1
gdqxfejlcij.net,2,0,0,27,15,7,net,66,1
ovotgdavgl.org,2,0,0,44,14,8,org,66,1
yvtiaposhmd.info,2,0,0,50,16,7,info,66,1
ibsbknghs.com,2,0,0,20,13,8,com,66,1
wzsvhrpeqbc.net,2,0,0,17,15,7,net,66,1
grobkding.org,2,0,0,33,13,8,org,66,1
posoamgew.info,2,0,0,86,14,8,info,66,1
gdsjuxm.com,2,0,0,25,11,10,com,66,1
fhxkbabgmld.net,2,0,0,17,15,7,net,66,1
khwnklopibo.org,2,0,0,40,15,7,org,66,1
jzxktfj.info,2,0,0,22,12,9,info,66,1
ifinmbcfij.com,2,0,0,44,14,8,com,66,1
bireoga.net,2,0,0,100,11,10,net,66,1
gnqfqfcpwb.org,2,0,0,8,14,8,org,66,1
geidsvxfcn.info,2,0,0,40,15,7,info,66,1
upmjafitoti.com,2,0,0,75,15,7,com,66,1
yftvizrqm.net,2,0,0,20,13,8,net,66,1
uvufgngfqjo.org,2,0,0,40,15,7,org,66,1
xfojxeselhs.info,2,0,0,50,16,7,info,66,1
wjubung.com,2,0,0,43,11,10,com,66,1
orhgbsacl.net,2,0,0,33,13,8,net,66,1
knilolgf.org,2,0,0,38,12,9,org,66,1
wdlrmrv.info,2,0,0,22,12,9,info,66,1
yzyhcfmpy.com,2,0,0,9,13,8,com,66,1
rvcewvr.net,2,0,0,25,11,10,net,66,1
ebqnsjw.org,2,0,0,25,11,10,org,66,1
toezezwrn.info,2,0,0,62,14,8,info,66,1
yxupyjwvml.com,2,0,0,18,14,8,com,66,1
uepqufrlph.net,2,0,0,44,14,8,net,66,1
sxcnkdihyf.org,2,0,0,18,14,8,org,66,1
uzulnehv.info,2,0,0,71,13,8,info,66,1
efupolwv.com,1,0,0,57,12,9,com,66,1
jxefmgv.net,1,0,0,25,11,10,net,66,1
ulafmhyda.org,1,0,0,50,13,8,org,66,1
qdqchfqb.info,1,0,0,20,13,8,info,66,1
wfsfkfcr.com,1,0,0,10,12,9,com,66,1
yibldumiskf.net,2,0,0,40,15,7,net,66,1
szclkpmd.org,2,0,0,10,12,9,org,66,1
hklvhmlv.info,1,0,0,20,13,8,info,66,1
ghopshsxc.com,2,0,0,20,13,8,com,66,1
ymagonf.net,1,0,0,43,11,10,net,66,1
yfwtwfg.org,1,0,0,11,11,10,org,66,1
lbvshwgsibo.info,1,0,0,36,16,7,info,66,1
sbgvkdg.com,1,0,0,11,11,10,com,66,1
ldctfdeisb.net,1,0,0,30,14,8,net,66,1
ivqvojkpm.org,2,0,0,33,13,8,org,66,1
mibuxhjwrt.info,1,0,0,40,15,7,info,66,1
oxqhwxmniv.com,1,0,0,30,14,8,com,66,1
vqiawpb.net,2,0,0,43,11,10,net,66,1
elqdmtovev.org,1,0,0,44,14,8,org,66,1
hkhdqkfki.info,1,0,0,30,14,8,info,66,1
uhixkhqlkl.com,1,0,0,30,14,8,com,66,1
afoszcbrz.net,1,0,0,33,13,8,net,66,1
ursjkrovit.org,1,0,0,44,14,8,org,66,1
ziruxlyjnjk.info,1,0,0,36,16,7,info,66,1
alchezop.com,1,0,0,57,12,9,com,66,1
tafdjptates.net,1,0,0,40,15,7,net,66,1
upcrgna.org,1,0,0,43,11,10,org,66,1
sipuecmzxk.info,2,0,0,56,15,7,info,66,1
grgpydo.com,1,0,0,25,11,10,com,66,1
pehbysgvo.net,1,0,0,33,13,8,net,66,1
srojehyl.org,1,0,0,38,12,9,org,66,1
gvaezjgq.info,1,0,0,50,13,8,info,66,1
ezqpqtude.com,1,0,0,50,13,8,com,66,1
crpejdbfqf.net,2,0,0,18,14,8,net,66,1
grunetejib.org,2,0,0,62,14,8,org,66,1
fnosohorci.info,1,0,0,75,15,7,info,66,1
ylgrgle.com,1,0,0,25,11,10,com,66,1
ehcaogkhj.net,1,0,0,50,13,8,net,66,1
ihgrefqdi.org,1,0,0,50,13,8,org,66,1
hezbfbkj.info,1,0,0,33,13,8,info,66,1
ixktojq.com,1,0,0,43,11,10,com,66,1
wakjtjsemgk.net,1,0,0,27,15,7,net,66,1
kvylonsdip.org,1,0,0,30,14,8,org,66,1
waskmegxmav.info,1,0,0,50,16,7,info,66,1
wjoxedorylk.com,1,0,0,40,15,7,com,66,1
tnyhjofc.net,1,0,0,22,12,9,net,66,1
stkpclk.org,1,0,0,11,11,10,org,66,1
jwhqhwrq.info,1,0,0,20,13,8,info,66,1
mjmlivmvulk.com,1,0,0,27,15,7,com,66,1
ahskjnrhueg.net,1,0,0,40,15,7,net,66,1
qpedefirs.org,1,0,0,50,13,8,org,66,1
qshiealclcg.info,1,0,0,50,16,7,info,66,1
azslmlknghk.com,1,0,0,17,15,7,com,66,1
heouvcgkhuf.net,1,0,0,56,15,7,net,66,1
qvohmnk.org,1,0,0,25,11,10,org,66,1
wusvepoura.info,1,0,0,100,15,7,info,66,1
mnmzenkjudo.com,1,0,0,40,15,7,com,66,1
dxonqkuc.net,1,0,0,38,12,9,net,66,1
avobkpghyz.org,1,0,0,30,14,8,org,66,1
rqbdlir.info,1,0,0,38,12,9,info,66,1
uberaxsdw.com,1,0,0,50,13,8,com,66,1
blcoefty.net,1,0,0,38,12,9,net,66,1
gpwxule.org,1,0,0,43,11,10,org,66,1
xspfqmwbdc.info,2,0,0,17,15,7,info,66,1
