domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
kryrczixg.com,1,0,0,20,13,8,com,67,1
gpytshehy.net,1,0,0,20,13,8,net,67,1
cpsvovoxq.org,1,0,0,33,13,8,org,67,1
mbuagfcko.info,1,0,0,62,14,8,info,67,1
qdmdetmno.com,2,0,0,33,13,8,com,67,1
btgsxpore.net,1,0,0,33,13,8,net,67,1
slsdgxczk.org,1,0,0,9,13,8,org,67,1
mabryhyhq.info,1,0,0,30,14,8,info,67,1
spipqnkti.com,2,0,0,33,13,8,com,67,1
mpcqekmgf.net,0,0,0,20,13,8,net,67,1
knkjifcdi.org,1,0,0,33,13,8,org,67,1
xeqyrhgfx.info,1,0,0,30,14,8,info,67,1
idqdsfspa.com,1,0,0,33,13,8,com,67,1
gihtwmhmw.net,1,0,0,20,13,8,net,67,1
sxqnufwhi.org,1,0,0,33,13,8,org,67,1
qxjgutrdj.info,1,1,0,30,14,8,info,67,1
ydkduxyhu.com,1,0,0,33,13,8,com,67,1
ryijmhmjr.net,1,0,0,20,13,8,net,67,1
wrqzuhirg.org,1,0,0,33,13,8,org,67,1
kbtmvpgar.info,1,0,0,30,14,8,info,67,1
ifytwbkro.com,2,0,0,33,13,8,com,67,1
nvjlhabke.net,1,0,0,33,13,8,net,67,1
klopcxcpi.org,1,0,0,33,13,8,org,67,1
adsbkeivi.info,1,0,0,86,14,8,info,67,1
atwdgdohe.com,2,0,0,50,13,8,com,67,1
wclfvxupb.net,1,0,0,20,13,8,net,67,1
ixgfgbmty.org,1,0,0,20,13,8,org,67,1
brecgkgdl.info,1,0,0,30,14,8,info,67,1
khybohgnc.com,2,0,0,20,13,8,com,67,1
kzkqhfysi.net,1,0,0,20,13,8,net,67,1
ulwdclkzi.org,0,0,0,33,13,8,org,67,1
libztmfgb.info,1,0,0,30,14,8,info,67,1
wvedqxqbs.com,1,0,0,20,13,8,com,67,1
idvbhbirq.net,1,0,0,33,13,8,net,67,1
mjezelovg.org,1,0,0,50,13,8,org,67,1
doyocmnoc.info,2,0,0,62,14,8,info,67,1
mzuhqjcdg.com,1,0,0,20,13,8,com,67,1
hodgeuefv.net,1,0,0,71,13,8,net,67,1
qbihifydi.org,1,0,0,50,13,8,org,67,1
kwiwpshgr.info,1,0,0,30,14,8,info,67,1
ilmdonwdi.com,1,0,0,50,13,8,com,67,1
lqicefbwe.net,1,0,0,50,13,8,net,67,1
odmnmpmti.org,1,0,0,33,13,8,org,67,1
tgrgcnjdp.info,1,0,0,18,14,8,info,67,1
otgbuhkfw.com,1,0,0,33,13,8,com,67,1
muwijzfgw.net,1,0,0,33,13,8,net,67,1
ebulolgje.org,1,0,0,71,13,8,org,67,1
qkikwowhc.info,1,0,0,44,14,8,info,67,1
ajalibsts.com,1,0,0,50,13,8,com,67,1
dabkepovh.net,1,0,0,50,13,8,net,67,1
qjcdcxqxy.org,1,0,0,9,13,8,org,67,1
ocwqytpjs.info,1,0,0,30,14,8,info,67,1
exepizqxy.com,1,0,0,50,13,8,com,67,1
wgqzwflni.net,1,0,0,20,13,8,net,67,1
clwtexgfi.org,1,0,0,33,13,8,org,67,1
earfefkah.info,1,0,0,86,14,8,info,67,1
gzqpohyny.com,1,0,0,20,13,8,com,67,1
xanoxiwpm.net,1,0,0,50,13,8,net,67,1
mrsfcbufy.org,1,0,0,20,13,8,org,67,1
zruezhgdp.info,1,0,0,44,14,8,info,67,1
urqbijqfi.com,1,0,0,50,13,8,com,67,1
fatefarst.net,1,0,0,50,13,8,net,67,1
gbopclqli.org,1,0,0,33,13,8,org,67,1
yotlbohlb.info,1,0,0,44,14,8,info,67,1
cpwlalgvi.com,1,0,0,33,13,8,com,67,1
opyxqejsr.net,1,0,0,33,13,8,net,67,1
qdodmfwzm.org,2,1,0,20,13,8,org,67,1
qntcuyqmz.info,0,0,0,30,14,8,info,67,1
wxktshghy.com,1,0,0,9,13,8,com,67,1
anqmwkqza.net,2,0,0,33,13,8,net,67,1
axoxytcvi.org,1,0,0,50,13,8,org,67,1
cnczhkjdp.info,1,0,0,18,14,8,info,67,1
wvinsxqvq.com,2,0,0,20,13,8,com,67,1
hndaslgqt.net,1,0,0,20,13,8,net,67,1
mnankrmbe.org,1,0,0,33,13,8,org,67,1
hqeajtswh.info,1,0,0,44,14,8,info,67,1
ivcbyrwbq.com,1,0,0,20,13,8,com,67,1
koidedqlc.net,2,0,0,50,13,8,net,67,1
cninevgjy.org,1,0,0,33,13,8,org,67,1
pquxjcrzi.info,1,0,0,44,14,8,info,67,1
sxofevuvw.com,1,0,0,50,13,8,com,67,1
uepnyfini.net,1,0,0,71,13,8,net,67,1
kdqrelghm.org,0,0,0,20,13,8,org,67,1
wpytebhgj.info,0,0,0,30,14,8,info,67,1
yleruhqbk.com,0,0,0,33,13,8,com,67,1
lugaqjscq.net,1,0,0,33,13,8,net,67,1
gxmpspwlo.org,1,0,0,20,13,8,org,67,1
qednbpdkw.info,1,0,0,30,14,8,info,67,1
qzarixmji.com,1,0,0,50,13,8,com,67,1
ymdxubpmp.net,1,0,0,20,13,8,net,67,1
kvkdalgne.org,1,0,0,33,13,8,org,67,1
jsdydrjhd.info,1,0,0,18,14,8,info,67,1
mbizgbuxc.com,1,0,0,33,13,8,com,67,1
nmplsdkuy.net,1,0,0,20,13,8,net,67,1
sfslefwri.org,1,0,0,33,13,8,org,67,1
nzlmlkgxq.info,1,1,0,18,14,8,info,67,1
abersfeji.com,1,0,0,71,13,8,com,67,1
mcsploudu.net,1,0,0,50,13,8,net,67,1
shczmbens.org,2,0,0,20,13,8,org,67,1
djphphwhq.info,0,0,0,18,14,8,info,67,1
wnqzmpgxo.com,1,0,0,20,13,8,com,67,1
gdodwfpcn.net,1,0,0,20,13,8,net,67,1
sladirgpc.org,1,0,0,33,13,8,org,67,1
hvadanoyf.info,1,0,0,62,14,8,info,67,1
krazsvgzk.com,1,0,0,20,13,8,com,67,1
xmomzfohi.net,1,0,0,50,13,8,net,67,1
mfkvsjqbq.org,1,0,0,9,13,8,org,67,1
shauapxvi.info,1,0,0,86,14,8,info,67,1
khwxgxkry.com,1,0,0,9,13,8,com,67,1
hxuxnkgai.net,1,0,0,50,13,8,net,67,1
qdyrulsnu.org,1,0,0,33,13,8,org,67,1
nskpefvau.info,1,0,0,62,14,8,info,67,1
ozapkfibw.com,1,0,0,50,13,8,com,67,1
adajsxyms.net,1,0,0,33,13,8,net,67,1
cvgtwhgfe.org,1,0,0,20,13,8,org,67,1
dtlgpxbeq.info,2,0,0,30,14,8,info,67,1
ehkbspazs.com,1,0,0,33,13,8,com,67,1
olouyxfxq.net,1,0,0,50,13,8,net,67,1
whsjwxeri.org,1,0,0,33,13,8,org,67,1
jrekutylf.info,1,0,0,44,14,8,info,67,1
upavuxiho.com,1,0,0,100,13,8,com,67,1
rxfzqpbhf.net,1,0,0,9,13,8,net,67,1
uzmdujsxs.org,1,0,0,33,13,8,org,67,1
mazveazat.info,1,0,0,86,14,8,info,67,1
mbyzmxghq.com,1,0,0,9,13,8,com,67,1
wzutyzwxf.net,1,0,0,20,13,8,net,67,1
mpgnmzopi.org,1,0,0,33,13,8,org,67,1
vgqrsibrv.info,1,0,0,30,14,8,info,67,1
kjufaxyli.com,1,0,0,50,13,8,com,67,1
ondirlhlm.net,1,0,0,33,13,8,net,67,1
enwtctsls.org,0,0,0,20,13,8,org,67,1
pnbgohmqk.info,2,0,0,30,14,8,info,67,1
cnsnwxcbi.com,1,0,0,20,13,8,com,67,1
kmzcbniwk.net,2,0,0,20,13,8,net,67,1
gzarelyvk.org,1,0,0,33,13,8,org,67,1
jsbmxelex.info,1,0,0,44,14,8,info,67,1
mbmbgretw.com,1,0,0,20,13,8,com,67,1
fgjchetiw.net,0,0,0,33,13,8,net,67,1
cdibonkto.org,1,0,0,50,13,8,org,67,1
apbdedlka.info,1,0,0,62,14,8,info,67,1
yrqrefgri.com,1,0,0,33,13,8,com,67,1
hjgtmdgam.net,1,0,0,20,13,8,net,67,1
orgxmfehc.org,1,0,0,33,13,8,org,67,1
ehmrjidhs.info,1,0,0,44,14,8,info,67,1
itobgfcho.com,1,0,0,50,13,8,com,67,1
ubrvaogvn.net,1,0,0,50,13,8,net,67,1
szubkfwze.org,1,0,0,33,13,8,org,67,1
qzebvwawd.info,1,0,0,44,14,8,info,67,1
algncdefi.com,1,0,0,50,13,8,com,67,1
