domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
ortscdtpxmof.click,2,0,0,21,18,6,click,68,1
ortscdtpxmof.eu,2,1,0,40,15,7,eu,68,1
ortscdtpxmof.gen.in,2,1,0,31,19,12,in,68,1
ortscdtpxmof.bid,2,1,0,25,16,7,bid,68,1
fqelkidudcwb.click,2,1,0,31,18,6,click,68,1
fqelkidudcwb.eu,2,1,0,56,15,7,eu,68,1
fqelkidudcwb.gen.in,2,1,0,42,19,12,in,68,1
fqelkidudcwb.bid,2,1,0,36,16,7,bid,68,1
llnwryfjnqyx.click,2,1,0,6,18,6,click,68,1
llnwryfjnqyx.eu,2,1,0,17,15,7,eu,68,1
llnwryfjnqyx.gen.in,2,1,0,13,19,12,in,68,1
llnwryfjnqyx.bid,2,1,0,7,16,7,bid,68,1
enwhhdvfolsn.click,2,1,0,21,18,6,click,68,1
enwhhdvfolsn.eu,2,1,0,40,15,7,eu,68,1
sjrgnjyphopf.pw,2,1,0,8,15,7,pw,68,1
enwhhdvfolsn.gen.in,1,1,0,31,19,12,in,68,1
enwhhdvfolsn.bid,2,1,0,25,16,7,bid,68,1
hquuyplmjbjw.click,2,1,0,21,18,6,click,68,1
hquuyplmjbjw.eu,2,1,0,40,15,7,eu,68,1
hquuyplmjbjw.gen.in,1,1,0,31,19,12,in,68,1
hquuyplmjbjw.bid,2,1,0,25,16,7,bid,68,1
ndstcbhkvjkh.click,2,1,0,6,18,6,click,68,1
ndstcbhkvjkh.eu,2,1,0,17,15,7,eu,68,1
ndstcbhkvjkh.gen.in,2,1,0,13,19,12,in,68,1
ndstcbhkvjkh.bid,2,1,0,7,16,7,bid,68,1
iqfeershiybb.click,2,1,0,42,18,6,click,68,1
iqfeershiybb.eu,2,1,0,75,15,7,eu,68,1
iqfeershiybb.gen.in,1,1,0,55,19,12,in,68,1
iqfeershiybb.bid,2,1,0,50,16,7,bid,68,1
okgskwwvunml.click,2,0,0,21,18,6,click,68,1
