domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
doidoia.biz,0,0,0,150,11,10,biz,69,1
doidoia.ch,0,0,0,125,10,11,ch,69,1
doidoib.biz,0,0,0,100,11,10,biz,69,1
doidoib.ch,0,0,0,80,10,11,ch,69,1
doidoic.biz,0,0,0,100,11,10,biz,69,1
doidoic.ch,0,0,0,80,10,11,ch,69,1
doidoid.biz,0,0,0,100,11,10,biz,69,1
doidoid.ch,0,0,0,80,10,11,ch,69,1
doidoie.biz,0,0,0,150,11,10,biz,69,1
doidoie.ch,0,0,0,125,10,11,ch,69,1
doidoif.biz,0,0,0,100,11,10,biz,69,1
doidoif.ch,0,0,0,80,10,11,ch,69,1
doidoig.biz,0,0,0,100,11,10,biz,69,1
doidoig.ch,0,0,0,80,10,11,ch,69,1
doidoih.biz,0,0,0,100,11,10,biz,69,1
doidoih.ch,0,0,0,80,10,11,ch,69,1
doidoii.biz,0,0,0,150,11,10,biz,69,1
doidoii.ch,0,0,0,125,10,11,ch,69,1
doidoij.biz,0,0,0,100,11,10,biz,69,1
doidoij.ch,0,0,0,80,10,11,ch,69,1
dojdoja.biz,0,0,0,67,11,10,biz,69,1
dojdoja.ch,0,0,0,50,10,11,ch,69,1
dojdojb.biz,0,0,0,43,11,10,biz,69,1
dojdojb.ch,0,0,0,29,10,11,ch,69,1
dojdojc.biz,0,0,0,43,11,10,biz,69,1
dojdojc.ch,0,0,0,29,10,11,ch,69,1
dojdojd.biz,0,0,0,43,11,10,biz,69,1
dojdojd.ch,0,0,0,29,10,11,ch,69,1
dojdoje.biz,0,0,0,67,11,10,biz,69,1
dojdoje.ch,0,0,0,50,10,11,ch,69,1
dojdojf.biz,0,0,0,43,11,10,biz,69,1
dojdojf.ch,0,0,0,29,10,11,ch,69,1
dojdojg.biz,0,0,0,43,11,10,biz,69,1
dojdojg.ch,0,0,0,29,10,11,ch,69,1
dojdojh.biz,0,0,0,43,11,10,biz,69,1
dojdojh.ch,0,0,0,29,10,11,ch,69,1
dojdoji.biz,0,0,0,67,11,10,biz,69,1
dojdoji.ch,0,0,0,50,10,11,ch,69,1
dojdojj.biz,0,0,0,43,11,10,biz,69,1
dojdojj.ch,0,0,0,29,10,11,ch,69,1
dokdoka.biz,0,0,0,67,11,10,biz,69,1
dokdoka.ch,0,0,0,50,10,11,ch,69,1
dokdokb.biz,0,0,0,43,11,10,biz,69,1
dokdokb.ch,0,0,0,29,10,11,ch,69,1
dokdokc.biz,0,0,0,43,11,10,biz,69,1
dokdokc.ch,0,0,0,29,10,11,ch,69,1
dokdokd.biz,0,0,0,43,11,10,biz,69,1
dokdokd.ch,0,0,0,29,10,11,ch,69,1
dokdoke.biz,0,0,0,67,11,10,biz,69,1
dokdoke.ch,0,0,0,50,10,11,ch,69,1
dokdokf.biz,0,0,0,43,11,10,biz,69,1
dokdokf.ch,0,0,0,29,10,11,ch,69,1
dokdokg.biz,0,0,0,43,11,10,biz,69,1
dokdokg.ch,0,0,0,29,10,11,ch,69,1
dokdokh.biz,0,0,0,43,11,10,biz,69,1
dokdokh.ch,0,0,0,29,10,11,ch,69,1
dokdoki.biz,0,0,0,67,11,10,biz,69,1
dokdoki.ch,0,0,0,50,10,11,ch,69,1
dokdokj.biz,0,0,0,43,11,10,biz,69,1
dokdokj.ch,0,0,0,29,10,11,ch,69,1
doldola.biz,0,0,0,67,11,10,biz,69,1
doldola.ch,0,0,0,50,10,11,ch,69,1
doldolb.biz,0,0,0,43,11,10,biz,69,1
doldolb.ch,0,0,0,29,10,11,ch,69,1
doldolc.biz,0,0,0,43,11,10,biz,69,1
doldolc.ch,0,0,0,29,10,11,ch,69,1
doldold.biz,0,0,0,43,11,10,biz,69,1
doldold.ch,0,0,0,29,10,11,ch,69,1
doldole.biz,0,0,0,67,11,10,biz,69,1
doldole.ch,0,0,0,50,10,11,ch,69,1
doldolf.biz,0,0,0,43,11,10,biz,69,1
doldolf.ch,0,0,0,29,10,11,ch,69,1
doldolg.biz,0,0,0,43,11,10,biz,69,1
doldolg.ch,0,0,0,29,10,11,ch,69,1
doldolh.biz,0,0,0,43,11,10,biz,69,1
doldolh.ch,0,0,0,29,10,11,ch,69,1
doldoli.biz,0,0,0,67,11,10,biz,69,1
doldoli.ch,0,0,0,50,10,11,ch,69,1
doldolj.biz,0,0,0,43,11,10,biz,69,1
doldolj.ch,0,0,0,29,10,11,ch,69,1
domdoma.biz,0,0,0,67,11,10,biz,69,1
domdoma.ch,0,0,0,50,10,11,ch,69,1
domdomb.biz,0,0,0,43,11,10,biz,69,1
domdomb.ch,0,0,0,29,10,11,ch,69,1
domdomc.biz,0,0,0,43,11,10,biz,69,1
domdomc.ch,0,0,0,29,10,11,ch,69,1
domdomd.biz,0,0,0,43,11,10,biz,69,1
domdomd.ch,0,0,0,29,10,11,ch,69,1
domdome.biz,0,0,0,67,11,10,biz,69,1
domdome.ch,0,0,0,50,10,11,ch,69,1
domdomf.biz,0,0,0,43,11,10,biz,69,1
domdomf.ch,0,0,0,29,10,11,ch,69,1
domdomg.biz,0,0,0,43,11,10,biz,69,1
domdomg.ch,0,0,0,29,10,11,ch,69,1
domdomh.biz,0,0,0,43,11,10,biz,69,1
domdomh.ch,0,0,0,29,10,11,ch,69,1
domdomi.biz,0,0,0,67,11,10,biz,69,1
domdomi.ch,0,0,0,50,10,11,ch,69,1
domdomj.biz,0,0,0,43,11,10,biz,69,1
