domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,family_id,class
phiixcanj.com,0,0,0,50,13,8,com,70,1
phiixcanj.net,0,0,0,50,13,8,net,70,1
phiixcanj.biz,0,0,0,50,13,8,biz,70,1
xhbqxeanj.com,0,0,0,33,13,8,com,70,1
xhbqxeanj.net,0,0,0,33,13,8,net,70,1
xhbqxeanj.biz,0,0,0,33,13,8,biz,70,1
yhcrxganj.com,0,0,0,20,13,8,com,70,1
yhcrxganj.net,0,0,0,20,13,8,net,70,1
yhcrxganj.biz,0,0,0,20,13,8,biz,70,1
hhfaxianj.com,0,0,0,50,13,8,com,70,1
hhfaxianj.net,0,0,0,50,13,8,net,70,1
hhfaxianj.biz,0,0,0,50,13,8,biz,70,1
ihgbxkanj.com,0,0,0,33,13,8,com,70,1
ihgbxkanj.net,0,0,0,33,13,8,net,70,1
ihgbxkanj.biz,0,0,0,33,13,8,biz,70,1
qhjjxmanj.com,0,0,0,20,13,8,com,70,1
qhjjxmanj.net,0,0,0,20,13,8,net,70,1
qhjjxmanj.biz,0,0,0,20,13,8,biz,70,1
qhjjxmanj.com,0,0,0,20,13,8,com,70,1
qhjjxmanj.net,0,0,0,20,13,8,net,70,1
qhjjxmanj.biz,0,0,0,20,13,8,biz,70,1
rhakxoanj.com,0,0,0,50,13,8,com,70,1
rhakxoanj.net,0,0,0,50,13,8,net,70,1
rhakxoanj.biz,0,0,0,50,13,8,biz,70,1
ahdsxqanj.com,0,0,0,33,13,8,com,70,1
ahdsxqanj.net,0,0,0,33,13,8,net,70,1
ahdsxqanj.biz,0,0,0,33,13,8,biz,70,1
bhetxsanj.com,0,0,0,33,13,8,com,70,1
bhetxsanj.net,0,0,0,33,13,8,net,70,1
bhetxsanj.biz,0,0,0,33,13,8,biz,70,1
jhhcxuanj.com,0,0,0,33,13,8,com,70,1
jhhcxuanj.net,0,0,0,33,13,8,net,70,1
jhhcxuanj.biz,0,0,0,33,13,8,biz,70,1
khidxwanj.com,0,0,0,33,13,8,com,70,1
khidxwanj.net,0,0,0,33,13,8,net,70,1
khidxwanj.biz,0,0,0,33,13,8,biz,70,1
shblxyanj.com,0,0,0,20,13,8,com,70,1
shblxyanj.net,0,0,0,20,13,8,net,70,1
shblxyanj.biz,0,0,0,20,13,8,biz,70,1
thcmxbanj.com,0,0,0,20,13,8,com,70,1
thcmxbanj.net,0,0,0,20,13,8,net,70,1
thcmxbanj.biz,0,0,0,20,13,8,biz,70,1
thcmxbanj.com,0,0,0,20,13,8,com,70,1
thcmxbanj.net,0,0,0,20,13,8,net,70,1
thcmxbanj.biz,0,0,0,20,13,8,biz,70,1
chfuxdanj.com,0,0,0,33,13,8,com,70,1
chfuxdanj.net,0,0,0,33,13,8,net,70,1
chfuxdanj.biz,0,0,0,33,13,8,biz,70,1
dhgvxfanj.com,0,0,0,20,13,8,com,70,1
dhgvxfanj.net,0,0,0,20,13,8,net,70,1
dhgvxfanj.biz,0,0,0,20,13,8,biz,70,1
lhjexhanj.com,0,0,0,33,13,8,com,70,1
lhjexhanj.net,0,0,0,33,13,8,net,70,1
lhjexhanj.biz,0,0,0,33,13,8,biz,70,1
mhafxjanj.com,0,0,0,33,13,8,com,70,1
mhafxjanj.net,0,0,0,33,13,8,net,70,1
mhafxjanj.biz,0,0,0,33,13,8,biz,70,1
uhdnxlanj.com,0,0,0,33,13,8,com,70,1
uhdnxlanj.net,0,0,0,33,13,8,net,70,1
uhdnxlanj.biz,0,0,0,33,13,8,biz,70,1
vheoxnanj.com,0,0,0,50,13,8,com,70,1
vheoxnanj.net,0,0,0,50,13,8,net,70,1
vheoxnanj.biz,0,0,0,50,13,8,biz,70,1
ehhwxpanj.com,0,0,0,33,13,8,com,70,1
ehhwxpanj.net,0,0,0,33,13,8,net,70,1
ehhwxpanj.biz,0,0,0,33,13,8,biz,70,1
ehhwxpanj.com,0,0,0,33,13,8,com,70,1
ehhwxpanj.net,0,0,0,33,13,8,net,70,1
ehhwxpanj.biz,0,0,0,33,13,8,biz,70,1
fhixxranj.com,0,0,0,33,13,8,com,70,1
fhixxranj.net,0,0,0,33,13,8,net,70,1
fhixxranj.biz,0,0,0,33,13,8,biz,70,1
nhbgxtanj.com,0,0,0,20,13,8,com,70,1
nhbgxtanj.net,0,0,0,20,13,8,net,70,1
nhbgxtanj.biz,0,0,0,20,13,8,biz,70,1
ohchxvanj.com,0,0,0,33,13,8,com,70,1
ohchxvanj.net,0,0,0,33,13,8,net,70,1
ohchxvanj.biz,0,0,0,33,13,8,biz,70,1
whfpx5anj.com,0,0,8,22,13,9,com,70,1
whfpx5anj.net,0,0,8,22,13,9,net,70,1
whfpx5anj.biz,0,0,8,22,13,9,biz,70,1
xhgqx6anj.com,0,0,8,22,13,9,com,70,1
xhgqx6anj.net,0,0,8,22,13,9,net,70,1
xhgqx6anj.biz,0,0,8,22,13,9,biz,70,1
ghjyx7anj.com,0,0,8,22,13,9,com,70,1
ghjyx7anj.net,0,0,8,22,13,9,net,70,1
ghjyx7anj.biz,0,0,8,22,13,9,biz,70,1
hhaax8anj.com,0,0,8,57,13,9,com,70,1
hhaax8anj.net,0,0,8,57,13,9,net,70,1
hhaax8anj.biz,0,0,8,57,13,9,biz,70,1
hhaax8anj.com,0,0,8,57,13,9,com,70,1
hhaax8anj.net,0,0,8,57,13,9,net,70,1
hhaax8anj.biz,0,0,8,57,13,9,biz,70,1
phdix9anj.com,0,0,8,38,13,9,com,70,1
phdix9anj.net,0,0,8,38,13,9,net,70,1
phdix9anj.biz,0,0,8,38,13,9,biz,70,1
qhejxianj.com,0,0,0,50,13,8,com,70,1
qhejxianj.net,0,0,0,50,13,8,net,70,1
qhejxianj.biz,0,0,0,50,13,8,biz,70,1
yhhrxkanj.com,0,0,0,20,13,8,com,70,1
yhhrxkanj.net,0,0,0,20,13,8,net,70,1
yhhrxkanj.biz,0,0,0,20,13,8,biz,70,1
ahisxmanj.com,0,0,0,50,13,8,com,70,1
ahisxmanj.net,0,0,0,50,13,8,net,70,1
ahisxmanj.biz,0,0,0,50,13,8,biz,70,1
ohdhxcebf.com,0,0,0,33,13,8,com,70,1
ohdhxcebf.net,0,0,0,33,13,8,net,70,1
ohdhxcebf.biz,0,0,0,33,13,8,biz,70,1
yhirxeebf.com,0,0,0,50,13,8,com,70,1
yhirxeebf.net,0,0,0,50,13,8,net,70,1
yhirxeebf.biz,0,0,0,50,13,8,biz,70,1
qhfjxgebf.com,0,0,0,20,13,8,com,70,1
qhfjxgebf.net,0,0,0,20,13,8,net,70,1
qhfjxgebf.biz,0,0,0,20,13,8,biz,70,1
qhfjxgebf.com,0,0,0,20,13,8,com,70,1
qhfjxgebf.net,0,0,0,20,13,8,net,70,1
qhfjxgebf.biz,0,0,0,20,13,8,biz,70,1
pheixiebf.com,0,0,0,71,13,8,com,70,1
pheixiebf.net,0,0,0,71,13,8,net,70,1
pheixiebf.biz,0,0,0,71,13,8,biz,70,1
hhbaxkebf.com,0,0,0,33,13,8,com,70,1
hhbaxkebf.net,0,0,0,33,13,8,net,70,1
hhbaxkebf.biz,0,0,0,33,13,8,biz,70,1
rhgkxmebf.com,0,0,0,20,13,8,com,70,1
rhgkxmebf.net,0,0,0,20,13,8,net,70,1
rhgkxmebf.biz,0,0,0,20,13,8,biz,70,1
jhdcxoebf.com,0,0,0,33,13,8,com,70,1
jhdcxoebf.net,0,0,0,33,13,8,net,70,1
jhdcxoebf.biz,0,0,0,33,13,8,biz,70,1
ihcbxqebf.com,0,0,0,33,13,8,com,70,1
ihcbxqebf.net,0,0,0,33,13,8,net,70,1
ihcbxqebf.biz,0,0,0,33,13,8,biz,70,1
ahjsxsebf.com,0,0,0,33,13,8,com,70,1
ahjsxsebf.net,0,0,0,33,13,8,net,70,1
ahjsxsebf.biz,0,0,0,33,13,8,biz,70,1
khedxuebf.com,0,0,0,50,13,8,com,70,1
khedxuebf.net,0,0,0,50,13,8,net,70,1
khedxuebf.biz,0,0,0,50,13,8,biz,70,1
khedxuebf.com,0,0,0,50,13,8,com,70,1
khedxuebf.net,0,0,0,50,13,8,net,70,1
khedxuebf.biz,0,0,0,50,13,8,biz,70,1
chbuxwebf.com,0,0,0,33,13,8,com,70,1
chbuxwebf.net,0,0,0,33,13,8,net,70,1
chbuxwebf.biz,0,0,0,33,13,8,biz,70,1
bhatxyebf.com,0,0,0,33,13,8,com,70,1
bhatxyebf.net,0,0,0,33,13,8,net,70,1
bhatxyebf.biz,0,0,0,33,13,8,biz,70,1
shhlxbebf.com,0,0,0,20,13,8,com,70,1
shhlxbebf.net,0,0,0,20,13,8,net,70,1
shhlxbebf.biz,0,0,0,20,13,8,biz,70,1
dhcvxdebf.com,0,0,0,20,13,8,com,70,1
dhcvxdebf.net,0,0,0,20,13,8,net,70,1
dhcvxdebf.biz,0,0,0,20,13,8,biz,70,1
uhjnxfebf.com,0,0,0,33,13,8,com,70,1
uhjnxfebf.net,0,0,0,33,13,8,net,70,1
uhjnxfebf.biz,0,0,0,33,13,8,biz,70,1
thimxhebf.com,0,0,0,33,13,8,com,70,1
thimxhebf.net,0,0,0,33,13,8,net,70,1
thimxhebf.biz,0,0,0,33,13,8,biz,70,1
lhfexjebf.com,0,0,0,33,13,8,com,70,1
lhfexjebf.net,0,0,0,33,13,8,net,70,1
lhfexjebf.biz,0,0,0,33,13,8,biz,70,1
lhfexjebf.com,0,0,0,33,13,8,com,70,1
